* Measurement data measured by REW V5.20 Beta 59
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.169
* Format: 512k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Oct 15, 2020 6:11:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: LZ A7 - off - Blue
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	80.522354	-127.3400
21.200001	80.624771	-129.1478
21.799999	80.709999	-130.8419
22.400000	80.808716	-132.6952
23.000000	80.901779	-134.3673
23.600000	80.953117	-135.9572
24.299999	81.035858	-137.9149
25.000000	81.118263	-139.7057
25.799999	81.160553	-141.8532
26.500000	81.214607	-143.5235
27.200001	81.267067	-145.0218
28.000000	81.320930	-146.8449
29.000000	81.361557	-148.9112
30.000000	81.392776	-150.8744
30.700001	81.423370	-152.3192
31.500000	81.430161	-153.8911
32.500000	81.448097	-155.6358
33.500000	81.467117	-157.3144
34.500000	81.453934	-159.0271
35.500000	81.440262	-160.5973
36.500000	81.439529	-162.1328
37.500000	81.415665	-163.5375
38.700001	81.384071	-165.2567
40.000000	81.357681	-166.8970
41.200001	81.331635	-168.4167
42.500000	81.282631	-169.9333
43.700001	81.232933	-171.3230
45.000000	81.197578	-172.6935
46.200001	81.151169	-173.9607
47.500000	81.087120	-175.2055
48.700001	81.046707	-176.4274
50.000000	80.977356	-177.6561
51.500000	80.891624	-178.9489
53.000000	80.822952	179.9064
54.500000	80.746819	178.7535
56.000000	80.669426	177.6143
58.000000	80.558548	176.2828
60.000000	80.459831	175.2038
61.500000	80.369431	174.0828
63.000000	80.277153	173.2366
65.000000	80.165466	172.1506
67.000000	80.058952	171.1492
69.000000	79.934341	170.1886
71.000000	79.828407	169.2802
73.000000	79.712090	168.4374
75.000000	79.604607	167.6201
77.500000	79.461296	166.7239
80.000000	79.330154	165.8875
82.500000	79.192947	165.1005
85.000000	79.045830	164.4070
87.500000	78.913612	163.7108
90.000000	78.789917	162.9764
92.500000	78.646851	162.5757
95.000000	78.521820	162.0604
97.500000	78.400314	161.7031
100.000000	78.266312	161.1691
103.000000	78.115662	160.6847
106.000000	77.979591	160.2607
109.000000	77.834274	159.9201
112.000000	77.691849	159.6890
115.000000	77.562271	159.3599
118.000000	77.421005	159.0592
122.000000	77.256592	158.7744
125.000000	77.125031	158.6244
128.000000	76.991043	158.4537
132.000000	76.826431	158.3153
136.000000	76.676453	158.2216
140.000000	76.521103	158.0961
145.000000	76.334702	158.1261
150.000000	76.157784	158.1191
155.000000	75.989296	158.1208
160.000000	75.822174	158.2712
165.000000	75.664963	158.3679
170.000000	75.509850	158.5849
175.000000	75.359810	158.7825
180.000000	75.227119	159.0544
185.000000	75.079910	159.2550
190.000000	74.943016	159.5354
195.000000	74.813049	159.8282
200.000000	74.687943	160.1412
206.000000	74.542854	160.5685
212.000000	74.408363	161.0218
218.000000	74.272453	161.4454
224.000000	74.138725	161.8882
230.000000	74.025085	162.3764
236.000000	73.905884	162.8720
243.000000	73.774048	163.4814
250.000000	73.651253	164.0908
258.000000	73.514496	164.7823
265.000000	73.400658	165.4092
272.000000	73.292839	166.0713
280.000000	73.174271	166.8135
290.000000	73.033058	167.7592
300.000000	72.905365	168.8036
307.000000	72.825699	169.4148
315.000000	72.727989	170.1852
325.000000	72.622314	171.1360
335.000000	72.518967	172.1230
345.000000	72.423691	173.1530
355.000000	72.337349	174.0058
365.000000	72.251122	175.0240
375.000000	72.170128	176.1042
387.000000	72.083405	177.2768
400.000000	71.994041	178.5443
412.000000	71.924103	179.7301
425.000000	71.849915	-179.0094
437.000000	71.791779	-177.8153
450.000000	71.730400	-176.5316
462.000000	71.684616	-175.3726
475.000000	71.638123	-174.0872
487.000000	71.603539	-172.9457
500.000000	71.564621	-171.6775
515.000000	71.527641	-170.2183
530.000000	71.503502	-168.7564
545.000000	71.478645	-167.3342
560.000000	71.462158	-165.8918
580.000000	71.451241	-163.9911
600.000000	71.456497	-162.0923
615.000000	71.458786	-160.6434
630.000000	71.471497	-159.2263
650.000000	71.494904	-157.3323
670.000000	71.530190	-155.4239
690.000000	71.578720	-153.5504
710.000000	71.633240	-151.6627
730.000000	71.701347	-149.7699
750.000000	71.782555	-147.9502
775.000000	71.898804	-145.6441
800.000000	72.032486	-143.3717
825.000000	72.187843	-141.1541
850.000000	72.366791	-138.9558
875.000000	72.566528	-136.8623
900.000000	72.785889	-134.8718
925.000000	73.028442	-133.0273
950.000000	73.288681	-131.4191
975.000000	73.555016	-130.1449
1000.000000	73.751190	-129.2327
1030.000000	73.933701	-127.3096
1060.000000	74.227966	-125.5805
1090.000000	74.479881	-124.1151
1120.000000	74.723274	-122.4141
1150.000000	75.011169	-120.6351
1180.000000	75.337135	-118.9740
1220.000000	75.793465	-117.0785
1250.000000	76.144691	-115.8553
1280.000000	76.492935	-114.7771
1320.000000	76.961311	-113.4519
1360.000000	77.429344	-112.2634
1400.000000	77.909477	-111.1828
1450.000000	78.524872	-109.9982
1500.000000	79.166718	-108.9975
1550.000000	79.843506	-108.2458
1600.000000	80.556396	-107.7956
1650.000000	81.307220	-107.7293
1700.000000	82.096901	-108.1452
1750.000000	82.919441	-109.1620
1800.000000	83.765732	-110.9138
1850.000000	84.613106	-113.5617
1900.000000	85.429138	-117.2156
1950.000000	86.164841	-121.9602
2000.000000	86.759613	-127.7120
2060.000000	87.209587	-135.5304
2120.000000	87.322060	-143.5411
2180.000000	87.131233	-150.8467
2240.000000	86.733536	-156.8798
2300.000000	86.229179	-161.5189
2360.000000	85.696213	-164.9161
2430.000000	85.095634	-167.6205
2500.000000	84.548828	-169.3139
2580.000000	83.997543	-170.3391
2650.000000	83.582558	-170.6150
2720.000000	83.232765	-170.4058
2800.000000	82.931160	-169.6813
2900.000000	82.728424	-168.3835
3000.000000	82.729385	-167.2144
3070.000000	82.843155	-166.7846
3150.000000	83.056450	-166.9271
3250.000000	83.397354	-168.3250
3350.000000	83.736496	-171.2986
3450.000000	83.962135	-175.8745
3550.000000	83.959488	178.2967
3650.000000	83.646935	171.9719
3750.000000	83.019630	166.1001
3870.000000	81.954910	160.6929
4000.000000	80.609802	157.3423
4120.000000	79.340134	156.4234
4250.000000	78.032204	157.2827
4370.000000	76.921692	159.3972
4500.000000	75.837036	162.7952
4620.000000	74.952393	166.7062
4750.000000	74.122574	171.5727
4870.000000	73.476532	176.5770
5000.000000	72.905807	-177.6356
5150.000000	72.409157	-170.5761
5300.000000	72.111115	-163.2347
5450.000000	72.019104	-155.8156
5600.000000	72.157928	-148.5894
5800.000000	72.722336	-140.1201
6000.000000	73.499825	-134.9651
6150.000000	74.013222	-130.0397
6300.000000	75.248741	-127.6017
6500.000000	76.512444	-132.5341
6700.000000	76.555809	-140.2874
6900.000000	75.720566	-143.1920
7100.000000	74.951584	-139.9808
7300.000000	74.764206	-133.6298
7500.000000	75.228607	-126.7382
7750.000000	76.707092	-120.4083
8000.000000	78.952164	-120.4599
8250.000000	81.211914	-131.2333
8500.000000	81.922478	-150.7210
8750.000000	80.914978	-166.1269
9000.000000	79.578072	-173.9427
9250.000000	78.495026	-178.1467
9500.000000	77.662216	179.6013
9750.000000	77.350639	177.5168
10000.000000	77.265907	171.2398
10300.000000	76.338799	158.9669
10600.000000	74.236359	150.7149
10900.000000	72.055008	149.9420
11200.000000	70.460289	153.6387
11500.000000	69.586876	158.9078
11800.000000	69.481216	163.9261
12200.000000	70.517998	167.1228
12500.000000	72.114922	163.6978
12800.000000	73.915886	151.2580
13200.000000	74.582352	122.4673
13600.000000	73.090553	99.9037
14000.000000	71.997513	86.2151
14500.000000	72.057610	64.6754
15000.000000	71.111946	26.3593
15500.000000	67.166176	-5.2742
16000.000000	64.343231	-23.0061
16500.000000	61.889565	-62.1610
17000.000000	58.491898	-78.5662
17500.000000	58.779423	-105.1953
18000.000000	60.408104	-151.2469
