* Measurement data measured by REW V5.20 Beta 59
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.169
* Format: 512k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Oct 15, 2020 6:09:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: LZ A7 - off - Gold
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	80.320251	-125.9934
21.200001	80.411354	-127.9393
21.799999	80.505089	-129.8461
22.400000	80.590523	-131.6992
23.000000	80.670761	-133.4844
23.600000	80.731010	-135.1443
24.299999	80.802116	-137.1962
25.000000	80.924423	-139.0890
25.799999	81.007568	-140.9538
26.500000	81.029274	-142.6405
27.200001	81.063438	-144.2473
28.000000	81.138222	-146.0629
29.000000	81.209961	-148.1621
30.000000	81.217964	-150.3688
30.700001	81.261597	-151.7050
31.500000	81.248093	-153.2505
32.500000	81.284470	-155.1822
33.500000	81.279556	-156.9028
34.500000	81.289749	-158.4426
35.500000	81.280418	-160.2419
36.500000	81.257431	-161.6835
37.500000	81.255310	-163.1506
38.700001	81.241867	-164.8589
40.000000	81.191116	-166.5894
41.200001	81.161560	-168.1658
42.500000	81.119804	-169.7326
43.700001	81.079933	-171.1607
45.000000	81.044540	-172.5966
46.200001	80.992126	-173.8417
47.500000	80.945885	-175.1516
48.700001	80.890839	-176.3696
50.000000	80.825775	-177.4929
51.500000	80.754730	-178.8842
53.000000	80.674438	179.8445
54.500000	80.599297	178.7923
56.000000	80.519493	177.6160
58.000000	80.403419	176.2234
60.000000	80.276459	174.7787
61.500000	80.204330	173.9182
63.000000	80.128067	173.0605
65.000000	80.022690	171.9159
67.000000	79.914307	170.8433
69.000000	79.794052	169.8419
71.000000	79.686127	168.9584
73.000000	79.567825	168.0690
75.000000	79.459892	167.2668
77.500000	79.312920	166.3205
80.000000	79.183945	165.3214
82.500000	79.057373	164.7754
85.000000	78.904655	163.9242
87.500000	78.767052	163.2183
90.000000	78.621490	162.7240
92.500000	78.509560	162.0575
95.000000	78.369713	161.4571
97.500000	78.251312	161.0192
100.000000	78.117828	160.5832
103.000000	77.961014	159.9994
106.000000	77.842812	159.5609
109.000000	77.667694	159.1870
112.000000	77.546494	158.9058
115.000000	77.427139	158.5300
118.000000	77.293282	158.1549
122.000000	77.131157	157.8589
125.000000	76.991837	157.7981
128.000000	76.847466	157.6706
132.000000	76.693222	157.2528
136.000000	76.526276	157.2201
140.000000	76.380905	157.0870
145.000000	76.189369	156.9993
150.000000	76.017952	156.9974
155.000000	75.833176	156.9493
160.000000	75.670807	157.0397
165.000000	75.514717	157.1324
170.000000	75.358231	157.2625
175.000000	75.207703	157.4459
180.000000	75.064415	157.6905
185.000000	74.921623	157.8412
190.000000	74.790314	158.0867
195.000000	74.659531	158.2949
200.000000	74.536629	158.6242
206.000000	74.392319	158.9894
212.000000	74.255608	159.3321
218.000000	74.119232	159.7283
224.000000	73.989662	160.1609
230.000000	73.868164	160.6070
236.000000	73.754471	161.0525
243.000000	73.624084	161.5312
250.000000	73.499603	162.0959
258.000000	73.360504	162.7853
265.000000	73.247177	163.3418
272.000000	73.138542	163.9121
280.000000	73.019386	164.5983
290.000000	72.882172	165.4689
300.000000	72.756760	166.3767
307.000000	72.666016	166.9288
315.000000	72.576309	167.6673
325.000000	72.460907	168.5658
335.000000	72.361588	169.4493
345.000000	72.264366	170.3689
355.000000	72.173187	171.2576
365.000000	72.092476	172.1609
375.000000	72.016159	173.0779
387.000000	71.928093	174.1696
400.000000	71.843231	175.3278
412.000000	71.766571	176.4057
425.000000	71.696198	177.5901
437.000000	71.636147	178.6636
450.000000	71.579361	179.8048
462.000000	71.529800	-179.1265
475.000000	71.485199	-177.9651
487.000000	71.447525	-176.8874
500.000000	71.407913	-175.7478
515.000000	71.376823	-174.4379
530.000000	71.348831	-173.1256
545.000000	71.327255	-171.8490
560.000000	71.309837	-170.5361
580.000000	71.302391	-168.8275
600.000000	71.297249	-167.0990
615.000000	71.302338	-165.8343
630.000000	71.311966	-164.5439
650.000000	71.339325	-162.8547
670.000000	71.375084	-161.1486
690.000000	71.416862	-159.4874
710.000000	71.474220	-157.8462
730.000000	71.536545	-156.1726
750.000000	71.615593	-154.5393
775.000000	71.723671	-152.5294
800.000000	71.857170	-150.5212
825.000000	72.004845	-148.5902
850.000000	72.174042	-146.6957
875.000000	72.365631	-144.9054
900.000000	72.576042	-143.2223
925.000000	72.810890	-141.6894
950.000000	73.062073	-140.3770
975.000000	73.313820	-139.4490
1000.000000	73.491028	-138.8341
1030.000000	73.667061	-137.2186
1060.000000	73.950142	-135.9317
1090.000000	74.186752	-134.8779
1120.000000	74.414200	-133.6178
1150.000000	74.688591	-132.2753
1180.000000	74.995789	-131.0714
1220.000000	75.432793	-129.8574
1250.000000	75.763680	-129.1767
1280.000000	76.091446	-128.6760
1320.000000	76.520447	-128.2054
1360.000000	76.946808	-127.9334
1400.000000	77.367905	-127.8381
1450.000000	77.888054	-127.9853
1500.000000	78.405853	-128.4195
1550.000000	78.914352	-129.1797
1600.000000	79.413528	-130.3099
1650.000000	79.891220	-131.8219
1700.000000	80.337372	-133.7140
1750.000000	80.741898	-135.9815
1800.000000	81.087837	-138.5795
1850.000000	81.364273	-141.4421
1900.000000	81.567131	-144.4744
1950.000000	81.685402	-147.5653
2000.000000	81.727226	-150.5755
2060.000000	81.681122	-153.9318
2120.000000	81.553955	-156.8753
2180.000000	81.370850	-159.3232
2240.000000	81.159203	-161.2716
2300.000000	80.937576	-162.7832
2360.000000	80.719818	-163.8989
2430.000000	80.480011	-164.8109
2500.000000	80.258377	-165.3900
2580.000000	80.030159	-165.6869
2650.000000	79.852440	-165.6292
2720.000000	79.708099	-165.2607
2800.000000	79.604706	-164.4984
2900.000000	79.613144	-163.3412
3000.000000	79.788925	-162.4778
3070.000000	80.000343	-162.3662
3150.000000	80.301498	-162.9441
3250.000000	80.703415	-164.9736
3350.000000	81.045731	-168.5246
3450.000000	81.220848	-173.4519
3550.000000	81.138100	-179.2560
3650.000000	80.755211	174.8953
3750.000000	80.100761	169.7940
3870.000000	79.071472	165.3525
4000.000000	77.821060	162.8509
4120.000000	76.664406	162.4608
4250.000000	75.479584	163.6791
4370.000000	74.474983	165.9648
4500.000000	73.500336	169.4251
4620.000000	72.705025	173.3205
4750.000000	71.959534	178.1317
4870.000000	71.381203	-176.9537
5000.000000	70.880859	-171.2665
5150.000000	70.457207	-164.3500
5300.000000	70.220718	-157.1931
5450.000000	70.184120	-149.9666
5600.000000	70.365715	-142.9418
5800.000000	70.971207	-134.7571
6000.000000	71.751495	-129.7306
