* Measurement data measured by REW V5.20 Beta 59
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.169
* Format: 512k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Oct 15, 2020 6:14:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: LZ A7 - off - Silver
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	80.121872	-124.9160
21.200001	80.246986	-126.7944
21.799999	80.336685	-128.4000
22.400000	80.422859	-130.3741
23.000000	80.537079	-132.4821
23.600000	80.625923	-134.1915
24.299999	80.690712	-135.9162
25.000000	80.757210	-137.4398
25.799999	80.777298	-139.7171
26.500000	80.886772	-141.6521
27.200001	80.939613	-142.9390
28.000000	80.989090	-144.9594
29.000000	81.037521	-147.0290
30.000000	81.074486	-149.0436
30.700001	81.097710	-150.3351
31.500000	81.115967	-151.9852
32.500000	81.132980	-153.8934
33.500000	81.150970	-155.5866
34.500000	81.146835	-157.3298
35.500000	81.153656	-158.8181
36.500000	81.150803	-160.4140
37.500000	81.143646	-161.9537
38.700001	81.122803	-163.6395
40.000000	81.089462	-165.3478
41.200001	81.054565	-166.8295
42.500000	81.023956	-168.5456
43.700001	80.977745	-169.8736
45.000000	80.930359	-171.2646
46.200001	80.877808	-172.5218
47.500000	80.847382	-173.8407
48.700001	80.799080	-175.1221
50.000000	80.727280	-176.3793
51.500000	80.648949	-177.5588
53.000000	80.588104	-178.7892
54.500000	80.515518	179.9964
56.000000	80.438057	178.8631
58.000000	80.324020	177.3973
60.000000	80.224678	176.2906
61.500000	80.147354	175.1901
63.000000	80.054947	174.2879
65.000000	79.949066	173.1635
67.000000	79.845924	172.1511
69.000000	79.729141	171.1664
71.000000	79.617012	170.2352
73.000000	79.505379	169.3917
75.000000	79.403664	168.5648
77.500000	79.260773	167.5712
80.000000	79.117126	166.7234
82.500000	78.972443	165.9850
85.000000	78.815102	165.2230
87.500000	78.700813	164.6706
90.000000	78.578072	163.9931
92.500000	78.455788	163.3683
95.000000	78.326202	162.7904
97.500000	78.213058	162.2891
100.000000	78.068901	161.8837
103.000000	77.941925	161.4249
106.000000	77.803558	160.9187
109.000000	77.661179	160.3884
112.000000	77.525185	160.1307
115.000000	77.384583	159.9106
118.000000	77.232452	159.7388
122.000000	77.074196	159.2696
125.000000	76.933899	159.2045
128.000000	76.820709	158.9574
132.000000	76.658211	158.7875
136.000000	76.496216	158.6617
140.000000	76.343384	158.5491
145.000000	76.163322	158.5302
150.000000	75.979820	158.5038
155.000000	75.810867	158.5382
160.000000	75.646042	158.6170
165.000000	75.483086	158.7598
170.000000	75.327782	158.8760
175.000000	75.180031	159.1545
180.000000	75.044121	159.3870
185.000000	74.900101	159.5629
190.000000	74.766960	159.8170
195.000000	74.641098	160.0836
200.000000	74.510422	160.4001
206.000000	74.365654	160.8089
212.000000	74.228584	161.2225
218.000000	74.096855	161.6450
224.000000	73.963692	162.1050
230.000000	73.848946	162.5553
236.000000	73.727554	163.0415
243.000000	73.592873	163.6528
250.000000	73.468590	164.2466
258.000000	73.328491	164.9355
265.000000	73.219078	165.5430
272.000000	73.109100	166.1784
280.000000	72.989479	166.9218
290.000000	72.854744	167.8395
300.000000	72.714325	168.8112
307.000000	72.637993	169.4728
315.000000	72.541908	170.2381
325.000000	72.432129	171.2005
335.000000	72.328079	172.1617
345.000000	72.227844	173.1618
355.000000	72.136978	174.1407
365.000000	72.057159	175.1062
375.000000	71.976410	176.1255
387.000000	71.891418	177.2820
400.000000	71.806458	178.5817
412.000000	71.729370	179.7600
425.000000	71.655312	-178.9780
437.000000	71.596718	-177.7867
450.000000	71.536598	-176.5049
462.000000	71.486183	-175.3476
475.000000	71.444824	-174.0525
487.000000	71.404099	-172.8956
500.000000	71.366447	-171.6225
515.000000	71.328079	-170.1789
530.000000	71.303818	-168.7259
545.000000	71.281303	-167.2843
560.000000	71.264023	-165.8431
580.000000	71.253464	-163.9378
600.000000	71.250511	-162.0259
615.000000	71.255005	-160.5952
630.000000	71.268082	-159.1712
650.000000	71.294182	-157.2474
670.000000	71.325584	-155.3946
690.000000	71.372833	-153.4913
710.000000	71.429977	-151.6058
730.000000	71.494774	-149.7382
750.000000	71.575050	-147.8782
775.000000	71.689270	-145.5836
800.000000	71.823082	-143.2827
825.000000	71.974747	-141.0484
850.000000	72.151566	-138.8729
875.000000	72.345833	-136.7573
900.000000	72.563599	-134.7531
925.000000	72.802856	-132.9152
