* Measurement data measured by REW V5.20 Beta 59
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.169
* Format: 512k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Oct 15, 2020 6:08:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: LZ A7 - on - Gold
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	80.319466	-123.6579
21.200001	80.445206	-125.4128
21.799999	80.554459	-127.0761
22.400000	80.644058	-128.9333
23.000000	80.753403	-130.5341
23.600000	80.826721	-131.8132
24.299999	80.883530	-133.6731
25.000000	80.958038	-135.5491
25.799999	81.020805	-137.4205
26.500000	81.088791	-138.8396
27.200001	81.151024	-140.3055
28.000000	81.208694	-142.0318
29.000000	81.223427	-144.2889
30.000000	81.277512	-146.0740
30.700001	81.311935	-147.3340
31.500000	81.352142	-148.6429
32.500000	81.352219	-150.4532
33.500000	81.372574	-151.9450
34.500000	81.379456	-153.5990
35.500000	81.404526	-154.9865
36.500000	81.396179	-156.3354
37.500000	81.382050	-157.7033
38.700001	81.377846	-159.1006
40.000000	81.355949	-160.8190
41.200001	81.331833	-162.0876
42.500000	81.326973	-163.4208
43.700001	81.286362	-164.9208
45.000000	81.253716	-165.9284
46.200001	81.226662	-166.9987
47.500000	81.193314	-168.0663
48.700001	81.144386	-169.1143
50.000000	81.100128	-170.0011
51.500000	81.035408	-171.2940
53.000000	80.993484	-172.2321
54.500000	80.937241	-173.3033
56.000000	80.867630	-174.1484
58.000000	80.799057	-175.3352
60.000000	80.746178	-176.3416
61.500000	80.664749	-177.1823
63.000000	80.599884	-177.8636
65.000000	80.517502	-178.8159
67.000000	80.433403	-179.5900
69.000000	80.352287	179.6319
71.000000	80.272148	178.9280
73.000000	80.197754	177.8979
75.000000	80.108292	177.6054
77.500000	80.006798	176.9268
80.000000	79.906960	176.2542
82.500000	79.822220	175.6454
85.000000	79.720047	175.1364
87.500000	79.654907	174.3564
90.000000	79.554062	173.9839
