* Measurement data measured by REW V5.20 Beta 59
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.169
* Format: 512k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Oct 15, 2020 6:13:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: LZ A7 - on - Silver
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	80.150826	-122.1440
21.200001	80.260231	-123.7761
21.799999	80.353546	-125.7609
22.400000	80.458397	-127.6832
23.000000	80.555801	-129.2851
23.600000	80.655952	-130.7019
24.299999	80.733414	-132.3826
25.000000	80.785713	-134.3334
25.799999	80.889610	-136.2232
26.500000	80.961548	-137.5780
27.200001	80.982559	-139.0017
28.000000	81.017395	-140.8628
29.000000	81.102875	-142.8523
30.000000	81.131989	-144.7664
30.700001	81.171043	-146.0113
31.500000	81.194138	-147.4237
32.500000	81.222481	-149.1172
33.500000	81.225662	-150.7928
34.500000	81.254074	-152.2074
35.500000	81.284256	-153.6422
36.500000	81.272186	-155.1020
37.500000	81.245544	-156.4169
38.700001	81.247047	-157.7582
40.000000	81.260506	-159.4762
41.200001	81.223419	-160.8428
42.500000	81.214188	-162.2984
43.700001	81.198822	-163.3571
45.000000	81.147507	-164.5642
46.200001	81.141617	-165.7592
47.500000	81.077087	-166.7759
48.700001	81.046356	-167.7476
50.000000	80.989365	-168.9078
51.500000	80.953102	-170.0136
53.000000	80.887894	-170.9143
54.500000	80.857460	-172.1224
56.000000	80.760452	-172.8745
58.000000	80.710114	-174.2089
60.000000	80.633522	-175.0871
61.500000	80.566399	-175.9737
63.000000	80.509232	-176.6586
65.000000	80.442451	-177.4521
67.000000	80.362816	-178.2858
69.000000	80.280365	-179.3274
71.000000	80.170174	-179.8561
73.000000	80.103699	179.5230
75.000000	80.033798	178.7645
77.500000	79.924583	178.1332
80.000000	79.832306	177.5270
82.500000	79.712524	176.7954
85.000000	79.627342	176.3458
87.500000	79.557144	175.4796
90.000000	79.415649	175.6940
92.500000	79.371941	175.2859
95.000000	79.296783	174.7408
97.500000	79.211792	174.5138
100.000000	79.125412	174.2145
103.000000	79.051430	173.8024
106.000000	78.931519	173.5305
109.000000	78.842751	173.3380
112.000000	78.766090	173.0428
115.000000	78.683540	173.0138
118.000000	78.597046	172.7799
122.000000	78.486778	172.6564
125.000000	78.412422	172.5482
128.000000	78.334869	172.4636
132.000000	78.236435	172.4649
136.000000	78.140884	172.4878
140.000000	78.050674	172.4579
145.000000	77.938675	172.4555
150.000000	77.858917	172.4890
155.000000	77.742661	172.6741
160.000000	77.674835	172.9407
165.000000	77.579773	172.9629
170.000000	77.478050	173.1153
175.000000	77.407196	173.2647
180.000000	77.334679	173.5217
185.000000	77.267311	173.6887
190.000000	77.194527	173.9406
195.000000	77.131989	174.1756
200.000000	77.068016	174.3873
206.000000	76.997116	174.7318
212.000000	76.927444	175.0473
218.000000	76.861870	175.3674
224.000000	76.802643	175.6987
230.000000	76.743637	176.0363
236.000000	76.687988	176.3791
243.000000	76.625298	176.8093
250.000000	76.568176	177.2298
258.000000	76.506462	177.6920
265.000000	76.451515	178.1101
272.000000	76.404594	178.5368
280.000000	76.352959	179.0333
290.000000	76.292587	179.6589
300.000000	76.229767	-179.7554
307.000000	76.197296	-179.2854
315.000000	76.157196	-178.7880
325.000000	76.108109	-178.1755
335.000000	76.065857	-177.5523
345.000000	76.035011	-176.9334
355.000000	75.987984	-176.3107
365.000000	75.953201	-175.6641
375.000000	75.920662	-175.0505
387.000000	75.883873	-174.3001
400.000000	75.850410	-173.4843
412.000000	75.818329	-172.7375
425.000000	75.789566	-171.9225
437.000000	75.763168	-171.1682
450.000000	75.739578	-170.3751
462.000000	75.722809	-169.6186
475.000000	75.702408	-168.7721
487.000000	75.688812	-168.0217
500.000000	75.676262	-167.2181
515.000000	75.664703	-166.2599
530.000000	75.652847	-165.2956
545.000000	75.647850	-164.3520
560.000000	75.646492	-163.3790
580.000000	75.645454	-162.0815
600.000000	75.652802	-160.7882
615.000000	75.662117	-159.7921
630.000000	75.676834	-158.8015
650.000000	75.696381	-157.4770
670.000000	75.727493	-156.1461
690.000000	75.760040	-154.7913
710.000000	75.803299	-153.4227
730.000000	75.855209	-152.0515
750.000000	75.916969	-150.6669
775.000000	76.005966	-148.9247
800.000000	76.107666	-147.2022
825.000000	76.227905	-145.4894
850.000000	76.363777	-143.7906
875.000000	76.519669	-142.1555
900.000000	76.695610	-140.5793
925.000000	76.888275	-139.1062
950.000000	77.099731	-137.7815
975.000000	77.321182	-136.6892
1000.000000	77.512566	-135.9035
1030.000000	77.685623	-134.5731
1060.000000	77.936348	-133.2662
1090.000000	78.163780	-132.2455
1120.000000	78.376541	-131.1287
1150.000000	78.604675	-129.9681
1180.000000	78.851921	-128.8592
1220.000000	79.197823	-127.5441
1250.000000	79.459984	-126.6711
1280.000000	79.724190	-125.8700
1320.000000	80.075745	-124.8870
1360.000000	80.429230	-123.9601
1400.000000	80.791451	-123.0892
1450.000000	81.261932	-122.0800
1500.000000	81.754959	-121.1686
1550.000000	82.278496	-120.4071
1600.000000	82.838524	-119.8465
1650.000000	83.434540	-119.5468
1700.000000	84.070160	-119.5823
1750.000000	84.743118	-120.0539
1800.000000	85.449768	-121.0664
1850.000000	86.178864	-122.7552
1900.000000	86.911095	-125.2600
1950.000000	87.615204	-128.7085
2000.000000	88.245064	-133.1631
2060.000000	88.822311	-139.7071
2120.000000	89.124214	-147.0679
2180.000000	89.116577	-154.4107
2240.000000	88.844894	-160.9444
2300.000000	88.400284	-166.2254
2360.000000	87.874023	-170.1956
2430.000000	87.242828	-173.3783
2500.000000	86.650482	-175.3427
2580.000000	86.054756	-176.5136
2650.000000	85.612427	-176.8950
2720.000000	85.243683	-176.8683
2800.000000	84.907356	-176.5073
2900.000000	84.605385	-175.7459
3000.000000	84.437950	-174.8239
3070.000000	84.416306	-174.2556
3150.000000	84.489914	-173.9648
3250.000000	84.693115	-174.5279
3350.000000	84.950073	-176.5041
3450.000000	85.152000	179.8993
3550.000000	85.167686	174.8288
3650.000000	84.885963	168.9791
3750.000000	84.274178	163.3784
