* Measurement data measured by REW V5.20 Beta 59
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.625
* Format: 512k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Aug 26, 2020 10:00:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Final A8000 - L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	87.263123	-165.8507
21.200001	87.213226	-166.5526
21.799999	87.261429	-167.4078
22.400000	87.266907	-168.1301
23.000000	87.194862	-169.2619
23.600000	87.191368	-170.0782
24.299999	87.173042	-170.5570
25.000000	87.177193	-172.0086
25.799999	87.178040	-172.9197
26.500000	87.068481	-173.6808
27.200001	87.104919	-174.7121
28.000000	87.120079	-175.1003
29.000000	87.079559	-176.1632
30.000000	87.038200	-176.9076
30.700001	86.966110	-177.5743
31.500000	86.952705	-178.1673
32.500000	86.929871	-179.1269
33.500000	86.879883	-179.8986
34.500000	86.850677	179.5290
35.500000	86.831764	178.8372
36.500000	86.775848	178.0442
37.500000	86.776352	177.5838
38.700001	86.706772	176.9377
40.000000	86.673431	175.8586
41.200001	86.565353	175.3061
42.500000	86.569473	174.5651
43.700001	86.494972	173.8808
45.000000	86.463837	173.3348
46.200001	86.410294	172.7773
47.500000	86.381180	172.1640
48.700001	86.284805	171.4614
50.000000	86.245476	171.1086
51.500000	86.221054	170.4856
53.000000	86.116043	170.2126
54.500000	86.042709	169.3947
56.000000	85.943336	168.8654
58.000000	85.904694	168.2501
60.000000	85.783707	167.0969
61.500000	85.721817	167.3391
63.000000	85.690521	166.8025
65.000000	85.580719	166.2663
67.000000	85.512154	165.8272
69.000000	85.399437	165.6393
71.000000	85.332352	164.9040
73.000000	85.256691	164.7974
75.000000	85.162781	164.3690
77.500000	85.068718	163.8036
80.000000	84.941353	163.2967
82.500000	84.844604	163.0419
85.000000	84.759224	162.6995
87.500000	84.644424	162.4216
90.000000	84.417557	163.1617
92.500000	84.457397	161.9020
95.000000	84.363625	161.6534
97.500000	84.258659	161.4603
100.000000	84.167679	161.2846
103.000000	84.071236	160.9413
106.000000	83.948799	160.9951
109.000000	83.835945	160.7301
112.000000	83.739197	160.6341
115.000000	83.640343	160.4446
118.000000	83.539352	160.4971
122.000000	83.389999	160.3729
125.000000	83.299759	160.4183
128.000000	83.204254	160.3841
132.000000	83.066948	160.3335
136.000000	82.964760	160.6713
140.000000	82.870850	160.5804
145.000000	82.697067	160.5102
150.000000	82.574707	160.8631
155.000000	82.450455	161.0377
160.000000	82.307518	161.1320
165.000000	82.192863	161.3249
170.000000	82.077118	161.6188
175.000000	81.946564	161.8333
180.000000	81.825020	162.1856
185.000000	81.736404	162.4564
190.000000	81.639595	162.7856
195.000000	81.543175	163.0312
200.000000	81.446579	163.4966
206.000000	81.344467	163.9078
212.000000	81.232765	164.2849
218.000000	81.128334	164.7276
224.000000	81.017471	165.1805
230.000000	80.940598	165.5933
236.000000	80.848633	166.0427
243.000000	80.744339	166.7125
250.000000	80.653526	167.1835
258.000000	80.564713	167.8531
265.000000	80.481697	168.4049
272.000000	80.387253	168.9922
280.000000	80.308975	169.5582
290.000000	80.208344	170.4052
300.000000	80.099121	171.2029
307.000000	80.041626	171.8231
315.000000	79.970123	172.5044
325.000000	79.892273	173.3200
335.000000	79.813553	174.1427
345.000000	79.738022	174.9403
355.000000	79.672218	175.7452
365.000000	79.610367	176.5475
375.000000	79.548386	177.3724
387.000000	79.480728	178.3466
400.000000	79.414375	179.3555
412.000000	79.353317	-179.6815
425.000000	79.295006	-178.6335
437.000000	79.245674	-177.6797
450.000000	79.200684	-176.6948
462.000000	79.152000	-175.7320
475.000000	79.108727	-174.7209
487.000000	79.072983	-173.7722
500.000000	79.034111	-172.7503
515.000000	78.997711	-171.5723
530.000000	78.968277	-170.4265
545.000000	78.934029	-169.2572
560.000000	78.908981	-168.0712
580.000000	78.882477	-166.5195
600.000000	78.861610	-164.9273
615.000000	78.848396	-163.7392
630.000000	78.841095	-162.5628
650.000000	78.837318	-160.9682
670.000000	78.843513	-159.3687
690.000000	78.855415	-157.7762
710.000000	78.874611	-156.1690
730.000000	78.903839	-154.5407
750.000000	78.941193	-152.9183
775.000000	78.998077	-150.8674
800.000000	79.077103	-148.8230
825.000000	79.167450	-146.7888
850.000000	79.279861	-144.7800
875.000000	79.410149	-142.7822
900.000000	79.558739	-140.8650
925.000000	79.723061	-139.0035
950.000000	79.909935	-137.2310
975.000000	80.106201	-135.5631
1000.000000	80.318573	-133.9994
1030.000000	80.589012	-132.3171
1060.000000	80.866257	-130.8164
1090.000000	81.141373	-129.5396
1120.000000	81.416260	-128.4114
1150.000000	81.683334	-127.4552
1180.000000	81.937874	-126.6148
