* Measurement data measured by REW V5.20 Beta 37
* Source: IEC-711 (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.530
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS Using a loopback as a timing reference
* Dated: Mar 7, 2020 8:34:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.000 ms (0 mm, 0 in)  relative to Loopback with no timing offset
* Measurement: Audiofly AF1120 mk2 - R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	89.923080	-158.7328
21.200001	89.936653	-158.7045
21.799999	89.930214	-158.6874
22.400000	89.908478	-158.7588
23.000000	89.879150	-158.9059
23.600000	89.853516	-159.1259
24.299999	89.832413	-159.4812
25.000000	89.818901	-159.8656
25.799999	89.821350	-160.2415
26.500000	89.838013	-160.5324
27.200001	89.853912	-160.7662
28.000000	89.867325	-160.8911
29.000000	89.881935	-160.9099
30.000000	89.882820	-160.8959
30.700001	89.875595	-160.8972
31.500000	89.860039	-160.9484
32.500000	89.831963	-161.0473
33.500000	89.811401	-161.1453
34.500000	89.803558	-161.2736
35.500000	89.797958	-161.3775
36.500000	89.797104	-161.3786
37.500000	89.800316	-161.3464
38.700001	89.788345	-161.2675
40.000000	89.769417	-161.0968
41.200001	89.750191	-160.9953
42.500000	89.727203	-160.8765
43.700001	89.717697	-160.8158
45.000000	89.699593	-160.7165
46.200001	89.696564	-160.5913
47.500000	89.679047	-160.4465
48.700001	89.670280	-160.2429
50.000000	89.653671	-160.0244
51.500000	89.648323	-159.7535
53.000000	89.626450	-159.5438
54.500000	89.607140	-159.3090
56.000000	89.588364	-158.9850
58.000000	89.581680	-158.6950
60.000000	89.561279	-158.8258
61.500000	89.528122	-157.9532
63.000000	89.554443	-157.6633
65.000000	89.538727	-157.1608
67.000000	89.519646	-156.7009
69.000000	89.512962	-156.3118
71.000000	89.511864	-155.8965
73.000000	89.504105	-155.4532
75.000000	89.498596	-154.9486
77.500000	89.492607	-154.4731
80.000000	89.487152	-153.8826
82.500000	89.486092	-153.3683
85.000000	89.484154	-152.8620
87.500000	89.474365	-152.3477
90.000000	89.470978	-151.8540
92.500000	89.469589	-151.3477
95.000000	89.464638	-150.8230
97.500000	89.456863	-150.3508
100.000000	89.447685	-149.8671
103.000000	89.433540	-149.2612
106.000000	89.420738	-148.6837
109.000000	89.406891	-148.1143
112.000000	89.398575	-147.5518
115.000000	89.372154	-146.9118
118.000000	89.348274	-146.5025
122.000000	89.312386	-145.6360
125.000000	89.316986	-145.0445
128.000000	89.291412	-144.3723
132.000000	89.262886	-143.5860
136.000000	89.241463	-142.7319
140.000000	89.203621	-141.9285
145.000000	89.174095	-140.8901
150.000000	89.131744	-139.8703
155.000000	89.096809	-138.8484
160.000000	89.063736	-137.7954
165.000000	89.027016	-136.7904
170.000000	88.978722	-135.6992
175.000000	88.944489	-134.6519
180.000000	88.914108	-133.5480
185.000000	88.877625	-132.5434
190.000000	88.844269	-131.4690
195.000000	88.803543	-130.4715
200.000000	88.771118	-129.3866
206.000000	88.731712	-128.1833
212.000000	88.687332	-126.9449
218.000000	88.652550	-125.6614
224.000000	88.615906	-124.4147
230.000000	88.576157	-123.1545
236.000000	88.539215	-121.9054
243.000000	88.482735	-120.4383
