* Measurement data measured by REW V5.19
* Source: Microphone (2- USB Sound Device        ), no input selected, R, volume: no control
* Format: 1M Log Swept Sine, 1 sweep at -20.0 dBFS  With no timing reference
* Dated: May 24, 2019 12:24:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KZ AS16 - Tape Mod
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	75.725311	31.3719
20.600000	75.840218	30.1364
21.200001	75.887917	29.1370
21.799999	75.919785	28.2583
22.400000	75.954300	27.3485
23.000000	75.983246	26.2933
23.600000	75.997543	25.1968
24.299999	76.018166	24.0463
25.000000	76.073555	22.9556
25.799999	76.154732	21.5721
26.500000	76.202660	20.4037
27.200001	76.243652	19.4877
28.000000	76.311050	18.5646
29.000000	76.372093	17.2805
30.000000	76.386398	16.2111
30.700001	76.408966	15.5384
31.500000	76.438461	14.6307
32.500000	76.459854	13.4423
33.500000	76.485115	12.2857
34.500000	76.508087	11.2384
35.500000	76.559158	10.3693
36.500000	76.618546	9.3712
37.500000	76.648140	8.4595
38.700001	76.684959	7.3924
40.000000	76.676849	6.2739
41.200001	76.687622	5.3838
42.500000	76.706001	4.4014
43.700001	76.752785	3.4195
45.000000	76.777008	2.2417
46.200001	76.785873	1.3246
47.500000	76.801437	0.3769
48.700001	76.789108	-0.4250
50.000000	76.805511	-1.0805
51.500000	76.836098	-1.9833
53.000000	76.863327	-3.0862
54.500000	76.856651	-4.2302
56.000000	76.820580	-5.1068
58.000000	76.860077	-6.3898
60.000000	76.859962	-8.3241
61.500000	76.834023	-8.3728
63.000000	76.905304	-9.2275
65.000000	76.890434	-10.2286
67.000000	76.893723	-11.1517
69.000000	76.887299	-12.2144
71.000000	76.881081	-13.3209
73.000000	76.883980	-14.2742
75.000000	76.903351	-15.2628
77.500000	76.893860	-16.3849
80.000000	76.889954	-17.5523
82.500000	76.882690	-18.7902
85.000000	76.873657	-19.7569
87.500000	76.852943	-20.8876
90.000000	76.832870	-22.0377
92.500000	76.819054	-23.0039
95.000000	76.815613	-24.0157
97.500000	76.799500	-25.0885
100.000000	76.781143	-25.9826
103.000000	76.751350	-27.2229
