* Measurement data measured by REW V5.20 Beta 59
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.169
* Format: 512k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Oct 16, 2020 1:09:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KZ ASF - L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	83.484375	57.2338
21.200001	83.638443	55.7145
21.799999	83.773865	54.4177
22.400000	83.890488	52.8313
23.000000	84.027222	51.4426
23.600000	84.113487	50.2368
24.299999	84.241806	48.3030
25.000000	84.402878	46.7761
25.799999	84.467247	44.9544
26.500000	84.586876	43.3022
27.200001	84.683205	42.0083
28.000000	84.774323	40.4003
29.000000	84.875267	38.6594
30.000000	85.000313	36.7805
30.700001	85.050491	35.4642
31.500000	85.111473	34.0441
32.500000	85.188690	32.6275
33.500000	85.278366	31.0431
34.500000	85.348663	29.4194
35.500000	85.391518	28.0008
36.500000	85.459534	26.5420
37.500000	85.518967	25.1086
38.700001	85.560860	23.4612
40.000000	85.612068	21.8755
41.200001	85.651703	20.4490
42.500000	85.691139	18.8358
43.700001	85.727180	17.4888
45.000000	85.753654	16.0485
46.200001	85.775436	14.7361
47.500000	85.800392	13.4449
48.700001	85.807060	12.1793
50.000000	85.825272	10.9164
51.500000	85.834206	9.4585
53.000000	85.844833	8.1313
54.500000	85.840652	6.8022
56.000000	85.844055	5.4826
58.000000	85.840210	3.8544
60.000000	85.828407	2.3459
61.500000	85.820511	1.0626
63.000000	85.808929	-0.0514
65.000000	85.783623	-1.5048
67.000000	85.775864	-2.8761
69.000000	85.738243	-4.2647
71.000000	85.705330	-5.5799
73.000000	85.667030	-6.8583
75.000000	85.632568	-8.0786
77.500000	85.586411	-9.5665
80.000000	85.533752	-10.9867
82.500000	85.480858	-12.3711
85.000000	85.422035	-13.6991
87.500000	85.359077	-14.9975
90.000000	85.207390	-16.4368
92.500000	85.238045	-17.4726
95.000000	85.169052	-18.6184
97.500000	85.101067	-19.7562
100.000000	85.033340	-20.8495
103.000000	84.943871	-22.1250
106.000000	84.860718	-23.3748
109.000000	84.773567	-24.5568
112.000000	84.680603	-25.6893
115.000000	84.590065	-26.7860
118.000000	84.498108	-27.8381
122.000000	84.374710	-29.2288
125.000000	84.281456	-30.2286
128.000000	84.186279	-31.1894
132.000000	84.048759	-32.3270
136.000000	83.932945	-33.6089
140.000000	83.802925	-34.7572
145.000000	83.641052	-36.0962
150.000000	83.481987	-37.3991
155.000000	83.319130	-38.6118
160.000000	83.159019	-39.7880
165.000000	82.999710	-40.9003
170.000000	82.832825	-41.9475
175.000000	82.681808	-42.9466
180.000000	82.525558	-43.8847
185.000000	82.366699	-44.8172
190.000000	82.210983	-45.6970
195.000000	82.056137	-46.5149
200.000000	81.907532	-47.2967
206.000000	81.715416	-48.1906
212.000000	81.538521	-49.0348
218.000000	81.360619	-49.8145
224.000000	81.184837	-50.5676
230.000000	81.009666	-51.2777
236.000000	80.838837	-51.9257
243.000000	80.640274	-52.6354
250.000000	80.445107	-53.2929
258.000000	80.228874	-53.9725
265.000000	80.041489	-54.5358
272.000000	79.856079	-55.0446
280.000000	79.651566	-55.5594
290.000000	79.399582	-56.1445
300.000000	79.149902	-56.6527
307.000000	78.986351	-56.9398
315.000000	78.798500	-57.2349
325.000000	78.571220	-57.5396
335.000000	78.348022	-57.7804
345.000000	78.132889	-57.9528
355.000000	77.921967	-58.0806
365.000000	77.721176	-58.1376
375.000000	77.523758	-58.1262
387.000000	77.296822	-58.0499
400.000000	77.060951	-57.8690
412.000000	76.851654	-57.6248
425.000000	76.638283	-57.3034
437.000000	76.449631	-56.9493
450.000000	76.253540	-56.4606
462.000000	76.083344	-55.9483
475.000000	75.907906	-55.3484
487.000000	75.756744	-54.7350
500.000000	75.602196	-54.0101
515.000000	75.432648	-53.0688
530.000000	75.285858	-52.0606
545.000000	75.147972	-50.9840
560.000000	75.022057	-49.8749
580.000000	74.880371	-48.2506
600.000000	74.759468	-46.5367
615.000000	74.684296	-45.1820
630.000000	74.625267	-43.7745
650.000000	74.568611	-41.8227
670.000000	74.540627	-39.8067
690.000000	74.533684	-37.7213
710.000000	74.553864	-35.5789
730.000000	74.602737	-33.3876
750.000000	74.674797	-31.1815
775.000000	74.803177	-28.4030
800.000000	74.974396	-25.6210
825.000000	75.177315	-22.8754
850.000000	75.421661	-20.1450
875.000000	75.700577	-17.4631
900.000000	76.019859	-14.8979
925.000000	76.373184	-12.4265
950.000000	76.757004	-10.1043
975.000000	77.171555	-7.9322
1000.000000	77.612595	-5.9464
