* Measurement data measured by REW V5.20 Beta 59
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.169
* Format: 512k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Oct 16, 2020 1:15:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KZ ASX - R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	82.821487	52.1891
21.200001	82.930290	50.7533
21.799999	83.031425	49.2884
22.400000	83.160202	47.6884
23.000000	83.296066	46.1102
23.600000	83.397400	44.7132
24.299999	83.481079	43.3876
25.000000	83.579041	42.1057
25.799999	83.712151	40.3761
26.500000	83.789284	38.8228
27.200001	83.880730	37.5974
28.000000	83.972725	36.2452
29.000000	84.085052	33.8628
30.000000	84.167137	32.5457
30.700001	84.224030	31.4228
31.500000	84.304123	30.0846
32.500000	84.388939	28.4648
33.500000	84.459694	26.7372
34.500000	84.478455	25.1904
35.500000	84.545898	23.9707
36.500000	84.605141	22.6293
37.500000	84.673553	21.3351
38.700001	84.730446	19.7465
40.000000	84.785767	18.0562
41.200001	84.814972	16.7376
42.500000	84.852440	15.2567
43.700001	84.857246	13.7621
45.000000	84.874405	12.4158
46.200001	84.899261	10.9339
47.500000	84.936440	9.5651
48.700001	84.947266	8.5004
50.000000	84.947021	7.1300
51.500000	84.964561	5.6768
53.000000	84.963730	4.3716
54.500000	84.962837	2.9899
56.000000	84.967957	1.6509
58.000000	84.961578	0.0495
60.000000	84.943062	-1.6409
61.500000	84.945679	-2.8430
63.000000	84.928932	-3.9404
65.000000	84.911430	-5.4666
67.000000	84.885857	-6.9503
69.000000	84.860741	-8.3149
71.000000	84.826927	-9.7085
73.000000	84.790611	-11.0210
75.000000	84.755707	-12.2752
77.500000	84.711044	-13.8370
80.000000	84.655090	-15.3421
82.500000	84.603325	-16.8154
85.000000	84.543488	-18.2407
87.500000	84.479347	-19.6121
90.000000	84.348015	-21.2479
92.500000	84.353447	-22.2766
95.000000	84.284363	-23.4768
97.500000	84.224983	-24.6859
100.000000	84.151711	-25.9008
103.000000	84.065567	-27.2983
106.000000	83.972878	-28.5267
109.000000	83.881935	-29.9824
112.000000	83.806381	-31.2198
115.000000	83.712265	-32.4045
118.000000	83.619507	-33.6942
122.000000	83.493080	-35.1248
125.000000	83.392944	-36.2468
128.000000	83.291634	-37.3593
132.000000	83.166740	-38.7467
136.000000	83.046158	-40.0865
140.000000	82.909691	-41.3800
145.000000	82.750053	-42.9493
150.000000	82.593201	-44.4704
155.000000	82.423576	-45.8734
160.000000	82.263153	-47.2361
165.000000	82.089073	-48.4642
170.000000	81.942825	-49.8193
175.000000	81.773010	-51.0335
180.000000	81.624092	-52.1653
185.000000	81.459564	-53.3969
190.000000	81.300476	-54.4021
195.000000	81.146103	-55.4379
200.000000	80.996857	-56.3827
206.000000	80.806496	-57.5556
212.000000	80.623322	-58.6553
218.000000	80.444229	-59.6938
224.000000	80.267166	-60.6713
230.000000	80.092232	-61.6305
