* Measurement data measured by REW V5.20 Beta 59
* Source: IEC-60711 (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.530
* Format: 512k Log Swept Sine, 1 sweep at -3.0 dBFS with no timing reference
* Dated: Aug 11, 2020 7:55:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CFA Andro 2.7 Ohm
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	71.886185	13.9883
20.600000	71.844078	13.8705
21.200001	71.863426	13.8248
21.799999	71.861008	13.5980
22.400000	71.834488	13.7915
23.000000	71.910789	14.2879
23.600000	72.071228	13.8797
24.299999	72.092758	12.1952
25.000000	71.849838	11.2735
25.799999	71.633690	12.4135
26.500000	71.692421	13.4752
27.200001	71.797745	13.5639
28.000000	71.849419	13.4030
29.000000	71.926300	13.3115
30.000000	71.970360	13.0998
30.700001	72.003235	13.2542
31.500000	72.076744	13.3085
32.500000	72.111977	13.2629
33.500000	72.160889	13.3569
34.500000	72.101875	13.0832
35.500000	72.019325	14.1641
36.500000	72.149612	14.4737
37.500000	72.076096	14.0057
38.700001	72.049850	14.6200
40.000000	71.994560	14.5148
41.200001	72.089020	14.8538
42.500000	72.000198	13.6777
43.700001	71.932526	14.5115
45.000000	71.967918	14.6300
46.200001	72.015678	15.2465
47.500000	72.191544	15.0971
48.700001	72.117355	13.7227
50.000000	71.917419	15.2475
51.500000	72.109467	14.9147
53.000000	72.017395	15.5208
54.500000	72.083107	14.8643
56.000000	72.066833	15.6296
58.000000	72.116341	15.7568
60.000000	71.949318	16.3462
61.500000	71.989296	16.2472
63.000000	71.832176	16.9458
65.000000	71.883591	17.0177
67.000000	71.986580	17.3953
69.000000	72.093765	17.2632
71.000000	71.858124	16.5593
73.000000	71.803253	17.7051
75.000000	71.773918	18.3397
77.500000	71.900200	18.6834
80.000000	71.764709	19.3742
82.500000	71.588646	19.3707
85.000000	71.655167	18.7654
87.500000	71.868149	18.8093
90.000000	71.945015	21.1515
92.500000	71.845589	20.3164
95.000000	71.685074	20.9919
97.500000	71.609367	20.3139
100.000000	71.368843	20.9698
103.000000	71.446907	21.8853
106.000000	71.543404	21.3680
109.000000	71.493538	23.0274
112.000000	71.537529	23.9559
115.000000	71.587021	23.6118
118.000000	71.476433	24.6502
122.000000	71.392700	25.1415
125.000000	71.334793	25.8556
128.000000	71.355110	26.8161
132.000000	71.285934	26.3798
136.000000	71.116753	27.9124
140.000000	71.037277	28.2815
145.000000	71.202377	29.1554
150.000000	71.138504	30.9239
155.000000	70.859909	30.5571
160.000000	70.988708	32.4772
165.000000	70.854637	33.8455
170.000000	70.811867	34.6399
175.000000	70.734619	34.9589
180.000000	70.776352	35.7749
185.000000	70.580414	37.4056
190.000000	70.498985	37.6694
195.000000	70.482468	39.5055
