* Measurement data measured by REW V5.19
* Source: Microphone (2- USB Sound Device        ), no input selected, R, volume: no control
* Format: 1M Log Swept Sine, 1 sweep at -20.0 dBFS  With no timing reference
* Dated: Apr 9, 2019 1:15:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CF Andromeda - L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	5.934389	1.8486
20.600000	5.858907	1.0861
21.200001	5.761672	0.3989
21.799999	5.667379	-0.3568
22.400000	5.581325	-1.2345
23.000000	5.508635	-2.2038
23.600000	5.455453	-3.2249
24.299999	5.419405	-4.4359
25.000000	5.406218	-5.5993
25.799999	5.412045	-6.7959
26.500000	5.427659	-7.7166
27.200001	5.444111	-8.5380
28.000000	5.455816	-9.3912
29.000000	5.454300	-10.4033
30.000000	5.438325	-11.4379
30.700001	5.423800	-12.2049
31.500000	5.409918	-13.1245
32.500000	5.403428	-14.3184
33.500000	5.409292	-15.5021
34.500000	5.426065	-16.6111
35.500000	5.444890	-17.6468
36.500000	5.453900	-18.5917
37.500000	5.455713	-19.4587
38.700001	5.452862	-20.5181
40.000000	5.442298	-21.7454
41.200001	5.436091	-22.9035
42.500000	5.441158	-24.1521
43.700001	5.452605	-25.2508
45.000000	5.466843	-26.3678
46.200001	5.475169	-27.3622
47.500000	5.474600	-28.4284
48.700001	5.470008	-29.4128
50.000000	5.464828	-30.4979
51.500000	5.461523	-31.7401
53.000000	5.461635	-32.9444
54.500000	5.462790	-34.1096
56.000000	5.462245	-35.2586
58.000000	5.455767	-36.7851
60.000000	5.449193	-38.2823
61.500000	5.449910	-39.3833
63.000000	5.452105	-40.4955
65.000000	5.450261	-41.9603
67.000000	5.444979	-43.3516
69.000000	5.441017	-44.7486
71.000000	5.433637	-46.1428
73.000000	5.429671	-47.5260
75.000000	5.425213	-48.8981
77.500000	5.411829	-50.5471
80.000000	5.396694	-52.1732
82.500000	5.383497	-53.8094
85.000000	5.372886	-55.4248
87.500000	5.362104	-56.9978
90.000000	5.353384	-58.5666
92.500000	5.344780	-60.1310
95.000000	5.335359	-61.6687
97.500000	5.323157	-63.1727
100.000000	5.310595	-64.6708
103.000000	5.295348	-66.4708
106.000000	5.278355	-68.2278
109.000000	5.259621	-69.9621
112.000000	5.240288	-71.6806
115.000000	5.224198	-73.3928
118.000000	5.209229	-75.0912
122.000000	5.184008	-77.3222
125.000000	5.160851	-78.9566
128.000000	5.138623	-80.5804
132.000000	5.116059	-82.7478
136.000000	5.096868	-84.8977
140.000000	5.070866	-86.9934
145.000000	5.036567	-89.5890
150.000000	5.003232	-92.1673
155.000000	4.964510	-94.6844
160.000000	4.928665	-97.1904
165.000000	4.894498	-99.6617
170.000000	4.857610	-102.1008
175.000000	4.819043	-104.5032
180.000000	4.783468	-106.8950
185.000000	4.747163	-109.2547
190.000000	4.709789	-111.5707
195.000000	4.674790	-113.8825
200.000000	4.638555	-116.1631
206.000000	4.593116	-118.8576
212.000000	4.549439	-121.5390
218.000000	4.501350	-124.1711
224.000000	4.453102	-126.7693
230.000000	4.407477	-129.3421
236.000000	4.362932	-131.8888
243.000000	4.307604	-134.8210
250.000000	4.248623	-137.7101
258.000000	4.183411	-140.9665
265.000000	4.131337	-143.7875
272.000000	4.077736	-146.5683
280.000000	4.013705	-149.6891
290.000000	3.934976	-153.5443
300.000000	3.856353	-157.3279
307.000000	3.800349	-159.9384
315.000000	3.736546	-162.8814
325.000000	3.658060	-166.5109
335.000000	3.580468	-170.0804
345.000000	3.504185	-173.6011
355.000000	3.426996	-177.0653
365.000000	3.350111	179.5143
375.000000	3.276506	176.1341
387.000000	3.188100	172.1298
400.000000	3.088794	167.8676
412.000000	2.992567	164.0046
425.000000	2.890694	159.8959
437.000000	2.798116	156.1748
450.000000	2.695096	152.2216
462.000000	2.601374	148.6212
475.000000	2.495982	144.8108
487.000000	2.403660	141.3463
500.000000	2.309896	137.6558
515.000000	2.197534	133.4805
530.000000	2.081158	129.3983
545.000000	1.967426	125.3987
560.000000	1.855177	121.4754
580.000000	1.704777	116.3720
600.000000	1.560362	111.3979
615.000000	1.453520	107.7603
630.000000	1.350187	104.1915
650.000000	1.215701	99.5392
670.000000	1.078662	95.0187
690.000000	0.948609	90.6187
710.000000	0.821329	86.3427
730.000000	0.695677	82.1887
750.000000	0.573537	78.1622
775.000000	0.430014	73.3052
800.000000	0.299468	68.6337
825.000000	0.177796	64.1505
