* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 29, 2024 4:24:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Annihilator 2023 R
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 37.819 153.1515
0.732422 39.814 123.2794
1.098633 43.189 94.1445
1.464844 47.101 69.8491
1.831055 50.800 50.1581
2.197266 54.006 33.6476
2.563477 56.685 19.4115
2.929688 58.891 7.0550
3.295899 60.715 -3.5731
3.662110 62.256 -12.6010
4.028321 63.613 -20.2768
4.394532 64.855 -26.9933
4.760743 66.009 -33.1753
5.126954 67.068 -39.1098
5.493164 68.012 -44.8625
5.859375 68.831 -50.3265
6.225586 69.538 -55.3462
6.591797 70.162 -59.8352
6.958008 70.737 -63.8313
7.324219 71.286 -67.4671
7.690430 71.813 -70.8882
8.056641 72.315 -74.1850
8.422852 72.787 -77.3861
8.789063 73.227 -80.4957
9.155274 73.638 -83.5259
9.521485 74.018 -86.4931
9.887696 74.365 -89.3929
10.253907 74.678 -92.1891
10.620118 74.962 -94.8385
10.986329 75.229 -97.3333
11.352540 75.488 -99.7212
11.718751 75.739 -102.0758
12.084962 75.973 -104.4353
12.451173 76.181 -106.7640
12.817384 76.360 -108.9712
13.183595 76.524 -110.9810
13.549806 76.689 -112.7987
13.916017 76.867 -114.5200
14.282228 77.056 -116.2660
14.648439 77.240 -118.0928
15.014650 77.403 -119.9531
15.380861 77.543 -121.7389
15.747072 77.671 -123.3713
16.113283 77.805 -124.8709
16.479493 77.956 -126.3540
16.845704 78.114 -127.9507
17.211915 78.258 -129.7079
17.578126 78.368 -131.5512
17.944337 78.438 -133.3288
18.310548 78.481 -134.9010
18.676759 78.520 -136.2232
19.042970 78.577 -137.3745
19.409181 78.661 -138.5081
19.775392 78.759 -139.7558
20.141603 78.853 -141.1548
20.507814 78.924 -142.6409
20.874025 78.961 -144.1021
21.240236 78.981 -145.4496
21.606447 78.994 -146.6661
21.972658 79.017 -147.8078
22.338869 79.050 -148.9597
22.705080 79.084 -150.1763
23.071291 79.109 -151.4469
23.437502 79.120 -152.7080
23.803713 79.120 -153.8890
24.169924 79.122 -154.9620
24.536135 79.136 -155.9650
24.902346 79.165 -156.9825
25.268557 79.203 -158.0947
25.634768 79.236 -159.3310
26.000979 79.250 -160.6549
26.367190 79.239 -161.9853
26.733401 79.205 -163.2338
27.099612 79.155 -164.3380
27.465823 79.102 -165.2779
27.832033 79.056 -166.0746
28.198244 79.024 -166.7779
28.564455 79.011 -167.4508
28.930666 79.012 -168.1541
29.296877 79.024 -168.9313
29.663088 79.037 -169.7975
30.029299 79.046 -170.7381
30.395510 79.048 -171.7204
30.761721 79.042 -172.7130
31.127932 79.033 -173.7009
31.494143 79.021 -174.6866
31.860354 79.008 -175.6776
32.226565 78.991 -176.6718
32.592776 78.969 -177.6531
32.958987 78.945 -178.6001
33.325198 78.921 -179.4999
33.691409 78.901 179.6430
34.057620 78.888 178.8097
34.423831 78.882 177.9754
34.790042 78.880 177.1190
35.156253 78.879 176.2297
35.522464 78.872 175.3145
35.888675 78.856 174.4018
36.254886 78.829 173.5383
36.621097 78.795 172.7717
36.987308 78.763 172.1233
37.353519 78.741 171.5689
37.719730 78.735 171.0432
38.085941 78.743 170.4719
38.452152 78.753 169.8088
38.818363 78.757 169.0529
39.184573 78.745 168.2403
39.550784 78.715 167.4234
39.916995 78.665 166.6569
40.283206 78.602 165.9910
40.649417 78.534 165.4599
41.015628 78.472 165.0606
41.381839 78.429 164.7362
41.748050 78.405 164.3943
42.114261 78.393 163.9644
42.480472 78.380 163.4520
42.846683 78.364 162.9308
43.212894 78.357 162.4603
43.579105 78.377 161.9862
43.945316 78.431 161.3234
44.311527 78.497 160.2742
44.677738 78.530 158.8029
45.043949 78.486 157.1215
45.410160 78.354 155.6237
45.776371 78.169 154.6960
46.142582 78.001 154.4776
46.508793 77.921 154.7109
46.875004 77.946 154.8748
47.241215 78.028 154.5607
47.607426 78.097 153.7380
47.973637 78.110 152.6959
48.339848 78.070 151.7893
48.706059 78.014 151.1964
49.072270 77.984 150.8251
49.438481 77.989 150.4320
49.804692 78.003 149.8510
50.170902 77.997 149.1230
50.537113 77.960 148.4273
50.903324 77.909 147.9065
51.269535 77.872 147.5353
51.635746 77.861 147.1452
52.001957 77.858 146.5832
52.368168 77.837 145.8556
52.734379 77.781 145.1269
53.100590 77.702 144.5850
53.466801 77.634 144.2829
53.833012 77.602 144.0810
54.199223 77.604 143.7543
54.565434 77.615 143.1773
54.931645 77.603 142.4218
55.297856 77.559 141.6906
55.664067 77.501 141.1533
56.030278 77.461 140.8066
56.396489 77.458 140.4697
56.762700 77.477 139.9368
57.128911 77.483 139.1627
57.495122 77.447 138.3182
57.861333 77.371 137.6782
58.227544 77.292 137.4189
58.593755 77.260 137.4531
58.959966 77.295 137.4471
59.326177 77.372 137.0552
59.692388 77.431 136.1783
60.058599 77.423 135.0289
60.424810 77.335 133.9921
60.791021 77.200 133.3994
61.157232 77.078 133.3242
61.523442 77.017 133.5223
61.889653 77.022 133.6020
62.255864 77.053 133.3101
62.622075 77.060 132.6813
62.988286 77.019 131.9608
63.354497 76.939 131.4100
63.720708 76.857 131.1373
64.086919 76.805 131.0440
64.453130 76.794 130.9141
64.819341 76.807 130.5728
65.185552 76.817 129.9835
65.551763 76.804 129.2324
65.917974 76.761 128.4538
66.284185 76.694 127.7663
66.650396 76.615 127.2457
67.016607 76.542 126.9167
67.382818 76.492 126.7387
67.749029 76.478 126.5957
68.115240 76.498 126.3257
68.481451 76.530 125.8037
68.847662 76.544 125.0314
69.213873 76.516 124.1621
69.580084 76.443 123.4332
69.946295 76.351 123.0334
70.312506 76.282 122.9734
70.678717 76.265 123.0538
71.044928 76.297 122.9865
71.411139 76.347 122.5896
71.777350 76.373 121.8937
72.143561 76.352 121.0953
72.509771 76.287 120.4237
72.875982 76.203 120.0144
73.242193 76.128 119.8554
73.608404 76.079 119.8265
73.974615 76.057 119.7932
74.340826 76.052 119.6765
74.707037 76.055 119.4568
75.073248 76.058 119.1363
75.439459 76.058 118.7135
75.805670 76.047 118.1937
76.171881 76.018 117.6151
76.538092 75.967 117.0562
76.904303 75.898 116.6084
77.270514 75.825 116.3299
77.636725 75.767 116.2084
78.002936 75.735 116.1608
78.369147 75.733 116.0687
78.735358 75.751 115.8305
79.101569 75.774 115.3999
79.467780 75.784 114.7985
79.833991 75.769 114.1059
80.200202 75.727 113.4334
80.566413 75.663 112.8860
80.932624 75.594 112.5198
81.298835 75.536 112.3147
81.665046 75.499 112.1844
82.031257 75.482 112.0270
82.397468 75.475 111.7849
82.763679 75.467 111.4692
83.129890 75.454 111.1298
83.496101 75.441 110.7974
83.862311 75.434 110.4443
84.228522 75.431 110.0009
84.594733 75.421 109.4210
84.960944 75.384 108.7460
85.327155 75.311 108.1126
85.693366 75.211 107.6915
86.059577 75.110 107.5839
86.425788 75.041 107.7374
86.791999 75.026 107.9515
87.158210 75.055 107.9911
87.524421 75.100 107.7280
87.890632 75.131 107.1987
88.256843 75.130 106.5507
88.623054 75.099 105.9371
88.989265 75.055 105.4342
89.355476 75.008 105.0275
89.721687 74.964 104.6653
90.087898 74.916 104.3276
90.454109 74.863 104.0488
90.820320 74.808 103.8802
91.186531 74.763 103.8294
91.552742 74.739 103.8341
91.918953 74.736 103.7961
92.285164 74.745 103.6438
92.651375 74.752 103.3698
93.017586 74.751 103.0163
93.383797 74.740 102.6298
93.750008 74.723 102.2286
94.116219 74.701 101.8034
94.482430 74.672 101.3433
94.848641 74.632 100.8604
95.214851 74.577 100.3938
95.581062 74.510 99.9957
95.947273 74.438 99.7096
96.313484 74.369 99.5503
96.679695 74.316 99.4896
97.045906 74.284 99.4566
97.412117 74.271 99.3658
97.778328 74.266 99.1654
98.144539 74.254 98.8780
98.510750 74.229 98.5938
98.876961 74.198 98.4084
99.243172 74.179 98.3392
99.609383 74.186 98.2892
99.975594 74.215 98.1060
100.341805 74.245 97.7020
100.708016 74.249 97.1335
101.074227 74.216 96.5724
101.440438 74.158 96.1900
101.806649 74.104 96.0342
102.172860 74.077 95.9917
102.539071 74.078 95.8733
102.905282 74.088 95.5559
103.271493 74.082 95.0577
103.637704 74.047 94.4989
104.003915 73.985 94.0065
104.370126 73.910 93.6448
104.736337 73.835 93.4119
105.102548 73.767 93.2774
105.468759 73.712 93.2075
105.834970 73.674 93.1537
106.201180 73.651 93.0424
106.567391 73.634 92.8110
106.933602 73.604 92.4772
107.299813 73.550 92.1672
107.666024 73.481 92.0492
108.032235 73.426 92.1949
108.398446 73.420 92.4755
108.764657 73.465 92.6147
109.130868 73.532 92.3950
109.497079 73.574 91.8338
109.863290 73.560 91.1781
110.229501 73.501 90.7346
110.595712 73.436 90.6596
110.961923 73.411 90.8423
111.328134 73.440 90.9898
111.694345 73.499 90.8588
112.060556 73.549 90.4203
112.426767 73.565 89.8275
112.792978 73.551 89.2563
113.159189 73.524 88.7708
113.525400 73.497 88.3117
113.891611 73.463 87.8026
114.257822 73.409 87.2631
114.624033 73.328 86.8195
114.990244 73.236 86.6021
115.356455 73.162 86.6160
115.722666 73.128 86.7032
116.088877 73.128 86.6474
116.455088 73.134 86.3364
116.821299 73.115 85.8394
117.187510 73.060 85.3466
117.553720 72.981 85.0367
117.919931 72.905 84.9650
118.286142 72.856 85.0419
118.652353 72.839 85.1104
119.018564 72.839 85.0577
119.384775 72.839 84.8712
119.750986 72.828 84.6142
120.117197 72.805 84.3631
120.483408 72.774 84.1618
120.849619 72.742 84.0160
121.215830 72.712 83.9158
121.582041 72.684 83.8577
121.948252 72.661 83.8445
122.314463 72.648 83.8672
122.680674 72.649 83.8886
123.046885 72.665 83.8463
123.413096 72.689 83.6802
123.779307 72.709 83.3670
124.145518 72.712 82.9391
124.511729 72.692 82.4748
124.877940 72.651 82.0653
125.244151 72.598 81.7729
125.610362 72.546 81.6050
125.976573 72.504 81.5187
126.342784 72.475 81.4541
126.708995 72.457 81.3685
127.075206 72.445 81.2462
127.441417 72.437 81.0808
127.807628 72.433 80.8560
128.173839 72.427 80.5513
128.540049 72.410 80.1737
128.906260 72.373 79.7838
129.272471 72.319 79.4821
129.638682 72.260 79.3495
130.004893 72.217 79.3760
130.371104 72.205 79.4395
130.737315 72.221 79.3708
131.103526 72.240 79.0710
131.469737 72.235 78.5882
131.835948 72.192 78.0956
132.202159 72.120 77.7891
132.568370 72.047 77.7622
132.934581 72.006 77.9327
133.300792 72.009 78.0847
133.667003 72.039 78.0103
134.033214 72.062 77.6486
134.399425 72.047 77.1212
134.765636 71.985 76.6605
135.131847 71.894 76.4818
135.498058 71.813 76.6583
135.864269 71.778 77.0594
136.230480 71.803 77.4093
136.596691 71.864 77.4498
136.962902 71.922 77.0953
137.329113 71.936 76.4732
137.695324 71.892 75.8467
138.061535 71.807 75.4753
138.427746 71.721 75.4734
138.793957 71.674 75.7319
139.160168 71.684 75.9735
139.526379 71.732 75.9306
139.892589 71.776 75.5145
140.258800 71.779 74.8540
140.625011 71.726 74.2073
140.991222 71.635 73.8231
141.357433 71.541 73.8178
141.723644 71.484 74.1180
142.089855 71.484 74.5020
142.456066 71.536 74.7220
142.822277 71.612 74.6251
143.188488 71.678 74.2043
143.554699 71.708 73.5762
143.920910 71.691 72.9253
144.287121 71.634 72.4396
144.653332 71.559 72.2436
145.019543 71.496 72.3397
145.385754 71.470 72.5909
145.751965 71.484 72.7806
146.118176 71.517 72.7327
146.484387 71.536 72.4134
146.850598 71.515 71.9473
147.216809 71.447 71.5454
147.583020 71.350 71.3895
147.949231 71.258 71.5261
148.315442 71.202 71.8289
148.681653 71.189 72.0673
149.047864 71.201 72.0464
149.414075 71.207 71.7159
149.780286 71.179 71.1815
150.146497 71.109 70.6337
150.512708 71.012 70.2485
