* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 9, 2024 2:10:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Annihilator 2023-2 L
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 39.404 146.8294
0.732422 41.646 115.2893
1.098633 44.863 88.1048
1.464844 48.336 66.0040
1.831055 51.612 47.8870
2.197266 54.527 32.5479
2.563477 57.059 19.1940
2.929688 59.237 7.3654
3.295899 61.105 -3.2003
3.662110 62.710 -12.6573
4.028321 64.096 -21.1065
4.394532 65.305 -28.6344
4.760743 66.375 -35.3423
5.126954 67.339 -41.3592
5.493164 68.217 -46.8316
5.859375 69.021 -51.8924
6.225586 69.751 -56.6266
6.591797 70.408 -61.0594
6.958008 70.995 -65.1732
7.324219 71.525 -68.9464
7.690430 72.010 -72.3885
8.056641 72.463 -75.5504
8.422852 72.893 -78.5059
8.789063 73.300 -81.3181
9.155274 73.683 -84.0205
9.521485 74.042 -86.6238
9.887696 74.379 -89.1381
10.253907 74.698 -91.5856
10.620118 74.996 -93.9925
10.986329 75.272 -96.3664
11.352540 75.524 -98.6852
11.718751 75.752 -100.9116
12.084962 75.966 -103.0263
12.451173 76.174 -105.0513
12.817384 76.378 -107.0414
13.183595 76.574 -109.0435
13.549806 76.754 -111.0576
13.916017 76.913 -113.0317
14.282228 77.054 -114.8966
14.648439 77.188 -116.6162
15.014650 77.326 -118.2147
15.380861 77.474 -119.7592
15.747072 77.629 -121.3129
16.113283 77.783 -122.8984
16.479493 77.931 -124.5007
16.845704 78.072 -126.0997
17.211915 78.209 -127.6975
17.578126 78.338 -129.3136
17.944337 78.455 -130.9525
18.310548 78.551 -132.5783
18.676759 78.628 -134.1242
19.042970 78.691 -135.5348
19.409181 78.754 -136.8091
19.775392 78.824 -138.0062
20.141603 78.899 -139.2016
20.507814 78.968 -140.4294
20.874025 79.016 -141.6586
21.240236 79.049 -142.8245
21.606447 79.072 -143.8900
21.972658 79.102 -144.8873
22.338869 79.142 -145.9031
22.705080 79.183 -147.0170
23.071291 79.214 -148.2413
23.437502 79.223 -149.5106
23.803713 79.211 -150.7250
24.169924 79.188 -151.8139
24.536135 79.171 -152.7782
24.902346 79.170 -153.6849
25.268557 79.185 -154.6201
25.634768 79.208 -155.6372
26.000979 79.231 -156.7365
26.367190 79.247 -157.8839
26.733401 79.256 -159.0437
27.099612 79.260 -160.2005
27.465823 79.257 -161.3525
27.832033 79.245 -162.4877
28.198244 79.221 -163.5659
28.564455 79.188 -164.5263
28.930666 79.155 -165.3244
29.296877 79.138 -165.9756
29.663088 79.147 -166.5702
30.029299 79.178 -167.2347
30.395510 79.220 -168.0580
30.761721 79.248 -169.0341
31.127932 79.252 -170.0659
31.494143 79.230 -171.0280
31.860354 79.199 -171.8489
32.226565 79.174 -172.5584
32.592776 79.162 -173.2602
32.958987 79.155 -174.0447
33.325198 79.133 -174.9092
33.691409 79.089 -175.7515
34.057620 79.028 -176.4431
34.423831 78.973 -176.9306
34.790042 78.948 -177.2922
35.156253 78.958 -177.6991
35.522464 78.990 -178.3029
35.888675 79.018 -179.1389
36.254886 79.023 179.8826
36.621097 78.999 178.9076
36.987308 78.957 178.0491
37.353519 78.915 177.3340
37.719730 78.886 176.7101
38.085941 78.871 176.0978
38.452152 78.865 175.4452
38.818363 78.860 174.7471
39.184573 78.852 174.0286
39.550784 78.839 173.3174
39.916995 78.824 172.6275
40.283206 78.808 171.9602
40.649417 78.793 171.3112
41.015628 78.777 170.6754
41.381839 78.762 170.0471
41.748050 78.747 169.4203
42.114261 78.731 168.7908
42.480472 78.711 168.1601
42.846683 78.688 167.5354
43.212894 78.662 166.9262
43.579105 78.633 166.3402
43.945316 78.604 165.7808
44.311527 78.576 165.2454
44.677738 78.552 164.7239
45.043949 78.532 164.1986
45.410160 78.516 163.6480
45.776371 78.500 163.0576
46.142582 78.481 162.4308
46.508793 78.456 161.7917
46.875004 78.424 161.1737
47.241215 78.389 160.6018
47.607426 78.357 160.0774
47.973637 78.331 159.5793
48.339848 78.312 159.0790
48.706059 78.296 158.5585
49.072270 78.282 158.0170
49.438481 78.266 157.4650
49.804692 78.250 156.9114
50.170902 78.233 156.3586
50.537113 78.215 155.8050
50.903324 78.196 155.2527
51.269535 78.174 154.7099
51.635746 78.151 154.1858
52.001957 78.128 153.6828
52.368168 78.107 153.1942
52.734379 78.088 152.7087
53.100590 78.069 152.2192
53.466801 78.049 151.7265
53.833012 78.029 151.2356
54.199223 78.008 150.7501
54.565434 77.987 150.2679
54.931645 77.966 149.7842
55.297856 77.944 149.2972
55.664067 77.920 148.8118
56.030278 77.894 148.3372
56.396489 77.868 147.8796
56.762700 77.844 147.4367
57.128911 77.822 146.9975
57.495122 77.801 146.5491
57.861333 77.780 146.0867
58.227544 77.757 145.6177
58.593755 77.731 145.1581
58.959966 77.704 144.7216
59.326177 77.680 144.3083
59.692388 77.659 143.9025
60.058599 77.642 143.4808
60.424810 77.627 143.0278
60.791021 77.608 142.5473
61.157232 77.583 142.0615
61.523442 77.554 141.5980
61.889653 77.524 141.1722
62.255864 77.495 140.7794
62.622075 77.472 140.3981
62.988286 77.452 140.0058
63.354497 77.433 139.5924
63.720708 77.413 139.1642
64.086919 77.389 138.7368
64.453130 77.364 138.3233
64.819341 77.338 137.9276
65.185552 77.315 137.5438
65.551763 77.293 137.1618
65.917974 77.274 136.7731
66.284185 77.254 136.3737
66.650396 77.233 135.9645
67.016607 77.211 135.5509
67.382818 77.187 135.1407
67.749029 77.162 134.7417
68.115240 77.136 134.3565
68.481451 77.112 133.9803
68.847662 77.089 133.6022
69.213873 77.068 133.2129
69.580084 77.044 132.8116
69.946295 77.018 132.4094
70.312506 76.988 132.0233
70.678717 76.958 131.6655
71.044928 76.930 131.3347
71.411139 76.907 131.0156
71.777350 76.888 130.6866
72.143561 76.871 130.3311
72.509771 76.854 129.9450
72.875982 76.834 129.5380
73.242193 76.808 129.1284
73.608404 76.778 128.7359
73.974615 76.746 128.3742
74.340826 76.715 128.0462
74.707037 76.687 127.7423
75.073248 76.665 127.4432
75.439459 76.646 127.1283
75.805670 76.628 126.7856
76.171881 76.609 126.4186
76.538092 76.585 126.0445
76.904303 76.558 125.6837
77.270514 76.530 125.3477
77.636725 76.504 125.0316
78.002936 76.481 124.7180
78.369147 76.460 124.3896
78.735358 76.439 124.0406
79.101569 76.415 123.6812
79.467780 76.387 123.3309
79.833991 76.357 123.0060
80.200202 76.329 122.7097
80.566413 76.304 122.4308
80.932624 76.284 122.1495
81.298835 76.267 121.8478
81.665046 76.251 121.5177
82.031257 76.232 121.1633
82.397468 76.210 120.7992
82.763679 76.183 120.4442
83.129890 76.154 120.1141
83.496101 76.125 119.8142
83.862311 76.100 119.5362
84.228522 76.079 119.2603
84.594733 76.061 118.9653
84.960944 76.043 118.6400
85.327155 76.022 118.2921
85.693366 75.996 117.9450
86.059577 75.965 117.6252
86.425788 75.934 117.3462
86.791999 75.907 117.0985
87.158210 75.886 116.8545
87.524421 75.869 116.5847
87.890632 75.853 116.2765
88.256843 75.833 115.9404
88.623054 75.808 115.6018
88.989265 75.779 115.2832
89.355476 75.749 114.9903
89.721687 75.721 114.7122
90.087898 75.695 114.4352
90.454109 75.668 114.1565
90.820320 75.641 113.8870
91.186531 75.614 113.6401
91.552742 75.591 113.4141
91.918953 75.574 113.1859
92.285164 75.563 112.9232
92.651375 75.553 112.6062
93.017586 75.537 112.2444
93.383797 75.513 111.8723
93.750008 75.482 111.5293
94.116219 75.448 111.2368
94.482430 75.416 110.9890
94.848641 75.390 110.7635
95.214851 75.368 110.5385
95.581062 75.349 110.3049
95.947273 75.331 110.0624
96.313484 75.316 109.8090
96.679695 75.301 109.5361
97.045906 75.284 109.2377
97.412117 75.263 108.9221
97.778328 75.236 108.6151
98.144539 75.205 108.3466
98.510750 75.174 108.1284
98.876961 75.150 107.9423
99.243172 75.133 107.7499
99.609383 75.121 107.5180
99.975594 75.108 107.2404
100.341805 75.090 106.9382
100.708016 75.067 106.6397
101.074227 75.043 106.3577
101.440438 75.019 106.0826
101.806649 74.996 105.7960
102.172860 74.970 105.4926
102.539071 74.938 105.1902
102.905282 74.902 104.9196
103.271493 74.865 104.7022
103.637704 74.832 104.5337
104.003915 74.808 104.3853
104.370126 74.791 104.2225
104.736337 74.779 104.0244
105.102548 74.767 103.7906
105.468759 74.754 103.5336
105.834970 74.739 103.2659
106.201180 74.722 102.9927
106.567391 74.704 102.7150
106.933602 74.685 102.4348
107.299813 74.663 102.1582
107.666024 74.639 101.8923
108.032235 74.615 101.6393
108.398446 74.592 101.3961
108.764657 74.569 101.1569
109.130868 74.546 100.9184
109.497079 74.524 100.6821
109.863290 74.500 100.4516
110.229501 74.478 100.2288
110.595712 74.456 100.0127
110.961923 74.435 99.8002
111.328134 74.415 99.5877
111.694345 74.398 99.3716
112.060556 74.381 99.1466
112.426767 74.365 98.9067
112.792978 74.349 98.6491
113.159189 74.329 98.3784
113.525400 74.306 98.1077
113.891611 74.280 97.8531
114.257822 74.252 97.6245
114.624033 74.226 97.4200
114.990244 74.202 97.2275
115.356455 74.180 97.0339
115.722666 74.158 96.8347
116.088877 74.136 96.6362
116.455088 74.113 96.4490
116.821299 74.091 96.2789
117.187510 74.071 96.1200
117.553720 74.055 95.9589
117.919931 74.041 95.7822
118.286142 74.028 95.5842
118.652353 74.015 95.3679
119.018564 73.999 95.1405
119.384775 73.981 94.9084
119.750986 73.962 94.6753
120.117197 73.941 94.4445
120.483408 73.919 94.2199
120.849619 73.897 94.0043
121.215830 73.876 93.7951
121.582041 73.856 93.5839
121.948252 73.837 93.3605
122.314463 73.817 93.1217
122.680674 73.794 92.8763
123.046885 73.768 92.6416
123.413096 73.740 92.4328
123.779307 73.714 92.2527
124.145518 73.691 92.0892
124.511729 73.672 91.9234
124.877940 73.654 91.7418
125.244151 73.637 91.5441
125.610362 73.617 91.3413
125.976573 73.596 91.1467
126.342784 73.574 90.9676
126.708995 73.553 90.8023
127.075206 73.535 90.6438
127.441417 73.518 90.4836
127.807628 73.503 90.3150
128.173839 73.490 90.1327
128.540049 73.476 89.9335
128.906260 73.461 89.7180
129.272471 73.443 89.4916
129.638682 73.423 89.2636
130.004893 73.401 89.0433
130.371104 73.377 88.8360
130.737315 73.354 88.6419
131.103526 73.332 88.4580
131.469737 73.311 88.2802
131.835948 73.294 88.1024
132.202159 73.279 87.9153
132.568370 73.265 87.7081
132.934581 73.251 87.4753
133.300792 73.234 87.2233
133.667003 73.212 86.9713
134.033214 73.186 86.7426
134.399425 73.160 86.5500
134.765636 73.137 86.3866
135.131847 73.118 86.2299
135.498058 73.102 86.0575
135.864269 73.086 85.8634
136.230480 73.067 85.6613
136.596691 73.045 85.4731
136.962902 73.023 85.3120
137.329113 73.004 85.1717
137.695324 72.989 85.0298
138.061535 72.978 84.8619
138.427746 72.966 84.6565
138.793957 72.950 84.4211
139.160168 72.927 84.1786
139.526379 72.898 83.9560
139.892589 72.867 83.7735
140.258800 72.836 83.6351
140.625011 72.810 83.5264
140.991222 72.791 83.4200
141.357433 72.776 83.2900
141.723644 72.762 83.1255
142.089855 72.745 82.9377
142.456066 72.724 82.7519
142.822277 72.701 82.5894
143.188488 72.680 82.4512
143.554699 72.663 82.3172
143.920910 72.649 82.1628
144.287121 72.634 81.9811
144.653332 72.614 81.7919
145.019543 72.589 81.6287
145.385754 72.565 81.5121
145.751965 72.546 81.4296
146.118176 72.536 81.3402
146.484387 72.531 81.2023
146.850598 72.524 81.0035
147.216809 72.510 80.7704
147.583020 72.486 80.5497
147.949231 72.458 80.3760
148.315442 72.432 80.2491
148.681653 72.413 80.1375
149.047864 72.397 80.0047
149.414075 72.382 79.8369
149.780286 72.363 79.6519
150.146497 72.339 79.4813
150.512708 72.315 79.3447
