* Measurement data measured by REW V5.20 Beta 13
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 1M Log Swept Sine, 1 sweep at -20.0 dBFS  With no timing reference
* Dated: Jul 11, 2019 5:29:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: qdc Anole VX - R - 001
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	83.141685	-1.3388
20.600000	83.195442	-1.8594
21.200001	83.223412	-2.3422
21.799999	83.220467	-2.9390
22.400000	83.188347	-3.5783
23.000000	83.149170	-4.2062
23.600000	83.119507	-4.8672
24.299999	83.097900	-5.7139
25.000000	83.087952	-6.5892
25.799999	83.088966	-7.5647
26.500000	83.094673	-8.3424
27.200001	83.105804	-9.0150
28.000000	83.124062	-9.7371
29.000000	83.123619	-10.6463
30.000000	83.096817	-11.4028
30.700001	83.083740	-11.9225
31.500000	83.065842	-12.6228
32.500000	83.034912	-13.5301
33.500000	83.015373	-14.4733
34.500000	82.992813	-15.4274
35.500000	82.976959	-16.2260
36.500000	82.978760	-16.9924
37.500000	82.962570	-17.7747
38.700001	82.940849	-18.4399
40.000000	82.926117	-19.4479
41.200001	82.882523	-20.2045
42.500000	82.812111	-21.3065
43.700001	82.799942	-21.3059
45.000000	82.875305	-23.3721
46.200001	82.614029	-23.5764
47.500000	82.832481	-23.7166
48.700001	82.729126	-25.6915
50.000000	82.648743	-25.7662
51.500000	82.649071	-26.9407
53.000000	82.610748	-27.8297
54.500000	82.580360	-28.7104
56.000000	82.549644	-29.7626
58.000000	82.472275	-30.8406
60.000000	82.414444	-31.1646
61.500000	82.420883	-32.7012
63.000000	82.341225	-33.8065
65.000000	82.264206	-34.6997
67.000000	82.250160	-35.9420
69.000000	82.205109	-36.8605
71.000000	82.149597	-37.8848
73.000000	82.092392	-38.8703
75.000000	82.044594	-39.9073
77.500000	81.991478	-41.2064
80.000000	81.941277	-42.3220
82.500000	81.866051	-43.5756
85.000000	81.802246	-44.7232
87.500000	81.750298	-45.9226
90.000000	81.675369	-47.1077
92.500000	81.602890	-48.2022
95.000000	81.532036	-49.3169
97.500000	81.457970	-50.6254
100.000000	81.371925	-51.3773
103.000000	81.311325	-52.6588
106.000000	81.218712	-54.0999
109.000000	81.117783	-55.4447
112.000000	81.040009	-56.7192
115.000000	80.949020	-57.9280
118.000000	80.848915	-59.0375
122.000000	80.723694	-60.5663
125.000000	80.624405	-61.7212
128.000000	80.526985	-62.8168
132.000000	80.397873	-64.2258
136.000000	80.272255	-65.5668
140.000000	80.148163	-67.0153
145.000000	79.981758	-68.5483
150.000000	79.816422	-70.2375
155.000000	79.684723	-71.7253
160.000000	79.499741	-73.2407
165.000000	79.372650	-74.5899
170.000000	79.224327	-75.9718
175.000000	79.057602	-77.2986
180.000000	78.918175	-79.0828
185.000000	78.772560	-79.9310
190.000000	78.638885	-80.9990
195.000000	78.514786	-82.2437
200.000000	78.392914	-83.4705
206.000000	78.218002	-84.7210
212.000000	78.080559	-85.9248
218.000000	77.939537	-87.2012
224.000000	77.790611	-88.4676
230.000000	77.633911	-89.5824
236.000000	77.513824	-90.6677
243.000000	77.358200	-91.7710
250.000000	77.219650	-92.9138
258.000000	77.102135	-93.8961
265.000000	77.024162	-95.1700
272.000000	76.950928	-96.3683
280.000000	76.839188	-98.0921
290.000000	76.680382	-99.9588
300.000000	76.468933	-101.5839
307.000000	76.404572	-103.0075
315.000000	76.292870	-104.2315
325.000000	76.114693	-105.7075
335.000000	76.003540	-107.1349
345.000000	75.895035	-108.6513
355.000000	75.767815	-109.9460
365.000000	75.673103	-111.3373
375.000000	75.560516	-112.5516
387.000000	75.461594	-114.1085
400.000000	75.353180	-115.8211
412.000000	75.265686	-117.1645
425.000000	75.178444	-118.7612
437.000000	75.112785	-119.9560
450.000000	75.066925	-121.5663
462.000000	75.013596	-122.8889
475.000000	74.975128	-124.2223
487.000000	74.961311	-125.7722
500.000000	74.904106	-127.0343
515.000000	74.903740	-128.7274
530.000000	74.882431	-130.2657
545.000000	74.872040	-131.6950
560.000000	74.886726	-133.3555
580.000000	74.899849	-135.0623
600.000000	74.975060	-137.1399
615.000000	75.032051	-138.9988
