* Measurement data measured by REW V5.20 Beta 13
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 1M Log Swept Sine, 1 sweep at -20.0 dBFS  With no timing reference
* Dated: Jul 11, 2019 5:38:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: qdc Anole VX - L - 000
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	85.276909	0.6356
20.600000	84.889793	-10.6187
21.200001	83.385506	-13.4532
21.799999	82.674690	-6.4968
22.400000	83.228256	-2.9222
23.000000	83.515594	-4.6093
23.600000	83.343193	-5.1834
24.299999	83.424248	-3.8486
25.000000	83.654961	-5.0282
25.799999	83.481186	-6.5842
26.500000	83.405441	-6.0579
27.200001	83.515907	-6.4960
28.000000	83.474319	-7.9318
29.000000	83.375816	-8.6257
30.000000	83.392105	-9.7396
30.700001	83.368111	-10.7156
31.500000	83.332939	-11.5989
32.500000	83.332748	-12.5529
33.500000	83.325150	-13.5486
34.500000	83.325928	-14.2650
35.500000	83.309723	-15.1579
36.500000	83.267517	-15.5862
37.500000	83.287193	-16.3256
38.700001	83.215157	-17.1976
40.000000	83.221764	-18.2451
41.200001	83.147446	-19.1046
42.500000	83.143051	-19.9661
43.700001	83.129997	-20.6742
45.000000	83.093246	-21.7483
46.200001	83.072083	-22.2496
47.500000	83.050270	-23.3538
48.700001	82.998024	-24.1030
50.000000	82.946198	-24.7302
51.500000	82.925995	-25.6249
53.000000	82.889221	-26.3565
54.500000	82.847740	-27.3677
56.000000	82.808647	-28.1486
58.000000	82.779266	-29.1632
60.000000	82.798599	-30.7522
61.500000	82.652458	-31.2828
63.000000	82.631874	-31.9669
65.000000	82.492798	-32.6938
67.000000	82.479309	-33.7076
69.000000	82.432877	-34.7568
71.000000	82.461342	-35.7137
73.000000	82.404892	-36.8314
75.000000	82.337402	-37.4923
77.500000	82.252716	-38.5829
