* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result (A + B) / 2
* Format: Trace Arithmetic result (A + B) / 2
* Dated: May 1, 2023 12:02:27 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Antdroid v4
* Measurement: A,B average
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)
20.600000	81.796
21.200001	81.804
21.799999	81.812
22.400000	81.820
23.000000	81.828
23.600000	81.835
24.299999	81.843
25.000000	81.850
25.799999	81.856
26.500000	81.860
27.200001	81.862
28.000000	81.863
29.000000	81.861
30.000000	81.854
30.700001	81.845
31.500000	81.832
32.500000	81.813
33.500000	81.789
34.500000	81.761
35.500000	81.730
36.500000	81.695
37.500000	81.656
38.700001	81.605
40.000000	81.542
41.200001	81.473
42.500000	81.392
43.700001	81.314
45.000000	81.227
46.200001	81.144
47.500000	81.052
48.700001	80.967
50.000000	80.876
51.500000	80.777
53.000000	80.683
54.500000	80.589
56.000000	80.495
58.000000	80.370
60.000000	80.246
61.500000	80.152
63.000000	80.059
65.000000	79.935
67.000000	79.810
69.000000	79.686
71.000000	79.561
73.000000	79.437
75.000000	79.312
77.500000	79.155
80.000000	78.997
82.500000	78.824
85.000000	78.648
87.500000	78.473
90.000000	78.301
92.500000	78.134
95.000000	77.972
97.500000	77.817
100.000000	77.671
103.000000	77.516
106.000000	77.373
109.000000	77.233
112.000000	77.096
115.000000	76.964
118.000000	76.835
122.000000	76.670
125.000000	76.550
128.000000	76.433
132.000000	76.283
136.000000	76.139
140.000000	76.001
145.000000	75.835
150.000000	75.678
155.000000	75.530
160.000000	75.384
165.000000	75.239
170.000000	75.105
175.000000	74.984
180.000000	74.873
185.000000	74.772
190.000000	74.681
195.000000	74.599
200.000000	74.525
206.000000	74.449
212.000000	74.384
218.000000	74.328
224.000000	74.280
230.000000	74.239
236.000000	74.203
243.000000	74.166
250.000000	74.134
258.000000	74.100
265.000000	74.072
272.000000	74.049
280.000000	74.024
290.000000	73.998
300.000000	73.974
307.000000	73.958
315.000000	73.941
325.000000	73.922
335.000000	73.906
345.000000	73.894
355.000000	73.885
365.000000	73.880
375.000000	73.877
387.000000	73.876
400.000000	73.880
412.000000	73.888
425.000000	73.902
437.000000	73.921
450.000000	73.946
462.000000	73.972
475.000000	74.002
487.000000	74.031
500.000000	74.062
515.000000	74.096
530.000000	74.127
545.000000	74.154
560.000000	74.179
580.000000	74.206
600.000000	74.228
615.000000	74.241
630.000000	74.254
650.000000	74.270
670.000000	74.290
690.000000	74.315
710.000000	74.348
730.000000	74.393
750.000000	74.448
775.000000	74.530
800.000000	74.626
825.000000	74.733
850.000000	74.848
875.000000	74.969
900.000000	75.096
925.000000	75.227
950.000000	75.361
975.000000	75.498
1000.000000	75.636
1030.000000	75.802
1060.000000	75.966
1090.000000	76.126
1120.000000	76.284
1150.000000	76.439
1180.000000	76.589
1220.000000	76.783
1250.000000	76.923
1280.000000	77.058
1320.000000	77.232
1360.000000	77.400
1400.000000	77.565
1450.000000	77.770
1500.000000	77.977
1550.000000	78.191
1600.000000	78.412
1650.000000	78.640
1700.000000	78.873
1750.000000	79.110
1800.000000	79.350
1850.000000	79.590
1900.000000	79.827
1950.000000	80.061
2000.000000	80.291
2060.000000	80.559
2120.000000	80.819
2180.000000	81.070
2240.000000	81.311
2300.000000	81.541
2360.000000	81.760
2430.000000	81.999
2500.000000	82.220
2580.000000	82.449
2650.000000	82.626
2720.000000	82.783
2800.000000	82.934
2900.000000	83.083
3000.000000	83.188
3070.000000	83.237
3150.000000	83.269
3250.000000	83.280
3350.000000	83.262
3450.000000	83.221
3550.000000	83.160
3650.000000	83.084
3750.000000	82.995
3870.000000	82.877
4000.000000	82.739
4120.000000	82.606
4250.000000	82.457
4370.000000	82.316
4500.000000	82.164
4620.000000	82.023
4750.000000	81.871
4870.000000	81.733
5000.000000	81.587
5150.000000	81.422
5300.000000	81.260
5450.000000	81.102
5600.000000	80.945
5800.000000	80.736
6000.000000	80.523
6150.000000	80.360
6300.000000	80.194
6500.000000	79.965
6700.000000	79.730
6900.000000	79.488
7100.000000	79.238
7300.000000	78.982
7500.000000	78.719
7750.000000	78.382
8000.000000	78.014
8250.000000	77.607
8500.000000	77.212
8750.000000	76.830
9000.000000	76.459
9250.000000	76.098
9500.000000	75.748
9750.000000	75.410
10000.000000	75.084
10300.000000	74.715
10600.000000	74.374
10900.000000	74.065
11200.000000	73.792
11500.000000	73.554
11800.000000	73.352
12200.000000	73.132
12500.000000	72.999
12800.000000	72.851
13200.000000	72.651
13600.000000	72.467
14000.000000	72.299
14500.000000	72.106
15000.000000	71.935
15500.000000	71.785
16000.000000	71.660
16500.000000	71.561
17000.000000	71.491
17500.000000	71.447
18000.000000	71.424
18500.000000	71.415
19000.000000	71.413
19500.000000	71.412
