* Measurement data measured by REW V5.20 Beta 26
* Source: Microphone (2- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.557
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS With no timing reference
* Dated: Oct 22, 2019 5:44:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: BGVP ArtMagic V12 - L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	83.544868	18.6326
21.200001	83.590317	18.1085
21.799999	83.689194	17.7899
22.400000	83.814003	16.8651
23.000000	83.844604	15.4064
23.600000	83.777458	14.3299
24.299999	83.749352	13.8539
25.000000	83.851013	13.1867
25.799999	83.956177	11.7058
26.500000	83.996078	10.5581
27.200001	84.057251	9.6371
28.000000	84.127510	8.4907
29.000000	84.177025	7.4055
30.000000	84.289497	6.4440
30.700001	84.357872	5.4721
31.500000	84.405426	4.4232
32.500000	84.488922	3.0812
33.500000	84.521545	1.5648
34.500000	84.561447	0.7199
35.500000	84.698074	-0.4338
36.500000	84.725014	-1.7997
37.500000	84.775833	-2.4463
38.700001	84.850319	-3.9315
40.000000	84.837624	-4.9100
41.200001	84.901230	-6.1358
42.500000	84.931648	-7.3668
43.700001	85.002174	-8.6966
45.000000	85.054321	-10.0841
46.200001	85.090271	-11.3278
47.500000	85.137108	-12.3900
48.700001	85.183830	-13.6521
50.000000	85.184914	-14.8530
51.500000	85.216911	-16.1781
53.000000	85.252541	-17.5541
54.500000	85.271584	-18.8836
56.000000	85.305862	-19.9873
58.000000	85.350235	-21.6112
60.000000	85.415886	-23.0841
61.500000	85.407402	-24.4010
63.000000	85.436913	-25.4573
65.000000	85.440697	-27.2201
67.000000	85.484344	-28.5077
69.000000	85.510628	-30.0442
71.000000	85.544640	-31.4111
73.000000	85.567413	-32.8411
75.000000	85.591492	-34.3292
77.500000	85.619194	-36.1742
80.000000	85.645996	-37.8974
82.500000	85.666458	-39.6749
85.000000	85.690536	-41.4215
87.500000	85.708351	-43.0214
90.000000	85.715752	-44.7660
92.500000	85.726128	-46.4739
95.000000	85.728592	-48.1336
97.500000	85.733673	-49.7667
100.000000	85.732826	-51.4044
103.000000	85.735352	-53.3265
106.000000	85.733185	-55.3352
109.000000	85.711258	-57.2268
