* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Mar 29, 2021 10:15:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Prisma Audio - R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	83.078033	-118.3034
21.200001	83.142090	-119.4668
21.799999	83.215469	-120.5723
22.400000	83.283432	-121.7473
23.000000	83.316483	-122.9785
23.600000	83.317574	-124.1066
24.299999	83.335640	-125.2532
25.000000	83.396622	-126.5085
25.799999	83.444656	-128.0823
26.500000	83.444862	-129.1739
27.200001	83.448746	-130.0568
28.000000	83.457764	-131.2135
29.000000	83.452843	-132.6794
30.000000	83.476234	-133.9738
30.700001	83.502281	-134.8824
31.500000	83.518143	-135.8409
32.500000	83.546127	-137.0202
33.500000	83.573425	-138.1899
34.500000	83.596565	-139.2132
35.500000	83.610413	-140.2195
36.500000	83.616577	-141.2102
37.500000	83.631783	-142.1670
38.700001	83.635567	-143.2421
40.000000	83.635315	-144.2193
41.200001	83.643356	-145.2966
42.500000	83.629974	-146.3158
43.700001	83.632133	-147.1423
45.000000	83.627075	-148.0568
46.200001	83.617294	-148.8616
47.500000	83.600334	-149.6736
48.700001	83.585434	-150.4572
50.000000	83.569313	-151.2242
51.500000	83.546677	-152.0721
53.000000	83.528503	-152.8744
54.500000	83.513535	-153.6472
56.000000	83.502029	-154.3729
58.000000	83.525772	-155.2951
60.000000	83.479874	-155.9204
61.500000	83.519836	-156.8288
63.000000	83.529808	-157.4329
65.000000	83.526390	-158.1866
67.000000	83.535004	-158.8849
69.000000	83.528465	-159.5820
71.000000	83.530983	-160.2033
73.000000	83.523811	-160.8239
75.000000	83.515465	-161.4012
77.500000	83.504951	-162.0671
80.000000	83.490944	-162.7453
82.500000	83.488693	-163.3716
85.000000	83.476059	-163.9513
87.500000	83.458611	-164.4778
90.000000	83.439850	-165.0276
92.500000	83.419281	-165.4965
95.000000	83.411430	-165.9799
97.500000	83.421097	-166.5792
100.000000	83.328033	-166.8133
103.000000	83.380196	-167.4422
106.000000	83.374840	-167.8847
109.000000	83.376541	-168.3360
112.000000	83.374344	-168.7606
115.000000	83.376747	-169.1545
118.000000	83.371735	-169.5695
122.000000	83.365540	-170.0598
125.000000	83.362381	-170.4472
128.000000	83.355087	-170.7487
132.000000	83.348557	-171.1740
136.000000	83.336823	-171.5570
140.000000	83.331238	-171.9551
145.000000	83.314461	-172.4062
150.000000	83.296722	-172.8127
155.000000	83.281754	-173.1936
160.000000	83.264091	-173.5844
165.000000	83.246178	-173.9336
170.000000	83.228287	-174.2573
175.000000	83.203911	-174.5388
180.000000	83.184227	-174.8124
185.000000	83.163414	-175.0938
190.000000	83.139198	-175.3526
195.000000	83.112640	-175.5334
200.000000	83.090225	-175.8205
206.000000	83.057564	-176.0701
212.000000	83.027283	-176.2971
218.000000	82.998260	-176.5063
224.000000	82.967209	-176.7102
230.000000	82.930603	-176.8697
236.000000	82.896530	-177.0466
243.000000	82.855980	-177.2226
250.000000	82.816902	-177.3710
258.000000	82.772560	-177.5057
