* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Mar 7, 2022 5:50:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: BAX L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	96.006523	-112.6329
21.200001	96.123650	-114.4382
21.799999	96.227486	-116.1511
22.400000	96.300835	-117.7952
23.000000	96.349960	-119.4833
23.600000	96.409927	-121.1091
24.299999	96.469017	-122.7825
25.000000	96.499619	-124.4873
25.799999	96.551430	-126.3816
26.500000	96.583122	-127.8742
27.200001	96.598824	-129.4324
28.000000	96.617523	-131.0784
29.000000	96.620872	-132.9892
30.000000	96.640625	-134.9039
30.700001	96.650604	-136.1651
31.500000	96.660736	-137.5771
32.500000	96.652893	-139.1951
33.500000	96.657623	-140.8110
34.500000	96.666176	-142.3327
35.500000	96.664459	-143.7952
36.500000	96.658058	-145.1618
37.500000	96.643074	-146.5255
38.700001	96.646988	-148.0749
40.000000	96.619286	-149.5212
41.200001	96.610603	-151.1209
42.500000	96.589890	-152.5092
43.700001	96.586731	-153.8483
45.000000	96.554726	-155.1742
46.200001	96.543304	-156.3004
47.500000	96.512848	-157.5590
48.700001	96.488380	-158.6610
50.000000	96.457825	-159.7950
51.500000	96.438087	-161.0721
53.000000	96.400818	-162.3894
54.500000	96.362381	-163.3435
56.000000	96.337296	-164.5558
58.000000	96.279060	-165.9465
60.000000	96.251053	-167.2065
61.500000	96.206505	-168.2395
63.000000	96.163216	-169.0892
65.000000	96.110512	-170.2836
67.000000	96.067886	-171.4091
69.000000	96.013229	-172.4551
71.000000	95.951218	-173.5224
73.000000	95.898003	-174.4762
75.000000	95.840500	-175.3904
77.500000	95.769562	-176.4880
80.000000	95.694870	-177.5573
82.500000	95.618713	-178.5692
85.000000	95.541580	-179.5028
87.500000	95.467056	179.6006
90.000000	95.419579	178.7850
92.500000	95.318192	177.9109
95.000000	95.235847	177.1335
97.500000	95.159798	176.4136
100.000000	95.093002	175.7151
103.000000	95.004173	174.9258
106.000000	94.920212	174.1628
109.000000	94.838425	173.4615
112.000000	94.760513	172.7526
115.000000	94.668144	172.1546
118.000000	94.585770	171.5554
122.000000	94.476990	170.8126
125.000000	94.395653	170.2707
128.000000	94.314758	169.7870
132.000000	94.207169	169.1822
136.000000	94.099174	168.6086
140.000000	93.992050	168.0878
145.000000	93.862839	167.5019
150.000000	93.730774	166.9540
155.000000	93.603592	166.4768
160.000000	93.474335	166.0453
165.000000	93.347290	165.6581
170.000000	93.224113	165.3248
175.000000	93.101494	165.0240
180.000000	92.980843	164.7610
185.000000	92.862717	164.5473
190.000000	92.745941	164.3564
195.000000	92.632317	164.2081
200.000000	92.519318	164.0733
206.000000	92.386238	163.9650
212.000000	92.257500	163.8863
218.000000	92.130714	163.8387
224.000000	92.007416	163.8363
230.000000	91.885727	163.8524
236.000000	91.767410	163.8958
243.000000	91.633865	163.9842
250.000000	91.504166	164.1046
258.000000	91.359421	164.2785
265.000000	91.235893	164.4619
272.000000	91.116989	164.6584
280.000000	90.985786	164.9209
290.000000	90.826324	165.2953
300.000000	90.676186	165.6968
307.000000	90.571243	166.0015
315.000000	90.457520	166.3696
325.000000	90.320816	166.8530
335.000000	90.189957	167.3658
345.000000	90.064384	167.9005
355.000000	89.943901	168.4573
365.000000	89.828789	169.0283
375.000000	89.718941	169.6266
387.000000	89.592682	170.3581
400.000000	89.463737	171.1772
412.000000	89.350311	171.9453
425.000000	89.235397	172.7902
437.000000	89.133499	173.5921
450.000000	89.029945	174.4723
462.000000	88.940475	175.3003
475.000000	88.847610	176.2040
487.000000	88.767189	177.0483
500.000000	88.685333	177.9786
515.000000	88.596512	179.0521
530.000000	88.514206	-179.8601
545.000000	88.437698	-178.7609
560.000000	88.367393	-177.6504
580.000000	88.280685	-176.1642
600.000000	88.203423	-174.6610
615.000000	88.150467	-173.5230
630.000000	88.101646	-172.3715
650.000000	88.042923	-170.8194
670.000000	87.988617	-169.2354
690.000000	87.936348	-167.5831
710.000000	87.885185	-165.7868
730.000000	87.853798	-163.5986
750.000000	87.980911	-161.1749
775.000000	88.169838	-160.1737
800.000000	88.136963	-158.9134
825.000000	88.113396	-156.9230
850.000000	88.157036	-154.6235
875.000000	88.268776	-152.4273
900.000000	88.410690	-150.4598
925.000000	88.564262	-148.6474
950.000000	88.728470	-146.9394
975.000000	88.905411	-145.3275
1000.000000	89.094406	-143.8186
1030.000000	89.335190	-142.1597
1060.000000	89.587173	-140.6834
1090.000000	89.845810	-139.3882
1120.000000	90.105911	-138.2652
1150.000000	90.363976	-137.3067
1180.000000	90.616936	-136.4920
1220.000000	90.942947	-135.5870
1250.000000	91.177872	-135.0245
1280.000000	91.404488	-134.5341
1320.000000	91.695976	-133.9760
1360.000000	91.976418	-133.5063
1400.000000	92.248833	-133.1036
1450.000000	92.581589	-132.6936
1500.000000	92.909569	-132.3849
1550.000000	93.234924	-132.1881
1600.000000	93.559059	-132.1190
1650.000000	93.882141	-132.2017
1700.000000	94.202438	-132.4528
1750.000000	94.517586	-132.8872
1800.000000	94.824226	-133.5199
1850.000000	95.118156	-134.3558
1900.000000	95.394577	-135.3978
1950.000000	95.647659	-136.6472
2000.000000	95.873215	-138.0902
2060.000000	96.098534	-140.0532
2120.000000	96.267197	-142.2210
2180.000000	96.371826	-144.5462
2240.000000	96.405678	-146.9680
2300.000000	96.359650	-149.4348
2360.000000	96.221924	-151.8700
2430.000000	95.915085	-154.4786
2500.000000	95.418404	-156.2581
2580.000000	94.706818	-155.8390
2650.000000	94.274620	-153.0234
2720.000000	94.199486	-149.8642
2800.000000	94.330963	-147.5712
2900.000000	94.500404	-146.1640
3000.000000	94.607086	-145.2291
3070.000000	94.663979	-144.5764
3150.000000	94.729767	-143.7726
3250.000000	94.830460	-142.6899
3350.000000	94.965042	-141.5667
3450.000000	95.140350	-140.4758
3550.000000	95.361710	-139.4810
3650.000000	95.628365	-138.6638
3750.000000	95.941216	-138.0921
3870.000000	96.374687	-137.8495
4000.000000	96.907089	-138.3163
4120.000000	97.440338	-139.6174
4250.000000	98.029671	-142.2216
4370.000000	98.531319	-145.9286
4500.000000	98.942245	-151.4275
4620.000000	99.105652	-157.6567
4750.000000	98.965157	-164.9922
4870.000000	98.524696	-171.4739
5000.000000	97.767769	-177.3371
5150.000000	96.675896	177.9841
5300.000000	95.507034	175.4897
5450.000000	94.336777	174.7916
5600.000000	93.211533	176.3148
5800.000000	92.320503	178.8242
6000.000000	91.225998	-178.8907
6150.000000	90.479736	-176.2924
6300.000000	89.771614	-173.2609
6500.000000	88.823776	-168.3170
6700.000000	87.828751	-161.0143
6900.000000	87.122368	-148.4453
7100.000000	87.920738	-132.9050
7300.000000	89.837334	-126.1736
7500.000000	91.281624	-126.2090
7750.000000	92.675392	-128.4385
8000.000000	93.873566	-132.4422
8250.000000	94.946472	-138.8503
8500.000000	95.673843	-148.0791
8750.000000	95.797089	-158.4631
9000.000000	95.378677	-167.0898
9250.000000	94.802856	-172.6557
9500.000000	94.369370	-176.0489
9750.000000	94.223694	-178.2479
10000.000000	94.496872	179.2869
10300.000000	95.394272	173.1479
10600.000000	96.570435	159.1006
10900.000000	96.715988	134.9014
11200.000000	94.798874	111.2262
11500.000000	92.014328	97.1623
11800.000000	89.573708	89.6523
12200.000000	87.315331	82.2787
12500.000000	86.266609	74.7647
12800.000000	85.405731	62.9385
13200.000000	83.447617	42.1942
13600.000000	80.652321	27.8264
14000.000000	79.259064	16.5038
14500.000000	77.710022	-16.5699
15000.000000	72.452385	-61.7201
15500.000000	63.716156	-144.0427
16000.000000	76.548157	130.7124
16500.000000	77.885590	25.9200
17000.000000	77.960510	-8.9727
17500.000000	79.140549	-56.4817
18000.000000	79.269073	-121.8163
18500.000000	76.504929	145.5278
19000.000000	70.520119	27.6119
19500.000000	66.877190	-109.9932
