* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Mar 7, 2022 5:49:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: BAX R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	96.927780	-114.3733
21.200001	97.039146	-116.2378
21.799999	97.137665	-117.9837
22.400000	97.213608	-119.6918
23.000000	97.269615	-121.3840
23.600000	97.316238	-122.9661
24.299999	97.361893	-124.6949
25.000000	97.398674	-126.4284
25.799999	97.428146	-128.3971
26.500000	97.446999	-129.9732
27.200001	97.461266	-131.4418
28.000000	97.477966	-133.1306
29.000000	97.491470	-135.1269
30.000000	97.493202	-137.0200
30.700001	97.495598	-138.3221
31.500000	97.501602	-139.7339
32.500000	97.496918	-141.4346
33.500000	97.490829	-143.0977
34.500000	97.483894	-144.6519
35.500000	97.462540	-146.1381
36.500000	97.473038	-147.5554
37.500000	97.464432	-148.8711
38.700001	97.433525	-150.5373
40.000000	97.396957	-152.1963
41.200001	97.385086	-153.5177
42.500000	97.357277	-155.1504
43.700001	97.323029	-156.3915
45.000000	97.299011	-157.8180
46.200001	97.265381	-159.0173
47.500000	97.226913	-160.2548
48.700001	97.204292	-161.3669
50.000000	97.165726	-162.5389
51.500000	97.120995	-163.8139
53.000000	97.077446	-165.0278
54.500000	97.034401	-166.2317
56.000000	96.990044	-167.3377
58.000000	96.928352	-168.7713
60.000000	96.854652	-170.0884
61.500000	96.818802	-171.0983
63.000000	96.768745	-172.0326
65.000000	96.698868	-173.2008
67.000000	96.634109	-174.3177
69.000000	96.568558	-175.4532
71.000000	96.502136	-176.4353
73.000000	96.434868	-177.4428
75.000000	96.368584	-178.3340
77.500000	96.271156	-179.4626
80.000000	96.175255	179.4941
82.500000	96.085106	178.5010
85.000000	95.996368	177.5728
87.500000	95.902786	176.6819
90.000000	95.806007	175.7738
92.500000	95.720932	175.0612
95.000000	95.628052	174.2881
97.500000	95.541069	173.5938
100.000000	95.457916	172.9383
103.000000	95.350464	172.1700
106.000000	95.250900	171.4658
109.000000	95.151611	170.7762
112.000000	95.055084	170.1538
115.000000	94.956192	169.5774
118.000000	94.860725	169.0172
122.000000	94.736824	168.3375
125.000000	94.641594	167.8732
128.000000	94.549568	167.4305
132.000000	94.428215	166.8885
136.000000	94.291916	166.3852
140.000000	94.187241	165.9377
145.000000	94.039864	165.4567
150.000000	93.897125	165.0184
155.000000	93.755699	164.6445
160.000000	93.617828	164.3153
165.000000	93.481430	164.0237
170.000000	93.347267	163.7939
175.000000	93.215111	163.6074
180.000000	93.088722	163.4287
185.000000	92.963478	163.3167
190.000000	92.840584	163.2303
195.000000	92.720947	163.1657
200.000000	92.602867	163.1413
206.000000	92.468674	163.1471
212.000000	92.334610	163.1655
218.000000	92.205170	163.2387
224.000000	92.079025	163.3314
230.000000	91.956703	163.4503
236.000000	91.838158	163.5938
243.000000	91.705154	163.7884
250.000000	91.574745	164.0206
258.000000	91.433250	164.3140
265.000000	91.311737	164.5927
272.000000	91.196564	164.8946
280.000000	91.069061	165.2661
290.000000	90.915771	165.7639
300.000000	90.772240	166.2845
307.000000	90.673424	166.6707
315.000000	90.566116	167.1245
325.000000	90.438004	167.7137
335.000000	90.317642	168.3285
345.000000	90.200256	168.9512
355.000000	90.090981	169.5935
365.000000	89.986122	170.2530
375.000000	89.886002	170.9245
387.000000	89.773651	171.7433
400.000000	89.659210	172.6390
412.000000	89.560715	173.4782
425.000000	89.460541	174.3980
437.000000	89.372391	175.2586
450.000000	89.285095	176.2021
462.000000	89.209976	177.0714
475.000000	89.133835	178.0194
487.000000	89.068695	178.9053
500.000000	89.002129	179.8629
515.000000	88.932793	-179.0318
530.000000	88.869606	-177.9125
545.000000	88.813019	-176.8021
560.000000	88.762451	-175.6856
580.000000	88.703781	-174.1948
600.000000	88.654648	-172.7117
615.000000	88.625885	-171.5994
630.000000	88.601746	-170.4921
650.000000	88.578003	-169.0347
670.000000	88.564949	-167.6210
690.000000	88.560493	-166.2934
710.000000	88.554375	-165.1461
730.000000	88.486320	-164.3202
750.000000	88.245132	-162.6271
775.000000	88.271088	-158.6886
800.000000	88.442551	-156.3336
825.000000	88.563416	-154.3450
850.000000	88.678009	-152.3526
875.000000	88.811310	-150.3381
900.000000	88.974548	-148.3958
925.000000	89.156990	-146.6250
950.000000	89.345818	-144.9977
975.000000	89.544739	-143.4728
1000.000000	89.750984	-142.0383
1030.000000	90.008926	-140.4735
1060.000000	90.277176	-139.0790
1090.000000	90.550056	-137.8562
1120.000000	90.823898	-136.8007
1150.000000	91.094299	-135.8979
1180.000000	91.360603	-135.1380
1220.000000	91.702667	-134.2953
1250.000000	91.948547	-133.7744
1280.000000	92.188126	-133.3240
1320.000000	92.495682	-132.8103
1360.000000	92.792984	-132.3828
1400.000000	93.083107	-132.0149
1450.000000	93.439568	-131.6582
1500.000000	93.793007	-131.4053
1550.000000	94.145317	-131.2739
1600.000000	94.497963	-131.2877
1650.000000	94.850037	-131.4586
1700.000000	95.200386	-131.8141
1750.000000	95.546120	-132.3741
1800.000000	95.883003	-133.1567
1850.000000	96.206039	-134.1727
1900.000000	96.509506	-135.4306
1950.000000	96.785988	-136.9216
2000.000000	97.029739	-138.6299
2060.000000	97.268074	-140.9429
2120.000000	97.436813	-143.4807
2180.000000	97.525024	-146.1685
2240.000000	97.522232	-148.9146
2300.000000	97.415085	-151.5935
2360.000000	97.189781	-153.9892
2430.000000	96.774353	-155.9055
2500.000000	96.283745	-156.1042
2580.000000	95.902924	-154.3069
2650.000000	95.828903	-152.5238
2720.000000	95.865417	-151.4454
2800.000000	95.907608	-150.8338
2900.000000	95.919098	-150.2942
3000.000000	95.912079	-149.6171
3070.000000	95.914787	-149.0195
3150.000000	95.936020	-148.2328
3250.000000	95.998650	-147.1481
3350.000000	96.108658	-146.0362
3450.000000	96.267448	-144.9705
3550.000000	96.476761	-144.0322
3650.000000	96.735054	-143.2851
3750.000000	97.039696	-142.8115
3870.000000	97.461594	-142.7176
4000.000000	97.976753	-143.3780
4120.000000	98.485718	-144.8888
4250.000000	99.033890	-147.7159
4370.000000	99.480278	-151.5846
4500.000000	99.813095	-157.1233
4620.000000	99.897690	-163.1831
4750.000000	99.685059	-170.0776
4870.000000	99.210670	-175.9874
5000.000000	98.459534	178.7848
5150.000000	97.417641	174.6913
5300.000000	96.326904	172.6053
5450.000000	95.283234	172.1123
5600.000000	94.329437	172.7101
5800.000000	93.182335	174.6658
6000.000000	92.226791	177.2629
6150.000000	91.547928	179.2687
6300.000000	90.863579	-178.5942
6500.000000	89.858543	-175.1269
6700.000000	88.690750	-169.4312
6900.000000	87.629486	-158.6161
7100.000000	87.714943	-143.2376
7300.000000	89.119171	-133.0761
7500.000000	90.474327	-130.0072
7750.000000	91.744171	-129.0949
8000.000000	92.960953	-129.4431
8250.000000	94.263138	-132.2478
8500.000000	95.465096	-138.8288
8750.000000	96.176712	-148.8626
9000.000000	96.143944	-159.6684
9250.000000	95.580139	-167.5199
9500.000000	94.950325	-172.1597
9750.000000	94.539551	-174.6023
10000.000000	94.489532	-176.3875
10300.000000	94.973503	-179.7697
10600.000000	95.995491	171.8278
10900.000000	96.804375	153.9939
11200.000000	95.991409	129.9658
11500.000000	93.569420	111.7791
