* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 2, 2021 3:05:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kinera BD005 Pro - L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	83.707108	-109.5022
20.600000	83.793846	-111.4110
21.200001	83.874557	-113.2969
21.799999	83.942802	-115.2098
22.400000	83.991096	-117.0418
23.000000	84.034889	-118.7345
23.600000	84.084709	-120.3825
24.299999	84.131081	-122.3559
25.000000	84.143707	-124.2426
25.799999	84.143906	-126.1022
26.500000	84.157936	-127.6157
27.200001	84.170967	-129.1880
28.000000	84.158974	-131.0136
29.000000	84.102417	-133.1102
30.000000	84.051056	-134.9086
30.700001	84.069160	-136.1694
31.500000	84.084351	-137.6707
32.500000	84.088356	-139.3854
33.500000	84.106712	-141.0760
34.500000	84.101273	-142.7838
35.500000	84.088242	-144.2955
36.500000	84.078934	-145.7612
37.500000	84.058151	-147.1380
38.700001	84.048882	-148.6662
40.000000	84.016556	-150.5842
41.200001	83.937408	-151.9084
42.500000	83.916740	-153.4318
43.700001	83.833733	-154.7952
45.000000	83.790085	-156.1247
46.200001	83.715256	-157.3461
47.500000	83.672424	-158.5802
48.700001	83.601265	-159.7924
50.000000	83.530815	-160.9973
51.500000	83.416359	-162.1717
53.000000	83.353424	-163.3783
54.500000	83.241379	-164.5398
56.000000	83.184753	-165.6032
58.000000	83.121170	-166.9221
60.000000	83.088745	-168.1934
61.500000	83.031670	-169.2376
63.000000	82.975334	-170.1113
65.000000	82.906891	-171.2164
67.000000	82.848854	-172.4023
69.000000	82.789780	-173.1609
71.000000	82.686035	-174.3112
73.000000	82.607887	-175.0406
75.000000	82.539932	-176.2192
77.500000	82.444611	-177.0948
80.000000	82.343857	-178.0079
82.500000	82.242256	-178.8693
85.000000	82.144310	-179.7297
87.500000	82.059982	179.4268
90.000000	81.945221	178.9815
92.500000	81.847481	178.1718
95.000000	81.726486	177.4085
97.500000	81.624191	176.7185
100.000000	81.527847	176.3041
103.000000	81.405014	175.6504
106.000000	81.359245	175.0742
109.000000	81.257454	174.5787
112.000000	81.169212	174.0791
115.000000	81.072182	173.5350
118.000000	80.986549	173.0905
122.000000	80.884056	172.5495
125.000000	80.797676	172.2874
128.000000	80.713585	171.9353
132.000000	80.607040	171.5396
136.000000	80.497238	171.2342
140.000000	80.385460	170.8931
145.000000	80.267990	170.6145
150.000000	80.138557	170.3596
155.000000	80.023788	170.1273
160.000000	79.900009	169.9457
165.000000	79.789795	169.8260
170.000000	79.671356	169.7226
175.000000	79.568581	169.7024
180.000000	79.463097	169.6166
185.000000	79.360977	169.6727
190.000000	79.253746	169.6874
195.000000	79.167747	169.7548
200.000000	79.068481	169.8507
206.000000	78.964058	169.9670
212.000000	78.866936	170.0793
218.000000	78.765457	170.2751
224.000000	78.677795	170.4144
230.000000	78.577065	170.7112
236.000000	78.482498	170.9171
243.000000	78.378342	171.1833
250.000000	78.285416	171.5099
258.000000	78.173134	171.9088
265.000000	78.092346	172.2545
272.000000	78.009590	172.6232
280.000000	77.916824	173.0384
290.000000	77.809586	173.6304
300.000000	77.715836	174.1580
307.000000	77.637344	174.6216
315.000000	77.564880	175.0656
325.000000	77.475227	175.6516
335.000000	77.393669	176.2837
345.000000	77.315613	176.9358
355.000000	77.241333	177.5218
365.000000	77.177650	178.1703
375.000000	77.110168	178.8669
387.000000	77.033310	179.6508
400.000000	76.957184	-179.4913
412.000000	76.903152	-178.6945
425.000000	76.834541	-177.8255
437.000000	76.779243	-177.0596
450.000000	76.725113	-176.1743
462.000000	76.676003	-175.3582
475.000000	76.630302	-174.4842
487.000000	76.590836	-173.6862
500.000000	76.550316	-172.8100
515.000000	76.512581	-171.7758
530.000000	76.474228	-170.7897
545.000000	76.443558	-169.7543
560.000000	76.411804	-168.7197
580.000000	76.382103	-167.3454
600.000000	76.352455	-165.9770
615.000000	76.333115	-164.9295
630.000000	76.320877	-163.8803
650.000000	76.303795	-162.5031
670.000000	76.286964	-161.1297
690.000000	76.263924	-159.8186
710.000000	76.097481	-158.7068
730.000000	76.023346	-153.5392
750.000000	76.600708	-152.9378
775.000000	76.625641	-152.4294
800.000000	76.668449	-150.8627
825.000000	76.740181	-149.0693
850.000000	76.839996	-147.2641
875.000000	76.963402	-145.4701
900.000000	77.106125	-143.7135
925.000000	77.268188	-141.9972
950.000000	77.453903	-140.3495
975.000000	77.657082	-138.8103
1000.000000	77.874496	-137.3355
1030.000000	78.152344	-135.7788
1060.000000	78.442734	-134.4003
1090.000000	78.743813	-133.2090
1120.000000	79.045700	-132.2113
1150.000000	79.348946	-131.3860
1180.000000	79.645554	-130.7309
1220.000000	80.032234	-130.0581
1250.000000	80.310654	-129.6948
1280.000000	80.580429	-129.4277
1320.000000	80.930710	-129.1741
1360.000000	81.268135	-129.0527
1400.000000	81.594681	-129.0246
1450.000000	81.996086	-129.1279
1500.000000	82.387413	-129.4049
1550.000000	82.774483	-129.8771
1600.000000	83.152214	-130.5780
1650.000000	83.516602	-131.5241
1700.000000	83.861649	-132.7359
1750.000000	84.178497	-134.2315
1800.000000	84.459656	-135.9812
1850.000000	84.692795	-137.9636
1900.000000	84.869904	-140.1154
1950.000000	84.985863	-142.3742
2000.000000	85.036224	-144.6436
2060.000000	85.011086	-147.2416
2120.000000	84.905327	-149.5907
2180.000000	84.731392	-151.5598
2240.000000	84.508736	-153.0935
2300.000000	84.254616	-154.1630
2360.000000	83.986977	-154.7718
2430.000000	83.675041	-154.9324
2500.000000	83.378922	-154.5779
2580.000000	83.079681	-153.6266
2650.000000	82.858627	-152.4097
2720.000000	82.682022	-150.9092
2800.000000	82.538071	-148.9250
2900.000000	82.449997	-146.1772
3000.000000	82.460815	-143.2582
3070.000000	82.531952	-141.1840
3150.000000	82.670212	-138.8482
3250.000000	82.935165	-136.0230
3350.000000	83.298538	-133.4651
3450.000000	83.760628	-131.2419
3550.000000	84.321106	-129.5108
3650.000000	84.983017	-128.4473
3750.000000	85.743042	-128.3106
3870.000000	86.781136	-130.0726
4000.000000	87.712250	-137.6997
4120.000000	87.499840	-136.9458
4250.000000	89.101013	-144.6384
4370.000000	89.316994	-155.9380
4500.000000	88.743462	-166.8813
4620.000000	87.759857	-174.1207
4750.000000	86.538284	-178.7625
4870.000000	85.406303	179.0705
5000.000000	84.190895	178.6316
5150.000000	82.918694	-179.4573
5300.000000	81.884056	-175.8800
5450.000000	81.081322	-171.3826
5600.000000	80.488663	-166.3392
5800.000000	79.985619	-159.1711
6000.000000	79.818092	-151.8104
6150.000000	79.910202	-146.4045
6300.000000	80.188187	-141.2966
6500.000000	80.862129	-135.2939
6700.000000	81.905945	-130.8657
6900.000000	83.310165	-129.1233
7100.000000	84.958130	-131.7565
7300.000000	86.454552	-140.5247
7500.000000	87.078819	-154.4038
7750.000000	86.298462	-169.7647
8000.000000	84.979820	-177.1349
8250.000000	84.092590	-179.7761
8500.000000	83.791397	177.6467
8750.000000	83.747574	171.7958
9000.000000	83.302231	162.1287
9250.000000	82.029922	152.8598
9500.000000	80.321770	148.1146
9750.000000	78.751816	147.6505
10000.000000	77.614510	149.4674
10300.000000	76.888344	151.7247
10600.000000	76.718903	151.3231
10900.000000	76.718086	146.0773
11200.000000	76.279526	136.1014
11500.000000	75.044983	125.7590
11800.000000	73.469612	118.7671
12200.000000	71.609566	113.4006
12500.000000	70.723740	111.1765
12800.000000	70.513000	108.2814
13200.000000	71.177643	98.0708
13600.000000	71.610924	76.0436
14000.000000	70.331284	48.5174
14500.000000	66.624474	24.8761
15000.000000	63.000858	15.5970
15500.000000	60.478874	10.2205
16000.000000	58.611149	9.8221
16500.000000	58.951107	4.5673
17000.000000	62.068611	-14.2001
17500.000000	65.783463	-76.2487
18000.000000	66.847404	-160.4939
18500.000000	67.920639	115.6111
