* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 2, 2021 3:04:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kinera BD005 Pro - R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	84.300461	-114.1691
20.600000	84.377823	-116.1633
21.200001	84.423569	-118.1533
21.799999	84.456055	-119.9956
22.400000	84.494888	-121.7491
23.000000	84.529968	-123.5653
23.600000	84.531357	-125.4139
24.299999	84.481972	-127.2878
25.000000	84.439156	-128.6212
25.799999	84.486809	-129.9776
26.500000	84.568367	-131.7016
27.200001	84.582977	-133.8366
28.000000	84.500763	-135.9980
29.000000	84.396812	-137.8329
30.000000	84.378288	-139.4465
30.700001	84.390862	-140.6780
31.500000	84.402199	-142.0046
32.500000	84.435822	-143.7467
33.500000	84.406631	-145.6591
34.500000	84.365677	-147.1527
35.500000	84.325806	-148.9134
36.500000	84.232452	-150.1035
37.500000	84.285217	-151.3413
38.700001	84.201424	-153.5134
40.000000	84.205528	-154.6249
41.200001	84.128342	-156.4598
42.500000	84.109932	-157.1953
43.700001	84.023125	-159.0057
45.000000	83.927429	-159.5880
46.200001	83.888535	-161.3996
47.500000	83.717705	-162.4713
48.700001	83.704819	-163.6176
50.000000	83.622147	-165.0591
51.500000	83.548584	-166.2927
53.000000	83.476723	-167.6559
54.500000	83.339455	-168.6618
56.000000	83.287231	-169.4431
58.000000	83.232162	-171.2346
60.000000	83.066330	-172.4311
61.500000	83.033211	-172.9439
63.000000	83.006935	-174.0100
65.000000	82.913315	-175.2086
67.000000	82.797997	-176.2720
69.000000	82.746574	-177.2208
71.000000	82.654373	-178.0843
73.000000	82.567398	-178.9589
75.000000	82.473999	-179.8888
77.500000	82.342926	179.2004
80.000000	82.251427	178.2557
82.500000	82.126816	177.3579
85.000000	82.024780	176.4946
87.500000	81.907883	175.7796
90.000000	81.819496	175.3293
92.500000	81.722969	174.5634
95.000000	81.578934	173.8859
97.500000	81.470802	173.5786
100.000000	81.408104	173.0914
