* Measurement data measured by REW V5.20
* Source: C:\xampp\htdocs\GraphToolIEM\data\BGGAR Target.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 9, 2021 9:44:48 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: BGGAR Target
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	67.502846	0.0000
20.600000	67.505341	0.0000
21.200001	67.510239	0.0000
21.799999	67.515350	0.0000
22.400000	67.520409	0.0000
23.000000	67.525421	0.0000
23.600000	67.530365	0.0000
24.299999	67.536057	0.0000
25.000000	67.541603	0.0000
25.799999	67.547775	0.0000
26.500000	67.553017	0.0000
27.200001	67.558060	0.0000
28.000000	67.563583	0.0000
29.000000	67.570068	0.0000
30.000000	67.576027	0.0000
30.700001	67.579872	0.0000
31.500000	67.583893	0.0000
32.500000	67.588310	0.0000
33.500000	67.592033	0.0000
34.500000	67.594963	0.0000
35.500000	67.597061	0.0000
36.500000	67.598274	0.0000
37.500000	67.598541	0.0000
38.700001	67.597542	0.0000
40.000000	67.594696	0.0000
41.200001	67.590355	0.0000
42.500000	67.583679	0.0000
43.700001	67.575600	0.0000
45.000000	67.564629	0.0000
46.200001	67.552330	0.0000
47.500000	67.536469	0.0000
48.700001	67.518677	0.0000
50.000000	67.492989	0.0000
51.500000	67.452812	0.0000
53.000000	67.407440	0.0000
54.500000	67.361206	0.0000
56.000000	67.314835	0.0000
58.000000	67.252937	0.0000
60.000000	67.190956	0.0000
61.500000	67.144424	0.0000
63.000000	67.097839	0.0000
65.000000	67.035667	0.0000
67.000000	66.973427	0.0000
69.000000	66.911118	0.0000
71.000000	66.848763	0.0000
73.000000	66.786346	0.0000
75.000000	66.723869	0.0000
77.500000	66.645691	0.0000
80.000000	66.567474	0.0000
82.500000	66.489182	0.0000
85.000000	66.410812	0.0000
87.500000	66.332428	0.0000
90.000000	66.253998	0.0000
92.500000	66.175537	0.0000
95.000000	66.097038	0.0000
97.500000	66.018532	0.0000
100.000000	65.940010	0.0000
103.000000	65.845795	0.0000
106.000000	65.751587	0.0000
109.000000	65.657394	0.0000
112.000000	65.563248	0.0000
115.000000	65.469170	0.0000
118.000000	65.375130	0.0000
122.000000	65.249901	0.0000
125.000000	65.156052	0.0000
128.000000	65.062340	0.0000
132.000000	64.937592	0.0000
136.000000	64.813042	0.0000
140.000000	64.688797	0.0000
145.000000	64.533943	0.0000
150.000000	64.379601	0.0000
155.000000	64.225883	0.0000
160.000000	64.072815	0.0000
165.000000	63.920479	0.0000
170.000000	63.768948	0.0000
175.000000	63.618248	0.0000
180.000000	63.468452	0.0000
185.000000	63.319645	0.0000
190.000000	63.171844	0.0000
195.000000	63.025135	0.0000
200.000000	62.879570	0.0000
206.000000	62.706520	0.0000
212.000000	62.535301	0.0000
218.000000	62.366055	0.0000
224.000000	62.198841	0.0000
