* Measurement data measured by REW V5.20 Beta 24
* Source: Microphone (2- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.557
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS  With no timing reference
* Dated: Sep 12, 2019 9:11:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: BLON BL-03 - R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	91.608887	-152.2665
21.200001	91.621872	-152.3538
21.799999	91.601448	-152.4948
22.400000	91.561920	-152.6471
23.000000	91.525253	-152.8222
23.600000	91.499420	-153.0919
24.299999	91.474541	-153.5005
25.000000	91.457458	-153.8783
25.799999	91.459465	-154.2454
26.500000	91.466209	-154.5374
27.200001	91.465935	-154.7113
28.000000	91.468597	-154.7540
29.000000	91.464287	-154.8065
30.000000	91.429436	-154.8010
30.700001	91.405106	-154.8015
31.500000	91.366325	-154.8962
32.500000	91.312180	-154.8748
33.500000	91.312866	-154.9048
34.500000	91.298721	-155.1558
35.500000	91.279266	-155.0837
36.500000	91.285034	-155.0410
37.500000	91.250717	-154.9240
38.700001	91.218658	-154.5699
40.000000	91.165062	-154.3333
41.200001	91.122543	-154.1541
42.500000	91.067940	-154.1456
43.700001	91.024529	-154.0506
45.000000	90.992844	-153.9151
46.200001	90.966217	-153.7171
47.500000	90.934189	-153.4727
48.700001	90.893860	-153.2056
50.000000	90.848221	-152.9158
51.500000	90.796967	-152.5796
53.000000	90.752945	-152.2963
54.500000	90.697266	-151.9797
56.000000	90.656624	-151.5381
58.000000	90.605370	-151.1260
60.000000	90.506142	-150.7614
61.500000	90.463951	-150.1434
63.000000	90.438957	-149.7531
65.000000	90.381317	-149.2135
67.000000	90.315308	-148.5730
69.000000	90.261688	-148.0056
71.000000	90.196533	-147.4124
73.000000	90.145966	-146.8386
75.000000	90.082153	-146.2762
77.500000	90.011421	-145.5686
80.000000	89.938377	-144.7792
82.500000	89.868652	-144.0386
85.000000	89.787720	-143.2901
87.500000	89.712456	-142.5384
90.000000	89.632339	-141.7529
92.500000	89.557724	-141.0070
95.000000	89.476059	-140.2752
97.500000	89.387672	-139.5329
100.000000	89.315155	-138.6941
103.000000	89.215210	-137.7321
106.000000	89.112274	-136.8010
