* Measurement data measured by REW V5.20 Beta 26
* Source: Microphone (2- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.557
* Format: 1M Log Swept Sine, 1 sweep Using a loopback as a timing reference
* Dated: Oct 12, 2019 11:10:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.000 ms (0 mm, 0 in)  relative to Loopback with no timing offset
* Measurement: Status BT Transfer R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	73.127747	64.5054
20.600000	73.250252	65.7414
21.200001	73.311653	66.6607
21.799999	73.283134	67.5709
22.400000	73.224030	68.7862
23.000000	73.206894	70.1131
23.600000	73.235077	71.1558
24.299999	73.266312	71.9692
25.000000	73.283386	72.7540
25.799999	73.329773	73.7675
26.500000	73.381798	74.6852
27.200001	73.434334	75.8300
28.000000	73.535301	77.3470
29.000000	73.661049	78.9188
30.000000	73.689041	80.6030
30.700001	73.701187	81.9643
31.500000	73.717255	83.4090
32.500000	73.727493	84.8661
33.500000	73.656609	86.0274
34.500000	73.595573	87.9492
35.500000	73.697083	89.4317
36.500000	73.715546	90.2879
37.500000	73.681473	91.6968
38.700001	73.626694	94.3788
40.000000	73.813148	97.6143
41.200001	73.891846	99.3406
42.500000	73.912544	101.4139
43.700001	73.842949	103.1756
45.000000	73.800842	105.5075
46.200001	73.773590	107.3115
47.500000	73.706436	109.4659
48.700001	73.671852	111.5869
50.000000	73.596954	113.8218
51.500000	73.503891	116.7553
53.000000	73.412323	119.4666
54.500000	73.310196	122.2769
56.000000	73.221085	125.1292
58.000000	73.147919	128.9453
60.000000	73.030624	132.4500
61.500000	72.892365	136.1283
63.000000	72.843521	139.4521
65.000000	72.695709	143.5382
67.000000	72.558029	147.8549
69.000000	72.428963	152.3510
71.000000	72.289703	156.6641
73.000000	72.185936	161.2307
75.000000	72.055328	165.7823
77.500000	71.961868	171.5059
80.000000	71.790337	177.3011
82.500000	71.623077	-176.9392
85.000000	71.471107	-171.2477
87.500000	71.309593	-165.3683
90.000000	71.204727	-159.5798
92.500000	71.039337	-153.7285
95.000000	70.895317	-147.8173
97.500000	70.738678	-141.8195
100.000000	70.584976	-135.9989
103.000000	70.393471	-128.7559
106.000000	70.179634	-121.4314
109.000000	70.023033	-114.1194
112.000000	69.802414	-106.6557
115.000000	69.649429	-99.2019
118.000000	69.492577	-91.9348
122.000000	69.225464	-82.0544
125.000000	68.975174	-74.4855
128.000000	68.778473	-66.9113
132.000000	68.531876	-56.7863
136.000000	68.225449	-46.0142
140.000000	67.858093	-35.3661
145.000000	67.591805	-22.6376
150.000000	67.168709	-8.9064
155.000000	66.852806	4.4510
160.000000	66.464241	18.2188
165.000000	66.179077	32.4498
170.000000	65.807106	47.4370
175.000000	65.679298	61.7306
180.000000	65.478340	77.1057
185.000000	65.557236	91.3588
190.000000	65.375191	105.0885
195.000000	65.199760	118.9013
200.000000	65.050446	133.0822
206.000000	65.109871	150.3370
212.000000	65.190903	166.5797
218.000000	65.138908	-177.7463
224.000000	65.005356	-162.0120
230.000000	64.914825	-146.3602
236.000000	64.877144	-130.6394
243.000000	64.844353	-112.3888
250.000000	64.715103	-94.2430
258.000000	64.613464	-73.8629
265.000000	64.521637	-55.7563
272.000000	64.338051	-38.5334
280.000000	64.354362	-17.8715
290.000000	64.231125	7.2668
300.000000	64.027771	31.9559
307.000000	63.898994	49.4907
315.000000	63.783863	69.2659
325.000000	63.602543	94.1527
335.000000	63.393631	118.1642
345.000000	63.189331	143.3800
355.000000	63.005253	167.8912
365.000000	62.918777	-168.0349
375.000000	62.626949	-143.6095
387.000000	62.379162	-114.0398
400.000000	62.143131	-82.2305
412.000000	61.865692	-53.5292
425.000000	61.641834	-22.3041
437.000000	61.327076	6.6885
450.000000	61.076317	37.8513
462.000000	60.805920	66.9471
475.000000	60.584888	97.2974
487.000000	60.428123	126.6783
500.000000	60.172192	158.1447
515.000000	59.865620	-166.9077
530.000000	59.730427	-131.3816
545.000000	59.457092	-96.3116
560.000000	59.142250	-60.8784
580.000000	58.965424	-13.7031
600.000000	58.644386	32.7151
615.000000	58.415112	67.6001
630.000000	58.148605	101.7775
650.000000	58.057625	147.9919
670.000000	57.958443	-167.4972
690.000000	57.732445	-122.6097
710.000000	57.610550	-77.2109
730.000000	57.514713	-33.0930
750.000000	57.534065	12.4199
775.000000	57.449818	67.9113
800.000000	57.404041	122.1450
825.000000	57.387402	175.9121
850.000000	57.439419	-131.5686
875.000000	57.366009	-78.4189
900.000000	57.603539	-24.6194
925.000000	57.726929	27.9233
950.000000	58.017738	79.6421
975.000000	58.067116	129.7527
1000.000000	58.604088	177.7056
1030.000000	58.670807	-119.9937
1060.000000	59.112377	-60.6841
1090.000000	59.428383	-2.5908
1120.000000	59.837475	55.3884
1150.000000	60.312420	111.0952
1180.000000	60.673702	166.3359
1220.000000	61.301662	-120.6116
1250.000000	61.693089	-67.1885
1280.000000	62.110298	-14.2090
1320.000000	62.588383	54.9072
1360.000000	62.905510	123.5127
1400.000000	63.368591	-169.2703
1450.000000	63.857235	-86.9119
1500.000000	64.220154	-4.8962
1550.000000	64.610886	75.0266
1600.000000	64.987213	153.8989
1650.000000	65.352394	-128.3628
1700.000000	65.692299	-52.3145
1750.000000	65.979218	22.7192
1800.000000	66.292145	96.3445
1850.000000	66.567711	169.3374
1900.000000	66.816063	-119.2751
1950.000000	67.055008	-49.0469
2000.000000	67.291519	20.6445
2060.000000	67.478035	101.3579
2120.000000	67.610558	-178.4424
2180.000000	67.790703	-99.9321
2240.000000	67.860115	-22.7861
2300.000000	67.890701	53.5132
2360.000000	67.861496	128.1499
2430.000000	67.806923	-146.0010
2500.000000	67.724815	-61.8203
2580.000000	67.622757	33.0547
2650.000000	67.560104	114.5908
2720.000000	67.391418	-165.7275
2800.000000	67.299721	-75.6763
2900.000000	67.201805	34.0957
3000.000000	67.011337	141.3330
3070.000000	67.075653	-145.9849
3150.000000	67.044769	-63.7754
3250.000000	67.192322	36.6094
3350.000000	67.515762	132.7744
3450.000000	67.749443	-134.0820
3550.000000	68.042160	-44.7764
3650.000000	68.395027	40.9551
3750.000000	68.629272	123.0762
3870.000000	68.775436	-143.7456
4000.000000	68.507713	-49.6738
4120.000000	67.432228	33.4536
4250.000000	65.531250	120.6514
4370.000000	62.732620	-157.8047
4500.000000	58.717773	-62.1929
4620.000000	55.144836	51.2061
4750.000000	58.769638	172.0586
4870.000000	62.616100	-112.8691
5000.000000	64.725395	-46.4141
5150.000000	65.458282	26.6094
5300.000000	65.281265	98.4609
5450.000000	64.973572	169.9102
5600.000000	64.656883	-121.0479
5800.000000	64.409760	-33.3237
6000.000000	64.471878	48.7744
6150.000000	64.685310	105.4805
6300.000000	65.145706	158.7998
6500.000000	65.965523	-136.7441
6700.000000	67.191193	-80.2539
6900.000000	68.977631	-32.7856
7100.000000	71.384140	3.2969
7300.000000	74.035423	21.5239
7500.000000	74.828537	18.1538
7750.000000	71.453430	14.4766
8000.000000	67.591881	23.9990
8250.000000	64.458710	30.4033
8500.000000	61.790611	33.0732
8750.000000	59.572998	31.4194
9000.000000	57.697731	24.5967
9250.000000	55.977566	13.2163
9500.000000	54.566292	-3.4482
9750.000000	53.540474	-25.3110
10000.000000	52.646378	-52.8467
10300.000000	51.967606	-88.0771
10600.000000	51.424034	-129.8584
10900.000000	50.689487	-177.8350
11200.000000	50.780861	129.1030
11500.000000	51.173653	71.8164
11800.000000	51.414375	7.5850
12200.000000	52.362423	-84.5591
12500.000000	53.349415	-164.4204
12800.000000	54.395424	109.9082
13200.000000	55.664982	-14.9463
13600.000000	56.074711	-149.8618
14000.000000	56.561947	69.8115
14500.000000	56.819542	-113.5264
15000.000000	57.813278	53.7983
15500.000000	59.364197	-154.9844
16000.000000	60.622070	-26.5054
16500.000000	59.133759	81.7471
17000.000000	54.783195	-166.7085
17500.000000	49.728142	-117.8467
18000.000000	42.337292	119.4243
18500.000000	47.474571	103.4766
