* Measurement data measured by REW V5.20.13
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250. Timing signal peak level -26.5 dBFS, measurement signal peak level -23.8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -6.0 dBFS using an acoustic timing reference
* Dated: Jun 24, 2023 5:24:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.1029 ms (-35 mm, -1.39 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset
* Measurement: Bridge L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	88.367	-107.6333
21.200001	88.492	-109.6348
21.799999	88.615	-111.6347
22.400000	88.740	-113.5606
23.000000	88.838	-115.2823
23.600000	88.897	-116.8352
24.299999	88.950	-118.6686
25.000000	89.016	-120.6167
25.799999	89.068	-122.7958
26.500000	89.099	-124.5357
27.200001	89.159	-126.0838
28.000000	89.196	-127.7335
29.000000	89.129	-129.9227
30.000000	89.183	-132.1217
30.700001	89.252	-133.6057
31.500000	89.257	-135.2382
32.500000	89.251	-137.1304
33.500000	89.261	-138.9948
34.500000	89.266	-140.7009
35.500000	89.275	-142.3375
36.500000	89.248	-143.9397
37.500000	89.228	-145.4341
38.700001	89.223	-147.2700
40.000000	89.202	-148.9768
41.200001	89.167	-150.5803
42.500000	89.161	-152.1465
43.700001	89.145	-153.6470
45.000000	89.097	-155.1876
46.200001	89.056	-156.6169
47.500000	89.045	-157.9193
48.700001	89.002	-159.0520
50.000000	88.962	-160.4893
51.500000	88.914	-161.7462
53.000000	88.867	-162.9519
54.500000	88.816	-164.2390
56.000000	88.764	-165.6194
58.000000	88.694	-167.1951
60.000000	88.641	-168.4110
61.500000	88.543	-169.7175
63.000000	88.504	-170.6555
65.000000	88.423	-171.9446
67.000000	88.342	-173.1670
69.000000	88.250	-174.2345
71.000000	88.175	-175.3472
73.000000	88.092	-176.3203
75.000000	88.002	-177.3032
77.500000	87.897	-178.4232
80.000000	87.797	-179.4793
82.500000	87.684	179.5203
85.000000	87.575	178.6202
87.500000	87.472	177.7252
90.000000	87.365	176.9149
92.500000	87.252	176.1743
95.000000	87.149	175.4465
97.500000	87.049	174.7684
100.000000	86.945	174.1629
103.000000	86.828	173.4644
106.000000	86.711	172.8321
109.000000	86.594	172.2310
112.000000	86.486	171.6818
115.000000	86.373	171.1883
118.000000	86.266	170.7504
122.000000	86.121	170.1852
125.000000	86.015	169.8220
128.000000	85.912	169.4754
132.000000	85.778	169.0953
136.000000	85.641	168.7375
140.000000	85.509	168.4589
145.000000	85.347	168.1493
150.000000	85.189	167.9028
155.000000	85.038	167.7218
160.000000	84.888	167.5984
165.000000	84.741	167.5188
170.000000	84.600	167.4895
175.000000	84.459	167.5136
180.000000	84.332	167.5134
185.000000	84.195	167.6525
190.000000	84.067	167.7656
195.000000	83.944	167.9178
200.000000	83.821	168.0906
206.000000	83.681	168.3286
212.000000	83.544	168.6199
218.000000	83.413	168.9336
224.000000	83.285	169.2865
230.000000	83.165	169.6332
236.000000	83.045	170.0301
243.000000	82.911	170.5081
250.000000	82.784	171.0276
258.000000	82.643	171.6218
265.000000	82.525	172.1771
272.000000	82.412	172.7566
280.000000	82.291	173.4268
290.000000	82.143	174.3106
300.000000	82.004	175.2985
307.000000	81.911	175.8459
315.000000	81.809	176.5990
325.000000	81.690	177.5404
335.000000	81.578	178.5247
345.000000	81.470	179.4967
355.000000	81.370	-179.5197
365.000000	81.276	-178.5076
375.000000	81.187	-177.4954
387.000000	81.087	-176.2795
400.000000	80.983	-174.9470
412.000000	80.898	-173.6958
425.000000	80.811	-172.3617
437.000000	80.738	-171.0968
450.000000	80.663	-169.7582
462.000000	80.604	-168.5020
475.000000	80.540	-167.1351
487.000000	80.489	-165.8825
500.000000	80.438	-164.5146
515.000000	80.385	-162.9435
530.000000	80.336	-161.3686
545.000000	80.297	-159.7940
560.000000	80.264	-158.2082
580.000000	80.227	-156.1113
600.000000	80.200	-154.0016
615.000000	80.187	-152.4086
630.000000	80.179	-150.8360
650.000000	80.175	-148.7251
670.000000	80.182	-146.6064
690.000000	80.200	-144.4866
710.000000	80.226	-142.3748
730.000000	80.263	-140.2576
750.000000	80.309	-138.1341
775.000000	80.383	-135.5063
800.000000	80.475	-132.8646
825.000000	80.584	-130.2535
850.000000	80.714	-127.6664
875.000000	80.864	-125.1179
900.000000	81.037	-122.6323
925.000000	81.231	-120.2404
950.000000	81.449	-117.9662
975.000000	81.686	-115.8962
1000.000000	81.915	-114.1402
1030.000000	82.136	-112.0792
1060.000000	82.380	-109.5682
1090.000000	82.698	-107.3165
1120.000000	83.022	-105.4234
1150.000000	83.343	-103.7369
1180.000000	83.655	-102.2303
