* Measurement data measured by REW V5.20.13
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250. Timing signal peak level -64.3 dBFS, measurement signal peak level -24.1 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -6.0 dBFS using an acoustic timing reference
* Dated: Jun 24, 2023 5:25:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0507 ms (17 mm, 0.68 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset
* Measurement: Bridge R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	88.261	-110.8443
21.200001	88.389	-112.8338
21.799999	88.502	-114.7917
22.400000	88.597	-116.7038
23.000000	88.673	-118.5356
23.600000	88.739	-120.2620
24.299999	88.805	-122.1509
25.000000	88.853	-123.9746
25.799999	88.899	-126.0768
26.500000	88.939	-127.9007
27.200001	88.966	-129.6363
28.000000	88.981	-131.5324
29.000000	89.005	-133.8138
30.000000	89.026	-135.8927
30.700001	89.027	-137.2642
31.500000	89.026	-138.8241
32.500000	89.033	-140.7511
33.500000	89.037	-142.5837
34.500000	89.027	-144.3546
35.500000	89.011	-146.0561
36.500000	89.012	-147.6202
37.500000	88.999	-149.2528
38.700001	88.955	-151.0674
40.000000	88.922	-152.8865
41.200001	88.898	-154.4664
42.500000	88.860	-156.2722
43.700001	88.857	-157.6747
45.000000	88.792	-159.2569
46.200001	88.775	-160.6553
47.500000	88.729	-162.0852
48.700001	88.683	-163.3142
50.000000	88.630	-164.6288
51.500000	88.585	-166.1514
53.000000	88.528	-167.4638
54.500000	88.462	-168.7442
56.000000	88.406	-170.0471
58.000000	88.321	-171.7170
60.000000	88.221	-173.3027
61.500000	88.184	-174.3429
63.000000	88.118	-175.3964
65.000000	88.037	-176.7096
67.000000	87.950	-177.9527
69.000000	87.861	-179.1519
71.000000	87.773	179.7028
73.000000	87.683	178.5966
75.000000	87.588	177.6004
