* Measurement data measured by REW V5.30.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 20, 2024 8:59:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bunny R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 42.394 164.9935
0.732422 41.827 148.8013
1.098633 41.359 129.7567
1.464844 41.725 106.9914
1.831055 43.423 83.2812
2.197266 46.040 62.6815
2.563477 48.819 46.1014
2.929688 51.339 32.7312
3.295898 53.496 21.8753
3.662109 55.339 13.1050
4.028320 56.967 5.9714
4.394531 58.463 -0.1279
4.760742 59.854 -5.8018
5.126953 61.115 -11.4028
5.493164 62.214 -16.9146
5.859375 63.145 -22.0657
6.225586 63.943 -26.5575
6.591797 64.675 -30.2888
6.958008 65.405 -33.4629
7.324219 66.156 -36.4790
7.690430 66.903 -39.6648
8.056641 67.602 -43.0836
8.422852 68.222 -46.5587
8.789062 68.763 -49.8412
9.155273 69.253 -52.7818
9.521484 69.723 -55.4098
9.887695 70.188 -57.8772
10.253906 70.638 -60.3194
10.620117 71.055 -62.7491
10.986328 71.429 -65.0658
11.352539 71.768 -67.1550
11.718750 72.095 -68.9939
12.084961 72.428 -70.6813
12.451172 72.767 -72.3712
12.817383 73.096 -74.1638
13.183594 73.399 -76.0489
13.549805 73.665 -77.9367
13.916016 73.901 -79.7385
14.282227 74.118 -81.4294
14.648438 74.326 -83.0506
15.014648 74.525 -84.6566
15.380859 74.709 -86.2583
15.747070 74.877 -87.8148
16.113281 75.034 -89.2793
16.479492 75.193 -90.6566
16.845703 75.360 -92.0160
17.211914 75.530 -93.4390
17.578125 75.690 -94.9441
17.944336 75.827 -96.4554
18.310547 75.943 -97.8470
18.676758 76.053 -99.0346
19.042969 76.178 -100.0464
19.409180 76.330 -101.0117
19.775391 76.499 -102.0634
20.141602 76.663 -103.2375
20.507812 76.806 -104.4556
20.874023 76.920 -105.6026
21.240234 77.026 -106.6314
21.606445 77.133 -107.6082
21.972656 77.243 -108.6530
22.338867 77.336 -109.8230
22.705078 77.391 -111.0428
23.071289 77.406 -112.1435
23.437500 77.398 -112.9814
23.803711 77.400 -113.5519
24.169922 77.434 -114.0086
24.536133 77.500 -114.5588
24.902344 77.574 -115.3214
25.268555 77.634 -116.2707
25.634766 77.669 -117.2941
26.000977 77.684 -118.2912
26.367188 77.689 -119.2274
26.733398 77.691 -120.1146
27.099609 77.691 -120.9582
27.465820 77.693 -121.7395
27.832031 77.704 -122.4555
28.198242 77.735 -123.1647
28.564453 77.781 -123.9694
28.930664 77.824 -124.9282
29.296875 77.844 -125.9773
29.663086 77.833 -126.9459
30.029297 77.807 -127.6710
30.395508 77.800 -128.1354
30.761719 77.833 -128.5110
31.127930 77.901 -129.0402
31.494141 77.969 -129.8438
31.860352 78.001 -130.8263
32.226562 77.985 -131.7485
32.592773 77.939 -132.3965
32.958984 77.902 -132.7270
33.325195 77.899 -132.8915
33.691406 77.934 -133.1141
34.057617 77.983 -133.5301
34.423828 78.024 -134.1246
34.790039 78.044 -134.7944
35.156250 78.047 -135.4469
35.522461 78.042 -136.0497
35.888672 78.036 -136.6138
36.254883 78.032 -137.1534
36.621094 78.033 -137.6755
36.987305 78.043 -138.2044
37.353516 78.061 -138.7957
37.719727 78.082 -139.5039
38.085938 78.088 -140.3229
38.452148 78.067 -141.1574
38.818359 78.021 -141.8612
39.184570 77.967 -142.3229
39.550781 77.930 -142.5406
39.916992 77.928 -142.6283
40.283203 77.963 -142.7437
40.649414 78.020 -142.9967
41.015625 78.082 -143.4094
41.381836 78.136 -143.9397
41.748047 78.175 -144.5258
42.114258 78.198 -145.1132
42.480469 78.207 -145.6602
42.846680 78.208 -146.1391
43.212891 78.205 -146.5442
43.579102 78.204 -146.8961
43.945312 78.206 -147.2291
44.311523 78.208 -147.5654
44.677734 78.207 -147.9020
45.043945 78.203 -148.2244
45.410156 78.199 -148.5348
45.776367 78.196 -148.8584
46.142578 78.190 -149.2146
46.508789 78.174 -149.5798
46.875000 78.148 -149.8871
47.241211 78.123 -150.0793
47.607422 78.114 -150.1773
47.973633 78.133 -150.2943
48.339844 78.170 -150.5659
48.706055 78.204 -151.0468
49.072266 78.215 -151.6652
49.438477 78.195 -152.2726
49.804688 78.156 -152.7428
50.170898 78.117 -153.0468
50.537109 78.092 -153.2486
50.903320 78.081 -153.4335
51.269531 78.078 -153.6395
51.635742 78.079 -153.8530
52.001953 78.084 -154.0581
52.368164 78.097 -154.2765
52.734375 78.116 -154.5527
53.100586 78.133 -154.9039
53.466797 78.140 -155.2926
53.833008 78.137 -155.6562
54.199219 78.133 -155.9653
54.565430 78.135 -156.2537
54.931641 78.141 -156.5843
55.297852 78.141 -156.9804
55.664062 78.125 -157.3883
56.030273 78.094 -157.7078
56.396484 78.061 -157.8672
56.762695 78.045 -157.8859
57.128906 78.058 -157.8723
57.495117 78.096 -157.9593
57.861328 78.143 -158.2276
58.227539 78.181 -158.6700
58.593750 78.196 -159.2077
58.959961 78.186 -159.7319
59.326172 78.156 -160.1490
59.692383 78.122 -160.4152
60.058594 78.096 -160.5546
60.424805 78.088 -160.6439
60.791016 78.093 -160.7644
61.157227 78.102 -160.9487
61.523438 78.106 -161.1670
61.889648 78.107 -161.3669
62.255859 78.112 -161.5364
62.622070 78.127 -161.7301
62.988281 78.147 -162.0242
63.354492 78.156 -162.4374
63.720703 78.141 -162.8936
64.086914 78.103 -163.2689
64.453125 78.057 -163.4872
64.819336 78.020 -163.5814
65.185547 77.997 -163.6545
65.551758 77.978 -163.7697
65.917969 77.951 -163.8815
66.284180 77.919 -163.8869
66.650391 77.902 -163.7567
67.016602 77.920 -163.6156
67.382812 77.966 -163.6681
67.749023 78.009 -164.0152
68.115234 78.013 -164.5441
68.481445 77.973 -164.9976
68.847656 77.915 -165.1725
69.213867 77.883 -165.0984
69.580078 77.896 -165.0318
69.946289 77.935 -165.2331
70.312500 77.953 -165.7283
70.678711 77.922 -166.2839
71.044922 77.854 -166.5999
71.411133 77.795 -166.5618
71.777344 77.787 -166.3549
72.143555 77.829 -166.3121
72.509766 77.882 -166.6161
72.875977 77.900 -167.1524
73.242188 77.875 -167.6311
73.608398 77.837 -167.8454
73.974609 77.826 -167.8561
74.340820 77.858 -167.9374
74.707031 77.900 -168.3104
75.073242 77.907 -168.9222
75.439453 77.856 -169.4749
75.805664 77.772 -169.6603
76.171875 77.712 -169.4223
76.538086 77.715 -169.0377
76.904297 77.772 -168.8957
77.270508 77.830 -169.1627
77.636719 77.838 -169.6603
78.002930 77.792 -170.0355
78.369141 77.730 -170.0553
78.735352 77.705 -169.8121
79.101562 77.735 -169.6585
79.467773 77.784 -169.8905
79.833984 77.793 -170.4805
80.200195 77.732 -171.0983
80.566406 77.621 -171.3651
80.932617 77.523 -171.1553
81.298828 77.491 -170.7328
81.665039 77.525 -170.5513
82.031250 77.566 -170.8607
82.397461 77.550 -171.4967
82.763672 77.458 -172.0098
83.129883 77.330 -171.9854
83.496094 77.247 -171.3661
83.862305 77.272 -170.5536
84.228516 77.394 -170.1242
84.594727 77.543 -170.3850
84.960938 77.644 -171.2031
85.327148 77.661 -172.1757
85.693359 77.614 -172.9095
86.059570 77.547 -173.2324
86.425781 77.507 -173.2472
86.791992 77.507 -173.1998
87.158203 77.528 -173.2685
87.524414 77.544 -173.4559
87.890625 77.545 -173.6481
88.256836 77.539 -173.7491
88.623047 77.543 -173.7700
88.989258 77.561 -173.8106
89.355469 77.585 -173.9638
89.721680 77.596 -174.2349
90.087891 77.584 -174.5381
90.454102 77.550 -174.7616
90.820312 77.510 -174.8423
91.186523 77.477 -174.8026
91.552734 77.462 -174.7267
91.918945 77.461 -174.7017
92.285156 77.465 -174.7673
92.651367 77.463 -174.9061
93.017578 77.454 -175.0705
93.383789 77.440 -175.2203
93.750000 77.425 -175.3451
94.116211 77.415 -175.4626
94.482422 77.407 -175.5967
94.848633 77.400 -175.7550
95.214844 77.389 -175.9198
95.581055 77.376 -176.0613
95.947266 77.365 -176.1609
96.313477 77.360 -176.2300
96.679688 77.365 -176.3089
97.045898 77.377 -176.4431
97.412109 77.387 -176.6535
97.778320 77.387 -176.9184
98.144531 77.372 -177.1821
98.510742 77.346 -177.3839
98.876953 77.316 -177.4908
99.243164 77.290 -177.5149
99.609375 77.275 -177.5023
99.975586 77.268 -177.5028
100.341797 77.266 -177.5410
100.708008 77.262 -177.6104
101.074219 77.257 -177.6913
101.440430 77.251 -177.7737
101.806641 77.247 -177.8665
102.172852 77.243 -177.9834
102.539062 77.236 -178.1237
102.905273 77.224 -178.2658
103.271484 77.210 -178.3838
103.637695 77.198 -178.4713
104.003906 77.191 -178.5495
104.370117 77.188 -178.6476
104.736328 77.184 -178.7713
105.102539 77.174 -178.8905
105.468750 77.163 -178.9623
105.834961 77.157 -178.9733
106.201172 77.164 -178.9645
106.567383 77.184 -179.0110
106.933594 77.207 -179.1667
107.299805 77.219 -179.4194
107.666016 77.213 -179.6938
108.032227 77.191 -179.9008
108.398438 77.165 -179.9985
108.764648 77.147 179.9825
109.130859 77.139 179.9662
109.497070 77.136 179.8936
109.863281 77.126 179.7686
110.229492 77.104 179.6522
110.595703 77.074 179.6143
110.961914 77.047 179.6775
111.328125 77.036 179.7946
111.694336 77.043 179.8760
112.060547 77.059 179.8472
112.426758 77.072 179.6948
112.792969 77.070 179.4709
113.159180 77.052 179.2573
113.525391 77.025 179.1167
113.891602 77.000 179.0599
114.257812 76.984 179.0483
114.624023 76.978 179.0258
114.990234 76.978 178.9575
115.356445 76.976 178.8463
115.722656 76.971 178.7202
116.088867 76.963 178.6048
116.455078 76.955 178.5048
116.821289 76.950 178.4070
117.187500 76.945 178.2982
117.553711 76.938 178.1791
117.919922 76.929 178.0631
118.286133 76.919 177.9623
118.652344 76.908 177.8763
119.018555 76.899 177.7950
119.384766 76.889 177.7109
119.750977 76.877 177.6280
120.117188 76.863 177.5591
120.483398 76.847 177.5155
120.849609 76.833 177.4992
121.215820 76.822 177.5046
121.582031 76.816 177.5224
121.948242 76.816 177.5381
122.314453 76.823 177.5280
122.680664 76.834 177.4609
123.046875 76.843 177.3165
123.413086 76.843 177.1087
123.779297 76.828 176.8932
124.145508 76.799 176.7442
124.511719 76.767 176.7096
124.877930 76.744 176.7736
125.244141 76.739 176.8611
125.610352 76.748 176.8862
125.976562 76.758 176.8115
126.342773 76.759 176.6700
126.708984 76.747 176.5352
127.075195 76.729 176.4649
127.441406 76.715 176.4600
127.807617 76.711 176.4683
128.173828 76.714 176.4294
128.540039 76.716 176.3220
128.906250 76.708 176.1778
129.272461 76.691 176.0542
129.638672 76.670 175.9901
130.004883 76.654 175.9786
130.371094 76.646 175.9744
130.737305 76.644 175.9301
131.103516 76.642 175.8315
131.469727 76.632 175.7071
131.835938 76.614 175.6060
132.202148 76.595 175.5618
132.568359 76.581 175.5692
132.934570 76.576 175.5886
133.300781 76.580 175.5761
133.666992 76.585 175.5148
134.033203 76.586 175.4225
134.399414 76.584 175.3314
134.765625 76.582 175.2570
135.131836 76.582 175.1834
135.498047 76.584 175.0783
135.864258 76.582 174.9292
136.230469 76.568 174.7679
136.596680 76.542 174.6601
136.962891 76.511 174.6629
137.329102 76.490 174.7772
137.695312 76.489 174.9327
138.061523 76.506 175.0239
138.427734 76.532 174.9749
138.793945 76.549 174.7862
139.160156 76.546 174.5313
139.526367 76.523 174.3087
139.892578 76.490 174.1839
140.258789 76.460 174.1561
140.625000 76.440 174.1699
140.991211 76.430 174.1609
141.357422 76.421 174.1021
141.723633 76.407 174.0155
142.089844 76.389 173.9460
142.456055 76.371 173.9187
142.822266 76.360 173.9129
143.188477 76.357 173.8751
143.554688 76.355 173.7640
143.920898 76.342 173.5942
144.287109 76.311 173.4439
144.653320 76.267 173.4167
145.019531 76.227 173.5732
145.385742 76.211 173.8748
