* Measurement data measured by REW V5.20.13
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -5.0 dBFS with no timing reference
* Dated: Dec 24, 2022 6:39:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: C2 L
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	85.988	-102.1141
20.600000	86.164	-104.1412
21.200001	86.313	-106.0382
21.799999	86.451	-107.8154
22.400000	86.585	-109.5495
23.000000	86.712	-111.2936
23.600000	86.828	-113.0569
24.299999	86.941	-115.1177
25.000000	87.022	-117.1090
25.799999	87.084	-119.1805
26.500000	87.126	-120.7971
27.200001	87.165	-122.2708
28.000000	87.214	-123.8558
29.000000	87.276	-125.8989
30.000000	87.305	-128.0019
30.700001	87.311	-129.3599
31.500000	87.327	-130.8289
32.500000	87.356	-132.6820
33.500000	87.379	-134.5091
34.500000	87.396	-136.2378
35.500000	87.405	-137.8212
36.500000	87.419	-139.2485
37.500000	87.439	-140.6488
38.700001	87.449	-142.3731
40.000000	87.437	-144.1565
41.200001	87.423	-145.7097
42.500000	87.421	-147.3233
43.700001	87.425	-148.8757
45.000000	87.408	-150.4849
46.200001	87.392	-151.7795
47.500000	87.383	-153.0918
48.700001	87.369	-154.3075
50.000000	87.337	-155.5285
51.500000	87.304	-156.8441
53.000000	87.269	-158.1120
54.500000	87.244	-159.3547
56.000000	87.217	-160.6050
58.000000	87.167	-162.0703
60.000000	87.152	-163.4668
61.500000	87.112	-164.6394
63.000000	87.059	-165.6377
65.000000	87.005	-166.8666
67.000000	86.952	-168.1086
69.000000	86.889	-169.2129
71.000000	86.832	-170.2292
73.000000	86.777	-171.2376
75.000000	86.719	-172.2447
77.500000	86.640	-173.4229
80.000000	86.561	-174.4988
82.500000	86.482	-175.5030
85.000000	86.396	-176.4493
87.500000	86.314	-177.3326
90.000000	86.240	-178.2127
92.500000	86.162	-179.0169
95.000000	86.082	-179.7390
97.500000	86.001	179.5233
100.000000	85.920	178.7714
103.000000	85.828	177.9698
106.000000	85.741	177.2683
109.000000	85.654	176.5905
112.000000	85.573	175.9565
115.000000	85.491	175.3829
118.000000	85.406	174.8498
122.000000	85.295	174.1598
125.000000	85.211	173.6915
128.000000	85.127	173.2560
132.000000	85.018	172.7191
136.000000	84.916	172.2610
140.000000	84.814	171.8361
145.000000	84.690	171.3453
150.000000	84.560	170.9338
155.000000	84.435	170.5681
160.000000	84.320	170.2546
165.000000	84.199	170.0194
170.000000	84.086	169.7864
175.000000	83.969	169.5767
180.000000	83.851	169.4507
185.000000	83.749	169.3708
190.000000	83.649	169.2980
195.000000	83.549	169.2510
200.000000	83.448	169.2350
206.000000	83.334	169.2375
212.000000	83.223	169.2788
218.000000	83.119	169.3544
224.000000	83.016	169.4591
230.000000	82.914	169.5820
236.000000	82.816	169.7340
243.000000	82.706	169.9321
250.000000	82.601	170.1451
258.000000	82.487	170.4243
265.000000	82.389	170.6817
272.000000	82.296	170.9596
280.000000	82.195	171.3083
290.000000	82.077	171.7484
300.000000	81.962	172.1973
307.000000	81.886	172.5752
315.000000	81.802	173.0230
325.000000	81.701	173.5641
335.000000	81.606	174.1216
345.000000	81.517	174.6884
355.000000	81.433	175.2530
365.000000	81.353	175.8321
375.000000	81.277	176.4316
387.000000	81.193	177.1603
400.000000	81.105	177.9378
412.000000	81.029	178.6792
425.000000	80.956	179.5017
437.000000	80.891	-179.7425
450.000000	80.824	-178.9127
462.000000	80.765	-178.1528
475.000000	80.708	-177.3053
487.000000	80.661	-176.5032
500.000000	80.614	-175.6278
515.000000	80.560	-174.6826
530.000000	80.511	-173.7411
545.000000	80.468	-172.7756
560.000000	80.429	-171.8149
580.000000	80.385	-170.4592
600.000000	80.345	-169.1309
615.000000	80.320	-168.1388
630.000000	80.301	-167.1286
650.000000	80.283	-165.7578
670.000000	80.271	-164.3787
690.000000	80.266	-163.0007
710.000000	80.268	-161.6116
730.000000	80.279	-160.2110
750.000000	80.298	-158.8015
775.000000	80.336	-157.0278
800.000000	80.385	-155.2299
825.000000	80.450	-153.4360
850.000000	80.527	-151.6559
875.000000	80.617	-149.8423
900.000000	80.734	-147.9382
925.000000	80.902	-146.0782
950.000000	81.100	-144.5213
975.000000	81.292	-143.1875
1000.000000	81.481	-141.9248
1030.000000	81.716	-140.5125
1060.000000	81.961	-139.2557
1090.000000	82.211	-138.1650
1120.000000	82.461	-137.2393
1150.000000	82.706	-136.4752
1180.000000	82.943	-135.8511
1220.000000	83.242	-135.1915
1250.000000	83.453	-134.7961
1280.000000	83.652	-134.4601
1320.000000	83.900	-134.0779
1360.000000	84.131	-133.7413
1400.000000	84.349	-133.4302
1450.000000	84.605	-133.0546
1500.000000	84.851	-132.6843
1550.000000	85.090	-132.3230
1600.000000	85.326	-131.9719
1650.000000	85.559	-131.6420
1700.000000	85.793	-131.3440
1750.000000	86.027	-131.0865
1800.000000	86.263	-130.8784
1850.000000	86.499	-130.7295
1900.000000	86.737	-130.6451
1950.000000	86.975	-130.6262
2000.000000	87.214	-130.6850
2060.000000	87.501	-130.8762
2120.000000	87.788	-131.2162
2180.000000	88.070	-131.7289
2240.000000	88.342	-132.4559
2300.000000	88.591	-133.4014
2360.000000	88.805	-134.5055
2430.000000	89.007	-135.8709
2500.000000	89.164	-137.2155
2580.000000	89.302	-138.6535
2650.000000	89.397	-139.8127
2720.000000	89.475	-140.8863
2800.000000	89.546	-142.0127
2900.000000	89.615	-143.2757
3000.000000	89.671	-144.3893
3070.000000	89.705	-145.0939
3150.000000	89.742	-145.8376
3250.000000	89.790	-146.6976
3350.000000	89.841	-147.5184
3450.000000	89.895	-148.3309
3550.000000	89.953	-149.1672
3650.000000	90.012	-150.0529
3750.000000	90.071	-151.0088
3870.000000	90.138	-152.2704
4000.000000	90.199	-153.7984
4120.000000	90.239	-155.3635
4250.000000	90.260	-157.2190
4370.000000	90.252	-159.0680
4500.000000	90.211	-161.1984
4620.000000	90.141	-163.2582
4750.000000	90.033	-165.5702
4870.000000	89.907	-167.7933
5000.000000	89.745	-170.3857
5150.000000	89.510	-173.8513
5300.000000	89.150	-178.0579
5450.000000	88.536	177.3577
5600.000000	87.587	173.7720
5800.000000	86.005	172.8427
6000.000000	84.545	176.0022
6150.000000	83.697	179.7236
6300.000000	83.052	-176.1634
6500.000000	82.436	-170.6365
6700.000000	82.020	-165.2491
6900.000000	81.766	-160.0117
7100.000000	81.667	-155.0167
7300.000000	81.708	-150.4405
7500.000000	81.864	-146.3497
7750.000000	82.217	-141.8980
8000.000000	82.764	-138.3741
8250.000000	83.504	-136.2107
8500.000000	84.397	-135.9958
8750.000000	85.336	-138.3668
9000.000000	86.136	-143.6581
9250.000000	86.594	-151.3332
9500.000000	86.597	-159.8080
9750.000000	86.195	-167.2274
10000.000000	85.572	-172.5032
10300.000000	84.827	-175.9229
10600.000000	84.361	-177.0033
10900.000000	84.429	-176.9121
11200.000000	85.325	-177.4840
11500.000000	87.068	177.2242
11800.000000	88.815	161.8569
12200.000000	89.378	127.0407
12500.000000	88.074	100.7285
12800.000000	85.717	81.5335
13200.000000	82.084	66.3997
13600.000000	78.873	57.2841
14000.000000	76.373	49.6861
14500.000000	74.085	39.0652
15000.000000	72.463	25.1875
15500.000000	71.266	6.6215
16000.000000	70.240	-17.7900
16500.000000	68.923	-48.0317
17000.000000	66.783	-74.6511
17500.000000	65.990	-99.4725
18000.000000	66.037	-139.4145
18500.000000	65.857	170.8080
19000.000000	65.636	109.6912
19500.000000	65.080	38.8521
