* Measurement data measured by REW V5.20.13
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -5.0 dBFS with no timing reference
* Dated: Dec 24, 2022 6:39:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: C2 R
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	86.678	-108.8636
20.600000	86.825	-110.8327
21.200001	86.950	-112.6602
21.799999	87.060	-114.4278
22.400000	87.146	-116.1574
23.000000	87.208	-117.7770
23.600000	87.264	-119.2686
24.299999	87.327	-120.9575
25.000000	87.377	-122.6336
25.799999	87.423	-124.4393
26.500000	87.472	-126.0111
27.200001	87.509	-127.7053
28.000000	87.509	-129.5973
29.000000	87.496	-131.5045
30.000000	87.535	-133.2645
30.700001	87.565	-134.6082
31.500000	87.581	-136.1398
32.500000	87.587	-137.8974
33.500000	87.592	-139.5172
34.500000	87.594	-141.0737
35.500000	87.594	-142.5332
36.500000	87.599	-143.9758
37.500000	87.591	-145.4361
38.700001	87.570	-146.9949
40.000000	87.565	-148.5929
41.200001	87.551	-150.0667
42.500000	87.535	-151.5032
43.700001	87.526	-152.8248
45.000000	87.502	-154.2127
46.200001	87.477	-155.3947
47.500000	87.452	-156.6294
48.700001	87.426	-157.7455
50.000000	87.395	-158.8867
51.500000	87.365	-160.1513
53.000000	87.331	-161.3972
54.500000	87.291	-162.5730
56.000000	87.243	-163.6651
58.000000	87.181	-164.9329
60.000000	87.142	-166.1991
61.500000	87.114	-167.2686
63.000000	87.069	-168.2987
65.000000	87.006	-169.4937
67.000000	86.951	-170.5515
69.000000	86.892	-171.6089
71.000000	86.827	-172.5984
73.000000	86.766	-173.5550
75.000000	86.707	-174.4728
77.500000	86.631	-175.5658
80.000000	86.550	-176.5959
82.500000	86.463	-177.5490
85.000000	86.377	-178.4369
87.500000	86.294	-179.2836
90.000000	86.217	179.9138
92.500000	86.142	179.1445
95.000000	86.066	178.4020
97.500000	85.985	177.6980
100.000000	85.905	177.1046
103.000000	85.812	176.4383
106.000000	85.720	175.7852
109.000000	85.632	175.1480
112.000000	85.547	174.5728
115.000000	85.460	174.0445
118.000000	85.374	173.5380
122.000000	85.264	172.9224
125.000000	85.183	172.4965
128.000000	85.105	172.0812
132.000000	85.002	171.5809
136.000000	84.891	171.1669
140.000000	84.786	170.7812
145.000000	84.662	170.3641
150.000000	84.536	169.9918
155.000000	84.408	169.6727
160.000000	84.291	169.3930
165.000000	84.176	169.1534
170.000000	84.062	168.9567
175.000000	83.952	168.8289
180.000000	83.842	168.7413
185.000000	83.738	168.6461
190.000000	83.635	168.5908
195.000000	83.536	168.5738
200.000000	83.439	168.5839
206.000000	83.324	168.6235
212.000000	83.213	168.6905
218.000000	83.105	168.7675
224.000000	83.001	168.8798
230.000000	82.903	169.0330
236.000000	82.808	169.2039
243.000000	82.699	169.4160
250.000000	82.596	169.6533
258.000000	82.483	169.9665
265.000000	82.387	170.2585
272.000000	82.294	170.5510
280.000000	82.193	170.9095
290.000000	82.074	171.4005
300.000000	81.966	171.9385
307.000000	81.889	172.2801
315.000000	81.804	172.6793
325.000000	81.705	173.2287
335.000000	81.612	173.7885
345.000000	81.524	174.3607
355.000000	81.443	174.9493
365.000000	81.365	175.5422
375.000000	81.292	176.1383
387.000000	81.208	176.8610
400.000000	81.122	177.6630
412.000000	81.049	178.4169
425.000000	80.976	179.2411
437.000000	80.912	179.9900
450.000000	80.847	-179.1944
462.000000	80.793	-178.4366
475.000000	80.739	-177.6037
487.000000	80.692	-176.8315
500.000000	80.644	-175.9865
515.000000	80.591	-175.0094
530.000000	80.544	-174.0365
545.000000	80.502	-173.0591
560.000000	80.466	-172.0775
580.000000	80.424	-170.7617
600.000000	80.390	-169.4288
615.000000	80.367	-168.4237
630.000000	80.349	-167.4160
650.000000	80.331	-166.0703
670.000000	80.321	-164.7132
690.000000	80.318	-163.3477
710.000000	80.323	-161.9675
730.000000	80.337	-160.5781
750.000000	80.360	-159.1776
775.000000	80.400	-157.4302
800.000000	80.454	-155.7055
825.000000	80.521	-153.9887
850.000000	80.598	-152.2311
875.000000	80.705	-150.4670
900.000000	80.829	-148.8536
925.000000	80.948	-147.2689
950.000000	81.089	-145.5812
975.000000	81.269	-143.9794
1000.000000	81.468	-142.5747
1030.000000	81.716	-141.1046
1060.000000	81.970	-139.8206
1090.000000	82.226	-138.7317
1120.000000	82.479	-137.8180
1150.000000	82.727	-137.0610
1180.000000	82.966	-136.4443
1220.000000	83.268	-135.7963
1250.000000	83.480	-135.4117
1280.000000	83.681	-135.0942
1320.000000	83.931	-134.7375
1360.000000	84.164	-134.4283
1400.000000	84.383	-134.1466
1450.000000	84.642	-133.8139
1500.000000	84.889	-133.4775
1550.000000	85.129	-133.1526
1600.000000	85.364	-132.8399
1650.000000	85.598	-132.5467
1700.000000	85.832	-132.2877
1750.000000	86.066	-132.0698
1800.000000	86.303	-131.8988
1850.000000	86.540	-131.7896
1900.000000	86.780	-131.7464
1950.000000	87.020	-131.7766
2000.000000	87.261	-131.8961
2060.000000	87.552	-132.1739
2120.000000	87.841	-132.6273
2180.000000	88.123	-133.2901
2240.000000	88.386	-134.1752
2300.000000	88.618	-135.2479
2360.000000	88.814	-136.4299
2430.000000	88.997	-137.8429
2500.000000	89.142	-139.2179
2580.000000	89.270	-140.7023
2650.000000	89.358	-141.9178
2720.000000	89.427	-143.0592
2800.000000	89.486	-144.2678
2900.000000	89.540	-145.6428
3000.000000	89.578	-146.8723
3070.000000	89.598	-147.6576
3150.000000	89.619	-148.4971
3250.000000	89.642	-149.4779
3350.000000	89.666	-150.4148
3450.000000	89.689	-151.3402
3550.000000	89.712	-152.2799
3650.000000	89.733	-153.2558
3750.000000	89.750	-154.2863
3870.000000	89.761	-155.6152
4000.000000	89.755	-157.1730
4120.000000	89.726	-158.7190
4250.000000	89.664	-160.4910
4370.000000	89.573	-162.1852
4500.000000	89.433	-164.0365
4620.000000	89.265	-165.7016
4750.000000	89.046	-167.3878
4870.000000	88.817	-168.7879
5000.000000	88.556	-170.1248
5150.000000	88.263	-171.5543
5300.000000	87.989	-173.2155
5450.000000	87.680	-175.5513
5600.000000	87.209	-178.5137
