* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep at -5.0 dBFS with no timing reference
* Dated: Feb 25, 2023 1:07:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: C5 R
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	103.662	-137.8465
21.200001	103.711	-139.2942
21.799999	103.751	-140.7931
22.400000	103.774	-142.2302
23.000000	103.784	-143.6173
23.600000	103.783	-144.9592
24.299999	103.773	-146.4675
25.000000	103.757	-147.9070
25.799999	103.732	-149.4773
26.500000	103.704	-150.8090
27.200001	103.671	-152.1042
28.000000	103.632	-153.5260
29.000000	103.580	-155.2257
30.000000	103.525	-156.8542
30.700001	103.487	-157.9419
31.500000	103.441	-159.1381
32.500000	103.382	-160.5809
33.500000	103.323	-161.9639
34.500000	103.263	-163.2817
35.500000	103.201	-164.5396
36.500000	103.139	-165.7516
37.500000	103.076	-166.9194
38.700001	103.001	-168.2592
40.000000	102.917	-169.6358
41.200001	102.839	-170.8445
42.500000	102.753	-172.0896
43.700001	102.673	-173.1825
45.000000	102.585	-174.3102
46.200001	102.508	-175.3296
47.500000	102.427	-176.3722
48.700001	102.350	-177.2708
50.000000	102.266	-178.2231
51.500000	102.168	-179.2731
53.000000	102.073	179.7585
54.500000	101.979	178.8344
56.000000	101.881	177.9420
58.000000	101.757	176.8359
60.000000	101.637	175.8060
61.500000	101.543	175.0701
63.000000	101.449	174.3755
65.000000	101.325	173.5092
67.000000	101.204	172.7059
69.000000	101.085	171.9505
71.000000	100.968	171.2371
73.000000	100.852	170.5743
75.000000	100.736	169.9614
77.500000	100.593	169.2349
80.000000	100.452	168.5764
82.500000	100.314	167.9709
85.000000	100.176	167.4205
87.500000	100.041	166.9308
90.000000	99.912	166.4787
92.500000	99.785	166.0575
95.000000	99.661	165.6698
97.500000	99.543	165.3138
100.000000	99.428	164.9998
103.000000	99.292	164.6767
106.000000	99.162	164.3821
109.000000	99.037	164.1319
112.000000	98.916	163.9227
115.000000	98.798	163.7342
118.000000	98.684	163.5768
122.000000	98.538	163.4088
125.000000	98.431	163.3148
128.000000	98.328	163.2489
132.000000	98.195	163.1952
136.000000	98.065	163.1721
140.000000	97.941	163.1776
145.000000	97.792	163.2259
150.000000	97.649	163.3173
155.000000	97.512	163.4507
160.000000	97.380	163.6169
165.000000	97.253	163.8125
170.000000	97.134	164.0285
175.000000	97.018	164.2573
180.000000	96.908	164.5089
185.000000	96.803	164.7847
190.000000	96.702	165.0812
195.000000	96.605	165.3856
200.000000	96.514	165.7017
206.000000	96.408	166.1071
212.000000	96.308	166.5167
218.000000	96.213	166.9407
224.000000	96.122	167.3736
230.000000	96.035	167.8112
236.000000	95.952	168.2672
243.000000	95.861	168.8016
250.000000	95.775	169.3372
258.000000	95.682	169.9525
265.000000	95.606	170.4968
272.000000	95.534	171.0526
280.000000	95.457	171.6917
290.000000	95.370	172.4827
300.000000	95.287	173.2800
307.000000	95.232	173.8432
315.000000	95.175	174.4822
325.000000	95.108	175.2684
335.000000	95.048	176.0610
345.000000	94.992	176.8570
355.000000	94.941	177.6433
