* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260. Timing signal peak level -57.1 dBFS, measurement signal peak level -21.3 dBFS
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: Dec 23, 2021 8:10:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0875 ms (-30 mm, -1.18 in) using estimated IR delay relative to Acoustic reference on HEADPHONE R with no timing offset
* Measurement: CRA L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	96.966034	-140.8789
21.200001	97.005066	-142.6721
21.799999	97.019547	-144.3256
22.400000	97.026398	-145.9127
23.000000	97.028976	-147.5328
23.600000	97.008690	-149.1279
24.299999	96.964508	-150.7929
25.000000	96.943977	-152.3399
25.799999	96.908272	-154.2835
26.500000	96.823601	-155.8743
27.200001	96.767235	-157.0689
28.000000	96.765579	-158.6343
29.000000	96.658806	-161.1139
30.000000	96.513016	-162.5554
30.700001	96.489227	-163.4274
31.500000	96.476311	-164.9362
32.500000	96.402542	-166.9443
33.500000	96.291763	-168.7589
34.500000	96.165840	-170.2917
35.500000	96.059929	-171.6609
36.500000	95.964592	-172.9906
37.500000	95.879913	-174.3047
38.700001	95.791664	-175.8058
40.000000	95.702332	-177.3114
41.200001	95.606415	-178.4651
42.500000	95.463959	-179.6979
43.700001	95.337067	178.9544
45.000000	95.237198	177.6337
46.200001	95.116280	176.5923
47.500000	95.010567	175.3085
48.700001	94.905396	174.4504
50.000000	94.788811	173.2809
51.500000	94.644791	172.2380
53.000000	94.531708	171.1521
54.500000	94.399277	170.0432
56.000000	94.262985	169.1049
58.000000	94.098541	167.8954
60.000000	93.932602	166.7273
61.500000	93.809891	165.9864
63.000000	93.690575	165.2267
65.000000	93.530937	164.2814
67.000000	93.373070	163.4070
69.000000	93.216934	162.5855
71.000000	93.063667	161.8149
73.000000	92.911697	161.1036
75.000000	92.761246	160.4406
77.500000	92.577942	159.6797
80.000000	92.396393	158.9847
82.500000	92.226555	158.3668
85.000000	92.044868	157.7677
87.500000	91.874802	157.2427
90.000000	91.716400	156.7766
92.500000	91.547874	156.3231
95.000000	91.390228	155.9437
97.500000	91.235725	155.5959
100.000000	91.086960	155.2687
103.000000	90.907738	154.9375
106.000000	90.741386	154.6520
109.000000	90.585403	154.3895
112.000000	90.428741	154.1888
115.000000	90.274864	154.0087
118.000000	90.127975	153.8764
122.000000	89.937080	153.7356
125.000000	89.798317	153.6549
128.000000	89.663116	153.6059
132.000000	89.487679	153.5714
136.000000	89.317093	153.5879
