* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260. Timing signal peak level -22.2 dBFS, measurement signal peak level -21.7 dBFS
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: Dec 23, 2021 8:10:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0807 ms (-28 mm, -1.09 in) using estimated IR delay relative to Acoustic reference on HEADPHONE R with no timing offset
* Measurement: CRA R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	96.950249	-139.9272
21.200001	96.990341	-141.7369
21.799999	97.015839	-143.4483
22.400000	97.021416	-145.1102
23.000000	97.013046	-146.7245
23.600000	96.999039	-148.2642
24.299999	96.975525	-149.9968
25.000000	96.940857	-151.6915
25.799999	96.893250	-153.5621
26.500000	96.846344	-155.1016
27.200001	96.792419	-156.5899
28.000000	96.731720	-158.2448
29.000000	96.654404	-160.2139
30.000000	96.572372	-162.0862
30.700001	96.513794	-163.3538
31.500000	96.447029	-164.7506
32.500000	96.356712	-166.4222
33.500000	96.271576	-167.9821
34.500000	96.187622	-169.5036
35.500000	96.098015	-170.9696
36.500000	96.007957	-172.3559
37.500000	95.921997	-173.7062
38.700001	95.808449	-175.2328
40.000000	95.692451	-176.8229
41.200001	95.584618	-178.1778
42.500000	95.467407	-179.6100
43.700001	95.359009	179.1596
45.000000	95.242439	177.8649
46.200001	95.134102	176.7307
47.500000	95.017159	175.5681
48.700001	94.909004	174.5275
50.000000	94.792755	173.4654
51.500000	94.661369	172.3157
53.000000	94.529465	171.2065
54.500000	94.400093	170.1635
56.000000	94.270164	169.1730
58.000000	94.101799	167.9472
60.000000	93.933922	166.7479
61.500000	93.811508	165.9877
63.000000	93.691795	165.2264
65.000000	93.529831	164.2655
67.000000	93.370804	163.3718
69.000000	93.215057	162.5357
71.000000	93.059807	161.7704
73.000000	92.906052	161.0527
75.000000	92.756195	160.3752
77.500000	92.570663	159.5994
80.000000	92.386902	158.8850
82.500000	92.213676	158.2059
85.000000	92.034897	157.6516
87.500000	91.863434	157.1066
90.000000	91.703545	156.6217
92.500000	91.534836	156.1768
95.000000	91.376205	155.7757
97.500000	91.221558	155.4172
100.000000	91.073318	155.0988
103.000000	90.898384	154.7523
106.000000	90.733124	154.4476
109.000000	90.584633	154.2759
112.000000	90.409378	153.9739
115.000000	90.258102	153.7993
118.000000	90.107605	153.6366
122.000000	89.917999	153.4888
125.000000	89.776878	153.4135
128.000000	89.641754	153.3493
132.000000	89.465050	153.3138
136.000000	89.296295	153.3188
140.000000	89.128479	153.3600
145.000000	88.929558	153.4420
150.000000	88.738998	153.5782
155.000000	88.553146	153.7526
160.000000	88.377174	153.9715
165.000000	88.205025	154.2093
170.000000	88.040581	154.4849
175.000000	87.883110	154.7753
180.000000	87.728363	155.0933
185.000000	87.583069	155.4440
190.000000	87.439674	155.8023
195.000000	87.304214	156.1735
200.000000	87.171509	156.5621
206.000000	87.018600	157.0543
212.000000	86.872116	157.5541
218.000000	86.731110	158.0311
224.000000	86.597656	158.6074
230.000000	86.467697	159.1524
236.000000	86.343658	159.7061
243.000000	86.205917	160.3599
250.000000	86.073227	161.0244
258.000000	85.929352	161.7986
265.000000	85.808182	162.4803
272.000000	85.693375	163.1694
280.000000	85.567764	163.9626
290.000000	85.419724	164.9633
300.000000	85.283730	165.9492
307.000000	85.189156	166.6548
315.000000	85.089996	167.4694
325.000000	84.968658	168.4641
335.000000	84.856270	169.4732
345.000000	84.749237	170.4750
355.000000	84.649765	171.4762
365.000000	84.555244	172.4872
375.000000	84.465500	173.4799
387.000000	84.365128	174.6775
400.000000	84.262466	175.9603
412.000000	84.174179	177.1426
425.000000	84.086891	178.4170
437.000000	84.011063	179.5877
450.000000	83.933388	-179.1474
462.000000	83.867157	-177.9877
475.000000	83.799767	-176.7263
487.000000	83.742180	-175.5761
500.000000	83.685669	-174.3351
515.000000	83.623825	-172.8916
530.000000	83.567436	-171.4679
545.000000	83.517570	-170.0342
560.000000	83.472519	-168.6080
580.000000	83.418800	-166.7110
600.000000	83.376312	-164.8111
615.000000	83.349686	-163.3738
630.000000	83.327744	-161.9387
650.000000	83.308495	-160.0086
670.000000	83.299530	-158.0910
690.000000	83.302391	-156.1643
710.000000	83.316833	-154.2263
730.000000	83.344826	-152.3093
750.000000	83.386940	-150.4103
775.000000	83.460602	-148.0931
800.000000	83.557327	-145.8956
825.000000	83.659248	-143.9538
850.000000	83.696312	-141.9265
875.000000	83.817902	-139.4303
900.000000	83.987503	-137.3829
925.000000	84.151367	-135.5434
950.000000	84.317596	-133.8174
975.000000	84.488190	-132.1752
1000.000000	84.662483	-130.6401
1030.000000	84.875259	-128.9237
1060.000000	85.092735	-127.3566
1090.000000	85.310944	-125.9506
1120.000000	85.523781	-124.6903
1150.000000	85.729317	-123.5568
1180.000000	85.927780	-122.5387
1220.000000	86.173546	-121.3326
1250.000000	86.345337	-120.5121
1280.000000	86.504356	-119.7477
1320.000000	86.701424	-118.7876
1360.000000	86.879333	-117.8774
1400.000000	87.043594	-116.9870
1450.000000	87.231445	-115.8943
1500.000000	87.404312	-114.8161
1550.000000	87.565315	-113.7454
1600.000000	87.716850	-112.6856
1650.000000	87.860046	-111.6354
1700.000000	87.995926	-110.6077
1750.000000	88.124710	-109.5919
1800.000000	88.246796	-108.6039
1850.000000	88.361710	-107.6374
1900.000000	88.469086	-106.6789
1950.000000	88.569054	-105.7398
2000.000000	88.661552	-104.8123
2060.000000	88.761505	-103.7062
2120.000000	88.850998	-102.5944
2180.000000	88.929375	-101.4689
2240.000000	88.997383	-100.3256
2300.000000	89.057709	-99.1500
2360.000000	89.110458	-97.9303
2430.000000	89.163681	-96.4514
2500.000000	89.211372	-94.9019
2580.000000	89.263779	-93.0490
2650.000000	89.309074	-91.3458
2720.000000	89.358887	-89.5782
2800.000000	89.421432	-87.4848
2900.000000	89.514008	-84.7775
3000.000000	89.628441	-82.0024
3070.000000	89.722961	-80.0427
3150.000000	89.845924	-77.8078
3250.000000	90.024712	-75.0370
3350.000000	90.231163	-72.3476
3450.000000	90.464455	-69.7738
3550.000000	90.724716	-67.3575
3650.000000	91.008911	-65.1429
3750.000000	91.314400	-63.1732
3870.000000	91.703659	-61.1952
4000.000000	92.141457	-59.6162
4120.000000	92.546265	-58.7688
4250.000000	92.959198	-58.5921
4370.000000	93.286530	-59.1572
4500.000000	93.542381	-60.5206
4620.000000	93.647713	-62.3255
4750.000000	93.587677	-64.5712
4870.000000	93.361267	-66.5658
5000.000000	92.944138	-68.2593
5150.000000	92.289925	-69.2140
5300.000000	91.518738	-68.8961
5450.000000	90.684807	-67.3279
5600.000000	89.777649	-64.5378
5800.000000	88.832817	-54.8338
6000.000000	88.489990	-50.8792
6150.000000	87.941833	-46.1186
6300.000000	87.503372	-40.5403
6500.000000	87.081825	-32.5064
6700.000000	86.839958	-24.1165
6900.000000	86.779617	-15.5481
7100.000000	86.919792	-6.9397
7300.000000	87.291222	1.3370
7500.000000	87.885796	9.0076
7750.000000	88.999847	17.2325
8000.000000	90.583870	22.5410
8250.000000	92.562141	22.1472
8500.000000	94.304604	12.2683
8750.000000	94.409973	-4.7926
9000.000000	92.728256	-16.6195
9250.000000	90.649155	-19.2849
9500.000000	88.900681	-16.4079
9750.000000	87.599457	-10.7385
10000.000000	86.733688	-3.7768
10300.000000	86.245659	4.9913
10600.000000	86.332855	12.9007
10900.000000	86.951622	18.7004
11200.000000	88.090637	20.5980
11500.000000	89.501099	15.3701
11800.000000	90.282433	0.4954
12200.000000	88.561981	-22.6188
12500.000000	86.124763	-30.9675
12800.000000	83.886078	-33.1070
13200.000000	81.705132	-32.4170
13600.000000	80.484375	-35.9899
14000.000000	76.618202	-33.9592
14500.000000	77.375061	-27.0719
15000.000000	77.778824	-37.4931
15500.000000	77.825310	-57.5631
16000.000000	76.529816	-82.6565
16500.000000	74.981514	-108.3156
17000.000000	72.544685	-132.1530
17500.000000	70.306763	-152.9750
18000.000000	68.908501	-170.8422
18500.000000	70.618279	166.8197
19000.000000	74.390991	108.0659
19500.000000	75.036469	8.1885
