* Measurement data measured by REW V5.20 Beta 59
* Source: IEC-60711 (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.530
* Format: 1M Log Swept Sine, 1 sweep with no timing reference
* Dated: Aug 7, 2020 5:07:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CCA CX10 - R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	83.646507	-139.3780
20.600000	83.716049	-138.2894
21.200001	83.601807	-137.4663
21.799999	83.634193	-136.7791
22.400000	83.617233	-135.9134
23.000000	83.649879	-135.2907
23.600000	83.677902	-136.0187
24.299999	83.661873	-133.4223
25.000000	83.349884	-132.7383
25.799999	83.536407	-131.7838
26.500000	83.526367	-130.6008
27.200001	83.552635	-128.9814
28.000000	83.492668	-128.1109
29.000000	83.460266	-127.1150
30.000000	83.539688	-125.2196
30.700001	83.520248	-124.4029
31.500000	83.369247	-123.7003
32.500000	83.354263	-122.1578
33.500000	83.477409	-120.5394
34.500000	83.415024	-119.2071
35.500000	83.306999	-117.6489
36.500000	83.348450	-116.5122
37.500000	83.393112	-115.0688
38.700001	83.346161	-113.8647
40.000000	83.294792	-111.4700
41.200001	83.308838	-109.3579
42.500000	83.300003	-108.2887
43.700001	83.235741	-106.1863
45.000000	83.260681	-103.9981
46.200001	83.229584	-103.2839
47.500000	83.168121	-101.7187
48.700001	83.163956	-99.6648
50.000000	83.191261	-98.3209
51.500000	83.182343	-96.0171
53.000000	83.118729	-94.3170
54.500000	83.175293	-92.3663
56.000000	83.161621	-89.9606
58.000000	83.198753	-87.7455
60.000000	83.036659	-85.1171
61.500000	82.971138	-83.7386
63.000000	82.988014	-81.9811
65.000000	83.134514	-79.2227
67.000000	83.059708	-77.1785
69.000000	82.951492	-75.0047
71.000000	82.880440	-72.7137
73.000000	82.930313	-70.8846
75.000000	82.945831	-68.8276
77.500000	82.872719	-66.0497
80.000000	82.732071	-63.3145
82.500000	82.636765	-60.9150
85.000000	82.656082	-58.6871
87.500000	82.483704	-56.3415
90.000000	81.985580	-55.5894
92.500000	82.226662	-51.1945
95.000000	82.214195	-48.8098
97.500000	82.155815	-45.5748
100.000000	81.791229	-43.5081
103.000000	81.568001	-40.4406
106.000000	81.362122	-36.4558
109.000000	81.137779	-34.2620
112.000000	80.861870	-30.7468
115.000000	80.751511	-27.6545
118.000000	80.444618	-23.6495
122.000000	80.024193	-19.0823
125.000000	79.767227	-15.3094
128.000000	79.410217	-10.9158
132.000000	78.829521	-3.7031
136.000000	78.490250	7.2069
140.000000	79.639740	14.2801
145.000000	79.908150	15.1695
150.000000	79.354645	18.7802
155.000000	78.923576	23.7243
160.000000	78.564621	30.5399
165.000000	78.160896	36.3388
170.000000	77.907486	42.9347
175.000000	77.580620	49.2309
180.000000	77.240433	55.4709
185.000000	77.009773	61.6322
190.000000	76.857346	68.6862
195.000000	76.539810	74.8160
200.000000	76.363052	81.3837
206.000000	76.157104	89.3441
212.000000	75.984322	97.2263
218.000000	75.546318	104.2710
224.000000	75.473335	112.6638
230.000000	75.251015	120.7706
236.000000	75.013687	127.5285
243.000000	74.814957	136.8840
250.000000	74.493637	145.2653
258.000000	74.262001	154.9937
265.000000	74.242874	163.7525
272.000000	74.011703	173.1693
280.000000	73.756607	-177.5651
290.000000	73.497498	-165.4810
300.000000	73.240570	-152.9722
307.000000	73.189331	-143.7627
315.000000	73.118813	-134.7643
325.000000	72.888954	-122.8420
335.000000	72.754555	-110.9647
345.000000	72.786186	-98.8046
355.000000	72.591263	-88.1120
365.000000	72.338173	-76.3477
375.000000	72.229713	-65.7474
387.000000	72.054985	-51.7523
400.000000	71.965446	-37.9146
412.000000	71.843750	-24.3777
425.000000	71.662430	-10.0471
437.000000	71.442772	3.4111
450.000000	71.383102	16.9731
462.000000	71.313698	29.7017
475.000000	71.200470	43.1314
487.000000	71.097992	55.7867
500.000000	71.033707	69.2672
515.000000	70.905067	85.3828
530.000000	70.762108	100.0884
545.000000	70.726639	115.8427
560.000000	70.738533	130.0518
580.000000	70.600166	149.3772
600.000000	70.463593	168.7025
615.000000	70.518608	-176.7903
630.000000	70.405113	-162.3472
650.000000	70.293465	-142.9603
670.000000	70.292381	-124.4579
690.000000	70.151566	-106.4886
710.000000	70.112411	-88.1794
730.000000	69.953964	-69.6475
750.000000	69.905937	-51.4941
775.000000	69.811432	-28.8033
800.000000	69.852188	-6.7010
825.000000	69.869995	14.8973
850.000000	69.884079	36.1910
875.000000	69.985176	57.7614
900.000000	70.031593	78.8323
925.000000	70.189667	99.6761
950.000000	70.384117	119.6581
975.000000	70.376465	139.4836
1000.000000	70.484932	160.2643
1030.000000	70.549721	-178.1307
1060.000000	70.591599	-155.1084
1090.000000	70.685715	-133.0769
1120.000000	70.840523	-111.0504
1150.000000	70.834129	-89.0295
1180.000000	70.807449	-67.3423
1220.000000	70.895683	-39.1497
1250.000000	70.951424	-18.0801
1280.000000	70.924576	2.9509
1320.000000	71.093559	30.8073
1360.000000	71.122986	58.5898
1400.000000	71.252815	85.0371
1450.000000	71.532410	118.0991
1500.000000	71.625648	149.8789
1550.000000	71.830254	-177.7365
1600.000000	71.949860	-147.3308
1650.000000	72.231949	-116.9647
1700.000000	72.383453	-87.7498
1750.000000	72.620026	-58.2540
1800.000000	72.684921	-29.9246
1850.000000	72.765999	-1.4341
1900.000000	72.969917	26.1853
1950.000000	72.845673	54.3281
2000.000000	72.892227	82.8953
2060.000000	73.109093	115.7644
2120.000000	73.096275	148.6665
2180.000000	73.440193	-177.7140
2240.000000	73.760132	-145.6987
2300.000000	74.166328	-113.8000
2360.000000	74.660568	-82.4882
2430.000000	75.378479	-47.7894
2500.000000	76.087471	-14.2593
2580.000000	76.924522	22.2314
2650.000000	77.736656	53.4808
2720.000000	78.469215	82.7673
2800.000000	79.403954	114.2903
2900.000000	80.287605	151.0859
3000.000000	80.698883	-174.2153
3070.000000	80.839996	-149.7190
3150.000000	80.695969	-119.4902
3250.000000	81.023880	-80.8704
3350.000000	81.842758	-44.7322
3450.000000	82.811043	-12.2366
3550.000000	83.386757	17.3074
3650.000000	83.638115	46.3691
3750.000000	83.872360	74.3335
3870.000000	83.718735	107.6958
4000.000000	83.530273	143.3320
4120.000000	83.353661	175.2141
4250.000000	82.775536	-151.0576
4370.000000	81.941055	-120.6436
4500.000000	80.413132	-83.6748
4620.000000	79.419510	-41.0176
4750.000000	80.079605	6.0662
4870.000000	81.745270	42.8147
5000.000000	83.556267	75.9929
5150.000000	85.565048	108.6023
5300.000000	87.562912	134.8494
5450.000000	89.274544	155.7925
5600.000000	90.391426	169.0144
5800.000000	89.597397	-176.3022
6000.000000	87.508827	-154.0391
6150.000000	85.811172	-132.9294
6300.000000	84.327744	-109.1462
6500.000000	82.728912	-76.7798
6700.000000	81.355362	-44.3389
6900.000000	80.417229	-11.8455
7100.000000	79.693764	19.1187
7300.000000	79.313782	48.5020
7500.000000	79.040619	76.6736
7750.000000	79.159256	108.9058
8000.000000	79.433701	138.8125
8250.000000	80.371056	166.2588
8500.000000	81.622124	-171.2256
8750.000000	83.512115	-152.7458
9000.000000	86.173523	-143.7310
9250.000000	88.579788	-150.2002
9500.000000	88.406776	-168.2964
9750.000000	86.033424	-177.6296
10000.000000	83.586197	-177.2959
10300.000000	81.597145	-173.7070
10600.000000	80.222420	-172.8721
10900.000000	78.749588	-176.6904
11200.000000	76.833183	-177.4619
11500.000000	75.730019	179.6167
11800.000000	74.523254	172.5247
12200.000000	72.923172	163.0098
12500.000000	72.111214	154.1189
12800.000000	71.467499	141.2212
13200.000000	70.348297	119.6943
13600.000000	69.332901	97.3438
14000.000000	68.853592	72.4321
14500.000000	68.817917	35.1807
15000.000000	70.379608	-11.7559
15500.000000	72.449974	-100.5708
16000.000000	67.565750	155.3394
16500.000000	59.793446	45.4773
17000.000000	56.392807	-116.5635
17500.000000	47.422325	-51.4688
18000.000000	47.259899	-46.1875
18500.000000	46.787922	178.1875
19000.000000	46.786758	-112.0938
19500.000000	45.605705	11.4062
