* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Aug 19, 2021 9:19:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ceres L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	84.089340	-81.1998
21.200001	84.306259	-83.0896
21.799999	84.481781	-85.0168
22.400000	84.625069	-86.8783
23.000000	84.744835	-88.5777
23.600000	84.855286	-90.1628
24.299999	84.969864	-92.0248
25.000000	85.052063	-93.9184
25.799999	85.117249	-95.9361
26.500000	85.182091	-97.5908
27.200001	85.253395	-99.3118
28.000000	85.312912	-101.3241
29.000000	85.365417	-103.6087
30.000000	85.427437	-105.7388
30.700001	85.468071	-107.2053
31.500000	85.511215	-108.8288
32.500000	85.559860	-110.8012
33.500000	85.599640	-112.6820
34.500000	85.640137	-114.5065
35.500000	85.676811	-116.2724
36.500000	85.711433	-117.9288
37.500000	85.742844	-119.5614
38.700001	85.769180	-121.4783
40.000000	85.801353	-123.3896
41.200001	85.831573	-125.1037
42.500000	85.856979	-126.9244
43.700001	85.878860	-128.4987
45.000000	85.898811	-130.1357
46.200001	85.916130	-131.5892
47.500000	85.929153	-133.1376
48.700001	85.931496	-134.4758
50.000000	85.943069	-135.9211
51.500000	85.948090	-137.4967
53.000000	85.953690	-138.9992
54.500000	85.957130	-140.4464
56.000000	85.957977	-141.8331
58.000000	85.960854	-143.6238
60.000000	85.943108	-145.3201
61.500000	85.949181	-146.5643
63.000000	85.951965	-147.7185
65.000000	85.940277	-149.1903
67.000000	85.928635	-150.6113
69.000000	85.916580	-152.0083
71.000000	85.896286	-153.2888
73.000000	85.871651	-154.5505
75.000000	85.861137	-155.7626
77.500000	85.812912	-157.1827
80.000000	85.781723	-158.5486
82.500000	85.741196	-159.8630
85.000000	85.702049	-161.1051
