* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: May 2, 2022 12:52:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Chu R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	85.857330	-121.6368
21.200001	85.941284	-123.4883
21.799999	86.018066	-125.1979
22.400000	86.071930	-126.8999
23.000000	86.091873	-128.6743
23.600000	86.105713	-130.3794
24.299999	86.122116	-132.1331
25.000000	86.130577	-133.8307
25.799999	86.136002	-135.7378
26.500000	86.135880	-137.2953
27.200001	86.118401	-138.7760
28.000000	86.082161	-140.5219
29.000000	86.084900	-142.4093
30.000000	86.051231	-144.4362
30.700001	86.015579	-145.8430
31.500000	85.969154	-147.1765
32.500000	85.944389	-148.8808
33.500000	85.888733	-150.4791
34.500000	85.855225	-151.9333
35.500000	85.801048	-153.4998
36.500000	85.740234	-154.7819
37.500000	85.696648	-156.1086
38.700001	85.624847	-157.6018
40.000000	85.572655	-159.2334
41.200001	85.491455	-160.6183
42.500000	85.422020	-161.9262
43.700001	85.372284	-163.2464
45.000000	85.309509	-164.4216
46.200001	85.250854	-165.5987
47.500000	85.161942	-166.7187
48.700001	85.118797	-167.8407
50.000000	85.027710	-168.6822
51.500000	84.945847	-169.8297
53.000000	84.844765	-170.8927
54.500000	84.745216	-171.8546
56.000000	84.691925	-172.7848
58.000000	84.579758	-173.9819
60.000000	84.497482	-175.0077
61.500000	84.400368	-175.9751
63.000000	84.311554	-176.6091
65.000000	84.193291	-177.5422
67.000000	84.112450	-178.3164
69.000000	83.999352	-179.0947
71.000000	83.902260	-179.8247
73.000000	83.782349	179.4700
75.000000	83.707039	178.7682
77.500000	83.582893	178.1664
80.000000	83.462257	177.4550
82.500000	83.350128	176.8053
85.000000	83.233223	176.3044
87.500000	83.133728	175.7621
90.000000	82.942970	175.8348
92.500000	82.916992	174.9293
95.000000	82.806351	174.5748
97.500000	82.719460	174.1373
100.000000	82.624680	173.9137
103.000000	82.512955	173.6320
106.000000	82.425339	173.3374
109.000000	82.345482	173.1039
112.000000	82.229095	172.9514
115.000000	82.126976	172.7319
118.000000	82.027336	172.6245
122.000000	81.931679	172.5231
125.000000	81.843292	172.4356
128.000000	81.770378	172.2133
132.000000	81.679840	172.2136
136.000000	81.566010	172.1638
140.000000	81.502037	172.2915
145.000000	81.382271	172.1755
150.000000	81.272224	172.2983
155.000000	81.179565	172.4568
160.000000	81.080711	172.5718
165.000000	80.997574	172.7161
170.000000	80.903900	172.8779
175.000000	80.831566	173.0203
180.000000	80.747986	173.2419
185.000000	80.656326	173.5916
190.000000	80.604584	173.7437
195.000000	80.535591	173.9384
200.000000	80.471970	174.1785
206.000000	80.393188	174.5532
212.000000	80.331589	174.8208
218.000000	80.282593	175.1635
224.000000	80.207993	175.5001
230.000000	80.155823	175.8793
236.000000	80.095909	176.2498
243.000000	80.040665	176.6152
250.000000	79.979919	177.0482
258.000000	79.923889	177.5363
265.000000	79.871239	177.9451
272.000000	79.822166	178.3533
280.000000	79.773506	178.8331
