* Measurement data measured by REW V5.20 Beta 59
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.169. Timing signal peak level -33.9 dBFS, measurement signal peak level -30.6 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -6.0 dBFS using an acoustic timing reference
* Dated: Sep 11, 2020 3:44:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0347 ms (-12 mm, -0.47 in) using estimated IR delay relative to Acoustic reference on HEADPHONE R with no timing offset
* Measurement: TA Clairvoyance L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	85.107498	35.3287
21.200001	85.173393	33.7210
21.799999	85.271622	32.2708
22.400000	85.380112	31.2403
23.000000	85.397003	30.3246
23.600000	85.391449	28.5869
24.299999	85.546616	26.6729
25.000000	85.600273	25.8980
25.799999	85.571930	23.8853
26.500000	85.697205	22.6271
27.200001	85.672119	21.6409
28.000000	85.698219	19.7892
29.000000	85.749062	18.7320
30.000000	85.765015	16.8355
30.700001	85.772232	15.6829
31.500000	85.782005	14.5322
32.500000	85.789215	13.0277
33.500000	85.780922	11.5245
34.500000	85.788979	10.1981
35.500000	85.768188	8.9005
36.500000	85.744492	7.6598
37.500000	85.734810	6.4936
38.700001	85.698074	4.9659
40.000000	85.663300	3.6418
41.200001	85.623093	2.4679
42.500000	85.580437	0.9480
43.700001	85.535690	-0.1928
45.000000	85.472214	-1.5038
46.200001	85.417702	-2.5249
47.500000	85.351486	-3.6815
48.700001	85.303383	-4.7097
50.000000	85.236496	-5.7371
51.500000	85.155563	-6.8898
53.000000	85.079567	-7.9920
54.500000	84.983124	-8.9559
56.000000	84.886925	-9.9769
58.000000	84.772575	-11.3019
60.000000	84.630203	-12.3754
61.500000	84.551033	-13.2677
63.000000	84.452751	-14.0774
65.000000	84.323502	-15.0448
67.000000	84.191902	-16.0155
69.000000	84.055084	-16.8795
71.000000	83.924660	-17.7208
73.000000	83.777740	-18.4913
75.000000	83.645897	-19.1591
77.500000	83.468887	-20.0066
80.000000	83.296967	-20.7405
82.500000	83.123024	-21.3943
85.000000	82.947990	-21.9879
87.500000	82.775467	-22.5269
90.000000	82.539970	-23.1207
92.500000	82.437950	-23.3883
95.000000	82.270737	-23.7396
97.500000	82.102730	-24.0297
100.000000	81.938721	-24.2750
103.000000	81.738609	-24.4847
106.000000	81.553665	-24.6419
109.000000	81.357750	-24.7246
112.000000	81.176094	-24.7483
115.000000	81.002151	-24.7156
118.000000	80.824371	-24.6203
122.000000	80.604691	-24.4217
125.000000	80.440689	-24.1980
128.000000	80.282181	-23.9374
132.000000	80.081268	-23.5561
136.000000	79.884338	-23.0622
140.000000	79.706284	-22.5337
145.000000	79.487671	-21.8482
150.000000	79.311447	-21.0185
155.000000	79.124107	-20.1942
160.000000	78.977882	-19.2037
165.000000	78.833023	-18.3397
170.000000	78.687866	-17.3531
175.000000	78.568054	-16.4351
180.000000	78.470039	-15.4497
185.000000	78.394684	-14.4981
190.000000	78.312279	-13.5064
195.000000	78.250656	-12.6053
200.000000	78.194473	-11.6926
206.000000	78.144394	-10.6081
212.000000	78.110199	-9.6076
218.000000	78.086731	-8.6550
224.000000	78.066063	-7.7414
230.000000	78.052330	-6.8902
236.000000	78.048431	-6.0664
243.000000	78.050308	-5.1674
250.000000	78.065346	-4.3636
258.000000	78.077072	-3.4774
265.000000	78.087837	-2.7875
272.000000	78.109184	-2.1322
280.000000	78.136604	-1.4655
290.000000	78.163544	-0.6905
300.000000	78.188599	0.0096
307.000000	78.211449	0.4482
315.000000	78.233055	0.8924
325.000000	78.258377	1.4118
335.000000	78.282204	1.8815
345.000000	78.299721	2.3304
355.000000	78.314926	2.7073
365.000000	78.329300	3.0863
375.000000	78.336060	3.4037
387.000000	78.336609	3.7848
400.000000	78.336105	4.1810
412.000000	78.325737	4.5047
425.000000	78.305374	4.8949
437.000000	78.280304	5.2641
450.000000	78.243828	5.7364
462.000000	78.227051	6.2142
475.000000	78.192291	6.7825
487.000000	78.195877	7.3505
500.000000	78.167694	7.7833
515.000000	78.157761	8.2605
530.000000	78.135208	8.8014
545.000000	78.104996	9.3312
560.000000	78.074371	9.7613
580.000000	78.032280	10.5591
600.000000	77.981628	11.4579
615.000000	77.942070	12.0827
630.000000	77.904480	12.7387
650.000000	77.855392	13.6660
670.000000	77.810806	14.6285
690.000000	77.761223	15.7548
710.000000	77.731346	16.7338
730.000000	77.694580	17.7978
750.000000	77.664261	18.9669
775.000000	77.643661	20.4336
800.000000	77.631004	21.9785
825.000000	77.632965	23.5570
850.000000	77.653236	25.1427
875.000000	77.691010	26.7706
900.000000	77.744026	28.3788
925.000000	77.818481	29.9646
950.000000	77.907845	31.4540
975.000000	78.010590	32.9094
1000.000000	78.126755	34.2949
1030.000000	78.278954	35.7998
1060.000000	78.442520	37.1765
1090.000000	78.609131	38.3959
1120.000000	78.776894	39.4692
1150.000000	78.937752	40.4318
1180.000000	79.090225	41.3000
1220.000000	79.279968	42.3414
1250.000000	79.411697	43.0532
1280.000000	79.531540	43.7555
1320.000000	79.682022	44.7204
1360.000000	79.823074	45.6490
1400.000000	79.954765	46.6213
1450.000000	80.118896	47.9200
1500.000000	80.286003	49.2837
1550.000000	80.463997	50.7227
1600.000000	80.659637	52.1898
1650.000000	80.873970	53.6715
1700.000000	81.111107	55.1450
1750.000000	81.373985	56.5663
1800.000000	81.665894	57.8892
1850.000000	81.981941	59.0957
1900.000000	82.323387	60.1416
1950.000000	82.689636	60.9738
2000.000000	83.073616	61.5616
2060.000000	83.555557	61.8931
2120.000000	84.048691	61.7529
2180.000000	84.537315	61.0886
2240.000000	85.000809	59.8966
2300.000000	85.420364	58.1825
2360.000000	85.775040	56.0160
2430.000000	86.085770	53.0646
2500.000000	86.272018	49.8766
2580.000000	86.327530	46.2621
2650.000000	86.260002	43.3786
2720.000000	86.109039	40.9205
2800.000000	85.872910	38.6902
2900.000000	85.539375	36.7767
3000.000000	85.210945	35.6573
3070.000000	85.000206	35.2413
3150.000000	84.789238	35.0246
3250.000000	84.570534	34.9800
3350.000000	84.394829	35.0168
3450.000000	84.250000	34.9688
3550.000000	84.113899	34.8006
3650.000000	83.963928	34.4671
3750.000000	83.769890	34.1006
3870.000000	83.476814	33.9383
4000.000000	83.117538	34.4623
4120.000000	82.809181	35.7910
4250.000000	82.595688	38.1065
4370.000000	82.594582	40.5926
4500.000000	82.832680	42.6794
4620.000000	83.194717	43.2493
4750.000000	83.585648	42.0797
4870.000000	83.823555	39.6809
5000.000000	83.882538	36.4380
5150.000000	83.746811	32.7035
5300.000000	83.452736	29.0273
5450.000000	82.958061	25.4953
5600.000000	82.252747	22.8962
5800.000000	81.148430	21.8228
