* Measurement data measured by REW V5.20.13
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.500. Timing signal peak level -30.5 dBFS, measurement signal peak level -27.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -3.0 dBFS using an acoustic timing reference
* Dated: Sep 15, 2023 3:28:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0771 ms (-26 mm, -1.04 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset
* Measurement: Crimson L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	90.337	-118.2009
21.200001	90.454	-120.7591
21.799999	90.529	-123.3291
22.400000	90.575	-125.7733
23.000000	90.617	-128.0048
23.600000	90.671	-130.1830
24.299999	90.714	-132.8478
25.000000	90.706	-135.4807
25.799999	90.689	-138.1929
26.500000	90.706	-140.5050
27.200001	90.715	-142.8515
28.000000	90.689	-145.2886
29.000000	90.659	-148.0824
30.000000	90.608	-151.0539
30.700001	90.550	-153.0025
31.500000	90.499	-155.0621
32.500000	90.440	-157.6515
33.500000	90.364	-160.1143
34.500000	90.297	-162.4002
35.500000	90.231	-164.6869
36.500000	90.142	-166.8990
37.500000	90.053	-168.9214
38.700001	89.956	-171.2186
40.000000	89.854	-173.7071
41.200001	89.742	-175.9141
42.500000	89.640	-178.1388
43.700001	89.523	179.7458
45.000000	89.386	177.7606
46.200001	89.267	175.9929
47.500000	89.145	174.1845
48.700001	89.031	172.4926
50.000000	88.893	170.7820
51.500000	88.761	168.8211
53.000000	88.601	167.0542
54.500000	88.466	165.3877
56.000000	88.319	163.7567
58.000000	88.128	161.6189
60.000000	87.969	160.2915
61.500000	87.796	158.4014
63.000000	87.660	156.9743
65.000000	87.477	155.2892
67.000000	87.296	153.6882
69.000000	87.112	152.1819
71.000000	86.938	150.7212
73.000000	86.756	149.4107
75.000000	86.579	148.0696
77.500000	86.368	146.5941
80.000000	86.155	145.1311
82.500000	85.951	143.7783
85.000000	85.748	142.5240
87.500000	85.550	141.3105
90.000000	85.357	140.1866
92.500000	85.168	139.1398
95.000000	84.984	138.1431
97.500000	84.811	137.1924
100.000000	84.635	136.3007
103.000000	84.438	135.2888
106.000000	84.244	134.3694
109.000000	84.059	133.4967
112.000000	83.876	132.6698
115.000000	83.698	131.8640
118.000000	83.532	131.1440
122.000000	83.319	130.2503
125.000000	83.163	129.5833
128.000000	83.013	128.9948
132.000000	82.814	128.2578
136.000000	82.627	127.5720
140.000000	82.454	126.9448
145.000000	82.241	126.1952
150.000000	82.041	125.5302
155.000000	81.849	124.9330
160.000000	81.672	124.3531
165.000000	81.508	123.8666
170.000000	81.346	123.3831
175.000000	81.196	122.9294
180.000000	81.022	122.5007
185.000000	80.924	122.1028
190.000000	80.800	121.7749
195.000000	80.688	121.4059
200.000000	80.584	121.1047
206.000000	80.461	120.6967
212.000000	80.348	120.3775
218.000000	80.245	120.0069
224.000000	80.158	119.6901
230.000000	80.075	119.3677
236.000000	80.001	119.0539
243.000000	79.924	118.7148
250.000000	79.854	118.3166
258.000000	79.784	117.9530
265.000000	79.736	117.5750
272.000000	79.685	117.1932
280.000000	79.644	116.7676
290.000000	79.612	116.2028
300.000000	79.557	115.7817
307.000000	79.563	115.2328
315.000000	79.552	114.7653
325.000000	79.542	114.1399
335.000000	79.537	113.5092
345.000000	79.542	112.8749
355.000000	79.554	112.1934
365.000000	79.560	111.5318
375.000000	79.572	110.8177
387.000000	79.588	109.9924
400.000000	79.616	109.0642
412.000000	79.633	108.1952
425.000000	79.656	107.2343
437.000000	79.675	106.3632
450.000000	79.695	105.4020
462.000000	79.714	104.5478
475.000000	79.726	103.5885
487.000000	79.733	102.7782
500.000000	79.746	101.8636
515.000000	79.748	100.8571
530.000000	79.744	99.9067
545.000000	79.742	99.0007
560.000000	79.726	98.1429
580.000000	79.707	97.0784
600.000000	79.679	96.1232
615.000000	79.657	95.4748
630.000000	79.631	94.9282
650.000000	79.596	94.3055
670.000000	79.560	93.7775
690.000000	79.526	93.3806
710.000000	79.491	93.1018
730.000000	79.467	92.9488
750.000000	79.445	92.9088
775.000000	79.431	93.0173
800.000000	79.435	93.2734
825.000000	79.452	93.6201
850.000000	79.490	94.1021
875.000000	79.547	94.6712
900.000000	79.631	95.2764
925.000000	79.728	95.9350
950.000000	79.849	96.5833
975.000000	79.987	97.1873
1000.000000	80.143	97.7544
1030.000000	80.346	98.3813
1060.000000	80.564	98.8633
1090.000000	80.785	99.2267
1120.000000	81.012	99.4916
1150.000000	81.234	99.6385
1180.000000	81.447	99.7143
1220.000000	81.717	99.7198
1250.000000	81.906	99.6843
1280.000000	82.087	99.6366
1320.000000	82.312	99.5825
1360.000000	82.523	99.5623
1400.000000	82.726	99.5981
1450.000000	82.969	99.7320
1500.000000	83.216	99.9516
1550.000000	83.470	100.1876
1600.000000	83.724	100.4159
1650.000000	83.981	100.6235
1700.000000	84.241	100.8236
1750.000000	84.504	100.9717
1800.000000	84.771	101.0554
1850.000000	85.039	101.0504
1900.000000	85.302	100.9486
1950.000000	85.563	100.7067
2000.000000	85.811	100.3683
2060.000000	86.094	99.7931
2120.000000	86.348	99.0458
2180.000000	86.572	98.1772
2240.000000	86.757	97.1950
2300.000000	86.899	96.1580
2360.000000	87.002	95.1250
2430.000000	87.068	93.9785
2500.000000	87.083	92.9801
2580.000000	87.050	92.1109
2650.000000	86.990	91.6042
2720.000000	86.917	91.3621
2800.000000	86.828	91.3877
2900.000000	86.735	91.7741
3000.000000	86.679	92.4157
3070.000000	86.669	92.9026
3150.000000	86.684	93.3907
3250.000000	86.734	93.7010
3350.000000	86.787	93.5630
3450.000000	86.800	92.9163
3550.000000	86.740	91.8432
3650.000000	86.574	90.4111
3750.000000	86.255	88.8424
3870.000000	85.594	87.4236
4000.000000	84.533	88.0704
4120.000000	83.421	92.4528
4250.000000	82.543	101.9992
4370.000000	82.512	113.2914
4500.000000	83.410	123.8170
4620.000000	84.721	129.1033
4750.000000	86.134	129.5357
4870.000000	87.068	126.2011
5000.000000	87.479	120.9401
5150.000000	87.280	115.9322
5300.000000	86.703	113.7629
5450.000000	86.055	114.2664
5600.000000	85.493	116.5924
5800.000000	84.970	121.0838
6000.000000	84.679	125.6672
6150.000000	84.537	128.3696
6300.000000	84.342	130.0781
6500.000000	83.753	131.2450
6700.000000	82.577	133.4865
6900.000000	80.980	140.2718
7100.000000	79.561	153.3089
7300.000000	79.029	170.4260
7500.000000	79.610	-172.9175
7750.000000	81.527	-159.4397
8000.000000	83.483	-156.7450
8250.000000	84.722	-160.4348
8500.000000	85.252	-166.8033
8750.000000	85.044	-173.9350
9000.000000	84.227	-178.6418
9250.000000	83.195	-178.7827
9500.000000	82.493	-175.4277
9750.000000	82.246	-170.7812
10000.000000	82.349	-166.6994
10300.000000	82.615	-163.8154
10600.000000	82.626	-162.6090
10900.000000	82.229	-160.8664
11200.000000	81.583	-156.8632
11500.000000	80.982	-150.7086
11800.000000	80.627	-143.6386
12200.000000	80.707	-135.8863
12500.000000	81.172	-134.4543
12800.000000	81.675	-140.0700
13200.000000	81.082	-158.8749
13600.000000	78.539	-176.5708
14000.000000	76.082	174.8912
14500.000000	75.078	170.8785
15000.000000	76.431	165.6916
15500.000000	77.550	141.2018
16000.000000	73.785	135.0855
16500.000000	74.038	148.9626
17000.000000	76.461	142.3026
17500.000000	78.126	111.1396
18000.000000	77.334	62.7696
18500.000000	75.837	1.4083
19000.000000	75.813	-85.6140
19500.000000	75.402	170.9685
