* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Dec 31, 2021 3:27:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FHE Eclipse L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	96.987999	-143.4746
21.200001	97.031494	-144.9961
21.799999	97.062332	-146.4545
22.400000	97.076843	-147.8744
23.000000	97.077255	-149.2594
23.600000	97.070709	-150.5935
24.299999	97.052628	-152.0985
25.000000	97.022736	-153.5668
25.799999	96.985474	-155.1781
26.500000	96.950745	-156.5129
27.200001	96.906265	-157.7900
28.000000	96.850731	-159.2225
29.000000	96.790543	-160.9378
30.000000	96.721512	-162.5837
30.700001	96.677757	-163.6892
31.500000	96.624893	-164.8961
32.500000	96.554062	-166.3962
33.500000	96.482285	-167.8057
34.500000	96.411224	-169.1556
35.500000	96.336700	-170.4351
36.500000	96.263687	-171.6754
37.500000	96.189865	-172.8724
38.700001	96.100967	-174.2350
40.000000	95.999199	-175.6705
41.200001	95.910347	-176.9006
42.500000	95.807762	-178.1978
43.700001	95.717712	-179.3094
45.000000	95.623863	179.5231
46.200001	95.529350	178.4768
47.500000	95.428436	177.4257
48.700001	95.340149	176.4961
50.000000	95.243378	175.4970
51.500000	95.129478	174.4490
53.000000	95.015656	173.4217
54.500000	94.905434	172.4789
56.000000	94.793770	171.5532
58.000000	94.646912	170.4154
60.000000	94.496338	169.3350
61.500000	94.395660	168.5815
63.000000	94.290001	167.8655
65.000000	94.149475	166.9543
67.000000	94.008827	166.1118
69.000000	93.870941	165.3228
71.000000	93.733688	164.5830
73.000000	93.598419	163.8897
75.000000	93.463135	163.2377
77.500000	93.298050	162.4974
80.000000	93.134171	161.8155
82.500000	92.972168	161.1842
85.000000	92.810837	160.6237
87.500000	92.657021	160.0767
90.000000	92.493912	159.5005
92.500000	92.356155	159.1591
95.000000	92.209595	158.7687
97.500000	92.067635	158.4129
100.000000	91.929184	158.0828
103.000000	91.766930	157.7439
106.000000	91.613434	157.4337
109.000000	91.459671	157.1651
112.000000	91.331413	156.9416
115.000000	91.189728	156.8433
118.000000	91.029190	156.6045
122.000000	90.846565	156.4409
125.000000	90.715790	156.3569
128.000000	90.587776	156.2949
132.000000	90.421394	156.2502
136.000000	90.253151	156.2498
140.000000	90.093460	156.2809
145.000000	89.901054	156.3596
150.000000	89.717155	156.4805
155.000000	89.535645	156.6555
160.000000	89.360252	156.8788
165.000000	89.192047	157.1100
170.000000	89.030136	157.4027
175.000000	88.872299	157.6992
180.000000	88.722618	158.0248
185.000000	88.572968	158.3909
190.000000	88.429726	158.7755
195.000000	88.291100	159.1628
200.000000	88.156204	159.5728
206.000000	88.002335	160.0947
212.000000	87.853165	160.6401
218.000000	87.707962	161.1947
224.000000	87.569786	161.8606
230.000000	87.433739	162.3705
236.000000	87.305466	162.9727
243.000000	87.159805	163.6940
250.000000	87.019875	164.4377
258.000000	86.866211	165.3009
265.000000	86.739189	166.0739
272.000000	86.615196	166.8464
280.000000	86.480911	167.7508
290.000000	86.320648	168.8999
300.000000	86.170029	170.0535
307.000000	86.066566	170.8847
315.000000	85.955818	171.8394
325.000000	85.824020	173.0375
335.000000	85.699577	174.2546
345.000000	85.584503	175.4982
355.000000	85.469948	176.7217
365.000000	85.365311	177.9709
375.000000	85.266190	179.2270
387.000000	85.158791	-179.2509
400.000000	85.050774	-177.5989
412.000000	84.958351	-176.0534
425.000000	84.871017	-174.3866
437.000000	84.798950	-172.8235
450.000000	84.730476	-171.1405
462.000000	84.677048	-169.5786
475.000000	84.627930	-167.8996
487.000000	84.592468	-166.3468
500.000000	84.564354	-164.6926
515.000000	84.543709	-162.7989
530.000000	84.537529	-160.9378
545.000000	84.542648	-159.1290
560.000000	84.556923	-157.3637
580.000000	84.591675	-155.1124
600.000000	84.636772	-152.9706
615.000000	84.675087	-151.4412
630.000000	84.717178	-149.9538
650.000000	84.773697	-148.0718
670.000000	84.830704	-146.2614
690.000000	84.885941	-144.5163
710.000000	84.938637	-142.8118
730.000000	84.989746	-141.1342
750.000000	85.037483	-139.4676
775.000000	85.098701	-137.3933
800.000000	85.160851	-135.3108
825.000000	85.228493	-133.2172
850.000000	85.304512	-131.1131
875.000000	85.391792	-129.0124
900.000000	85.490456	-126.9239
925.000000	85.602158	-124.8691
950.000000	85.727257	-122.8639
975.000000	85.865196	-120.9340
1000.000000	86.014709	-119.0921
1030.000000	86.205399	-117.0135
1060.000000	86.404282	-115.1028
1090.000000	86.604233	-113.3583
1120.000000	86.801460	-111.7684
1150.000000	86.992279	-110.3281
1180.000000	87.172806	-109.0098
1220.000000	87.395767	-107.4071
1250.000000	87.548004	-106.2927
1280.000000	87.687675	-105.2382
1320.000000	87.853401	-103.8921
1360.000000	87.999977	-102.5928
1400.000000	88.126053	-101.3207
1450.000000	88.258911	-99.7455
1500.000000	88.365730	-98.1610
1550.000000	88.446854	-96.5517
1600.000000	88.501167	-94.8775
1650.000000	88.531174	-93.0969
1700.000000	88.539558	-91.1515
1750.000000	88.529999	-88.9909
1800.000000	88.513359	-86.5449
1850.000000	88.503792	-83.7694
