* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Dec 31, 2021 3:28:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FHE Eclipse R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	97.232269	-148.4900
21.200001	97.267471	-149.9954
21.799999	97.287430	-151.4348
22.400000	97.291672	-152.8512
23.000000	97.282761	-154.2273
23.600000	97.265236	-155.5533
24.299999	97.235657	-157.0604
25.000000	97.195061	-158.5115
25.799999	97.141800	-160.0967
26.500000	97.096565	-161.4352
27.200001	97.048096	-162.7253
28.000000	96.984802	-164.1516
29.000000	96.906723	-165.8785
30.000000	96.827332	-167.5013
30.700001	96.771339	-168.6048
31.500000	96.708237	-169.8287
32.500000	96.625587	-171.3063
33.500000	96.544388	-172.7140
34.500000	96.459702	-174.0522
35.500000	96.371956	-175.3828
36.500000	96.290726	-176.6060
37.500000	96.208138	-177.8245
38.700001	96.104149	-179.1832
40.000000	95.995941	179.4086
41.200001	95.891891	178.1373
42.500000	95.780327	176.8659
43.700001	95.682571	175.7267
45.000000	95.576065	174.5522
46.200001	95.474091	173.5260
47.500000	95.363159	172.4455
48.700001	95.266022	171.4827
50.000000	95.156929	170.5022
51.500000	95.034264	169.4388
53.000000	94.911476	168.4057
54.500000	94.788467	167.4338
56.000000	94.669083	166.5030
58.000000	94.511322	165.3423
60.000000	94.360168	164.2785
61.500000	94.241959	163.4807
63.000000	94.126625	162.7396
65.000000	93.977448	161.8120
67.000000	93.828720	160.9381
69.000000	93.680801	160.1359
71.000000	93.536812	159.3699
73.000000	93.392715	158.6491
75.000000	93.250008	157.9772
77.500000	93.075165	157.1922
80.000000	92.901016	156.4763
82.500000	92.733139	155.8086
85.000000	92.565842	155.1971
87.500000	92.402000	154.6255
90.000000	92.246696	154.0484
92.500000	92.088852	153.6304
95.000000	91.936569	153.2229
97.500000	91.803360	152.8478
100.000000	91.645935	152.4187
103.000000	91.477951	152.0150
106.000000	91.315491	151.6539
109.000000	91.159317	151.3334
112.000000	91.006439	151.0524
115.000000	90.857697	150.8026
118.000000	90.713150	150.5777
122.000000	90.526314	150.3411
125.000000	90.390518	150.1906
128.000000	90.257217	150.0583
132.000000	90.085075	149.9116
136.000000	89.915558	149.8173
140.000000	89.753380	149.7633
145.000000	89.554718	149.7259
150.000000	89.364807	149.7318
155.000000	89.181404	149.7899
160.000000	89.004486	149.8714
165.000000	88.832123	149.9886
170.000000	88.667168	150.1494
175.000000	88.507866	150.3087
180.000000	88.350433	150.5032
