* Measurement data measured by REW V5.20.13
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -3.0 dBFS with no timing reference
* Dated: Oct 19, 2022 9:15:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: D13 L
* Smoothing: 1/24 octave
* Frequency Step: 1/12 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	70.376	-121.8721
21.200001	70.498	-125.5772
22.400000	70.615	-128.4067
23.600000	70.684	-131.3643
25.000000	70.735	-134.2997
26.500000	70.772	-137.6526
28.000000	70.737	-140.6481
30.000000	70.727	-144.2596
31.500000	70.692	-146.9279
33.500000	70.654	-150.0590
35.500000	70.591	-152.9793
37.500000	70.531	-155.5998
40.000000	70.445	-158.6271
42.500000	70.361	-161.4001
45.000000	70.269	-163.9032
47.500000	70.175	-166.1772
50.000000	70.074	-168.3112
53.000000	69.943	-170.6756
56.000000	69.823	-172.7913
60.000000	69.653	-175.3016
63.000000	69.526	-177.0951
67.000000	69.357	-179.2137
71.000000	69.182	178.9160
75.000000	69.007	177.2207
80.000000	68.789	175.3557
85.000000	68.569	173.7131
90.000000	68.355	172.2632
95.000000	68.144	170.9929
100.000000	67.943	169.8848
106.000000	67.716	168.7465
112.000000	67.495	167.7756
118.000000	67.280	167.0010
125.000000	67.047	166.1916
132.000000	66.822	165.5593
140.000000	66.576	165.0296
150.000000	66.280	164.5601
160.000000	66.004	164.3033
170.000000	65.741	164.2208
180.000000	65.497	164.2756
190.000000	65.267	164.4468
200.000000	65.052	164.7032
212.000000	64.811	165.1460
224.000000	64.590	165.6496
236.000000	64.385	166.2355
250.000000	64.166	166.9975
265.000000	63.954	167.8913
280.000000	63.762	168.8465
300.000000	63.533	170.1832
315.000000	63.382	171.2132
335.000000	63.203	172.6235
355.000000	63.046	174.0599
375.000000	62.910	175.5023
400.000000	62.766	177.3232
425.000000	62.646	179.1417
450.000000	62.548	-179.0501
475.000000	62.470	-177.2492
500.000000	62.407	-175.4538
530.000000	62.355	-173.3194
560.000000	62.322	-171.1922
600.000000	62.308	-168.3807
630.000000	62.317	-166.2751
670.000000	62.358	-163.4789
710.000000	62.431	-160.6895
750.000000	62.539	-157.9097
800.000000	62.724	-154.4746
850.000000	62.971	-151.1609
900.000000	63.243	-148.0994
950.000000	63.645	-144.5227
1000.000000	64.123	-142.3102
1060.000000	64.681	-140.0049
1120.000000	65.261	-138.3100
1180.000000	65.833	-137.1930
1250.000000	66.469	-136.4392
1320.000000	67.073	-136.1043
1400.000000	67.739	-136.1121
1500.000000	68.557	-136.7188
1600.000000	69.366	-138.1537
1700.000000	70.146	-140.6417
1800.000000	70.842	-144.3427
1900.000000	71.379	-149.2062
2000.000000	71.682	-154.8652
2120.000000	71.687	-161.7874
2240.000000	71.345	-167.7473
2360.000000	70.782	-172.0476
2500.000000	70.025	-174.8576
2650.000000	69.245	-175.7174
2800.000000	68.582	-175.0434
3000.000000	67.923	-172.7907
3150.000000	67.592	-170.6526
3350.000000	67.331	-167.7581
3550.000000	67.228	-165.2172
3750.000000	67.223	-163.2680
4000.000000	67.278	-161.7860
4250.000000	67.321	-161.3117
4500.000000	67.288	-161.6665
4750.000000	67.122	-162.5740
5000.000000	66.779	-163.5518
5300.000000	66.105	-164.0676
5600.000000	65.250	-159.3916
6000.000000	65.055	-155.9469
6300.000000	64.882	-153.1544
6700.000000	64.747	-150.4229
7100.000000	64.567	-147.5949
7500.000000	64.583	-144.0776
8000.000000	65.076	-139.0953
8500.000000	66.934	-136.4712
9000.000000	69.898	-151.5836
9500.000000	69.336	174.1726
10000.000000	65.910	158.1484
10600.000000	63.049	157.8254
11200.000000	62.754	158.8557
11800.000000	64.698	142.9886
12500.000000	62.707	87.6353
13200.000000	55.418	66.8131
14000.000000	50.367	62.3940
15000.000000	47.104	47.2050
16000.000000	46.262	-9.3493
17000.000000	37.829	-69.8379
18000.000000	34.148	-101.6662
19000.000000	38.245	175.2459
