* Measurement data measured by REW V5.19
* Source: Microphone (2- USB Sound Device        ), no input selected, R, volume: no control
* Format: 1M Log Swept Sine, 1 sweep at -20.0 dBFS  With no timing reference
* Dated: Apr 29, 2019 8:20:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: BGVP DM7- R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	1.988687	-159.5774
20.600000	2.099760	-161.0930
21.200001	2.165005	-162.3393
21.799999	2.212368	-163.5857
22.400000	2.242586	-164.8602
23.000000	2.261934	-166.1759
23.600000	2.279162	-167.5179
24.299999	2.304614	-169.1101
25.000000	2.336270	-170.7095
25.799999	2.377764	-172.4730
26.500000	2.419381	-173.9160
27.200001	2.463896	-175.2727
28.000000	2.510446	-176.7346
29.000000	2.555273	-178.4354
30.000000	2.587117	179.9421
30.700001	2.601801	178.8148
31.500000	2.613652	177.5296
32.500000	2.627712	175.9217
33.500000	2.644844	174.3262
34.500000	2.666938	172.7731
35.500000	2.691221	171.2845
36.500000	2.714009	169.8781
37.500000	2.733940	168.5400
38.700001	2.749943	166.9665
40.000000	2.754219	165.3040
41.200001	2.759717	163.7989
42.500000	2.768433	162.1613
43.700001	2.777787	160.6844
45.000000	2.787629	159.1498
46.200001	2.795945	157.7914
47.500000	2.800435	156.3508
48.700001	2.800080	155.0465
50.000000	2.797975	153.6462
51.500000	2.794639	152.0591
53.000000	2.793896	150.5122
54.500000	2.793362	149.0022
56.000000	2.790335	147.5196
58.000000	2.783940	145.5911
60.000000	2.772029	143.6880
61.500000	2.767980	142.2917
63.000000	2.761702	140.9080
65.000000	2.752007	139.1191
67.000000	2.740531	137.3526
69.000000	2.727707	135.6205
71.000000	2.713361	133.9209
73.000000	2.699187	132.2471
75.000000	2.684919	130.5972
77.500000	2.664026	128.5845
80.000000	2.642541	126.6035
82.500000	2.622014	124.6490
85.000000	2.598630	122.7221
87.500000	2.575035	120.8437
90.000000	2.549612	118.9918
92.500000	2.524157	117.1637
95.000000	2.497845	115.3571
97.500000	2.472902	113.5853
100.000000	2.446608	111.8166
103.000000	2.412719	109.7278
106.000000	2.379370	107.6765
109.000000	2.345197	105.6720
112.000000	2.309678	103.6816
115.000000	2.274705	101.7185
118.000000	2.240659	99.7695
122.000000	2.191287	97.2058
125.000000	2.155566	95.3234
128.000000	2.118408	93.4451
132.000000	2.069934	90.9872
136.000000	2.019495	88.5746
140.000000	1.968597	86.1735
145.000000	1.903772	83.2405
150.000000	1.839699	80.3383
155.000000	1.776337	77.4983
160.000000	1.710946	74.6830
165.000000	1.643769	71.9168
170.000000	1.576699	69.1943
175.000000	1.512779	66.5182
180.000000	1.445657	63.8624
185.000000	1.380077	61.2430
190.000000	1.313100	58.6556
195.000000	1.246384	56.1116
200.000000	1.182850	53.5904
206.000000	1.103671	50.6158
212.000000	1.025147	47.6673
218.000000	0.945016	44.7585
224.000000	0.866246	41.8927
230.000000	0.789344	39.0723
236.000000	0.713115	36.2748
243.000000	0.622932	33.0624
250.000000	0.532462	29.8885
258.000000	0.433462	26.3309
265.000000	0.348739	23.2549
272.000000	0.262267	20.2260
280.000000	0.162633	16.7983
290.000000	0.045061	12.5730
300.000000	-0.070571	8.4198
307.000000	-0.150195	5.5614
315.000000	-0.243447	2.3279
325.000000	-0.353546	-1.6603
335.000000	-0.459964	-5.5804
345.000000	-0.568429	-9.4642
355.000000	-0.668925	-13.2865
365.000000	-0.770118	-17.0664
375.000000	-0.868199	-20.7853
387.000000	-0.981936	-25.2017
400.000000	-1.100075	-29.9297
412.000000	-1.205231	-34.2057
425.000000	-1.318357	-38.8128
437.000000	-1.416564	-43.0055
450.000000	-1.517640	-47.4823
462.000000	-1.608031	-51.5840
475.000000	-1.698884	-55.9756
487.000000	-1.776979	-59.9939
500.000000	-1.864384	-64.2979
515.000000	-1.958085	-69.2421
530.000000	-2.042952	-74.1287
545.000000	-2.125187	-78.9803
560.000000	-2.200505	-83.7701
580.000000	-2.293512	-90.1506
600.000000	-2.377181	-96.4701
615.000000	-2.433915	-101.1899
630.000000	-2.488669	-105.8777
650.000000	-2.551035	-112.1093
670.000000	-2.605842	-118.3203
690.000000	-2.654738	-124.5128
710.000000	-2.697277	-130.6910
730.000000	-2.735034	-136.8644
750.000000	-2.764898	-143.0345
775.000000	-2.796264	-150.7394
800.000000	-2.819413	-158.4388
825.000000	-2.836629	-166.1209
850.000000	-2.843681	-173.7663
875.000000	-2.841685	178.5687
900.000000	-2.832476	170.9363
925.000000	-2.808800	163.3388
950.000000	-2.776018	155.7473
975.000000	-2.731179	148.1951
1000.000000	-2.662404	140.6653
1030.000000	-2.575998	131.5299
1060.000000	-2.460530	122.4159
1090.000000	-2.328137	113.2269
1120.000000	-2.182242	103.9702
1150.000000	-2.025323	94.6547
1180.000000	-1.869195	85.2717
1220.000000	-1.659468	72.7670
1250.000000	-1.512695	63.4370
1280.000000	-1.367346	54.1757
1320.000000	-1.175641	42.0291
1360.000000	-0.982060	30.1406
1400.000000	-0.775369	18.5925
1450.000000	-0.486664	4.5928
1500.000000	-0.153423	-8.9607
1550.000000	0.229633	-22.1729
1600.000000	0.660026	-35.1070
1650.000000	1.135118	-47.9145
1700.000000	1.628552	-60.7079
1750.000000	2.124815	-73.5356
1800.000000	2.588333	-86.4359
1850.000000	2.981537	-99.3620
1900.000000	3.285292	-112.0936
1950.000000	3.487565	-124.4833
2000.000000	3.586823	-136.3158
2060.000000	3.610385	-149.5916
2120.000000	3.562788	-161.7853
2180.000000	3.475682	-172.9124
2240.000000	3.377551	176.9366
2300.000000	3.288884	167.6316
2360.000000	3.224372	159.0398
2430.000000	3.184956	149.7416
2500.000000	3.188622	141.0931
2580.000000	3.246547	131.8188
2650.000000	3.341604	124.1130
2720.000000	3.470433	116.6749
2800.000000	3.654705	108.4458
2900.000000	3.930474	98.4868
