* Measurement data measured by REW V5.30.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 29, 2024 12:01:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Delci AE R
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 85.302 -127.1758
20.507813 85.372 -128.3089
20.874023 85.426 -129.4799
21.240234 85.475 -130.6661
21.606445 85.514 -131.8151
21.972656 85.548 -132.8801
22.338867 85.577 -133.8503
22.705078 85.602 -134.7565
23.071289 85.624 -135.6475
23.437500 85.639 -136.5576
23.803711 85.645 -137.4894
24.169922 85.642 -138.4210
24.536133 85.634 -139.3290
24.902344 85.626 -140.2064
25.268555 85.622 -141.0632
25.634766 85.620 -141.9131
26.000977 85.616 -142.7591
26.367188 85.608 -143.5916
26.733399 85.598 -144.3984
27.099610 85.588 -145.1772
27.465821 85.582 -145.9384
27.832032 85.578 -146.6967
28.198243 85.573 -147.4584
28.564454 85.565 -148.2145
28.930665 85.552 -148.9472
29.296876 85.540 -149.6430
29.663087 85.528 -150.3037
30.029298 85.517 -150.9473
30.395509 85.505 -151.5974
30.761720 85.489 -152.2679
31.127931 85.469 -152.9553
31.494142 85.448 -153.6410
31.860353 85.431 -154.3036
32.226563 85.418 -154.9318
32.592774 85.408 -155.5292
32.958985 85.398 -156.1086
33.325196 85.386 -156.6822
33.691407 85.372 -157.2548
34.057618 85.357 -157.8253
34.423829 85.341 -158.3926
34.790040 85.323 -158.9588
35.156251 85.302 -159.5269
35.522462 85.281 -160.0948
35.888673 85.261 -160.6535
36.254884 85.246 -161.1928
36.621095 85.234 -161.7096
36.987306 85.223 -162.2108
37.353517 85.208 -162.7079
37.719728 85.188 -163.2065
38.085939 85.162 -163.7010
38.452150 85.134 -164.1800
38.818361 85.107 -164.6370
39.184572 85.082 -165.0776
39.550783 85.061 -165.5158
39.916994 85.043 -165.9627
40.283205 85.032 -166.4205
40.649416 85.028 -166.8846
41.015627 85.027 -167.3533
41.381838 85.025 -167.8299
41.748049 85.014 -168.3148
42.114260 84.989 -168.7930
42.480471 84.954 -169.2323
42.846682 84.917 -169.6003
43.212893 84.888 -169.8920
43.579103 84.869 -170.1459
43.945314 84.857 -170.4298
44.311525 84.843 -170.8021
44.677736 84.822 -171.2749
45.043947 84.794 -171.8055
45.410158 84.766 -172.3227
45.776369 84.741 -172.7713
46.142580 84.721 -173.1430
46.508791 84.701 -173.4732
46.875002 84.678 -173.8089
47.241213 84.651 -174.1736
47.607424 84.625 -174.5556
47.973635 84.603 -174.9234
48.339846 84.586 -175.2531
48.706057 84.569 -175.5460
49.072268 84.547 -175.8237
49.438479 84.520 -176.1096
49.804690 84.492 -176.4148
50.170901 84.471 -176.7366
50.537112 84.458 -177.0679
50.903323 84.444 -177.4060
51.269534 84.421 -177.7528
51.635745 84.385 -178.1084
52.001956 84.341 -178.4659
52.368167 84.302 -178.8127
52.734378 84.280 -179.1366
53.100589 84.274 -179.4314
53.466800 84.275 -179.6982
53.833011 84.269 -179.9443
54.199222 84.250 179.8161
54.565432 84.221 179.5639
54.931643 84.190 179.2827
55.297854 84.167 178.9727
55.664065 84.152 178.6586
56.030276 84.138 178.3798
56.396487 84.118 178.1613
56.762698 84.090 177.9875
57.128909 84.059 177.8030
57.495120 84.031 177.5477
57.861331 84.010 177.2087
58.227542 83.993 176.8429
58.593753 83.973 176.5469
58.959964 83.943 176.3876
59.326175 83.905 176.3452
59.692386 83.865 176.3120
60.058597 83.833 176.1565
60.424808 83.813 175.8112
60.791019 83.802 175.3204
61.157230 83.795 174.8126
61.523441 83.785 174.4171
61.889652 83.770 174.1877
62.255863 83.753 174.0829
62.622074 83.734 174.0064
62.988285 83.716 173.8773
63.354496 83.696 173.6763
63.720707 83.675 173.4413
64.086918 83.653 173.2238
64.453129 83.631 173.0437
64.819340 83.609 172.8762
65.185551 83.585 172.6784
65.551762 83.557 172.4316
65.917972 83.528 172.1618
66.284183 83.502 171.9224
66.650394 83.484 171.7491
67.016605 83.473 171.6243
67.382816 83.460 171.4855
67.749027 83.436 171.2751
68.115238 83.400 170.9940
68.481449 83.358 170.7134
68.847660 83.321 170.5267
69.213871 83.299 170.4712
69.580082 83.292 170.4821
69.946293 83.294 170.4257
70.312504 83.295 170.1931
70.678715 83.288 169.7847
71.044926 83.270 169.3185
71.411137 83.238 168.9559
71.777348 83.191 168.7976
72.143559 83.135 168.8246
72.509770 83.083 168.9215
72.875981 83.049 168.9591
73.242192 83.043 168.8712
73.608403 83.060 168.6742
73.974614 83.083 168.4240
74.340825 83.094 168.1612
74.707036 83.079 167.8925
75.073247 83.042 167.6113
75.439458 82.995 167.3281
75.805669 82.951 167.0771
76.171880 82.914 166.8959
76.538091 82.883 166.7980
76.904301 82.853 166.7653
77.270512 82.823 166.7622
77.636723 82.795 166.7542
78.002934 82.773 166.7173
78.369145 82.758 166.6379
78.735356 82.747 166.5126
79.101567 82.736 166.3515
79.467778 82.726 166.1778
79.833989 82.715 166.0172
80.200200 82.703 165.8797
80.566411 82.690 165.7512
80.932622 82.671 165.6058
81.298833 82.647 165.4309
81.665044 82.621 165.2423
82.031255 82.598 165.0730
82.397466 82.581 164.9440
82.763677 82.570 164.8424
83.129888 82.559 164.7310
83.496099 82.541 164.5792
83.862310 82.515 164.3901
84.228521 82.483 164.1968
84.594732 82.452 164.0337
84.960943 82.427 163.9076
85.327154 82.410 163.7965
85.693365 82.395 163.6743
86.059576 82.377 163.5375
86.425787 82.352 163.4083
86.791998 82.322 163.3122
87.158209 82.291 163.2528
87.524420 82.266 163.2067
87.890631 82.248 163.1419
88.256841 82.237 163.0419
88.623052 82.229 162.9141
88.989263 82.218 162.7781
89.355474 82.202 162.6497
89.721685 82.179 162.5343
90.087896 82.150 162.4328
90.454107 82.122 162.3481
90.820318 82.097 162.2829
91.186529 82.080 162.2320
91.552740 82.066 162.1812
91.918951 82.052 162.1165
92.285162 82.032 162.0354
92.651373 82.004 161.9462
93.017584 81.973 161.8553
93.383795 81.944 161.7557
93.750006 81.923 161.6321
94.116217 81.905 161.4816
94.482428 81.886 161.3268
94.848639 81.860 161.2040
95.214850 81.832 161.1307
95.581061 81.807 161.0799
95.947272 81.793 160.9931
96.313483 81.787 160.8298
96.679694 81.781 160.6136
97.045905 81.768 160.4304
97.412116 81.743 160.3717
97.778327 81.714 160.4615
98.144538 81.690 160.6251
98.510749 81.674 160.7307
98.876960 81.663 160.6790
99.243170 81.646 160.4717
99.609381 81.617 160.2050
99.975592 81.578 159.9972
100.341803 81.542 159.9069
100.708014 81.519 159.8984
101.074225 81.512 159.8787
101.440436 81.515 159.7746
101.806647 81.516 159.5869
102.172858 81.505 159.3856
102.539069 81.479 159.2576
102.905280 81.442 159.2486
103.271491 81.405 159.3358
103.637702 81.375 159.4432
104.003913 81.355 159.4853
104.370124 81.346 159.4103
104.736335 81.343 159.2217
105.102546 81.343 158.9737
105.468757 81.341 158.7456
105.834968 81.331 158.6093
106.201179 81.310 158.5981
106.567390 81.281 158.6898
106.933601 81.249 158.8118
107.299812 81.223 158.8722
107.666023 81.207 158.8061
108.032234 81.200 158.6136
108.398445 81.196 158.3632
108.764656 81.189 158.1549
109.130867 81.175 158.0625
109.497078 81.153 158.0894
109.863289 81.126 158.1668
110.229500 81.096 158.1983
110.595710 81.066 158.1252
110.961921 81.041 157.9681
111.328132 81.024 157.8128
111.694343 81.020 157.7461
112.060554 81.025 157.7877
112.426765 81.028 157.8710
112.792976 81.019 157.8915
113.159187 80.993 157.7866
113.525398 80.958 157.5848
113.891609 80.926 157.3873
114.257820 80.909 157.2899
114.624031 80.905 157.3069
114.990242 80.903 157.3615
115.356453 80.888 157.3541
115.722664 80.855 157.2481
116.088875 80.814 157.1021
116.455086 80.783 157.0210
116.821297 80.772 157.0630
117.187508 80.778 157.1816
117.553719 80.787 157.2598
117.919930 80.783 157.2059
118.286141 80.762 157.0294
118.652352 80.731 156.8354
119.018563 80.703 156.7404
119.384774 80.687 156.7770
119.750985 80.682 156.8663
120.117196 80.681 156.8833
120.483407 80.675 156.7591
120.849618 80.659 156.5348
121.215829 80.632 156.3287
121.582040 80.601 156.2456
121.948250 80.571 156.3008
122.314461 80.550 156.4144
122.680672 80.539 156.4752
123.046883 80.535 156.4207
123.413094 80.532 156.2735
123.779305 80.520 156.1130
124.145516 80.493 156.0169
124.511727 80.455 156.0160
124.877938 80.419 156.0876
125.244149 80.395 156.1793
125.610360 80.388 156.2404
125.976571 80.393 156.2425
126.342782 80.399 156.1830
126.708993 80.395 156.0793
127.075204 80.377 155.9620
127.441415 80.350 155.8662
127.807626 80.322 155.8199
128.173837 80.298 155.8304
128.540048 80.281 155.8792
128.906259 80.270 155.9302
129.272470 80.263 155.9478
129.638681 80.258 155.9133
130.004892 80.252 155.8309
130.371103 80.244 155.7216
130.737314 80.232 155.6113
131.103525 80.213 155.5225
131.469736 80.189 155.4691
131.835947 80.163 155.4545
132.202158 80.138 155.4708
132.568369 80.117 155.5002
132.934579 80.101 155.5208
133.300790 80.091 155.5171
133.667001 80.084 155.4866
134.033212 80.078 155.4398
134.399423 80.070 155.3914
134.765634 80.059 155.3489
135.131845 80.045 155.3087
135.498056 80.029 155.2602
135.864267 80.010 155.1971
136.230478 79.990 155.1251
136.596689 79.968 155.0611
136.962900 79.947 155.0236
137.329111 79.927 155.0214
137.695322 79.913 155.0472
138.061533 79.904 155.0804
138.427744 79.899 155.0976
138.793955 79.894 155.0837
139.160166 79.888 155.0390
139.526377 79.878 154.9767
139.892588 79.865 154.9151
140.258799 79.852 154.8672
140.625010 79.840 154.8351
140.991221 79.828 154.8111
141.357432 79.815 154.7856
141.723643 79.801 154.7556
142.089854 79.786 154.7276
142.456065 79.771 154.7130
142.822276 79.756 154.7194
143.188487 79.741 154.7432
143.554698 79.725 154.7707
143.920909 79.705 154.7859
144.287119 79.683 154.7802
144.653330 79.659 154.7561
145.019541 79.636 154.7250
145.385752 79.616 154.6980
145.751963 79.599 154.6794
146.118174 79.587 154.6655
146.484385 79.579 154.6500
146.850596 79.573 154.6299
147.216807 79.570 154.6082
147.583018 79.568 154.5913
147.949229 79.567 154.5829
148.315440 79.566 154.5805
148.681651 79.565 154.5771
149.047862 79.561 154.5658
149.414073 79.554 154.5453
149.780284 79.540 154.5207
150.146495 79.521 154.5002
150.512706 79.497 154.4885
150.878917 79.470 154.4824
151.245128 79.444 154.4710
151.611339 79.421 154.4410
151.977550 79.401 154.3837
152.343761 79.384 154.3006
152.709972 79.370 154.2042
153.076183 79.358 154.1139
153.442394 79.348 154.0492
153.808605 79.341 154.0229
154.174816 79.336 154.0372
154.541027 79.329 154.0833
154.907238 79.319 154.1461
155.273448 79.304 154.2089
155.639659 79.283 154.2573
156.005870 79.259 154.2814
156.372081 79.236 154.2767
156.738292 79.215 154.2440
157.104503 79.200 154.1900
157.470714 79.189 154.1277
157.836925 79.180 154.0736
158.203136 79.173 154.0434
158.569347 79.167 154.0463
158.935558 79.161 154.0806
159.301769 79.153 154.1346
159.667980 79.143 154.1900
160.034191 79.128 154.2287
160.400402 79.110 154.2377
160.766613 79.091 154.2126
161.132824 79.075 154.1591
161.499035 79.063 154.0920
161.865246 79.056 154.0323
162.231457 79.052 154.0004
162.597668 79.047 154.0073
162.963879 79.039 154.0483
163.330090 79.026 154.1033
163.696301 79.010 154.1461
164.062512 78.993 154.1576
164.428723 78.978 154.1357
164.794934 78.965 154.0954
165.161145 78.955 154.0591
165.527356 78.948 154.0427
165.893567 78.941 154.0475
166.259778 78.933 154.0631
166.625988 78.922 154.0756
166.992199 78.907 154.0781
167.358410 78.890 154.0730
167.724621 78.874 154.0684
168.090832 78.860 154.0710
168.457043 78.850 154.0812
168.823254 78.841 154.0941
169.189465 78.832 154.1038
169.555676 78.819 154.1081
169.921887 78.804 154.1086
170.288098 78.788 154.1081
