* Measurement data measured by REW V5.30.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 6, 2024 2:09:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Delci R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 36.539 142.2999
0.732422 40.683 108.8974
1.098633 45.745 83.5715
1.464844 50.498 64.4025
1.831055 54.598 48.8148
2.197266 58.051 35.4104
2.563477 60.944 23.5447
2.929688 63.373 12.9230
3.295898 65.422 3.3983
3.662109 67.168 -5.1259
4.028320 68.673 -12.7425
4.394531 69.989 -19.5573
4.760742 71.156 -25.6877
5.126953 72.203 -31.2499
5.493164 73.150 -36.3475
5.859375 74.012 -41.0643
6.225586 74.799 -45.4651
6.591797 75.519 -49.5992
6.958008 76.179 -53.5020
7.324219 76.783 -57.1975
7.690430 77.336 -60.7000
8.056641 77.844 -64.0190
8.422852 78.312 -67.1651
8.789062 78.746 -70.1527
9.155273 79.151 -72.9999
9.521484 79.529 -75.7245
9.887695 79.884 -78.3406
10.253906 80.216 -80.8580
10.620117 80.529 -83.2844
10.986328 80.825 -85.6287
11.352539 81.103 -87.9003
11.718750 81.366 -90.1062
12.084961 81.612 -92.2483
12.451172 81.842 -94.3222
12.817383 82.058 -96.3205
13.183594 82.260 -98.2383
13.549805 82.451 -100.0771
13.916016 82.634 -101.8456
14.282227 82.810 -103.5572
14.648438 82.978 -105.2257
15.014648 83.139 -106.8604
15.380859 83.290 -108.4635
15.747070 83.431 -110.0307
16.113281 83.564 -111.5553
16.479492 83.689 -113.0349
16.845703 83.808 -114.4755
17.211914 83.923 -115.8906
17.578125 84.032 -117.2924
17.944336 84.133 -118.6816
18.310547 84.225 -120.0432
18.676758 84.308 -121.3543
19.042969 84.387 -122.6002
19.409180 84.466 -123.7890
19.775391 84.548 -124.9501
20.141602 84.629 -126.1152
20.507812 84.704 -127.2943
20.874023 84.760 -128.4644
21.240234 84.804 -129.5843
21.606445 84.838 -130.6254
21.972656 84.873 -131.5981
22.338867 84.911 -132.5493
22.705078 84.951 -133.5312
23.071289 84.985 -134.5618
23.437500 85.004 -135.6100
23.803711 85.009 -136.6183
24.169922 85.006 -137.5455
24.536133 85.004 -138.3991
24.902344 85.008 -139.2297
25.268555 85.014 -140.0898
25.634766 85.013 -140.9899
26.000977 85.001 -141.8889
26.367188 84.978 -142.7251
26.733398 84.954 -143.4662
27.099609 84.938 -144.1374
27.465820 84.935 -144.8057
27.832031 84.940 -145.5319
28.198242 84.943 -146.3283
28.564453 84.938 -147.1577
28.930664 84.923 -147.9669
29.296875 84.907 -148.7277
29.663086 84.892 -149.4512
30.029297 84.880 -150.1683
30.395508 84.869 -150.8958
30.761719 84.854 -151.6195
31.127930 84.835 -152.3081
31.494141 84.816 -152.9427
31.860352 84.802 -153.5367
32.226562 84.795 -154.1272
32.592773 84.790 -154.7465
32.958984 84.783 -155.3977
33.325195 84.768 -156.0532
33.691406 84.746 -156.6753
34.057617 84.721 -157.2410
34.423828 84.697 -157.7536
34.790039 84.680 -158.2367
35.156250 84.667 -158.7187
35.522461 84.657 -159.2201
35.888672 84.649 -159.7498
36.254883 84.637 -160.3062
36.621094 84.620 -160.8779
36.987305 84.598 -161.4445
37.353516 84.569 -161.9807
37.719727 84.539 -162.4671
38.085938 84.512 -162.9028
38.452148 84.491 -163.3098
38.818359 84.478 -163.7242
39.184570 84.470 -164.1766
39.550781 84.461 -164.6745
39.916992 84.447 -165.1989
40.283203 84.426 -165.7163
40.649414 84.401 -166.1998
41.015625 84.375 -166.6442
41.381836 84.353 -167.0654
41.748047 84.333 -167.4863
42.114258 84.314 -167.9174
42.480469 84.291 -168.3492
42.846680 84.267 -168.7607
43.212891 84.242 -169.1383
43.579102 84.220 -169.4908
43.945312 84.204 -169.8461
44.311523 84.190 -170.2309
44.677734 84.174 -170.6482
45.043945 84.150 -171.0717
45.410156 84.121 -171.4626
45.776367 84.092 -171.7987
46.142578 84.068 -172.0935
46.508789 84.053 -172.3895
46.875000 84.043 -172.7295
47.241211 84.032 -173.1271
47.607422 84.012 -173.5573
47.973633 83.984 -173.9737
48.339844 83.949 -174.3372
48.706055 83.916 -174.6381
49.072266 83.889 -174.8987
49.438477 83.871 -175.1588
49.804688 83.859 -175.4540
50.170898 83.847 -175.8002
50.537109 83.832 -176.1886
50.903320 83.809 -176.5915
51.269531 83.778 -176.9746
51.635742 83.745 -177.3131
52.001953 83.713 -177.6033
52.368164 83.686 -177.8629
52.734375 83.665 -178.1192
53.100586 83.648 -178.3919
53.466797 83.633 -178.6837
53.833008 83.618 -178.9868
54.199219 83.603 -179.2949
54.565430 83.586 -179.6086
54.931641 83.569 -179.9263
55.297852 83.547 179.7674
55.664062 83.522 179.4987
56.030273 83.500 179.2814
56.396484 83.486 179.0925
56.762695 83.480 178.8773
57.128906 83.475 178.5903
57.495117 83.458 178.2459
57.861328 83.423 177.9288
58.227539 83.377 177.7440
58.593750 83.338 177.7322
58.959961 83.327 177.8127
59.326172 83.348 177.8141
59.692383 83.385 177.5865
60.058594 83.408 177.1074
60.424805 83.395 176.4982
60.791016 83.343 175.9467
61.157227 83.269 175.5944
61.523438 83.200 175.4568
61.889648 83.154 175.4301
62.255859 83.131 175.3759
62.622070 83.118 175.2181
62.988281 83.101 174.9730
63.354492 83.076 174.7058
63.720703 83.047 174.4645
64.086914 83.020 174.2473
64.453125 82.998 174.0215
64.819336 82.977 173.7664
65.185547 82.952 173.4971
65.551758 82.923 173.2495
65.917969 82.894 173.0459
66.284180 82.871 172.8738
66.650391 82.854 172.6975
67.016602 82.839 172.4898
67.382812 82.823 172.2558
67.749023 82.800 172.0280
68.115234 82.774 171.8391
68.481445 82.750 171.6955
68.847656 82.733 171.5721
69.213867 82.721 171.4319
69.580078 82.710 171.2530
69.946289 82.695 171.0438
70.312500 82.673 170.8347
70.678711 82.647 170.6553
71.044922 82.622 170.5130
71.411133 82.600 170.3887
71.777344 82.583 170.2520
72.143555 82.567 170.0836
72.509766 82.547 169.8892
72.875977 82.523 169.6937
73.242188 82.495 169.5214
73.608398 82.467 169.3779
73.974609 82.443 169.2477
74.340820 82.422 169.1088
74.707031 82.402 168.9511
75.073242 82.380 168.7830
75.439453 82.357 168.6210
75.805664 82.333 168.4726
76.171875 82.312 168.3289
76.538086 82.292 168.1736
76.904297 82.270 168.0009
77.270508 82.246 167.8248
77.636719 82.217 167.6705
78.002930 82.189 167.5544
78.369141 82.164 167.4686
78.735352 82.147 167.3847
79.101562 82.133 167.2735
79.467773 82.120 167.1255
79.833984 82.103 166.9554
80.200195 82.082 166.7899
80.566406 82.059 166.6465
80.932617 82.037 166.5231
81.298828 82.018 166.4023
81.665039 82.000 166.2665
82.031250 81.981 166.1131
82.397461 81.958 165.9568
82.763672 81.932 165.8198
83.129883 81.905 165.7160
83.496094 81.881 165.6408
83.862305 81.862 165.5723
84.228516 81.847 165.4849
84.594727 81.833 165.3654
84.960938 81.816 165.2218
85.327148 81.794 165.0762
85.693359 81.770 164.9480
86.059570 81.746 164.8387
86.425781 81.724 164.7314
86.791992 81.703 164.6066
87.158203 81.679 164.4633
87.524414 81.649 164.3262
87.890625 81.614 164.2313
88.256836 81.582 164.1968
88.623047 81.558 164.2032
88.989258 81.546 164.1998
89.355469 81.542 164.1361
89.721680 81.537 163.9958
90.087891 81.525 163.8068
90.454102 81.503 163.6202
90.820312 81.475 163.4760
91.186523 81.449 163.3793
91.552734 81.428 163.3039
91.918945 81.411 163.2175
92.285156 81.395 163.1080
92.651367 81.376 162.9884
93.017578 81.354 162.8823
93.383789 81.332 162.8016
93.750000 81.313 162.7375
94.116211 81.297 162.6695
94.482422 81.283 162.5828
94.848633 81.267 162.4799
95.214844 81.248 162.3766
95.581055 81.227 162.2887
95.947266 81.206 162.2201
96.313477 81.188 162.1614
96.679688 81.172 162.0978
97.045898 81.157 162.0195
97.412109 81.141 161.9265
97.778320 81.123 161.8269
98.144531 81.103 161.7310
98.510742 81.081 161.6466
98.876953 81.060 161.5763
99.243164 81.039 161.5170
99.609375 81.021 161.4614
99.975586 81.005 161.3999
100.341797 80.991 161.3249
100.708008 80.975 161.2349
101.074219 80.958 161.1365
101.440430 80.938 161.0417
101.806641 80.917 160.9613
102.172852 80.895 160.8989
102.539062 80.876 160.8486
102.905273 80.859 160.7992
103.271484 80.844 160.7405
103.637695 80.828 160.6700
104.003906 80.812 160.5938
104.370117 80.793 160.5214
104.736328 80.774 160.4597
105.102539 80.756 160.4078
105.468750 80.740 160.3580
105.834961 80.724 160.3010
106.201172 80.709 160.2326
106.567383 80.693 160.1569
106.933594 80.675 160.0827
107.299805 80.656 160.0174
107.666016 80.637 159.9616
108.032227 80.619 159.9099
108.398438 80.601 159.8560
108.764648 80.584 159.7991
109.130859 80.566 159.7440
109.497070 80.548 159.6957
109.863281 80.532 159.6534
110.229492 80.517 159.6085
110.595703 80.503 159.5512
110.961914 80.488 159.4799
111.328125 80.471 159.4041
111.694336 80.452 159.3385
112.060547 80.432 159.2916
112.426758 80.414 159.2585
112.792969 80.399 159.2247
113.159180 80.386 159.1775
113.525391 80.372 159.1160
113.891602 80.356 159.0507
114.257812 80.338 158.9934
114.624023 80.321 158.9464
114.990234 80.306 158.9016
115.356445 80.291 158.8492
115.722656 80.275 158.7884
116.088867 80.258 158.7286
116.455078 80.239 158.6818
116.821289 80.221 158.6506
117.187500 80.205 158.6254
117.553711 80.191 158.5924
117.919922 80.177 158.5458
118.286133 80.161 158.4937
118.652344 80.143 158.4507
119.018555 80.126 158.4254
119.384766 80.111 158.4117
119.750977 80.099 158.3922
120.117188 80.088 158.3523
120.483398 80.076 158.2904
120.849609 80.061 158.2198
121.215820 80.043 158.1589
121.582031 80.023 158.1190
121.948242 80.004 158.0986
122.314453 79.988 158.0862
122.680664 79.974 158.0693
123.046875 79.962 158.0410
123.413086 79.949 158.0021
123.779297 79.935 157.9576
124.145508 79.920 157.9128
124.511719 79.904 157.8708
124.877930 79.888 157.8316
125.244141 79.873 157.7938
125.610352 79.857 157.7568
125.976562 79.840 157.7216
126.342773 79.824 157.6905
126.708984 79.808 157.6654
127.075195 79.793 157.6449
127.441406 79.779 157.6236
127.807617 79.766 157.5949
128.173828 79.753 157.5559
128.540039 79.739 157.5110
128.906250 79.723 157.4702
129.272461 79.706 157.4424
129.638672 79.691 157.4275
130.004883 79.678 157.4150
130.371094 79.667 157.3899
130.737305 79.657 157.3440
131.103516 79.644 157.2829
131.469727 79.627 157.2242
131.835938 79.607 157.1863
132.202148 79.587 157.1762
132.568359 79.571 157.1853
132.934570 79.558 157.1945
133.300781 79.547 157.1873
133.666992 79.537 157.1595
134.033203 79.523 157.1205
134.399414 79.507 157.0864
134.765625 79.490 157.0688
135.131836 79.474 157.0680
135.498047 79.461 157.0732
135.864258 79.451 157.0685
136.230469 79.442 157.0424
136.596680 79.431 156.9937
136.962891 79.417 156.9333
137.329102 79.400 156.8781
137.695312 79.380 156.8427
138.061523 79.361 156.8303
138.427734 79.345 156.8312
138.793945 79.333 156.8289
139.160156 79.321 156.8114
139.526367 79.309 156.7796
139.892578 79.296 156.7461
140.258789 79.281 156.7240
140.625000 79.268 156.7151
140.991211 79.258 156.7067
141.357422 79.250 156.6812
141.723633 79.241 156.6326
142.089844 79.228 156.5742
142.456055 79.210 156.5308
142.822266 79.192 156.5196
143.188477 79.177 156.5357
143.554688 79.167 156.5536
143.920898 79.160 156.5471
144.287109 79.151 156.5093
144.653320 79.138 156.4587
145.019531 79.120 156.4236
145.385742 79.101 156.4200
145.751953 79.085 156.4401
146.118164 79.072 156.4611
146.484375 79.061 156.4661
146.850586 79.049 156.4578
147.216797 79.034 156.4534
147.583008 79.020 156.4647
147.949219 79.009 156.4837
148.315430 79.002 156.4868
148.681641 78.996 156.4546
149.047852 78.986 156.3912
149.414062 78.970 156.3252
