* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 10, 2021 1:54:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Delta Studio L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	66.433037	131.7167
21.200001	66.567017	130.5872
21.799999	66.818962	130.1300
22.400000	67.250626	129.1420
23.000000	67.584076	127.4590
23.600000	67.690987	126.7892
24.299999	67.854958	127.4545
25.000000	68.164978	126.2920
25.799999	68.175751	122.6196
26.500000	68.016312	121.8452
27.200001	68.284180	123.0700
28.000000	68.824860	121.8396
29.000000	68.833931	118.0517
30.000000	68.721954	117.1631
30.700001	68.994377	116.8677
31.500000	69.346169	115.4594
32.500000	69.555321	113.7306
33.500000	69.763535	112.2970
34.500000	69.942093	111.0936
35.500000	70.162285	110.8367
36.500000	70.336571	109.6030
37.500000	70.427063	108.4822
38.700001	70.671066	107.7218
40.000000	71.000916	106.7551
41.200001	71.161247	104.4985
42.500000	71.376434	103.1822
43.700001	71.413101	102.0954
45.000000	71.610863	102.2615
46.200001	71.879799	100.2285
47.500000	72.069725	99.8415
48.700001	72.304565	99.0018
50.000000	72.396408	98.1096
51.500000	72.671310	97.1051
53.000000	72.800522	96.0148
54.500000	73.054268	95.1474
56.000000	73.253105	94.0880
58.000000	73.475304	92.7629
60.000000	73.596451	91.7360
61.500000	73.931458	90.4849
63.000000	74.030327	89.0762
65.000000	74.311234	88.7279
67.000000	74.547531	87.4595
69.000000	74.736237	86.6817
71.000000	74.927399	85.6369
73.000000	75.128609	84.3872
75.000000	75.318863	83.5492
77.500000	75.529861	82.2197
80.000000	75.769318	81.2041
82.500000	75.980522	80.0303
85.000000	76.181671	78.8537
87.500000	76.411972	77.8435
90.000000	76.586578	76.7514
92.500000	76.771065	75.7508
95.000000	76.951843	74.7522
97.500000	77.120209	73.9007
100.000000	77.276695	72.6318
103.000000	77.479652	71.3908
106.000000	77.716324	70.5986
109.000000	77.877075	69.2607
112.000000	78.096207	68.3625
115.000000	78.274315	67.3056
118.000000	78.456802	66.1901
122.000000	78.699677	64.7169
125.000000	78.910759	64.0105
128.000000	79.030960	62.7131
132.000000	79.208076	61.5878
136.000000	79.394165	60.2185
140.000000	79.580360	58.9635
145.000000	79.792572	57.5275
150.000000	79.989754	56.0641
155.000000	80.173012	54.5830
160.000000	80.346390	53.2476
165.000000	80.522476	51.9070
170.000000	80.672707	50.5383
175.000000	80.818039	49.3062
180.000000	80.958961	47.9537
185.000000	81.075752	46.7434
190.000000	81.198631	45.5954
195.000000	81.313423	44.5577
200.000000	81.426041	43.4429
206.000000	81.540024	42.2641
212.000000	81.651321	40.9830
218.000000	81.744827	39.7685
224.000000	81.828529	38.5995
230.000000	81.899330	37.5906
236.000000	81.963402	36.5207
243.000000	82.007210	35.4209
250.000000	81.979683	35.0214
258.000000	81.952789	34.8382
265.000000	81.976341	36.2696
272.000000	82.416748	38.0955
280.000000	83.100212	36.8660
290.000000	83.517525	33.3859
300.000000	83.691063	30.6447
307.000000	83.791573	29.2604
315.000000	83.914536	27.7657
325.000000	84.074051	26.1655
335.000000	84.231224	24.6929
345.000000	84.406090	23.2528
355.000000	84.590591	21.8315
365.000000	84.788605	20.4472
375.000000	84.991302	18.9649
387.000000	85.250565	17.1518
400.000000	85.552063	15.0693
412.000000	85.826958	12.9714
425.000000	86.146233	10.4394
437.000000	86.443184	7.9255
450.000000	86.768433	4.8592
462.000000	87.056061	1.7089
475.000000	87.356720	-2.1183
487.000000	87.607513	-6.0468
500.000000	87.827698	-10.7199
515.000000	87.997566	-16.5787
530.000000	88.054321	-22.9021
545.000000	87.969948	-29.5191
560.000000	87.744293	-36.1373
580.000000	87.201309	-44.5723
600.000000	86.451744	-52.0977
615.000000	85.780655	-56.9586
630.000000	85.045807	-61.1455
650.000000	84.010002	-65.6513
670.000000	82.941605	-69.0742
690.000000	81.844131	-71.5340
710.000000	80.699425	-73.1468
730.000000	79.393272	-73.6494
750.000000	77.643753	-68.3226
775.000000	79.401222	-59.4933
800.000000	78.318085	-69.8593
825.000000	77.049980	-70.4695
850.000000	76.032631	-69.1446
875.000000	75.228653	-68.0297
900.000000	74.303406	-66.2226
925.000000	73.491234	-63.7800
950.000000	72.741798	-60.8699
975.000000	72.049835	-57.6919
1000.000000	71.386871	-54.2122
1030.000000	70.661705	-49.5701
1060.000000	69.986359	-44.3664
1090.000000	69.406113	-38.6201
1120.000000	68.920532	-32.0959
1150.000000	68.567841	-25.0317
1180.000000	68.388046	-17.4246
1220.000000	68.477654	-7.0692
1250.000000	68.797684	0.4839
1280.000000	69.317604	7.5218
1320.000000	70.265747	15.4703
1360.000000	71.418465	21.6214
1400.000000	72.720215	25.9208
1450.000000	74.477371	28.4389
1500.000000	76.296608	27.7410
1550.000000	78.054680	23.3094
1600.000000	79.550392	14.7971
1650.000000	80.454094	2.8974
1700.000000	80.553650	-10.0014
1750.000000	79.957092	-20.9992
1800.000000	78.989304	-28.7914
1850.000000	77.915199	-33.6749
1900.000000	76.866798	-36.3976
1950.000000	75.903694	-37.6349
2000.000000	75.034447	-37.8102
2060.000000	74.106117	-37.0866
2120.000000	73.291115	-35.6819
2180.000000	72.579704	-33.7698
2240.000000	71.963120	-31.5703
2300.000000	71.415077	-29.1761
2360.000000	70.936478	-26.7147
2430.000000	70.428329	-23.6630
2500.000000	69.990005	-20.4602
2580.000000	69.551575	-16.6797
2650.000000	69.231438	-13.3331
2720.000000	68.960083	-9.8788
2800.000000	68.728004	-5.7434
2900.000000	68.569817	-0.8973
3000.000000	68.482376	3.4301
3070.000000	68.416702	6.2523
3150.000000	68.390228	9.4908
3250.000000	68.378716	13.4845
3350.000000	68.438042	17.3675
3450.000000	68.536919	21.1289
