* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 10, 2021 1:54:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Delta Studio R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	47.674778	149.6293
21.200001	48.722061	149.3829
21.799999	49.651382	147.3705
22.400000	49.271656	150.6921
23.000000	48.688675	164.4265
23.600000	49.311310	170.8334
24.299999	49.086926	152.8763
25.000000	47.037594	126.0594
25.799999	46.305702	143.4278
26.500000	51.648220	156.9234
27.200001	53.382103	143.7664
28.000000	50.186859	134.6526
29.000000	49.472145	156.3025
30.000000	52.823505	137.2443
30.700001	52.522663	129.1477
31.500000	51.699669	133.4418
32.500000	51.184528	133.9532
33.500000	51.615181	131.7558
34.500000	52.226974	121.2961
35.500000	49.844791	124.7568
36.500000	51.255539	140.1646
37.500000	53.047844	129.7689
38.700001	53.170807	124.0376
40.000000	53.654892	125.1839
41.200001	54.225193	123.2462
42.500000	53.223652	125.8272
43.700001	53.067570	130.6351
45.000000	53.940025	126.5059
46.200001	55.051651	123.6671
47.500000	54.800148	125.8173
48.700001	55.610531	123.6624
50.000000	55.476448	119.2746
51.500000	55.302795	121.8711
53.000000	55.395653	117.7534
54.500000	55.765900	119.6059
56.000000	56.065357	119.1303
58.000000	56.769142	117.6418
60.000000	55.765137	121.3697
61.500000	56.323021	116.8593
63.000000	56.547905	117.8903
65.000000	56.788078	117.4019
67.000000	57.505722	115.9995
69.000000	57.515762	117.4257
71.000000	58.023502	116.2156
73.000000	57.965939	110.9492
75.000000	58.456627	114.0578
77.500000	58.594604	116.6933
80.000000	59.296001	115.4131
82.500000	59.379951	115.9847
85.000000	59.905678	115.8046
87.500000	59.806011	116.3817
90.000000	60.290569	114.7538
92.500000	60.571968	115.0044
95.000000	60.719116	115.3419
97.500000	60.937378	114.9307
100.000000	61.105721	115.0035
103.000000	61.576332	114.2575
106.000000	61.833748	114.3598
109.000000	62.235493	115.1642
112.000000	62.520786	115.0091
