* Measurement data measured by REW V5.20.13
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -5.0 dBFS with no timing reference
* Dated: Dec 22, 2022 2:04:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Devil L
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	85.220	-101.4684
20.600000	85.385	-103.4350
21.200001	85.525	-105.3419
21.799999	85.637	-107.1690
22.400000	85.729	-108.8651
23.000000	85.817	-110.4526
23.600000	85.901	-112.0158
24.299999	85.981	-113.8065
25.000000	86.049	-115.4672
25.799999	86.132	-117.2959
26.500000	86.190	-118.9844
27.200001	86.211	-120.6152
28.000000	86.215	-122.1579
29.000000	86.255	-123.8425
30.000000	86.306	-125.6448
30.700001	86.329	-126.9086
31.500000	86.348	-128.2907
32.500000	86.369	-129.9482
33.500000	86.385	-131.5161
34.500000	86.403	-132.9838
35.500000	86.420	-134.4118
36.500000	86.427	-135.7640
37.500000	86.434	-137.0108
38.700001	86.438	-138.4739
40.000000	86.426	-139.9189
41.200001	86.433	-141.1122
42.500000	86.454	-142.5356
43.700001	86.455	-143.8478
45.000000	86.455	-145.1721
46.200001	86.449	-146.3418
47.500000	86.431	-147.4780
48.700001	86.416	-148.3689
50.000000	86.409	-149.2740
51.500000	86.410	-150.2776
53.000000	86.417	-151.4042
54.500000	86.401	-152.5473
56.000000	86.384	-153.5676
58.000000	86.364	-154.9009
60.000000	86.328	-156.0156
61.500000	86.325	-156.7354
63.000000	86.330	-157.5442
65.000000	86.324	-158.6607
67.000000	86.298	-159.7217
69.000000	86.264	-160.5699
71.000000	86.239	-161.3241
73.000000	86.213	-162.0897
75.000000	86.188	-162.8537
77.500000	86.157	-163.8127
80.000000	86.125	-164.6737
82.500000	86.092	-165.4758
85.000000	86.053	-166.2521
87.500000	86.016	-167.0130
90.000000	85.981	-167.7189
92.500000	85.946	-168.3562
95.000000	85.909	-168.9566
97.500000	85.874	-169.5506
100.000000	85.839	-170.1259
103.000000	85.800	-170.7612
106.000000	85.760	-171.3830
109.000000	85.718	-171.9625
112.000000	85.680	-172.4827
115.000000	85.644	-172.9783
118.000000	85.606	-173.4808
122.000000	85.556	-174.0965
125.000000	85.523	-174.5143
128.000000	85.487	-174.9142
132.000000	85.436	-175.4144
136.000000	85.387	-175.8661
140.000000	85.335	-176.2647
145.000000	85.273	-176.7485
150.000000	85.210	-177.2039
155.000000	85.147	-177.5818
160.000000	85.081	-177.9364
165.000000	85.013	-178.2430
170.000000	84.943	-178.5163
175.000000	84.882	-178.7686
180.000000	84.823	-179.0162
185.000000	84.759	-179.1802
190.000000	84.696	-179.2935
195.000000	84.634	-179.4091
200.000000	84.573	-179.5188
206.000000	84.500	-179.6100
212.000000	84.426	-179.6523
218.000000	84.354	-179.6454
224.000000	84.288	-179.6701
230.000000	84.223	-179.6977
236.000000	84.157	-179.6650
243.000000	84.082	-179.5824
250.000000	84.013	-179.4624
258.000000	83.935	-179.2960
265.000000	83.863	-179.1469
272.000000	83.794	-178.9796
280.000000	83.722	-178.7559
