* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 9, 2024 2:02:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Diva Max L
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 44.428 134.5736
0.732422 48.441 85.5067
1.098633 54.297 51.4823
1.464844 59.452 28.7380
1.831055 63.548 10.9124
2.197266 66.741 -4.3424
2.563477 69.216 -17.7465
2.929688 71.131 -29.4788
3.295899 72.625 -39.5754
3.662110 73.824 -48.1135
4.028321 74.833 -55.2984
4.394532 75.727 -61.4577
4.760743 76.545 -66.9465
5.126954 77.296 -72.0306
5.493164 77.975 -76.8330
5.859375 78.581 -81.3656
6.225586 79.120 -85.6004
6.591797 79.607 -89.5285
6.958008 80.056 -93.1814
7.324219 80.476 -96.6189
7.690430 80.871 -99.9040
8.056641 81.241 -103.0816
8.422852 81.583 -106.1690
8.789063 81.896 -109.1572
9.155274 82.181 -112.0213
9.521485 82.443 -114.7382
9.887696 82.689 -117.3067
10.253907 82.926 -119.7573
10.620118 83.159 -122.1425
10.986329 83.382 -124.5087
11.352540 83.591 -126.8700
11.718751 83.781 -129.2024
12.084962 83.951 -131.4655
12.451173 84.108 -133.6348
12.817384 84.256 -135.7211
13.183595 84.400 -137.7608
13.549806 84.537 -139.7851
13.916017 84.662 -141.7945
14.282228 84.772 -143.7594
14.648439 84.872 -145.6483
15.014650 84.968 -147.4582
15.380861 85.065 -149.2240
15.747072 85.163 -150.9955
16.113283 85.255 -152.8004
16.479493 85.334 -154.6216
16.845704 85.397 -156.4074
17.211915 85.450 -158.1081
17.578126 85.501 -159.7131
17.944337 85.559 -161.2635
18.310548 85.623 -162.8283
18.676759 85.687 -164.4587
19.042970 85.739 -166.1522
19.409181 85.771 -167.8488
19.775392 85.782 -169.4633
20.141603 85.782 -170.9331
20.507814 85.783 -172.2557
20.874025 85.789 -173.4925
21.240236 85.805 -174.7312
21.606447 85.821 -176.0337
21.972658 85.829 -177.4035
22.338869 85.822 -178.7952
22.705080 85.801 179.8459
23.071291 85.774 178.5446
23.437502 85.744 177.2841
23.803713 85.715 176.0291
24.169924 85.681 174.7604
24.536135 85.640 173.4919
24.902346 85.591 172.2550
25.268557 85.539 171.0678
25.634768 85.488 169.9178
26.000979 85.438 168.7749
26.367190 85.387 167.6232
26.733401 85.331 166.4799
27.099612 85.270 165.3821
27.465823 85.211 164.3497
27.832033 85.160 163.3586
28.198244 85.121 162.3514
28.564455 85.086 161.2800
28.930666 85.044 160.1453
29.296877 84.992 158.9981
29.663088 84.929 157.9019
30.029299 84.864 156.8861
30.395510 84.806 155.9286
30.761721 84.754 154.9797
31.127932 84.705 154.0071
31.494143 84.652 153.0215
31.860354 84.593 152.0619
32.226565 84.533 151.1567
32.592776 84.478 150.2952
32.958987 84.430 149.4342
33.325198 84.385 148.5334
33.691409 84.336 147.5889
34.057620 84.278 146.6365
34.423831 84.210 145.7237
34.790042 84.141 144.8757
35.156253 84.075 144.0800
35.522464 84.014 143.3004
35.888675 83.958 142.5056
36.254886 83.902 141.6891
36.621097 83.842 140.8664
36.987308 83.779 140.0580
37.353519 83.716 139.2723
37.719730 83.654 138.5037
38.085941 83.593 137.7413
38.452152 83.533 136.9801
38.818363 83.473 136.2230
39.184573 83.413 135.4748
39.550784 83.354 134.7350
39.916995 83.294 133.9979
40.283206 83.235 133.2592
40.649417 83.175 132.5228
41.015628 83.111 131.8012
41.381839 83.046 131.1071
41.748050 82.983 130.4433
42.114261 82.922 129.7994
42.480472 82.864 129.1582
42.846683 82.809 128.5075
43.212894 82.752 127.8477
43.579105 82.694 127.1891
43.945316 82.634 126.5418
44.311527 82.575 125.9068
44.677738 82.516 125.2755
45.043949 82.457 124.6396
45.410160 82.396 124.0009
45.776371 82.332 123.3731
46.142582 82.267 122.7712
46.508793 82.203 122.1983
46.875004 82.144 121.6392
47.241215 82.088 121.0699
47.607426 82.033 120.4744
47.973637 81.976 119.8574
48.339848 81.913 119.2426
48.706059 81.846 118.6567
49.072270 81.779 118.1119
49.438481 81.716 117.5989
49.804692 81.657 117.0949
50.170902 81.602 116.5800
50.537113 81.548 116.0487
50.903324 81.492 115.5098
51.269535 81.435 114.9754
51.635746 81.377 114.4512
52.001957 81.320 113.9333
52.368168 81.264 113.4142
52.734379 81.206 112.8917
53.100590 81.146 112.3720
53.466801 81.085 111.8664
53.833012 81.023 111.3829
54.199223 80.962 110.9202
54.565434 80.904 110.4688
54.931645 80.848 110.0167
55.297856 80.794 109.5572
55.664067 80.739 109.0914
56.030278 80.683 108.6260
56.396489 80.627 108.1674
56.762700 80.570 107.7174
57.128911 80.515 107.2729
57.495122 80.460 106.8293
57.861333 80.405 106.3840
58.227544 80.350 105.9388
58.593755 80.295 105.4973
58.959966 80.238 105.0634
59.326177 80.181 104.6393
59.692388 80.124 104.2262
60.058599 80.067 103.8239
60.424810 80.012 103.4312
60.791021 79.958 103.0442
61.157232 79.904 102.6577
61.523442 79.852 102.2677
61.889653 79.798 101.8749
62.255864 79.744 101.4854
62.622075 79.689 101.1068
62.988286 79.634 100.7419
63.354497 79.581 100.3850
63.720708 79.530 100.0246
64.086919 79.480 99.6520
64.453130 79.428 99.2687
64.819341 79.374 98.8869
65.185552 79.318 98.5216
65.551763 79.262 98.1799
65.917974 79.209 97.8554
66.284185 79.159 97.5325
66.650396 79.111 97.1970
67.016607 79.064 96.8460
67.382818 79.015 96.4886
67.749029 78.964 96.1380
68.115240 78.912 95.8020
68.481451 78.862 95.4777
68.847662 78.813 95.1557
69.213873 78.765 94.8289
69.580084 78.717 94.4983
69.946295 78.667 94.1720
70.312506 78.616 93.8585
70.678717 78.565 93.5593
71.044928 78.516 93.2682
71.411139 78.468 92.9763
71.777350 78.421 92.6794
72.143561 78.372 92.3807
72.509771 78.323 92.0881
72.875982 78.273 91.8063
73.242193 78.224 91.5324
73.608404 78.178 91.2578
73.974615 78.131 90.9749
74.340826 78.084 90.6836
74.707037 78.036 90.3917
75.073248 77.986 90.1092
75.439459 77.936 89.8406
75.805670 77.888 89.5816
76.171881 77.842 89.3224
76.538092 77.798 89.0558
76.904303 77.752 88.7823
77.270514 77.706 88.5094
77.636725 77.660 88.2449
78.002936 77.614 87.9909
78.369147 77.570 87.7420
78.735358 77.527 87.4901
79.101569 77.484 87.2310
79.467780 77.441 86.9682
79.833991 77.396 86.7096
80.200202 77.351 86.4622
80.566413 77.306 86.2271
80.932624 77.262 85.9995
81.298835 77.219 85.7736
81.665046 77.176 85.5470
82.031257 77.134 85.3219
82.397468 77.091 85.1017
82.763679 77.049 84.8864
83.129890 77.009 84.6716
83.496101 76.970 84.4511
83.862311 76.930 84.2220
84.228522 76.890 83.9877
84.594733 76.848 83.7557
84.960944 76.805 83.5318
85.327155 76.764 83.3152
85.693366 76.723 83.0998
86.059577 76.683 82.8789
86.425788 76.643 82.6528
86.791999 76.600 82.4300
87.158210 76.556 82.2223
87.524421 76.513 82.0361
87.890632 76.473 81.8663
88.256843 76.437 81.6982
88.623054 76.403 81.5163
88.989265 76.370 81.3139
89.355476 76.335 81.0970
89.721687 76.298 80.8789
90.087898 76.259 80.6717
90.454109 76.220 80.4789
90.820320 76.182 80.2954
91.186531 76.145 80.1125
91.552742 76.109 79.9250
91.918953 76.072 79.7331
92.285164 76.035 79.5416
92.651375 75.996 79.3548
93.017586 75.958 79.1747
93.383797 75.920 79.0005
93.750008 75.883 78.8309
94.116219 75.846 78.6643
94.482430 75.810 78.4998
94.848641 75.775 78.3358
95.214851 75.741 78.1700
95.581062 75.707 78.0001
95.947273 75.674 77.8249
96.313484 75.640 77.6450
96.679695 75.606 77.4631
97.045906 75.570 77.2836
97.412117 75.534 77.1118
97.778328 75.497 76.9525
98.144539 75.461 76.8067
98.510750 75.428 76.6709
98.876961 75.396 76.5373
99.243172 75.367 76.3975
99.609383 75.338 76.2462
99.975594 75.309 76.0838
100.341805 75.280 75.9148
100.708016 75.249 75.7446
101.074227 75.218 75.5769
101.440438 75.186 75.4133
101.806649 75.154 75.2544
102.172860 75.122 75.1009
102.539071 75.090 74.9525
102.905282 75.059 74.8063
103.271493 75.029 74.6582
103.637704 74.999 74.5053
104.003915 74.968 74.3500
104.370126 74.936 74.1992
104.736337 74.904 74.0610
105.102548 74.872 73.9379
105.468759 74.843 73.8236
105.834970 74.816 73.7061
106.201180 74.791 73.5750
106.567391 74.766 73.4272
106.933602 74.739 73.2695
107.299813 74.710 73.1134
107.666024 74.679 72.9691
108.032235 74.647 72.8407
108.398446 74.616 72.7261
108.764657 74.587 72.6201
109.130868 74.560 72.5168
109.497079 74.534 72.4119
109.863290 74.510 72.3021
110.229501 74.486 72.1851
110.595712 74.462 72.0599
110.961923 74.438 71.9271
111.328134 74.413 71.7899
111.694345 74.386 71.6526
112.060556 74.359 71.5190
112.426767 74.332 71.3905
112.792978 74.305 71.2660
113.159189 74.279 71.1432
113.525400 74.253 71.0206
113.891611 74.227 70.8987
114.257822 74.201 70.7795
114.624033 74.175 70.6641
114.990244 74.150 70.5513
115.356455 74.126 70.4382
115.722666 74.103 70.3223
116.088877 74.079 70.2039
116.455088 74.055 70.0869
116.821299 74.031 69.9751
117.187510 74.008 69.8688
117.553720 73.987 69.7636
117.919931 73.966 69.6529
118.286142 73.946 69.5333
118.652353 73.924 69.4072
119.018564 73.901 69.2817
119.384775 73.877 69.1638
119.750986 73.853 69.0552
120.117197 73.830 68.9530
120.483408 73.807 68.8521
120.849619 73.784 68.7503
121.215830 73.762 68.6490
121.582041 73.738 68.5517
121.948252 73.716 68.4609
122.314463 73.694 68.3759
122.680674 73.673 68.2933
123.046885 73.654 68.2078
123.413096 73.637 68.1133
123.779307 73.620 68.0046
124.145518 73.602 67.8806
124.511729 73.582 67.7473
124.877940 73.558 67.6174
125.244151 73.533 67.5044
125.610362 73.508 67.4140
125.976573 73.486 67.3387
126.342784 73.467 67.2617
126.708995 73.450 67.1686
127.075206 73.432 67.0591
127.441417 73.411 66.9475
127.807628 73.388 66.8524
128.173839 73.366 66.7802
128.540049 73.348 66.7191
128.906260 73.334 66.6464
129.272471 73.321 66.5457
129.638682 73.305 66.4203
130.004893 73.285 66.2913
130.371104 73.262 66.1825
130.737315 73.238 66.1040
131.103526 73.218 66.0461
131.469737 73.201 65.9880
131.835948 73.187 65.9134
132.202159 73.172 65.8200
132.568370 73.156 65.7181
132.934581 73.138 65.6196
133.300792 73.120 65.5295
133.667003 73.102 65.4442
134.033214 73.086 65.3578
134.399425 73.069 65.2678
134.765636 73.052 65.1767
135.131847 73.035 65.0872
135.498058 73.018 64.9983
135.864269 73.002 64.9063
136.230480 72.985 64.8093
136.596691 72.966 64.7114
136.962902 72.946 64.6218
137.329113 72.926 64.5477
137.695324 72.907 64.4884
138.061535 72.891 64.4338
138.427746 72.877 64.3706
138.793957 72.864 64.2910
139.160168 72.849 64.1974
139.526379 72.833 64.0997
139.892589 72.814 64.0090
140.258800 72.795 63.9306
140.625011 72.777 63.8622
140.991222 72.761 63.7974
141.357433 72.746 63.7299
141.723644 72.731 63.6572
142.089855 72.717 63.5796
142.456066 72.703 63.4993
142.822277 72.688 63.4187
143.188488 72.674 63.3385
143.554699 72.661 63.2569
143.920910 72.648 63.1699
144.287121 72.636 63.0736
144.653332 72.622 62.9684
145.019543 72.605 62.8622
145.385754 72.587 62.7688
145.751965 72.567 62.7003
146.118176 72.549 62.6573
146.484387 72.536 62.6249
146.850598 72.528 62.5799
147.216809 72.520 62.5055
147.583020 72.511 62.4037
147.949231 72.497 62.2951
148.315442 72.478 62.2054
148.681653 72.459 62.1479
149.047864 72.443 62.1150
149.414075 72.432 62.0840
149.780286 72.424 62.0333
150.146497 72.415 61.9565
150.512708 72.404 61.8634
150.878918 72.391 61.7700
151.245129 72.375 61.6871
151.611340 72.360 61.6151
