* Measurement data measured by REW V5.20.13
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), no input selected, R, volume: no control. Timing signal peak level -68.0 dBFS, measurement signal peak level -25.4 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -6.0 dBFS using an acoustic timing reference
* Dated: May 27, 2023 10:26:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0608 ms (21 mm, 0.82 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset
* Measurement: Dolce L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	85.655	53.6068
21.200001	85.747	51.9617
21.799999	85.826	50.2083
22.400000	85.863	48.8581
23.000000	85.872	47.8239
23.600000	85.911	46.5989
24.299999	85.988	44.8021
25.000000	86.005	43.2295
25.799999	85.989	42.0230
26.500000	86.053	40.7504
27.200001	86.093	39.2009
28.000000	86.009	38.0485
29.000000	85.972	36.8757
30.000000	86.030	34.7324
30.700001	86.013	33.6322
31.500000	85.986	32.6770
32.500000	85.977	31.1184
33.500000	85.977	29.8134
34.500000	85.963	28.5760
35.500000	85.947	27.3427
36.500000	85.939	26.2205
37.500000	85.917	24.9104
38.700001	85.902	23.6253
40.000000	85.879	22.2544
41.200001	85.858	21.0067
42.500000	85.838	19.6930
43.700001	85.820	18.7376
45.000000	85.782	17.4933
46.200001	85.754	16.4913
47.500000	85.724	15.3376
48.700001	85.703	14.3569
50.000000	85.688	13.4008
51.500000	85.646	12.2418
53.000000	85.613	11.1857
54.500000	85.574	10.1794
56.000000	85.541	9.1412
58.000000	85.504	7.8449
60.000000	85.400	7.0058
61.500000	85.401	5.7745
63.000000	85.363	4.9552
65.000000	85.317	3.9438
67.000000	85.262	2.8936
69.000000	85.214	1.8762
71.000000	85.165	0.9157
73.000000	85.114	-0.0168
75.000000	85.045	-0.8079
77.500000	85.050	-2.7068
80.000000	84.915	-2.9157
82.500000	84.839	-3.8642
85.000000	84.759	-4.7938
87.500000	84.688	-5.6397
90.000000	84.617	-6.5149
92.500000	84.544	-7.2930
95.000000	84.467	-8.0684
97.500000	84.396	-8.8012
100.000000	84.328	-9.5027
103.000000	84.245	-10.3073
106.000000	84.164	-11.0776
109.000000	84.079	-11.8071
112.000000	84.006	-12.5138
115.000000	83.922	-13.1706
118.000000	83.845	-13.7920
122.000000	83.736	-14.6191
125.000000	83.660	-15.1727
