* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Apr 6, 2021 9:22:34 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Campfire Dorado 2020R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	92.321388	-134.8885
21.200001	92.421051	-136.1119
21.799999	92.515091	-137.3497
22.400000	92.609024	-138.5591
23.000000	92.702240	-139.7097
23.600000	92.789246	-140.8182
24.299999	92.875793	-142.0741
25.000000	92.952820	-143.2746
25.799999	93.045113	-144.6095
26.500000	93.125496	-145.7719
27.200001	93.195755	-146.8824
28.000000	93.266144	-148.0580
29.000000	93.347412	-149.4813
30.000000	93.418259	-150.8893
30.700001	93.463455	-151.8275
31.500000	93.514771	-152.8609
32.500000	93.574402	-154.1355
33.500000	93.625717	-155.3595
34.500000	93.671021	-156.5315
35.500000	93.709923	-157.6387
36.500000	93.751572	-158.7100
37.500000	93.786453	-159.7790
38.700001	93.820808	-160.9829
40.000000	93.856117	-162.2681
41.200001	93.883080	-163.3954
42.500000	93.903229	-164.5549
43.700001	93.921921	-165.6515
45.000000	93.941666	-166.7430
46.200001	93.963768	-167.6727
47.500000	93.971619	-168.6939
48.700001	93.975891	-169.6270
50.000000	93.981781	-170.5762
51.500000	93.983521	-171.6407
53.000000	93.985085	-172.6811
54.500000	93.980820	-173.6715
56.000000	93.978065	-174.6308
58.000000	93.967400	-175.8792
60.000000	93.965302	-177.0654
61.500000	93.944756	-177.9431
63.000000	93.930878	-178.7798
65.000000	93.909904	-179.8412
67.000000	93.886650	179.1083
69.000000	93.862061	178.1085
71.000000	93.834000	177.1253
73.000000	93.804924	176.1855
75.000000	93.772736	175.2831
77.500000	93.731850	174.1893
80.000000	93.687897	173.1251
82.500000	93.642029	172.1118
85.000000	93.593887	171.1225
87.500000	93.542686	170.1663
90.000000	93.520523	169.3014
92.500000	93.437721	168.3882
95.000000	93.401054	167.4509
97.500000	93.351112	166.5273
100.000000	93.270599	165.8818
103.000000	93.201736	164.9590
106.000000	93.129852	164.0524
109.000000	93.059265	163.2018
112.000000	92.985764	162.3566
115.000000	92.910461	161.5482
118.000000	92.837952	160.7723
122.000000	92.731583	159.7551
125.000000	92.658394	159.0465
128.000000	92.581902	158.3626
132.000000	92.477989	157.4653
136.000000	92.374176	156.6055
140.000000	92.269638	155.7834
145.000000	92.139275	154.8183
150.000000	92.006416	153.8924
155.000000	91.874069	153.0161
160.000000	91.741425	152.1881
165.000000	91.608925	151.3954
170.000000	91.477089	150.6555
175.000000	91.345116	149.9391
180.000000	91.216843	149.2707
185.000000	91.083984	148.6338
190.000000	90.953636	148.0091
195.000000	90.825806	147.4479
200.000000	90.696213	146.9088
206.000000	90.544029	146.2953
212.000000	90.391502	145.7165
218.000000	90.245148	145.1935
224.000000	90.092850	144.6794
230.000000	89.946457	144.2043
236.000000	89.799561	143.7609
243.000000	89.632210	143.2833
250.000000	89.465530	142.8474
258.000000	89.278015	142.3875
265.000000	89.116058	142.0283
272.000000	88.957809	141.6938
280.000000	88.778679	141.3504
290.000000	88.554375	140.9450
300.000000	88.342712	140.6346
