* Measurement data measured by REW V5.20 Beta 24
* Source: Microphone (2- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.557
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS  Using a loopback as a timing reference
* Dated: Oct 5, 2019 10:59:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.000 ms (-0 mm, -0 in)  relative to Loopback with no timing offset
* Measurement: KZ E10 - R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	75.277847	-155.1236
20.600000	75.385796	-156.6030
21.200001	75.490623	-157.9091
21.799999	75.583084	-159.4123
22.400000	75.628403	-161.0456
23.000000	75.646004	-162.5291
23.600000	75.685051	-163.8974
24.299999	75.757050	-165.6913
25.000000	75.802483	-167.6196
25.799999	75.835442	-169.5120
26.500000	75.895538	-170.9675
27.200001	75.974236	-172.4893
28.000000	76.046204	-174.3593
29.000000	76.063309	-176.6071
30.000000	76.060211	-178.2699
30.700001	76.099983	-179.3996
31.500000	76.137299	179.0745
32.500000	76.152344	177.3374
33.500000	76.210182	175.7156
34.500000	76.268219	173.8566
35.500000	76.289886	172.0609
36.500000	76.300003	170.4707
37.500000	76.314545	169.0124
38.700001	76.337860	167.2065
40.000000	76.323044	165.3517
41.200001	76.356766	163.7133
42.500000	76.338020	161.7023
43.700001	76.350929	160.1808
45.000000	76.340202	158.2901
46.200001	76.346939	156.8004
47.500000	76.335129	155.0381
48.700001	76.328728	153.6147
50.000000	76.314064	152.0863
51.500000	76.315804	150.3376
53.000000	76.258064	148.4697
54.500000	76.248497	146.9946
56.000000	76.219490	145.1528
58.000000	76.225037	143.2278
60.000000	76.305504	140.5571
61.500000	76.169052	139.4395
63.000000	76.158417	138.2547
65.000000	76.129646	136.9558
67.000000	76.107544	134.7496
69.000000	76.088257	133.0673
71.000000	76.041260	131.3882
73.000000	75.998123	129.4459
75.000000	75.950493	127.8678
77.500000	75.939720	125.9220
80.000000	75.885010	124.0724
82.500000	75.870613	122.7010
85.000000	75.932289	121.0757
87.500000	75.981987	119.1110
90.000000	76.055771	116.9279
92.500000	76.135345	114.5989
95.000000	76.208542	112.1232
97.500000	76.224442	109.1386
100.000000	76.171585	106.0286
103.000000	75.969833	102.6123
106.000000	75.753616	99.4986
109.000000	75.516960	97.1138
112.000000	75.277206	95.0260
115.000000	75.029037	93.3236
118.000000	74.824577	91.5199
122.000000	74.626678	91.1912
125.000000	74.751160	90.0559
128.000000	74.723190	87.8470
132.000000	74.632416	85.2122
136.000000	74.472252	83.1215
140.000000	74.326141	80.7939
145.000000	74.172333	78.2601
150.000000	74.037636	75.6779
155.000000	73.909851	73.4041
160.000000	73.748886	71.0778
165.000000	73.589951	68.9734
170.000000	73.459717	66.5384
175.000000	73.331490	64.5204
180.000000	73.172562	62.7819
185.000000	73.042549	61.2391
190.000000	73.011841	59.8022
195.000000	73.002930	57.6962
200.000000	72.936401	55.5004
206.000000	72.825996	52.9026
212.000000	72.673508	50.5805
218.000000	72.568359	48.4262
224.000000	72.460564	46.3546
230.000000	72.372803	44.4265
236.000000	72.299660	42.1274
243.000000	72.164948	39.9359
250.000000	72.016930	37.9505
258.000000	71.910469	35.3188
265.000000	71.823502	33.1676
272.000000	71.768677	31.1394
280.000000	71.667656	28.8336
290.000000	71.540459	25.6124
300.000000	71.468460	22.6147
307.000000	71.440422	20.6892
315.000000	71.392563	18.5232
325.000000	71.295715	15.7078
335.000000	71.215210	13.0407
345.000000	71.195587	10.3535
355.000000	71.159096	7.8365
365.000000	71.119720	5.4026
375.000000	71.126175	2.8846
387.000000	71.110291	-0.1173
400.000000	71.096031	-3.2793
412.000000	71.088989	-6.3274
425.000000	71.081123	-9.5492
437.000000	71.115433	-12.6132
450.000000	71.192337	-16.0717
462.000000	71.202911	-19.2849
475.000000	71.228279	-22.5602
487.000000	71.270027	-25.5240
500.000000	71.325737	-29.3647
515.000000	71.316406	-33.2288
530.000000	71.338402	-37.1948
545.000000	71.338264	-41.2704
560.000000	71.340965	-45.2495
580.000000	71.283241	-50.2175
600.000000	71.244499	-55.0992
615.000000	71.202126	-58.4941
630.000000	71.154961	-61.9561
650.000000	71.105392	-66.3546
670.000000	71.027397	-70.2948
690.000000	70.964821	-74.0948
710.000000	70.914124	-77.6619
730.000000	70.856041	-80.9603
750.000000	70.838112	-83.9941
775.000000	70.762558	-87.8118
800.000000	70.732796	-91.4524
825.000000	70.754448	-95.2791
850.000000	70.785362	-98.4961
875.000000	70.814568	-101.7408
900.000000	70.867447	-105.0607
925.000000	70.976776	-108.0416
950.000000	71.091072	-110.8875
975.000000	71.217484	-113.8925
1000.000000	71.288193	-116.4236
1030.000000	71.640137	-119.5154
1060.000000	71.917892	-122.8142
1090.000000	72.256348	-125.9767
1120.000000	72.618843	-129.2004
1150.000000	73.001350	-132.7421
1180.000000	73.424973	-136.4870
1220.000000	73.990768	-141.6033
1250.000000	74.402847	-145.6245
1280.000000	74.799248	-149.6453
1320.000000	75.313225	-154.8688
1360.000000	75.819717	-160.0370
1400.000000	76.306648	-165.1222
1450.000000	76.898674	-171.5476
1500.000000	77.493141	-177.7296
1550.000000	78.091316	176.0493
1600.000000	78.713333	169.8755
1650.000000	79.337524	163.6481
1700.000000	79.983948	157.0549
1750.000000	80.633743	150.2823
1800.000000	81.291000	143.2892
1850.000000	81.949112	135.9834
1900.000000	82.592201	128.3778
1950.000000	83.205353	120.4324
2000.000000	83.784622	112.0980
2060.000000	84.353386	101.5477
2120.000000	84.798149	90.8311
2180.000000	85.075821	80.1858
2240.000000	85.181717	69.5736
2300.000000	85.112152	59.5354
2360.000000	84.903015	50.4479
2430.000000	84.578125	41.8060
2500.000000	84.343498	34.7121
2580.000000	84.134567	26.6062
2650.000000	83.822769	19.8506
2720.000000	83.447624	13.9724
2800.000000	83.007416	8.4731
2900.000000	82.457085	2.8140
3000.000000	81.936111	-1.8364
3070.000000	81.568138	-4.6661
3150.000000	81.228912	-7.1104
3250.000000	80.859741	-9.7839
3350.000000	80.380844	-11.3044
3450.000000	80.153328	-10.1219
3550.000000	80.294243	-9.6837
3650.000000	80.457642	-9.9479
3750.000000	80.633347	-10.3591
3870.000000	80.912529	-10.8485
4000.000000	81.276176	-12.0482
4120.000000	81.595589	-13.8514
4250.000000	81.789238	-16.3221
4370.000000	81.916512	-19.0607
4500.000000	81.693146	-23.3488
4620.000000	80.981247	-25.7021
4750.000000	80.227425	-23.9900
4870.000000	79.882339	-23.7342
5000.000000	78.405365	-24.3170
5150.000000	77.176285	-6.1643
5300.000000	78.834351	-3.0967
5450.000000	77.742973	-8.7557
5600.000000	75.625061	-4.3730
5800.000000	73.111664	14.8044
6000.000000	72.156532	32.9258
6150.000000	71.068115	49.8588
6300.000000	70.344315	68.0479
6500.000000	69.776566	92.4037
6700.000000	69.525833	116.9355
6900.000000	69.448265	141.5654
7100.000000	69.511475	166.5660
7300.000000	69.714317	-167.8018
7500.000000	70.094711	-142.5892
7750.000000	70.976456	-109.7659
8000.000000	72.275299	-76.1741
8250.000000	74.397217	-44.9436
8500.000000	77.228592	-19.7095
8750.000000	79.693390	-10.3447
9000.000000	78.624451	-7.5963
9250.000000	75.496056	14.4013
9500.000000	73.109047	51.6713
9750.000000	71.714111	94.2387
10000.000000	71.054352	138.5236
10300.000000	70.963921	-167.6181
10600.000000	71.640961	-113.7497
10900.000000	73.171509	-62.6596
11200.000000	75.271584	-21.2541
11500.000000	76.108749	3.8445
11800.000000	73.299133	32.6387
12200.000000	68.412865	103.8021
12500.000000	66.110794	167.8499
12800.000000	64.970596	-124.9350
13200.000000	64.798805	-35.9943
13600.000000	65.369614	46.9591
14000.000000	66.125717	125.5618
14500.000000	66.939522	-139.4394
15000.000000	67.969444	-45.6119
15500.000000	68.354797	33.4052
16000.000000	63.771202	116.7458
16500.000000	57.931572	-134.1497
17000.000000	55.691605	1.9963
17500.000000	52.462852	107.9600
18000.000000	48.121342	132.6355
18500.000000	46.001377	140.2520
19000.000000	46.780281	-31.7734
19500.000000	49.517551	-32.2784
