* Measurement data measured by REW V5.19
* Source: Microphone (2- USB Sound Device        ), no input selected, R, volume: no control
* Format: 1M Log Swept Sine, 1 sweep at -20.0 dBFS  With no timing reference
* Dated: May 24, 2019 11:34:10 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Final Audio E1000
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	74.407707	-120.7398
20.600000	74.622803	-121.5879
21.200001	74.787834	-122.1870
21.799999	74.969719	-122.7583
22.400000	75.159691	-123.6931
23.000000	75.294891	-125.0161
23.600000	75.355240	-126.1960
24.299999	75.434151	-126.9191
25.000000	75.620255	-127.4992
25.799999	75.875267	-128.7694
26.500000	76.041359	-130.0796
27.200001	76.168106	-131.1773
28.000000	76.299332	-132.1815
29.000000	76.454697	-133.2154
30.000000	76.610870	-134.1295
30.700001	76.732307	-134.8283
31.500000	76.857773	-135.8914
32.500000	76.940872	-137.1100
33.500000	77.074722	-137.9032
34.500000	77.227127	-139.1951
35.500000	77.312210	-140.2743
36.500000	77.421448	-141.1570
37.500000	77.524231	-141.9362
38.700001	77.680420	-143.1036
40.000000	77.756187	-144.0187
41.200001	77.980499	-145.1172
42.500000	77.978294	-146.8239
43.700001	78.069595	-146.8769
45.000000	78.235229	-147.9363
46.200001	78.345703	-148.7652
47.500000	78.431915	-150.1236
48.700001	78.454712	-150.9098
50.000000	78.519051	-151.8154
51.500000	78.574242	-152.7971
53.000000	78.636070	-153.6152
54.500000	78.719925	-154.6478
56.000000	78.808357	-155.3732
58.000000	78.936317	-156.7219
60.000000	79.034210	-158.7401
61.500000	79.021271	-158.7047
63.000000	79.121704	-159.4364
65.000000	79.172600	-160.1711
67.000000	79.236137	-161.2659
69.000000	79.288872	-162.2186
71.000000	79.354027	-163.1591
73.000000	79.387611	-164.0491
75.000000	79.429619	-164.7758
77.500000	79.488457	-165.7495
80.000000	79.545036	-166.7939
82.500000	79.604118	-167.7031
85.000000	79.631577	-168.5490
87.500000	79.688042	-169.5270
90.000000	79.712418	-170.4602
92.500000	79.778450	-171.3096
95.000000	79.828377	-172.0780
97.500000	79.843346	-172.8980
100.000000	79.866341	-173.5975
103.000000	79.905754	-174.4778
106.000000	79.943619	-175.2698
109.000000	79.985008	-176.1292
112.000000	80.007912	-177.0987
115.000000	80.030365	-177.9316
118.000000	80.072708	-178.6724
122.000000	80.093628	-179.7584
125.000000	80.108353	179.6064
