* Measurement data measured by REW V5.30.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 6, 2024 1:47:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EA1000 Black R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 41.745 155.8663
0.732422 42.460 130.1845
1.098633 44.252 104.7956
1.464844 47.036 83.4400
1.831055 50.231 66.9689
2.197266 53.383 53.9114
2.563477 56.275 42.8648
2.929688 58.836 33.0999
3.295898 61.066 24.3454
3.662109 63.001 16.5248
4.028320 64.693 9.5972
4.394531 66.197 3.4798
4.760742 67.556 -1.9641
5.126953 68.802 -6.8950
5.493164 69.951 -11.4526
5.859375 71.011 -15.7283
6.225586 71.989 -19.7664
6.591797 72.892 -23.5850
6.958008 73.727 -27.1986
7.324219 74.502 -30.6279
7.690430 75.224 -33.8976
8.056641 75.897 -37.0284
8.422852 76.525 -40.0324
8.789062 77.111 -42.9148
9.155273 77.659 -45.6788
9.521484 78.173 -48.3304
9.887695 78.659 -50.8794
10.253906 79.118 -53.3384
10.620117 79.553 -55.7213
10.986328 79.967 -58.0427
11.352539 80.361 -60.3156
11.718750 80.734 -62.5485
12.084961 81.085 -64.7406
12.451172 81.415 -66.8815
12.817383 81.724 -68.9555
13.183594 82.016 -70.9506
13.549805 82.295 -72.8676
13.916016 82.564 -74.7224
14.282227 82.824 -76.5379
14.648438 83.073 -78.3303
15.014648 83.309 -80.0990
15.380859 83.529 -81.8264
15.747070 83.736 -83.4909
16.113281 83.934 -85.0830
16.479492 84.126 -86.6141
16.845703 84.315 -88.1113
17.211914 84.498 -89.6002
17.578125 84.673 -91.0881
17.944336 84.835 -92.5593
18.310547 84.985 -93.9866
18.676758 85.127 -95.3495
19.042969 85.265 -96.6493
19.409180 85.403 -97.9092
19.775391 85.541 -99.1609
20.141602 85.675 -100.4268
20.507812 85.800 -101.7090
20.874023 85.905 -102.9889
21.240234 85.995 -104.2380
21.606445 86.070 -105.4310
21.972656 86.139 -106.5576
22.338867 86.205 -107.6280
22.705078 86.271 -108.6699
23.071289 86.337 -109.7156
23.437500 86.400 -110.7846
23.803711 86.454 -111.8702
24.169922 86.497 -112.9408
24.536133 86.531 -113.9586
24.902344 86.561 -114.9058
25.268555 86.595 -115.8007
25.634766 86.634 -116.6882
26.000977 86.673 -117.6079
26.367188 86.706 -118.5624
26.733398 86.728 -119.5112
27.099609 86.738 -120.3977
27.465820 86.747 -121.1913
27.832031 86.763 -121.9137
28.198242 86.790 -122.6261
28.564453 86.823 -123.3854
28.930664 86.852 -124.2020
29.296875 86.872 -125.0352
29.663086 86.883 -125.8273
30.029297 86.893 -126.5509
30.395508 86.912 -127.2329
30.761719 86.939 -127.9356
31.127930 86.969 -128.7084
31.494141 86.991 -129.5488
31.860352 86.998 -130.4011
32.226562 86.991 -131.1917
32.592773 86.979 -131.8748
32.958984 86.973 -132.4586
33.325195 86.978 -132.9958
33.691406 86.994 -133.5473
34.057617 87.015 -134.1450
34.423828 87.032 -134.7799
34.790039 87.043 -135.4171
35.156250 87.049 -136.0241
35.522461 87.055 -136.5922
35.888672 87.066 -137.1394
36.254883 87.079 -137.6943
36.621094 87.091 -138.2725
36.987305 87.098 -138.8631
37.353516 87.098 -139.4335
37.719727 87.094 -139.9511
38.085938 87.093 -140.4081
38.452148 87.100 -140.8335
38.818359 87.117 -141.2799
39.184570 87.139 -141.7925
39.550781 87.156 -142.3795
39.916992 87.162 -143.0066
40.283203 87.156 -143.6184
40.649414 87.142 -144.1726
41.015625 87.128 -144.6636
41.381836 87.117 -145.1186
41.748047 87.111 -145.5704
42.114258 87.104 -146.0292
42.480469 87.095 -146.4768
42.846680 87.085 -146.8873
43.212891 87.080 -147.2570
43.579102 87.083 -147.6160
43.945312 87.094 -148.0115
44.311523 87.107 -148.4735
44.677734 87.113 -148.9922
45.043945 87.108 -149.5245
45.410156 87.094 -150.0215
45.776367 87.075 -150.4565
46.142578 87.057 -150.8315
46.508789 87.042 -151.1637
46.875000 87.031 -151.4678
47.241211 87.026 -151.7531
47.607422 87.027 -152.0346
47.973633 87.034 -152.3400
48.339844 87.044 -152.6969
48.706055 87.049 -153.1060
49.072266 87.044 -153.5285
49.438477 87.030 -153.9063
49.804688 87.017 -154.2080
50.170898 87.014 -154.4652
50.537109 87.024 -154.7589
50.903320 87.037 -155.1582
51.269531 87.038 -155.6564
51.635742 87.018 -156.1629
52.001953 86.981 -156.5612
52.368164 86.944 -156.7955
52.734375 86.926 -156.9202
53.100586 86.932 -157.0655
53.466797 86.953 -157.3404
53.833008 86.967 -157.7545
54.199219 86.964 -158.2242
54.565430 86.946 -158.6497
54.931641 86.926 -158.9951
55.297852 86.914 -159.3065
55.664062 86.906 -159.6532
56.030273 86.892 -160.0493
56.396484 86.865 -160.4303
56.762695 86.830 -160.7079
57.128906 86.802 -160.8554
57.495117 86.796 -160.9475
57.861328 86.811 -161.1104
58.227539 86.833 -161.4219
58.593750 86.842 -161.8510
58.959961 86.831 -162.2884
59.326172 86.808 -162.6357
59.692383 86.789 -162.8801
60.058594 86.782 -163.0930
60.424805 86.783 -163.3553
60.791016 86.780 -163.6789
61.157227 86.765 -163.9967
61.523438 86.742 -164.2271
61.889648 86.727 -164.3533
62.255859 86.729 -164.4482
62.622070 86.746 -164.6169
62.988281 86.762 -164.9071
63.354492 86.763 -165.2684
63.720703 86.745 -165.5932
64.086914 86.720 -165.8019
64.453125 86.704 -165.9066
64.819336 86.704 -165.9983
65.185547 86.714 -166.1703
65.551758 86.720 -166.4417
65.917969 86.711 -166.7469
66.284180 86.689 -166.9934
66.650391 86.667 -167.1392
67.016602 86.657 -167.2283
67.382812 86.663 -167.3558
67.749023 86.673 -167.5922
68.115234 86.674 -167.9290
68.481445 86.657 -168.2864
68.847656 86.626 -168.5723
69.213867 86.593 -168.7453
69.580078 86.572 -168.8392
69.946289 86.565 -168.9336
70.312500 86.569 -169.0959
70.678711 86.571 -169.3388
71.044922 86.565 -169.6232
71.411133 86.550 -169.8932
71.777344 86.531 -170.1155
72.143555 86.514 -170.2939
72.509766 86.503 -170.4569
72.875977 86.495 -170.6311
73.242188 86.488 -170.8237
73.608398 86.479 -171.0239
73.974609 86.469 -171.2172
74.340820 86.458 -171.3976
74.707031 86.448 -171.5703
75.073242 86.439 -171.7440
75.439453 86.431 -171.9239
75.805664 86.422 -172.1090
76.171875 86.412 -172.2958
76.538086 86.400 -172.4819
76.904297 86.388 -172.6662
77.270508 86.374 -172.8463
77.636719 86.360 -173.0173
78.002930 86.345 -173.1745
78.369141 86.332 -173.3188
78.735352 86.322 -173.4588
79.101562 86.314 -173.6083
79.467773 86.307 -173.7778
79.833984 86.300 -173.9681
80.200195 86.289 -174.1687
80.566406 86.276 -174.3638
80.932617 86.260 -174.5416
81.298828 86.245 -174.6996
81.665039 86.231 -174.8449
82.031250 86.220 -174.9885
82.397461 86.210 -175.1389
82.763672 86.200 -175.2979
83.129883 86.189 -175.4617
83.496094 86.177 -175.6237
83.862305 86.163 -175.7783
84.228516 86.150 -175.9226
84.594727 86.137 -176.0576
84.960938 86.125 -176.1879
85.327148 86.115 -176.3202
85.693359 86.106 -176.4610
86.059570 86.096 -176.6123
86.425781 86.084 -176.7690
86.791992 86.070 -176.9205
87.158203 86.054 -177.0562
87.524414 86.040 -177.1725
87.890625 86.028 -177.2767
88.256836 86.019 -177.3839
88.623047 86.012 -177.5080
88.989258 86.004 -177.6524
89.355469 85.993 -177.8068
89.721680 85.979 -177.9529
90.087891 85.963 -178.0765
90.454102 85.949 -178.1769
90.820312 85.939 -178.2687
91.186523 85.931 -178.3722
91.552734 85.925 -178.5000
91.918945 85.916 -178.6488
92.285156 85.904 -178.8014
92.651367 85.889 -178.9394
93.017578 85.873 -179.0556
93.383789 85.860 -179.1588
93.750000 85.849 -179.2659
94.116211 85.839 -179.3881
94.482422 85.827 -179.5217
94.848633 85.813 -179.6513
95.214844 85.799 -179.7632
95.581055 85.786 -179.8581
95.947266 85.777 -179.9523
96.313477 85.770 179.9337
96.679688 85.763 179.7926
97.045898 85.751 179.6370
97.412109 85.735 179.4925
97.778320 85.717 179.3806
98.144531 85.700 179.3035
98.510742 85.688 179.2437
98.876953 85.681 179.1763
99.243164 85.676 179.0853
99.609375 85.670 178.9716
99.975586 85.662 178.8484
100.341797 85.651 178.7302
100.708008 85.639 178.6233
101.074219 85.627 178.5253
101.440430 85.616 178.4303
101.806641 85.605 178.3346
102.172852 85.594 178.2385
102.539062 85.582 178.1432
102.905273 85.571 178.0489
103.271484 85.560 177.9539
103.637695 85.549 177.8574
104.003906 85.537 177.7604
104.370117 85.525 177.6650
104.736328 85.514 177.5723
105.102539 85.503 177.4811
105.468750 85.492 177.3884
105.834961 85.481 177.2926
106.201172 85.470 177.1951
106.567383 85.459 177.0996
106.933594 85.447 177.0099
107.299805 85.436 176.9264
107.666016 85.425 176.8459
108.032227 85.416 176.7632
108.398438 85.407 176.6740
108.764648 85.397 176.5784
109.130859 85.386 176.4818
109.497070 85.374 176.3916
109.863281 85.361 176.3134
110.229492 85.349 176.2465
110.595703 85.338 176.1837
110.961914 85.329 176.1159
111.328125 85.320 176.0379
111.694336 85.311 175.9525
112.060547 85.300 175.8675
112.426758 85.288 175.7896
112.792969 85.277 175.7181
113.159180 85.268 175.6450
113.525391 85.259 175.5609
113.891602 85.250 175.4637
114.257812 85.238 175.3615
114.624023 85.224 175.2682
114.990234 85.209 175.1940
115.356445 85.195 175.1385
115.722656 85.184 175.0909
116.088867 85.176 175.0371
116.455078 85.170 174.9686
116.821289 85.162 174.8865
117.187500 85.153 174.7987
117.553711 85.143 174.7144
117.919922 85.131 174.6386
118.286133 85.120 174.5714
118.652344 85.110 174.5098
119.018555 85.100 174.4497
119.384766 85.092 174.3875
119.750977 85.083 174.3202
120.117188 85.075 174.2465
120.483398 85.065 174.1685
120.849609 85.054 174.0915
121.215820 85.042 174.0219
121.582031 85.030 173.9625
121.948242 85.019 173.9102
122.314453 85.009 173.8571
122.680664 85.001 173.7961
123.046875 84.992 173.7256
123.413086 84.981 173.6512
123.779297 84.969 173.5814
124.145508 84.957 173.5211
124.511719 84.946 173.4685
124.877930 84.937 173.4160
125.244141 84.928 173.3564
125.610352 84.919 173.2883
125.976562 84.908 173.2171
126.342773 84.896 173.1512
126.708984 84.884 173.0961
127.075195 84.873 173.0508
127.441406 84.862 173.0086
127.807617 84.854 172.9622
128.173828 84.845 172.9081
128.540039 84.836 172.8485
128.906250 84.825 172.7893
129.272461 84.814 172.7360
129.638672 84.803 172.6901
130.004883 84.793 172.6484
130.371094 84.783 172.6055
130.737305 84.775 172.5567
131.103516 84.766 172.5007
131.469727 84.757 172.4402
131.835938 84.746 172.3805
132.202148 84.735 172.3261
132.568359 84.724 172.2788
132.934570 84.713 172.2366
133.300781 84.704 172.1953
133.666992 84.695 172.1508
134.033203 84.687 172.1015
134.399414 84.678 172.0483
134.765625 84.669 171.9930
135.131836 84.660 171.9368
135.498047 84.650 171.8797
135.864258 84.640 171.8220
136.230469 84.628 171.7665
136.596680 84.616 171.7183
136.962891 84.603 171.6821
137.329102 84.592 171.6580
137.695312 84.583 171.6387
138.061523 84.576 171.6125
138.427734 84.570 171.5698
138.793945 84.563 171.5095
139.160156 84.553 171.4406
139.526367 84.540 171.3778
139.892578 84.526 171.3322
140.258789 84.513 171.3055
140.625000 84.502 171.2888
140.991211 84.494 171.2689
141.357422 84.487 171.2355
141.723633 84.480 171.1869
142.089844 84.471 171.1287
142.456055 84.460 171.0709
142.822266 84.448 171.0219
143.188477 84.436 170.9854
143.554688 84.425 170.9588
143.920898 84.416 170.9349
144.287109 84.409 170.9050
144.653320 84.402 170.8636
145.019531 84.394 170.8121
145.385742 84.385 170.7585
145.751953 84.373 170.7132
146.118164 84.362 170.6815
146.484375 84.352 170.6595
