* Measurement data measured by REW V5.30.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 6, 2024 1:49:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EA1000 Gold R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 43.871 159.2330
0.732422 45.881 134.6304
1.098633 48.532 107.9222
1.464844 51.276 82.7303
1.831055 53.712 61.1122
2.197266 55.659 43.8530
2.563477 57.153 31.4655
2.929688 58.436 24.2441
3.295898 59.896 21.2158
3.662109 61.766 19.4788
4.028320 63.880 16.2106
4.394531 65.911 10.7223
4.760742 67.650 3.8136
5.126953 69.044 -3.4174
5.493164 70.135 -10.0738
5.859375 71.016 -15.6097
6.225586 71.806 -19.9196
6.591797 72.597 -23.3326
6.958008 73.422 -26.3965
7.324219 74.255 -29.5382
7.690430 75.051 -32.8773
8.056641 75.775 -36.2923
8.422852 76.425 -39.5969
8.789062 77.018 -42.6785
9.155273 77.571 -45.5360
9.521484 78.094 -48.2345
9.887695 78.589 -50.8309
10.253906 79.051 -53.3346
10.620117 79.481 -55.7212
10.986328 79.884 -57.9735
11.352539 80.268 -60.1079
11.718750 80.637 -62.1657
12.084961 80.990 -64.1836
12.451172 81.324 -66.1711
12.817383 81.637 -68.1140
13.183594 81.932 -69.9971
13.549805 82.214 -71.8229
13.916016 82.486 -73.6119
14.282227 82.746 -75.3856
14.648438 82.993 -77.1501
15.014648 83.227 -78.8947
15.380859 83.447 -80.6042
15.747070 83.657 -82.2743
16.113281 83.859 -83.9136
16.479492 84.053 -85.5324
16.845703 84.236 -87.1294
17.211914 84.408 -88.6891
17.578125 84.571 -90.1942
17.944336 84.728 -91.6409
18.310547 84.882 -93.0436
18.676758 85.032 -94.4225
19.042969 85.176 -95.7846
19.409180 85.311 -97.1150
19.775391 85.438 -98.3886
20.141602 85.560 -99.5937
20.507812 85.681 -100.7481
20.874023 85.796 -101.8931
21.240234 85.906 -103.0657
21.606445 86.001 -104.2725
21.972656 86.080 -105.4835
22.338867 86.141 -106.6513
22.705078 86.188 -107.7384
23.071289 86.231 -108.7355
23.437500 86.273 -109.6593
23.803711 86.320 -110.5387
24.169922 86.373 -111.4044
24.536133 86.430 -112.2873
24.902344 86.490 -113.2197
25.268555 86.547 -114.2248
25.634766 86.592 -115.2965
26.000977 86.618 -116.3858
26.367188 86.624 -117.4127
26.733398 86.620 -118.3057
27.099609 86.619 -119.0489
27.465820 86.635 -119.7013
27.832031 86.671 -120.3674
28.198242 86.718 -121.1316
28.564453 86.759 -122.0062
28.930664 86.784 -122.9288
29.296875 86.792 -123.8083
29.663086 86.793 -124.5832
30.029297 86.796 -125.2556
30.395508 86.812 -125.8795
30.761719 86.837 -126.5167
31.127930 86.864 -127.1950
31.494141 86.887 -127.8991
31.860352 86.905 -128.5929
32.226562 86.921 -129.2514
32.592773 86.937 -129.8770
32.958984 86.958 -130.4926
33.325195 86.980 -131.1207
33.691406 87.000 -131.7680
34.057617 87.017 -132.4241
34.423828 87.029 -133.0710
34.790039 87.036 -133.6942
35.156250 87.042 -134.2878
35.522461 87.048 -134.8543
35.888672 87.055 -135.4025
36.254883 87.063 -135.9453
36.621094 87.073 -136.4962
36.987305 87.081 -137.0626
37.353516 87.084 -137.6381
37.719727 87.082 -138.2025
38.085938 87.077 -138.7322
38.452148 87.071 -139.2190
38.818359 87.071 -139.6813
39.184570 87.076 -140.1565
39.550781 87.082 -140.6741
39.916992 87.082 -141.2288
40.283203 87.073 -141.7753
40.649414 87.056 -142.2561
41.015625 87.043 -142.6461
41.381836 87.043 -142.9824
41.748047 87.059 -143.3509
42.114258 87.084 -143.8306
42.480469 87.101 -144.4346
42.846680 87.099 -145.0924
43.212891 87.074 -145.6874
43.579102 87.038 -146.1267
43.945312 87.012 -146.4002
44.311523 87.008 -146.5911
44.677734 87.029 -146.8236
45.043945 87.060 -147.1854
45.410156 87.087 -147.6785
45.776367 87.095 -148.2289
46.142578 87.086 -148.7390
46.508789 87.069 -149.1450
46.875000 87.057 -149.4488
47.241211 87.058 -149.7092
47.607422 87.070 -150.0006
47.973633 87.087 -150.3674
48.339844 87.097 -150.8014
48.706055 87.094 -151.2532
49.072266 87.082 -151.6660
49.438477 87.066 -152.0108
49.804688 87.055 -152.3025
50.170898 87.050 -152.5854
50.537109 87.050 -152.8988
50.903320 87.047 -153.2481
51.269531 87.037 -153.6027
51.635742 87.024 -153.9242
52.001953 87.012 -154.2014
52.368164 87.008 -154.4639
52.734375 87.011 -154.7605
53.100586 87.013 -155.1179
53.466797 87.009 -155.5162
53.833008 86.994 -155.9007
54.199219 86.975 -156.2234
54.565430 86.961 -156.4807
54.931641 86.958 -156.7188
55.297852 86.964 -156.9986
55.664062 86.970 -157.3499
56.030273 86.968 -157.7479
56.396484 86.955 -158.1304
56.762695 86.935 -158.4382
57.128906 86.919 -158.6532
57.495117 86.914 -158.8091
57.861328 86.924 -158.9731
58.227539 86.945 -159.2093
58.593750 86.967 -159.5465
58.959961 86.979 -159.9657
59.326172 86.975 -160.4082
59.692383 86.954 -160.8020
60.058594 86.926 -161.0952
60.424805 86.901 -161.2838
60.791016 86.886 -161.4142
61.157227 86.883 -161.5543
61.523438 86.885 -161.7485
61.889648 86.882 -161.9884
62.255859 86.871 -162.2240
62.622070 86.856 -162.4079
62.988281 86.847 -162.5402
63.354492 86.849 -162.6755
63.720703 86.859 -162.8828
64.086914 86.865 -163.1880
64.453125 86.857 -163.5468
64.819336 86.832 -163.8714
65.185547 86.801 -164.0913
65.551758 86.777 -164.2069
65.917969 86.771 -164.2930
66.284180 86.781 -164.4475
66.650391 86.793 -164.7237
67.016602 86.793 -165.0962
67.382812 86.775 -165.4801
67.749023 86.743 -165.7845
68.115234 86.708 -165.9631
68.481445 86.684 -166.0354
68.847656 86.679 -166.0718
69.213867 86.691 -166.1552
69.580078 86.712 -166.3436
69.946289 86.729 -166.6487
70.312500 86.733 -167.0340
70.678711 86.718 -167.4269
71.044922 86.685 -167.7438
71.411133 86.646 -167.9248
71.777344 86.615 -167.9665
72.143555 86.604 -167.9353
72.509766 86.614 -167.9402
72.875977 86.637 -168.0748
73.242188 86.655 -168.3616
73.608398 86.653 -168.7363
73.974609 86.625 -169.0823
74.340820 86.583 -169.2953
74.707031 86.543 -169.3423
75.073242 86.523 -169.2829
75.439453 86.527 -169.2336
75.805664 86.547 -169.2984
76.171875 86.568 -169.5121
76.538086 86.576 -169.8324
76.904297 86.565 -170.1760
77.270508 86.540 -170.4682
77.636719 86.509 -170.6752
78.002930 86.482 -170.8074
78.369141 86.461 -170.8973
78.735352 86.448 -170.9753
79.101562 86.441 -171.0590
79.467773 86.440 -171.1591
79.833984 86.442 -171.2883
80.200195 86.447 -171.4615
80.566406 86.450 -171.6844
80.932617 86.446 -171.9434
81.298828 86.434 -172.2056
81.665039 86.413 -172.4332
82.031250 86.388 -172.6019
82.397461 86.366 -172.7125
82.763672 86.350 -172.7873
83.129883 86.341 -172.8571
83.496094 86.337 -172.9457
83.862305 86.336 -173.0637
84.228516 86.334 -173.2104
84.594727 86.330 -173.3794
84.960938 86.322 -173.5609
85.327148 86.310 -173.7423
85.693359 86.295 -173.9088
86.059570 86.278 -174.0488
86.425781 86.262 -174.1611
86.791992 86.250 -174.2587
87.158203 86.242 -174.3637
87.524414 86.237 -174.4950
87.890625 86.230 -174.6552
88.256836 86.219 -174.8279
88.623047 86.203 -174.9870
88.989258 86.186 -175.1142
89.355469 86.172 -175.2124
89.721680 86.163 -175.3050
90.087891 86.159 -175.4209
90.454102 86.155 -175.5751
90.820312 86.146 -175.7577
91.186523 86.132 -175.9402
91.552734 86.112 -176.0926
91.918945 86.091 -176.2017
92.285156 86.074 -176.2760
92.651367 86.061 -176.3365
93.017578 86.052 -176.3995
93.383789 86.044 -176.4676
93.750000 86.037 -176.5322
94.116211 86.033 -176.5872
94.482422 86.033 -176.6408
94.848633 86.038 -176.7152
95.214844 86.047 -176.8355
95.581055 86.055 -177.0145
95.947266 86.057 -177.2445
96.313477 86.050 -177.4997
96.679688 86.032 -177.7469
97.045898 86.006 -177.9560
97.412109 85.975 -178.1089
97.778320 85.944 -178.2027
98.144531 85.917 -178.2486
98.510742 85.895 -178.2676
98.876953 85.879 -178.2821
99.243164 85.866 -178.3061
99.609375 85.855 -178.3389
99.975586 85.844 -178.3680
100.341797 85.835 -178.3811
100.708008 85.830 -178.3802
101.074219 85.834 -178.3875
101.440430 85.844 -178.4361
101.806641 85.858 -178.5510
102.172852 85.867 -178.7331
102.539062 85.869 -178.9574
102.905273 85.861 -179.1869
103.271484 85.847 -179.3927
103.637695 85.830 -179.5658
104.003906 85.812 -179.7143
104.370117 85.795 -179.8508
104.736328 85.777 -179.9796
105.102539 85.757 179.9059
105.468750 85.735 179.8153
105.834961 85.715 179.7519
106.201172 85.697 179.7103
106.567383 85.682 179.6806
106.933594 85.670 179.6559
107.299805 85.660 179.6336
107.666016 85.653 179.6125
108.032227 85.648 179.5877
108.398438 85.646 179.5514
108.764648 85.646 179.4973
109.130859 85.646 179.4250
109.497070 85.646 179.3391
109.863281 85.646 179.2425
110.229492 85.645 179.1326
110.595703 85.645 179.0030
110.961914 85.641 178.8521
111.328125 85.634 178.6888
111.694336 85.621 178.5310
112.060547 85.605 178.3953
112.426758 85.588 178.2859
112.792969 85.573 178.1933
113.159180 85.559 178.1023
113.525391 85.545 178.0051
113.891602 85.529 177.9078
114.257812 85.510 177.8265
114.624023 85.490 177.7750
114.990234 85.472 177.7552
115.356445 85.459 177.7541
115.722656 85.450 177.7514
116.088867 85.446 177.7294
116.455078 85.442 177.6808
116.821289 85.436 177.6104
117.187500 85.427 177.5328
117.553711 85.414 177.4667
117.919922 85.400 177.4277
118.286133 85.386 177.4211
118.652344 85.377 177.4376
119.018555 85.374 177.4563
119.384766 85.376 177.4542
119.750977 85.379 177.4190
120.117188 85.380 177.3556
120.483398 85.379 177.2823
120.849609 85.374 177.2176
121.215820 85.370 177.1681
121.582031 85.368 177.1246
121.948242 85.368 177.0699
122.314453 85.369 176.9921
122.680664 85.367 176.8936
123.046875 85.362 176.7899
123.413086 85.353 176.6985
123.779297 85.344 176.6284
124.145508 85.336 176.5751
124.511719 85.330 176.5255
124.877930 85.326 176.4668
125.244141 85.323 176.3935
125.610352 85.319 176.3082
125.976562 85.312 176.2175
126.342773 85.304 176.1282
126.708984 85.293 176.0452
127.075195 85.282 175.9722
127.441406 85.269 175.9117
127.807617 85.257 175.8633
128.173828 85.246 175.8217
128.540039 85.237 175.7779
128.906250 85.227 175.7247
129.272461 85.215 175.6627
129.638672 85.201 175.6008
130.004883 85.185 175.5507
130.371094 85.168 175.5179
130.737305 85.152 175.4968
131.103516 85.138 175.4745
131.469727 85.126 175.4414
131.835938 85.113 175.3967
132.202148 85.099 175.3474
132.568359 85.086 175.2979
132.934570 85.075 175.2433
133.300781 85.066 175.1715
133.666992 85.056 175.0753
134.033203 85.044 174.9626
134.399414 85.028 174.8547
134.765625 85.012 174.7717
135.131836 84.999 174.7160
135.498047 84.993 174.6675
135.864258 84.992 174.5978
136.230469 84.992 174.4923
136.596680 84.989 174.3635
136.962891 84.981 174.2443
137.329102 84.970 174.1653
137.695312 84.961 174.1333
138.061523 84.959 174.1268
138.427734 84.962 174.1124
138.793945 84.967 174.0693
139.160156 84.969 174.0032
139.526367 84.964 173.9413
139.892578 84.955 173.9114
140.258789 84.945 173.9227
140.625000 84.939 173.9605
140.991211 84.935 173.9972
141.357422 84.933 174.0111
141.723633 84.928 173.9990
142.089844 84.918 173.9741
142.456055 84.904 173.9546
142.822266 84.886 173.9503
143.188477 84.868 173.9585
143.554688 84.851 173.9684
143.920898 84.833 173.9709
144.287109 84.815 173.9634
144.653320 84.796 173.9488
145.019531 84.777 173.9300
145.385742 84.758 173.9059
145.751953 84.739 173.8727
