* Measurement data measured by REW V5.30.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 6, 2024 1:43:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EA1000 Red R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 38.929 151.8689
0.732422 40.392 124.1881
1.098633 42.992 99.9977
1.464844 46.262 81.1996
1.831055 49.664 66.7114
2.197266 52.885 54.7868
2.563477 55.795 44.3306
2.929688 58.358 34.8796
3.295898 60.589 26.3009
3.662109 62.531 18.5751
4.028320 64.238 11.6774
4.394531 65.758 5.5313
4.760742 67.133 0.0139
5.126953 68.391 -5.0098
5.493164 69.546 -9.6508
5.859375 70.610 -13.9797
6.225586 71.592 -18.0368
6.591797 72.501 -21.8513
6.958008 73.344 -25.4547
7.324219 74.129 -28.8799
7.690430 74.859 -32.1512
8.056641 75.537 -35.2765
8.422852 76.168 -38.2523
8.789062 76.758 -41.0775
9.155273 77.315 -43.7675
9.521484 77.846 -46.3567
9.887695 78.351 -48.8859
10.253906 78.829 -51.3834
10.620117 79.278 -53.8507
10.986328 79.696 -56.2654
11.352539 80.085 -58.5980
11.718750 80.452 -60.8325
12.084961 80.803 -62.9768
12.451172 81.140 -65.0569
12.817383 81.465 -67.0985
13.183594 81.774 -69.1114
13.549805 82.067 -71.0864
13.916016 82.345 -73.0074
14.282227 82.608 -74.8665
14.648438 82.861 -76.6699
15.014648 83.104 -78.4304
15.380859 83.335 -80.1541
15.747070 83.554 -81.8340
16.113281 83.762 -83.4575
16.479492 83.961 -85.0218
16.845703 84.154 -86.5412
17.211914 84.341 -88.0390
17.578125 84.519 -89.5288
17.944336 84.686 -91.0010
18.310547 84.839 -92.4292
18.676758 84.984 -93.7921
19.042969 85.125 -95.0942
19.409180 85.266 -96.3663
19.775391 85.405 -97.6434
20.141602 85.536 -98.9368
20.507812 85.654 -100.2248
20.874023 85.752 -101.4701
21.240234 85.840 -102.6486
21.606445 85.922 -103.7683
21.972656 86.004 -104.8618
22.338867 86.085 -105.9596
22.705078 86.160 -107.0690
23.071289 86.228 -108.1753
23.437500 86.290 -109.2623
23.803711 86.348 -110.3292
24.169922 86.402 -111.3892
24.536133 86.450 -112.4493
24.902344 86.489 -113.4929
25.268555 86.519 -114.4846
25.634766 86.544 -115.3971
26.000977 86.572 -116.2368
26.367188 86.608 -117.0462
26.733398 86.648 -117.8755
27.099609 86.687 -118.7454
27.465820 86.717 -119.6323
27.832031 86.738 -120.4878
28.198242 86.755 -121.2771
28.564453 86.776 -122.0074
28.930664 86.804 -122.7243
29.296875 86.840 -123.4799
29.663086 86.875 -124.2986
30.029297 86.901 -125.1650
30.395508 86.918 -126.0381
30.761719 86.924 -126.8774
31.127930 86.926 -127.6614
31.494141 86.926 -128.3906
31.860352 86.931 -129.0788
32.226562 86.938 -129.7435
32.592773 86.948 -130.4000
32.958984 86.962 -131.0594
33.325195 86.974 -131.7255
33.691406 86.985 -132.3933
34.057617 86.993 -133.0507
34.423828 86.999 -133.6859
34.790039 87.004 -134.2954
35.156250 87.011 -134.8859
35.522461 87.017 -135.4671
35.888672 87.024 -136.0428
36.254883 87.029 -136.6075
36.621094 87.033 -137.1536
36.987305 87.039 -137.6813
37.353516 87.048 -138.2032
37.719727 87.059 -138.7380
38.085938 87.071 -139.2984
38.452148 87.079 -139.8830
38.818359 87.083 -140.4784
39.184570 87.082 -141.0671
39.550781 87.077 -141.6338
39.916992 87.069 -142.1680
40.283203 87.062 -142.6647
40.649414 87.058 -143.1273
41.015625 87.059 -143.5722
41.381836 87.066 -144.0269
41.748047 87.075 -144.5161
42.114258 87.082 -145.0428
42.480469 87.080 -145.5791
42.846680 87.071 -146.0788
43.212891 87.060 -146.5072
43.579102 87.053 -146.8683
43.945312 87.056 -147.2065
44.311523 87.068 -147.5779
44.677734 87.081 -148.0108
45.043945 87.087 -148.4871
45.410156 87.083 -148.9583
45.776367 87.073 -149.3834
46.142578 87.064 -149.7575
46.508789 87.060 -150.1115
46.875000 87.060 -150.4825
47.241211 87.059 -150.8824
47.607422 87.052 -151.2904
47.973633 87.042 -151.6748
48.339844 87.032 -152.0224
48.706055 87.027 -152.3513
49.072266 87.027 -152.6948
49.438477 87.028 -153.0725
49.804688 87.024 -153.4728
50.170898 87.016 -153.8625
50.537109 87.005 -154.2130
50.903320 86.997 -154.5235
51.269531 86.996 -154.8216
51.635742 87.001 -155.1434
52.001953 87.006 -155.5075
52.368164 87.007 -155.9040
52.734375 87.000 -156.3021
53.100586 86.988 -156.6692
53.466797 86.973 -156.9887
53.833008 86.961 -157.2676
54.199219 86.955 -157.5321
54.565430 86.953 -157.8140
54.931641 86.953 -158.1348
55.297852 86.948 -158.4918
55.664062 86.935 -158.8565
56.030273 86.914 -159.1876
56.396484 86.893 -159.4565
56.762695 86.877 -159.6718
57.128906 86.874 -159.8821
57.495117 86.879 -160.1511
57.861328 86.886 -160.5148
58.227539 86.882 -160.9528
58.593750 86.862 -161.3942
58.959961 86.829 -161.7581
59.326172 86.795 -162.0037
59.692383 86.774 -162.1568
60.058594 86.769 -162.2940
60.424805 86.778 -162.4916
60.791016 86.788 -162.7774
61.157227 86.791 -163.1200
61.523438 86.784 -163.4572
61.889648 86.770 -163.7408
62.255859 86.759 -163.9650
62.622070 86.753 -164.1624
62.988281 86.754 -164.3739
63.354492 86.755 -164.6177
63.720703 86.751 -164.8801
64.086914 86.743 -165.1313
64.453125 86.732 -165.3506
64.819336 86.722 -165.5415
65.185547 86.716 -165.7268
65.551758 86.713 -165.9299
65.917969 86.709 -166.1585
66.284180 86.701 -166.4013
66.650391 86.690 -166.6398
67.016602 86.677 -166.8630
67.382812 86.666 -167.0745
67.749023 86.656 -167.2876
68.115234 86.646 -167.5125
68.481445 86.635 -167.7480
68.847656 86.622 -167.9821
69.213867 86.609 -168.2022
69.580078 86.596 -168.4049
69.946289 86.586 -168.5991
70.312500 86.578 -168.7990
70.678711 86.572 -169.0138
71.044922 86.565 -169.2412
71.411133 86.556 -169.4704
71.777344 86.545 -169.6901
72.143555 86.534 -169.8961
72.509766 86.524 -170.0921
72.875977 86.514 -170.2850
73.242188 86.505 -170.4787
73.608398 86.495 -170.6718
73.974609 86.484 -170.8603
74.340820 86.473 -171.0418
74.707031 86.462 -171.2179
75.073242 86.452 -171.3928
75.439453 86.442 -171.5697
75.805664 86.431 -171.7489
76.171875 86.420 -171.9285
76.538086 86.408 -172.1059
76.904297 86.396 -172.2804
77.270508 86.385 -172.4533
77.636719 86.373 -172.6266
78.002930 86.362 -172.8021
78.369141 86.351 -172.9801
78.735352 86.340 -173.1593
79.101562 86.328 -173.3369
79.467773 86.315 -173.5102
79.833984 86.303 -173.6780
80.200195 86.291 -173.8411
80.566406 86.280 -174.0024
80.932617 86.270 -174.1645
81.298828 86.259 -174.3280
81.665039 86.248 -174.4909
82.031250 86.237 -174.6502
82.397461 86.226 -174.8044
82.763672 86.215 -174.9545
83.129883 86.205 -175.1037
83.496094 86.195 -175.2551
83.862305 86.185 -175.4098
84.228516 86.174 -175.5661
84.594727 86.162 -175.7198
84.960938 86.149 -175.8667
85.327148 86.137 -176.0052
85.693359 86.126 -176.1387
86.059570 86.117 -176.2749
86.425781 86.108 -176.4224
86.791992 86.099 -176.5844
87.158203 86.087 -176.7541
87.524414 86.072 -176.9168
87.890625 86.056 -177.0582
88.256836 86.041 -177.1750
88.623047 86.029 -177.2796
88.989258 86.021 -177.3933
89.355469 86.014 -177.5317
89.721680 86.006 -177.6931
90.087891 85.993 -177.8597
90.454102 85.978 -178.0108
90.820312 85.963 -178.1391
91.186523 85.951 -178.2565
91.552734 85.941 -178.3830
91.918945 85.930 -178.5300
92.285156 85.917 -178.6883
92.651367 85.899 -178.8345
93.017578 85.880 -178.9485
93.383789 85.863 -179.0292
93.750000 85.851 -179.0963
94.116211 85.845 -179.1767
94.482422 85.840 -179.2863
94.848633 85.835 -179.4221
95.214844 85.826 -179.5680
95.581055 85.815 -179.7082
95.947266 85.803 -179.8371
96.313477 85.791 -179.9582
96.679688 85.780 179.9231
97.045898 85.768 179.8053
97.412109 85.757 179.6911
97.778320 85.745 179.5825
98.144531 85.734 179.4782
98.510742 85.723 179.3745
98.876953 85.712 179.2700
99.243164 85.700 179.1680
99.609375 85.688 179.0728
99.975586 85.678 178.9848
100.341797 85.668 178.8976
100.708008 85.661 178.8011
101.074219 85.653 178.6892
101.440430 85.643 178.5645
101.806641 85.630 178.4379
102.172852 85.615 178.3220
102.539062 85.599 178.2242
102.905273 85.585 178.1428
103.271484 85.572 178.0692
103.637695 85.562 177.9931
104.003906 85.553 177.9073
104.370117 85.545 177.8103
104.736328 85.536 177.7053
105.102539 85.526 177.5969
105.468750 85.515 177.4897
105.834961 85.504 177.3859
106.201172 85.492 177.2858
106.567383 85.481 177.1885
106.933594 85.470 177.0939
107.299805 85.459 177.0026
107.666016 85.447 176.9160
108.032227 85.436 176.8351
108.398438 85.427 176.7582
108.764648 85.418 176.6812
109.130859 85.410 176.5990
109.497070 85.403 176.5080
109.863281 85.394 176.4084
110.229492 85.385 176.3043
110.595703 85.373 176.2019
110.961914 85.360 176.1069
111.328125 85.347 176.0223
111.694336 85.333 175.9478
112.060547 85.321 175.8805
112.426758 85.310 175.8157
112.792969 85.301 175.7482
113.159180 85.292 175.6735
113.525391 85.283 175.5897
113.891602 85.273 175.4984
114.257812 85.262 175.4051
114.624023 85.250 175.3167
114.990234 85.237 175.2382
115.356445 85.225 175.1691
115.722656 85.215 175.1032
116.088867 85.207 175.0319
116.455078 85.199 174.9498
116.821289 85.189 174.8585
117.187500 85.178 174.7662
117.553711 85.166 174.6828
117.919922 85.154 174.6133
118.286133 85.143 174.5548
118.652344 85.134 174.4976
119.018555 85.126 174.4315
119.384766 85.119 174.3522
119.750977 85.109 174.2640
120.117188 85.098 174.1776
120.483398 85.084 174.1038
120.849609 85.071 174.0474
121.215820 85.059 174.0044
121.582031 85.050 173.9638
121.948242 85.043 173.9137
122.314453 85.036 173.8482
122.680664 85.027 173.7703
123.046875 85.017 173.6896
123.413086 85.005 173.6163
123.779297 84.992 173.5543
124.145508 84.981 173.4999
124.511719 84.970 173.4449
124.877930 84.960 173.3832
125.244141 84.950 173.3162
125.610352 84.938 173.2504
125.976562 84.926 173.1926
126.342773 84.914 173.1429
126.708984 84.904 173.0949
127.075195 84.895 173.0406
127.441406 84.887 172.9772
127.807617 84.877 172.9092
128.173828 84.866 172.8444
128.540039 84.855 172.7874
128.906250 84.844 172.7358
129.272461 84.835 172.6829
129.638672 84.826 172.6239
130.004883 84.816 172.5604
130.371094 84.806 172.4990
130.737305 84.794 172.4453
131.103516 84.784 172.3988
131.469727 84.775 172.3534
131.835938 84.766 172.3017
132.202148 84.758 172.2415
132.568359 84.748 172.1770
132.934570 84.736 172.1153
133.300781 84.724 172.0616
133.666992 84.712 172.0164
134.033203 84.701 171.9759
134.399414 84.691 171.9361
134.765625 84.681 171.8943
135.131836 84.672 171.8501
135.498047 84.662 171.8039
135.864258 84.653 171.7557
136.230469 84.644 171.7051
136.596680 84.634 171.6523
136.962891 84.624 171.5984
137.329102 84.614 171.5462
137.695312 84.603 171.4985
138.061523 84.592 171.4568
138.427734 84.583 171.4193
138.793945 84.574 171.3804
139.160156 84.567 171.3335
139.526367 84.559 171.2751
139.892578 84.550 171.2090
140.258789 84.539 171.1458
140.625000 84.526 171.0967
140.991211 84.513 171.0665
141.357422 84.503 171.0482
141.723633 84.496 171.0276
142.089844 84.490 170.9919
142.456055 84.483 170.9393
142.822266 84.475 170.8792
143.188477 84.464 170.8251
143.554688 84.452 170.7844
143.920898 84.441 170.7535
144.287109 84.433 170.7215
144.653320 84.424 170.6798
145.019531 84.415 170.6283
145.385742 84.404 170.5749
145.751953 84.391 170.5294
146.118164 84.378 170.4967
146.484375 84.365 170.4745
