* Measurement data measured by REW V5.30.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 25, 2024 3:27:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EA500LM Black L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 36.332 138.4850
0.732422 40.980 107.2437
1.098633 46.124 85.1119
1.464844 50.854 68.0896
1.831055 54.959 53.7943
2.197266 58.453 41.1375
2.563477 61.407 29.6613
2.929688 63.899 19.2001
3.295898 66.006 9.7141
3.662109 67.798 1.1999
4.028320 69.345 -6.3685
4.394531 70.705 -13.0744
4.760742 71.927 -19.0629
5.126953 73.043 -24.5128
5.493164 74.068 -29.5876
5.859375 75.007 -34.3941
6.225586 75.859 -38.9704
6.591797 76.628 -43.3054
6.958008 77.323 -47.3739
7.324219 77.954 -51.1681
7.690430 78.536 -54.7106
8.056641 79.077 -58.0466
8.422852 79.582 -61.2229
8.789062 80.052 -64.2706
9.155273 80.488 -67.2008
9.521484 80.893 -70.0134
9.887695 81.271 -72.7112
10.253906 81.625 -75.3069
10.620117 81.959 -77.8193
10.986328 82.272 -80.2635
11.352539 82.565 -82.6421
11.718750 82.837 -84.9467
12.084961 83.091 -87.1657
12.451172 83.330 -89.2951
12.817383 83.558 -91.3429
13.183594 83.776 -93.3252
13.549805 83.984 -95.2574
13.916016 84.182 -97.1464
14.282227 84.367 -98.9883
14.648438 84.542 -100.7735
15.014648 84.705 -102.4949
15.380859 84.861 -104.1536
15.747070 85.011 -105.7600
16.113281 85.155 -107.3285
16.479492 85.291 -108.8693
16.845703 85.419 -110.3832
17.211914 85.537 -111.8607
17.578125 85.646 -113.2892
17.944336 85.749 -114.6623
18.310547 85.848 -115.9858
18.676758 85.945 -117.2761
19.042969 86.038 -118.5498
19.409180 86.127 -119.8133
19.775391 86.210 -121.0590
20.141602 86.285 -122.2720
20.507812 86.354 -123.4436
20.874023 86.412 -124.5789
21.240234 86.466 -125.6950
21.606445 86.512 -126.8071
21.972656 86.550 -127.9158
22.338867 86.579 -129.0037
22.705078 86.598 -130.0459
23.071289 86.613 -131.0265
23.437500 86.628 -131.9508
23.803711 86.646 -132.8440
24.169922 86.668 -133.7382
24.536133 86.691 -134.6555
24.902344 86.710 -135.5999
25.268555 86.721 -136.5580
25.634766 86.725 -137.5083
26.000977 86.721 -138.4307
26.367188 86.711 -139.3113
26.733398 86.698 -140.1439
27.099609 86.683 -140.9292
27.465820 86.671 -141.6740
27.832031 86.661 -142.3917
28.198242 86.655 -143.1001
28.564453 86.652 -143.8166
28.930664 86.649 -144.5513
29.296875 86.645 -145.3028
29.663086 86.636 -146.0589
30.029297 86.623 -146.8034
30.395508 86.608 -147.5251
30.761719 86.592 -148.2218
31.127930 86.575 -148.8975
31.494141 86.559 -149.5544
31.860352 86.543 -150.1888
32.226562 86.528 -150.7956
32.592773 86.517 -151.3793
32.958984 86.511 -151.9602
33.325195 86.509 -152.5664
33.691406 86.506 -153.2133
34.057617 86.497 -153.8870
34.423828 86.478 -154.5470
34.790039 86.454 -155.1514
35.156250 86.430 -155.6879
35.522461 86.412 -156.1854
35.888672 86.402 -156.6940
36.254883 86.392 -157.2445
36.621094 86.376 -157.8208
36.987305 86.350 -158.3697
37.353516 86.320 -158.8420
37.719727 86.296 -159.2352
38.085938 86.285 -159.6036
38.452148 86.286 -160.0231
38.818359 86.288 -160.5379
39.184570 86.281 -161.1281
39.550781 86.258 -161.7242
39.916992 86.222 -162.2519
40.283203 86.186 -162.6785
40.649414 86.157 -163.0293
41.015625 86.142 -163.3665
41.381836 86.136 -163.7489
41.748047 86.131 -164.2004
42.114258 86.121 -164.7054
42.480469 86.102 -165.2260
42.846680 86.075 -165.7250
43.212891 86.043 -166.1799
43.579102 86.011 -166.5863
43.945312 85.981 -166.9537
44.311523 85.955 -167.2982
44.677734 85.933 -167.6362
45.043945 85.913 -167.9787
45.410156 85.895 -168.3281
45.776367 85.876 -168.6780
46.142578 85.856 -169.0179
46.508789 85.838 -169.3420
46.875000 85.823 -169.6557
47.241211 85.812 -169.9767
47.607422 85.804 -170.3255
47.973633 85.795 -170.7124
48.339844 85.781 -171.1271
48.706055 85.761 -171.5424
49.072266 85.735 -171.9303
49.438477 85.709 -172.2815
49.804688 85.686 -172.6130
50.170898 85.665 -172.9543
50.537109 85.644 -173.3210
50.903320 85.617 -173.6968
51.269531 85.583 -174.0420
51.635742 85.547 -174.3244
52.001953 85.518 -174.5490
52.368164 85.499 -174.7595
52.734375 85.487 -175.0065
53.100586 85.476 -175.3075
53.466797 85.459 -175.6345
53.833008 85.437 -175.9401
54.199219 85.414 -176.1998
54.565430 85.396 -176.4325
54.931641 85.385 -176.6804
55.297852 85.374 -176.9659
55.664062 85.357 -177.2684
56.030273 85.334 -177.5427
56.396484 85.311 -177.7631
56.762695 85.293 -177.9487
57.128906 85.280 -178.1438
57.495117 85.268 -178.3691
57.861328 85.249 -178.5938
58.227539 85.226 -178.7608
58.593750 85.210 -178.8502
58.959961 85.213 -178.9221
59.326172 85.233 -179.0927
59.692383 85.257 -179.4501
60.058594 85.261 -179.9808
60.424805 85.232 179.4341
60.791016 85.171 178.9508
61.157227 85.096 178.6719
61.523438 85.030 178.5898
61.889648 84.987 178.6031
62.255859 84.966 178.5918
62.622070 84.957 178.4895
62.988281 84.949 178.3005
63.354492 84.935 178.0647
63.720703 84.917 177.8139
64.086914 84.896 177.5571
64.453125 84.873 177.2952
64.819336 84.845 177.0403
65.185547 84.813 176.8171
65.551758 84.783 176.6418
65.917969 84.759 176.5037
66.284180 84.744 176.3664
66.650391 84.735 176.1906
67.016602 84.726 175.9601
67.382812 84.712 175.6909
67.749023 84.689 175.4192
68.115234 84.659 175.1820
68.481445 84.626 175.0001
68.847656 84.596 174.8738
69.213867 84.572 174.7847
69.580078 84.555 174.7024
69.946289 84.546 174.5936
70.312500 84.539 174.4338
70.678711 84.530 174.2192
71.044922 84.512 173.9725
71.411133 84.484 173.7352
71.777344 84.449 173.5494
72.143555 84.414 173.4350
72.509766 84.385 173.3779
72.875977 84.368 173.3346
73.242188 84.362 173.2527
73.608398 84.360 173.0971
73.974609 84.354 172.8652
74.340820 84.339 172.5866
74.707031 84.312 172.3088
75.073242 84.276 172.0764
75.439453 84.237 171.9139
75.805664 84.201 171.8190
76.171875 84.173 171.7667
76.538086 84.154 171.7228
76.904297 84.142 171.6571
77.270508 84.135 171.5511
77.636719 84.129 171.3994
78.002930 84.119 171.2071
78.369141 84.105 170.9886
78.735352 84.082 170.7661
79.101562 84.053 170.5656
79.467773 84.019 170.4099
79.833984 83.985 170.3092
80.200195 83.954 170.2565
80.566406 83.930 170.2299
80.932617 83.914 170.2029
81.298828 83.903 170.1536
81.665039 83.896 170.0690
82.031250 83.890 169.9446
82.397461 83.883 169.7803
82.763672 83.872 169.5810
83.129883 83.854 169.3597
83.496094 83.829 169.1385
83.862305 83.796 168.9455
84.228516 83.759 168.8043
84.594727 83.722 168.7243
84.960938 83.690 168.6959
85.327148 83.667 168.6945
85.693359 83.652 168.6911
86.059570 83.643 168.6628
86.425781 83.639 168.5980
86.791992 83.635 168.4947
87.158203 83.631 168.3563
87.524414 83.624 168.1885
87.890625 83.613 167.9987
88.256836 83.596 167.7977
88.623047 83.573 167.6008
88.989258 83.545 167.4254
89.355469 83.513 167.2859
89.721680 83.479 167.1879
90.087891 83.448 167.1268
90.454102 83.419 167.0917
90.820312 83.393 167.0724
91.186523 83.370 167.0645
91.552734 83.351 167.0673
91.918945 83.336 167.0772
92.285156 83.326 167.0809
92.651367 83.323 167.0560
93.017578 83.323 166.9814
93.383789 83.321 166.8504
93.750000 83.314 166.6766
94.116211 83.299 166.4886
94.482422 83.277 166.3146
94.848633 83.252 166.1697
95.214844 83.227 166.0503
95.581055 83.203 165.9427
95.947266 83.179 165.8354
96.313477 83.153 165.7280
96.679688 83.126 165.6299
97.045898 83.097 165.5531
97.412109 83.068 165.5039
97.778320 83.042 165.4798
98.144531 83.018 165.4725
98.510742 82.999 165.4723
98.876953 82.984 165.4706
99.243164 82.971 165.4602
99.609375 82.961 165.4360
99.975586 82.952 165.3952
100.341797 82.944 165.3388
100.708008 82.936 165.2700
101.074219 82.927 165.1915
101.440430 82.918 165.1030
101.806641 82.909 165.0020
102.172852 82.898 164.8879
102.539062 82.885 164.7647
102.905273 82.868 164.6411
103.271484 82.850 164.5253
103.637695 82.831 164.4207
104.003906 82.812 164.3237
104.370117 82.792 164.2284
104.736328 82.772 164.1313
105.102539 82.751 164.0350
105.468750 82.728 163.9456
105.834961 82.703 163.8685
106.201172 82.679 163.8050
106.567383 82.655 163.7537
106.933594 82.631 163.7133
107.299805 82.607 163.6838
107.666016 82.585 163.6652
108.032227 82.565 163.6544
108.398438 82.546 163.6454
108.764648 82.529 163.6323
109.130859 82.513 163.6144
109.497070 82.496 163.5961
109.863281 82.480 163.5834
110.229492 82.464 163.5773
110.595703 82.451 163.5726
110.961914 82.439 163.5613
111.328125 82.428 163.5397
111.694336 82.417 163.5114
112.060547 82.405 163.4832
112.426758 82.394 163.4580
112.792969 82.385 163.4304
113.159180 82.377 163.3897
113.525391 82.369 163.3302
113.891602 82.359 163.2571
114.257812 82.345 163.1855
114.624023 82.329 163.1302
114.990234 82.314 163.0956
115.356445 82.301 163.0727
115.722656 82.291 163.0467
116.088867 82.283 163.0076
116.455078 82.273 162.9565
116.821289 82.262 162.9026
117.187500 82.251 162.8541
117.553711 82.239 162.8112
117.919922 82.229 162.7673
118.286133 82.219 162.7153
118.652344 82.208 162.6549
119.018555 82.196 162.5918
119.384766 82.183 162.5328
119.750977 82.169 162.4798
120.117188 82.155 162.4287
120.483398 82.141 162.3747
120.849609 82.127 162.3175
121.215820 82.111 162.2627
121.582031 82.095 162.2166
121.948242 82.080 162.1800
122.314453 82.066 162.1463
122.680664 82.053 162.1068
123.046875 82.040 162.0574
123.413086 82.026 162.0033
123.779297 82.010 161.9546
124.145508 81.994 161.9193
124.511719 81.979 161.8971
124.877930 81.966 161.8802
125.244141 81.954 161.8599
125.610352 81.943 161.8325
125.976562 81.931 161.8010
126.342773 81.918 161.7705
126.708984 81.905 161.7440
127.075195 81.891 161.7206
127.441406 81.877 161.6990
127.807617 81.862 161.6807
128.173828 81.847 161.6702
128.540039 81.831 161.6703
128.906250 81.817 161.6781
129.272461 81.804 161.6849
129.638672 81.793 161.6812
130.004883 81.781 161.6638
130.371094 81.768 161.6376
130.737305 81.753 161.6116
131.103516 81.736 161.5931
131.469727 81.719 161.5835
131.835938 81.703 161.5796
132.202148 81.687 161.5780
132.568359 81.672 161.5780
132.934570 81.657 161.5803
133.300781 81.643 161.5843
133.666992 81.629 161.5862
134.033203 81.616 161.5822
134.399414 81.602 161.5718
134.765625 81.586 161.5596
135.131836 81.569 161.5523
135.498047 81.550 161.5535
135.864258 81.532 161.5611
136.230469 81.514 161.5687
136.596680 81.496 161.5710
136.962891 81.477 161.5672
137.329102 81.456 161.5601
137.695312 81.435 161.5528
138.061523 81.413 161.5445
138.427734 81.392 161.5309
138.793945 81.372 161.5070
139.160156 81.352 161.4699
139.526367 81.333 161.4198
139.892578 81.314 161.3581
140.258789 81.295 161.2863
140.625000 81.278 161.2055
140.991211 81.260 161.1186
141.357422 81.244 161.0298
141.723633 81.230 160.9441
142.089844 81.217 160.8639
142.456055 81.208 160.7883
142.822266 81.201 160.7145
143.188477 81.197 160.6409
143.554688 81.194 160.5696
143.920898 81.191 160.5059
144.287109 81.188 160.4561
144.653320 81.186 160.4246
145.019531 81.184 160.4122
145.385742 81.183 160.4171
145.751953 81.181 160.4358
146.118164 81.179 160.4657
146.484375 81.176 160.5049
146.850586 81.171 160.5526
147.216797 81.164 160.6085
147.583008 81.155 160.6708
147.949219 81.144 160.7365
148.315430 81.132 160.8008
148.681641 81.118 160.8588
149.047852 81.102 160.9075
