* Measurement data measured by REW V5.30.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 25, 2024 3:28:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EA500LM Black R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 41.724 152.8976
0.732422 42.653 124.7597
1.098633 44.768 98.4512
1.464844 47.804 77.5125
1.831055 51.135 61.6713
2.197266 54.346 48.9347
2.563477 57.251 37.8929
2.929688 59.795 27.9462
3.295898 61.985 18.9427
3.662109 63.870 10.8798
4.028320 65.510 3.7414
4.394531 66.965 -2.5698
4.760742 68.281 -8.2223
5.126953 69.485 -13.3990
5.493164 70.590 -18.2348
5.859375 71.600 -22.7933
6.225586 72.522 -27.0879
6.591797 73.368 -31.1216
6.958008 74.150 -34.9154
7.324219 74.876 -38.5096
7.690430 75.553 -41.9450
8.056641 76.182 -45.2453
8.422852 76.767 -48.4148
8.789062 77.311 -51.4520
9.155273 77.821 -54.3643
9.521484 78.301 -57.1723
9.887695 78.752 -59.8989
10.253906 79.175 -62.5553
10.620117 79.570 -65.1340
10.986328 79.938 -67.6177
11.352539 80.284 -69.9944
11.718750 80.613 -72.2704
12.084961 80.930 -74.4692
12.451172 81.234 -76.6195
12.817383 81.524 -78.7393
13.183594 81.797 -80.8281
13.549805 82.052 -82.8708
13.916016 82.290 -84.8498
14.282227 82.515 -86.7568
14.648438 82.728 -88.5973
15.014648 82.932 -90.3856
15.380859 83.127 -92.1341
15.747070 83.309 -93.8449
16.113281 83.481 -95.5083
16.479492 83.641 -97.1100
16.845703 83.795 -98.6440
17.211914 83.946 -100.1213
17.578125 84.095 -101.5694
17.944336 84.243 -103.0199
18.310547 84.385 -104.4910
18.676758 84.515 -105.9757
19.042969 84.632 -107.4435
19.409180 84.734 -108.8562
19.775391 84.829 -110.1876
20.141602 84.919 -111.4370
20.507812 85.009 -112.6271
20.874023 85.092 -113.7895
21.240234 85.172 -114.9466
21.606445 85.243 -116.1045
21.972656 85.307 -117.2571
22.338867 85.364 -118.3960
22.705078 85.412 -119.5164
23.071289 85.454 -120.6152
23.437500 85.488 -121.6863
23.803711 85.518 -122.7219
24.169922 85.545 -123.7204
24.536133 85.571 -124.6952
24.902344 85.598 -125.6715
25.268555 85.622 -126.6702
25.634766 85.639 -127.6880
26.000977 85.644 -128.6921
26.367188 85.639 -129.6378
26.733398 85.632 -130.4987
27.099609 85.631 -131.2902
27.465820 85.640 -132.0642
27.832031 85.656 -132.8767
28.198242 85.671 -133.7500
28.564453 85.677 -134.6584
28.930664 85.672 -135.5466
29.296875 85.662 -136.3679
29.663086 85.653 -137.1139
30.029297 85.652 -137.8179
30.395508 85.660 -138.5291
30.761719 85.670 -139.2790
31.127930 85.677 -140.0625
31.494141 85.676 -140.8457
31.860352 85.669 -141.5900
32.226562 85.661 -142.2778
32.592773 85.656 -142.9219
32.958984 85.657 -143.5554
33.325195 85.660 -144.2084
33.691406 85.660 -144.8861
34.057617 85.655 -145.5642
34.423828 85.642 -146.2052
34.790039 85.630 -146.7877
35.156250 85.624 -147.3288
35.522461 85.626 -147.8801
35.888672 85.633 -148.4934
36.254883 85.634 -149.1783
36.621094 85.620 -149.8854
36.987305 85.591 -150.5327
37.353516 85.558 -151.0627
37.719727 85.536 -151.4893
38.085938 85.531 -151.8971
38.452148 85.538 -152.3812
38.818359 85.543 -152.9726
39.184570 85.533 -153.6114
39.550781 85.507 -154.1902
39.916992 85.478 -154.6383
40.283203 85.463 -154.9845
40.649414 85.470 -155.3439
41.015625 85.489 -155.8317
41.381836 85.499 -156.4698
41.748047 85.485 -157.1655
42.114258 85.445 -157.7737
42.480469 85.396 -158.1981
42.846680 85.362 -158.4604
43.212891 85.354 -158.6862
43.579102 85.365 -159.0112
43.945312 85.377 -159.4849
44.311523 85.373 -160.0479
44.677734 85.349 -160.5898
45.043945 85.317 -161.0346
45.410156 85.289 -161.3882
45.776367 85.272 -161.7185
46.142578 85.263 -162.0890
46.508789 85.251 -162.5070
46.875000 85.232 -162.9283
47.241211 85.209 -163.3076
47.607422 85.190 -163.6440
47.973633 85.179 -163.9804
48.339844 85.170 -164.3602
48.706055 85.157 -164.7818
49.072266 85.135 -165.1970
49.438477 85.107 -165.5533
49.804688 85.083 -165.8428
50.170898 85.069 -166.1117
50.537109 85.063 -166.4221
50.903320 85.057 -166.8001
51.269531 85.043 -167.2177
51.635742 85.019 -167.6232
52.001953 84.992 -167.9872
52.368164 84.966 -168.3208
52.734375 84.941 -168.6521
53.100586 84.914 -168.9857
53.466797 84.882 -169.2906
53.833008 84.850 -169.5302
54.199219 84.826 -169.7063
54.565430 84.817 -169.8723
54.931641 84.821 -170.0965
55.297852 84.827 -170.4104
55.664062 84.826 -170.7889
56.030273 84.818 -171.1804
56.396484 84.804 -171.5515
56.762695 84.787 -171.9030
57.128906 84.768 -172.2409
57.495117 84.742 -172.5409
57.861328 84.714 -172.7531
58.227539 84.696 -172.8564
58.593750 84.702 -172.9156
58.959961 84.733 -173.0713
59.326172 84.772 -173.4477
59.692383 84.792 -174.0495
60.058594 84.770 -174.7370
60.424805 84.707 -175.3015
60.791016 84.625 -175.5917
61.157227 84.556 -175.6122
61.523438 84.523 -175.5193
61.889648 84.521 -175.5076
62.255859 84.530 -175.6765
62.622070 84.527 -175.9871
62.988281 84.503 -176.3232
63.354492 84.467 -176.5881
63.720703 84.432 -176.7631
64.086914 84.407 -176.8967
64.453125 84.392 -177.0506
64.819336 84.381 -177.2523
65.185547 84.367 -177.4904
65.551758 84.351 -177.7379
65.917969 84.333 -177.9765
66.284180 84.316 -178.2015
66.650391 84.301 -178.4161
67.016602 84.289 -178.6292
67.382812 84.280 -178.8562
67.749023 84.272 -179.1154
68.115234 84.261 -179.4124
68.481445 84.240 -179.7244
68.847656 84.209 179.9974
69.213867 84.171 179.8011
69.580078 84.136 179.6988
69.946289 84.113 179.6527
70.312500 84.102 179.5962
70.678711 84.097 179.4773
71.044922 84.090 179.2903
71.411133 84.074 179.0720
71.777344 84.049 178.8702
72.143555 84.020 178.7119
72.509766 83.994 178.5912
72.875977 83.972 178.4821
73.242188 83.954 178.3588
73.608398 83.937 178.2099
73.974609 83.920 178.0376
74.340820 83.900 177.8515
74.707031 83.878 177.6629
75.073242 83.855 177.4815
75.439453 83.832 177.3123
75.805664 83.812 177.1512
76.171875 83.793 176.9864
76.538086 83.777 176.8070
76.904297 83.758 176.6145
77.270508 83.737 176.4266
77.636719 83.713 176.2664
78.002930 83.692 176.1437
78.369141 83.676 176.0426
78.735352 83.667 175.9305
79.101562 83.660 175.7813
79.467773 83.650 175.5967
79.833984 83.633 175.4062
80.200195 83.611 175.2455
80.566406 83.589 175.1298
80.932617 83.570 175.0426
81.298828 83.558 174.9500
81.665039 83.546 174.8269
82.031250 83.533 174.6750
82.397461 83.514 174.5178
82.763672 83.491 174.3792
83.129883 83.469 174.2638
83.496094 83.450 174.1544
83.862305 83.432 174.0290
84.228516 83.413 173.8807
84.594727 83.390 173.7250
84.960938 83.363 173.5881
85.327148 83.335 173.4876
85.693359 83.312 173.4186
86.059570 83.295 173.3560
86.425781 83.285 173.2696
86.791992 83.277 173.1407
87.158203 83.267 172.9698
87.524414 83.253 172.7737
87.890625 83.233 172.5770
88.256836 83.207 172.4028
88.623047 83.180 172.2656
88.989258 83.154 172.1663
89.355469 83.131 172.0912
89.721680 83.113 172.0179
90.087891 83.097 171.9287
90.454102 83.079 171.8239
90.820312 83.057 171.7254
91.186523 83.032 171.6638
91.552734 83.009 171.6540
91.918945 82.996 171.6756
92.285156 82.993 171.6767
92.651367 82.997 171.6027
93.017578 82.999 171.4330
93.383789 82.988 171.2004
93.750000 82.960 170.9769
94.116211 82.921 170.8342
94.482422 82.882 170.8020
94.848633 82.855 170.8495
95.214844 82.844 170.9033
95.581055 82.846 170.8909
95.947266 82.850 170.7805
96.313477 82.848 170.5920
96.679688 82.834 170.3773
97.045898 82.810 170.1885
97.412109 82.781 170.0532
97.778320 82.754 169.9684
98.144531 82.733 169.9117
98.510742 82.716 169.8583
98.876953 82.702 169.7928
99.243164 82.688 169.7128
99.609375 82.674 169.6248
99.975586 82.659 169.5377
100.341797 82.643 169.4578
100.708008 82.627 169.3856
101.074219 82.613 169.3159
101.440430 82.599 169.2421
101.806641 82.584 169.1620
102.172852 82.568 169.0800
102.539062 82.551 169.0034
102.905273 82.534 168.9350
103.271484 82.518 168.8681
103.637695 82.504 168.7903
104.003906 82.489 168.6958
104.370117 82.470 168.5945
104.736328 82.448 168.5074
105.102539 82.426 168.4505
105.468750 82.407 168.4180
105.834961 82.395 168.3821
106.201172 82.386 168.3131
106.567383 82.375 168.2059
106.933594 82.359 168.0876
107.299805 82.338 167.9986
107.666016 82.318 167.9592
108.032227 82.306 167.9482
108.398438 82.303 167.9148
108.764648 82.302 167.8180
109.130859 82.296 167.6611
109.497070 82.277 167.4943
109.863281 82.249 167.3813
110.229492 82.219 167.3549
110.595703 82.198 167.3939
110.961914 82.188 167.4396
111.328125 82.185 167.4376
111.694336 82.182 167.3737
112.060547 82.172 167.2758
112.426758 82.154 167.1878
112.792969 82.133 167.1371
113.159180 82.114 167.1196
113.525391 82.100 167.1100
113.891602 82.088 167.0844
114.257812 82.075 167.0363
114.624023 82.061 166.9757
114.990234 82.045 166.9168
115.356445 82.028 166.8667
115.722656 82.011 166.8227
116.088867 81.996 166.7782
116.455078 81.981 166.7291
116.821289 81.966 166.6764
117.187500 81.950 166.6237
117.553711 81.935 166.5740
117.919922 81.920 166.5279
118.286133 81.907 166.4839
118.652344 81.894 166.4396
119.018555 81.882 166.3919
119.384766 81.870 166.3381
119.750977 81.858 166.2781
120.117188 81.845 166.2154
120.483398 81.830 166.1577
120.849609 81.814 166.1123
121.215820 81.799 166.0817
121.582031 81.785 166.0601
121.948242 81.774 166.0361
122.314453 81.764 165.9995
122.680664 81.753 165.9484
123.046875 81.740 165.8906
123.413086 81.724 165.8392
123.779297 81.708 165.8036
124.145508 81.692 165.7831
124.511719 81.678 165.7677
124.877930 81.667 165.7452
125.244141 81.655 165.7098
125.610352 81.643 165.6656
125.976562 81.628 165.6221
126.342773 81.613 165.5869
126.708984 81.599 165.5595
127.075195 81.586 165.5333
127.441406 81.573 165.5016
127.807617 81.560 165.4641
128.173828 81.545 165.4272
128.540039 81.530 165.3987
128.906250 81.516 165.3809
129.272461 81.504 165.3684
129.638672 81.493 165.3515
130.004883 81.483 165.3229
130.371094 81.473 165.2818
130.737305 81.462 165.2332
131.103516 81.448 165.1848
131.469727 81.434 165.1432
131.835938 81.419 165.1122
132.202148 81.404 165.0916
132.568359 81.390 165.0779
132.934570 81.379 165.0641
133.300781 81.368 165.0431
133.666992 81.357 165.0115
134.033203 81.345 164.9734
134.399414 81.331 164.9387
134.765625 81.317 164.9165
135.131836 81.303 164.9082
135.498047 81.292 164.9046
135.864258 81.283 164.8918
136.230469 81.275 164.8608
136.596680 81.265 164.8143
136.962891 81.253 164.7641
137.329102 81.239 164.7228
137.695312 81.224 164.6951
138.061523 81.211 164.6767
138.427734 81.198 164.6592
138.793945 81.186 164.6381
139.160156 81.174 164.6148
139.526367 81.161 164.5941
139.892578 81.149 164.5786
140.258789 81.136 164.5669
140.625000 81.125 164.5557
140.991211 81.114 164.5438
141.357422 81.103 164.5324
141.723633 81.092 164.5238
142.089844 81.082 164.5169
142.456055 81.072 164.5076
142.822266 81.064 164.4910
143.188477 81.055 164.4654
143.554688 81.044 164.4340
143.920898 81.032 164.4031
144.287109 81.018 164.3793
144.653320 81.003 164.3668
145.019531 80.989 164.3655
145.385742 80.977 164.3707
145.751953 80.966 164.3745
146.118164 80.956 164.3680
146.484375 80.947 164.3473
146.850586 80.935 164.3162
147.216797 80.920 164.2867
147.583008 80.904 164.2719
147.949219 80.889 164.2768
148.315430 80.876 164.2935
