* Measurement data measured by REW V5.30.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 25, 2024 3:22:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EA500LM Gold L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 40.813 155.9172
0.732422 42.759 126.8931
1.098633 46.334 97.7783
1.464844 50.574 74.5414
1.831055 54.580 56.7682
2.197266 58.074 42.4623
2.563477 61.051 30.3512
2.929688 63.580 19.7849
3.295898 65.735 10.4276
3.662109 67.589 2.0818
4.028320 69.200 -5.3976
4.394531 70.616 -12.1383
4.760742 71.875 -18.2588
5.126953 73.004 -23.8639
5.493164 74.023 -29.0397
5.859375 74.947 -33.8524
6.225586 75.789 -38.3523
6.591797 76.557 -42.5789
6.958008 77.260 -46.5644
7.324219 77.906 -50.3345
7.690430 78.499 -53.9082
8.056641 79.046 -57.2996
8.422852 79.552 -60.5217
8.789062 80.023 -63.5906
9.155273 80.463 -66.5266
9.521484 80.875 -69.3518
9.887695 81.261 -72.0839
10.253906 81.622 -74.7322
10.620117 81.958 -77.2965
10.986328 82.270 -79.7702
11.352539 82.562 -82.1466
11.718750 82.836 -84.4248
12.084961 83.095 -86.6114
12.451172 83.343 -88.7199
12.817383 83.579 -90.7654
13.183594 83.805 -92.7613
13.549805 84.020 -94.7157
13.916016 84.222 -96.6314
14.282227 84.412 -98.5059
14.648438 84.588 -100.3332
15.014648 84.752 -102.1044
15.380859 84.904 -103.8109
15.747070 85.047 -105.4479
16.113281 85.183 -107.0187
16.479492 85.315 -108.5357
16.845703 85.444 -110.0165
17.211914 85.568 -111.4760
17.578125 85.687 -112.9198
17.944336 85.798 -114.3420
18.310547 85.901 -115.7308
18.676758 85.997 -117.0770
19.042969 86.089 -118.3797
19.409180 86.178 -119.6458
19.775391 86.265 -120.8845
20.141602 86.347 -122.1016
20.507812 86.422 -123.2976
20.874023 86.484 -124.4703
21.240234 86.538 -125.6166
21.606445 86.580 -126.7327
21.972656 86.616 -127.8125
22.338867 86.645 -128.8495
22.705078 86.671 -129.8433
23.071289 86.697 -130.8069
23.437500 86.723 -131.7660
23.803711 86.747 -132.7456
24.169922 86.766 -133.7531
24.536133 86.775 -134.7683
24.902344 86.772 -135.7525
25.268555 86.761 -136.6719
25.634766 86.750 -137.5202
26.000977 86.744 -138.3232
26.367188 86.743 -139.1214
26.733398 86.743 -139.9411
27.099609 86.740 -140.7781
27.465820 86.731 -141.6046
27.832031 86.718 -142.3931
28.198242 86.707 -143.1390
28.564453 86.700 -143.8634
28.930664 86.697 -144.5966
29.296875 86.695 -145.3558
29.663086 86.689 -146.1332
30.029297 86.676 -146.9031
30.395508 86.658 -147.6387
30.761719 86.639 -148.3272
31.127930 86.621 -148.9745
31.494141 86.607 -149.5992
31.860352 86.597 -150.2217
32.226562 86.588 -150.8548
32.592773 86.577 -151.4988
32.958984 86.563 -152.1414
33.325195 86.545 -152.7645
33.691406 86.526 -153.3542
34.057617 86.509 -153.9107
34.423828 86.495 -154.4498
34.790039 86.486 -154.9949
35.156250 86.479 -155.5625
35.522461 86.470 -156.1529
35.888672 86.458 -156.7520
36.254883 86.441 -157.3423
36.621094 86.422 -157.9127
36.987305 86.401 -158.4588
37.353516 86.379 -158.9784
37.719727 86.358 -159.4690
38.085938 86.340 -159.9334
38.452148 86.326 -160.3871
38.818359 86.316 -160.8540
39.184570 86.306 -161.3492
39.550781 86.289 -161.8596
39.916992 86.266 -162.3457
40.283203 86.240 -162.7700
40.649414 86.221 -163.1349
41.015625 86.214 -163.4966
41.381836 86.216 -163.9336
41.748047 86.216 -164.4870
42.114258 86.198 -165.1196
42.480469 86.157 -165.7289
42.846680 86.101 -166.2099
43.212891 86.046 -166.5244
43.579102 86.010 -166.7309
43.945312 85.997 -166.9456
44.311523 85.999 -167.2624
44.677734 85.998 -167.6964
45.043945 85.986 -168.1889
45.410156 85.963 -168.6616
45.776367 85.935 -169.0716
46.142578 85.910 -169.4297
46.508789 85.892 -169.7752
46.875000 85.878 -170.1362
47.241211 85.863 -170.5103
47.607422 85.845 -170.8774
47.973633 85.828 -171.2256
48.339844 85.813 -171.5636
48.706055 85.799 -171.9097
49.072266 85.783 -172.2708
49.438477 85.762 -172.6305
49.804688 85.735 -172.9597
50.170898 85.708 -173.2382
50.537109 85.685 -173.4720
50.903320 85.670 -173.6930
51.269531 85.662 -173.9421
51.635742 85.657 -174.2476
52.001953 85.648 -174.6095
52.368164 85.631 -174.9999
52.734375 85.605 -175.3762
53.100586 85.574 -175.7047
53.466797 85.546 -175.9815
53.833008 85.526 -176.2378
54.199219 85.512 -176.5192
54.565430 85.499 -176.8514
54.931641 85.480 -177.2153
55.297852 85.452 -177.5554
55.664062 85.421 -177.8210
56.030273 85.396 -178.0116
56.396484 85.386 -178.1861
56.762695 85.385 -178.4206
57.128906 85.382 -178.7419
57.495117 85.364 -179.0940
57.861328 85.330 -179.3717
58.227539 85.296 -179.5031
58.593750 85.281 -179.5227
58.959961 85.294 -179.5693
59.326172 85.324 -179.7953
59.692383 85.344 179.7477
60.058594 85.331 179.1539
60.424805 85.278 178.6086
60.791016 85.199 178.2767
61.157227 85.124 178.1997
61.523438 85.077 178.2705
61.889648 85.062 178.3094
62.255859 85.064 178.1890
62.622070 85.059 177.9060
62.988281 85.036 177.5566
63.354492 84.997 177.2508
63.720703 84.955 177.0360
64.086914 84.923 176.8787
64.453125 84.901 176.7083
64.819336 84.884 176.4811
65.185547 84.864 176.2114
65.551758 84.837 175.9507
65.917969 84.809 175.7393
66.284180 84.787 175.5723
66.650391 84.775 175.4030
67.016602 84.770 175.1806
67.382812 84.762 174.8897
67.749023 84.743 174.5640
68.115234 84.712 174.2667
68.481445 84.672 174.0540
68.847656 84.634 173.9443
69.213867 84.606 173.9080
69.580078 84.591 173.8853
69.946289 84.586 173.8192
70.312500 84.584 173.6835
70.678711 84.576 173.4917
71.044922 84.560 173.2823
71.411133 84.537 173.0922
71.777344 84.512 172.9357
72.143555 84.489 172.8004
72.509766 84.468 172.6614
72.875977 84.448 172.5037
73.242188 84.425 172.3331
73.608398 84.399 172.1693
73.974609 84.372 172.0280
74.340820 84.348 171.9053
74.707031 84.328 171.7805
75.073242 84.311 171.6321
75.439453 84.293 171.4565
75.805664 84.272 171.2703
76.171875 84.248 171.0974
76.538086 84.224 170.9494
76.904297 84.203 170.8171
77.270508 84.186 170.6792
77.636719 84.170 170.5211
78.002930 84.151 170.3474
78.369141 84.130 170.1781
78.735352 84.106 170.0317
79.101562 84.084 169.9100
79.467773 84.065 169.7962
79.833984 84.049 169.6691
80.200195 84.032 169.5202
80.566406 84.012 169.3611
80.932617 83.988 169.2143
81.298828 83.962 169.0970
81.665039 83.938 169.0085
82.031250 83.919 168.9309
82.397461 83.904 168.8424
82.763672 83.891 168.7299
83.129883 83.876 168.5949
83.496094 83.859 168.4482
83.862305 83.840 168.3014
84.228516 83.818 168.1613
84.594727 83.796 168.0307
84.960938 83.772 167.9118
85.327148 83.748 167.8075
85.693359 83.726 167.7186
86.059570 83.705 167.6398
86.425781 83.687 167.5604
86.791992 83.671 167.4689
87.158203 83.655 167.3609
87.524414 83.638 167.2421
87.890625 83.618 167.1246
88.256836 83.597 167.0182
88.623047 83.576 166.9241
88.989258 83.557 166.8337
89.355469 83.540 166.7357
89.721680 83.522 166.6245
90.087891 83.503 166.5040
90.454102 83.482 166.3853
90.820312 83.459 166.2781
91.186523 83.436 166.1851
91.552734 83.415 166.1009
91.918945 83.396 166.0168
92.285156 83.377 165.9284
92.651367 83.358 165.8383
93.017578 83.339 165.7529
93.383789 83.321 165.6757
93.750000 83.305 165.6024
94.116211 83.291 165.5227
94.482422 83.278 165.4269
94.848633 83.263 165.3138
95.214844 83.247 165.1925
95.581055 83.227 165.0772
95.947266 83.205 164.9785
96.313477 83.184 164.8973
96.679688 83.164 164.8265
97.045898 83.146 164.7565
97.412109 83.128 164.6823
97.778320 83.110 164.6052
98.144531 83.091 164.5293
98.510742 83.072 164.4577
98.876953 83.052 164.3908
99.243164 83.033 164.3276
99.609375 83.014 164.2682
99.975586 82.996 164.2129
100.341797 82.979 164.1600
100.708008 82.963 164.1041
101.074219 82.949 164.0384
101.440430 82.934 163.9596
101.806641 82.918 163.8717
102.172852 82.900 163.7844
102.539062 82.881 163.7067
102.905273 82.862 163.6411
103.271484 82.845 163.5817
103.637695 82.829 163.5187
104.003906 82.814 163.4459
104.370117 82.799 163.3648
104.736328 82.781 163.2830
105.102539 82.763 163.2087
105.468750 82.744 163.1454
105.834961 82.727 163.0905
106.201172 82.711 163.0375
106.567383 82.695 162.9812
106.933594 82.680 162.9204
107.299805 82.664 162.8591
107.666016 82.647 162.8030
108.032227 82.631 162.7563
108.398438 82.615 162.7174
108.764648 82.602 162.6784
109.130859 82.591 162.6286
109.497070 82.580 162.5602
109.863281 82.567 162.4742
110.229492 82.551 162.3810
110.595703 82.532 162.2953
110.961914 82.511 162.2278
111.328125 82.490 162.1801
111.694336 82.470 162.1445
112.060547 82.453 162.1115
112.426758 82.436 162.0768
112.792969 82.419 162.0432
113.159180 82.403 162.0158
113.525391 82.388 161.9941
113.891602 82.376 161.9690
114.257812 82.367 161.9271
114.624023 82.357 161.8610
114.990234 82.344 161.7761
115.356445 82.328 161.6895
115.722656 82.309 161.6203
116.088867 82.289 161.5775
116.455078 82.271 161.5549
116.821289 82.257 161.5359
117.187500 82.245 161.5048
117.553711 82.233 161.4571
117.919922 82.220 161.3998
118.286133 82.205 161.3449
118.652344 82.189 161.2999
119.018555 82.174 161.2631
119.384766 82.160 161.2271
119.750977 82.146 161.1854
120.117188 82.133 161.1373
120.483398 82.117 161.0876
120.849609 82.101 161.0414
121.215820 82.085 161.0012
121.582031 82.069 160.9660
121.948242 82.052 160.9348
122.314453 82.037 160.9076
122.680664 82.021 160.8843
123.046875 82.007 160.8622
123.413086 81.995 160.8362
123.779297 81.982 160.8016
124.145508 81.969 160.7592
124.511719 81.955 160.7151
124.877930 81.940 160.6769
125.244141 81.926 160.6465
125.610352 81.912 160.6180
125.976562 81.900 160.5826
126.342773 81.887 160.5363
126.708984 81.873 160.4855
127.075195 81.856 160.4431
127.441406 81.839 160.4186
127.807617 81.823 160.4103
128.173828 81.810 160.4045
128.540039 81.800 160.3854
128.906250 81.789 160.3459
129.272461 81.776 160.2936
129.638672 81.760 160.2454
130.004883 81.742 160.2153
130.371094 81.726 160.2056
130.737305 81.712 160.2045
131.103516 81.700 160.1947
131.469727 81.690 160.1652
131.835938 81.678 160.1178
132.202148 81.663 160.0652
132.568359 81.646 160.0219
132.934570 81.628 159.9953
133.300781 81.610 159.9830
133.666992 81.594 159.9775
134.033203 81.580 159.9729
134.399414 81.565 159.9686
134.765625 81.552 159.9666
135.131836 81.540 159.9662
135.498047 81.530 159.9622
135.864258 81.520 159.9470
136.230469 81.511 159.9184
136.596680 81.500 159.8823
136.962891 81.487 159.8498
137.329102 81.473 159.8297
137.695312 81.460 159.8218
138.061523 81.451 159.8159
138.427734 81.443 159.7975
138.793945 81.437 159.7554
139.160156 81.428 159.6875
139.526367 81.416 159.6031
139.892578 81.397 159.5223
140.258789 81.373 159.4703
140.625000 81.347 159.4669
140.991211 81.324 159.5146
141.357422 81.309 159.5918
141.723633 81.303 159.6596
142.089844 81.303 159.6828
142.456055 81.303 159.6497
142.822266 81.299 159.5771
143.188477 81.288 159.4946
143.554688 81.273 159.4217
143.920898 81.256 159.3586
144.287109 81.236 159.2990
144.653320 81.210 159.2525
145.019531 81.180 159.2526
145.385742 81.150 159.3339
145.751953 81.130 159.4933
146.118164 81.128 159.6695
146.484375 81.143 159.7692
146.850586 81.164 159.7281
147.216797 81.173 159.5601
147.583008 81.161 159.3519
147.949219 81.132 159.2086
148.315430 81.098 159.1851
148.681641 81.072 159.2537
149.047852 81.062 159.3316
