* Measurement data measured by REW V5.30.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 25, 2024 3:24:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EA500LM Red L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 39.110 150.6995
0.732422 41.809 119.5994
1.098633 46.032 92.5792
1.464844 50.552 72.0653
1.831055 54.672 55.9763
2.197266 58.228 42.4263
2.563477 61.237 30.4766
2.929688 63.767 19.7503
3.295898 65.893 10.1304
3.662109 67.692 1.5864
4.028320 69.241 -5.9298
4.394531 70.610 -12.5440
4.760742 71.850 -18.4649
5.126953 72.989 -23.9321
5.493164 74.033 -29.1355
5.859375 74.978 -34.1572
6.225586 75.818 -38.9706
6.591797 76.558 -43.4877
6.958008 77.215 -47.6264
7.324219 77.812 -51.3655
7.690430 78.373 -54.7623
8.056641 78.910 -57.9263
8.422852 79.425 -60.9649
8.789062 79.913 -63.9385
9.155273 80.368 -66.8519
9.521484 80.788 -69.6782
9.887695 81.177 -72.3935
10.253906 81.542 -74.9977
10.620117 81.886 -77.5120
10.986328 82.211 -79.9608
11.352539 82.516 -82.3555
11.718750 82.799 -84.6909
12.084961 83.062 -86.9550
12.451172 83.306 -89.1395
12.817383 83.535 -91.2445
13.183594 83.750 -93.2735
13.549805 83.951 -95.2277
13.916016 84.142 -97.1051
14.282227 84.323 -98.9070
14.648438 84.498 -100.6431
15.014648 84.668 -102.3315
15.380859 84.831 -103.9906
15.747070 84.987 -105.6299
16.113281 85.133 -107.2462
16.479492 85.268 -108.8274
16.845703 85.393 -110.3603
17.211914 85.509 -111.8362
17.578125 85.618 -113.2522
17.944336 85.723 -114.6113
18.310547 85.825 -115.9226
18.676758 85.926 -117.2021
19.042969 86.025 -118.4694
19.409180 86.120 -119.7375
19.775391 86.207 -121.0025
20.141602 86.283 -122.2406
20.507812 86.348 -123.4200
20.874023 86.402 -124.5244
21.240234 86.456 -125.5719
21.606445 86.511 -126.6132
21.972656 86.567 -127.7032
22.338867 86.614 -128.8638
22.705078 86.643 -130.0629
23.071289 86.651 -131.2270
23.437500 86.643 -132.2835
23.803711 86.633 -133.2059
24.169922 86.633 -134.0335
24.536133 86.646 -134.8482
24.902344 86.666 -135.7206
25.268555 86.683 -136.6653
25.634766 86.687 -137.6372
26.000977 86.679 -138.5687
26.367188 86.665 -139.4185
26.733398 86.656 -140.1975
27.099609 86.653 -140.9544
27.465820 86.654 -141.7321
27.832031 86.652 -142.5347
28.198242 86.644 -143.3289
28.564453 86.632 -144.0780
28.930664 86.622 -144.7776
29.296875 86.619 -145.4620
29.663086 86.619 -146.1747
30.029297 86.617 -146.9293
30.395508 86.605 -147.6946
30.761719 86.585 -148.4165
31.127930 86.563 -149.0610
31.494141 86.546 -149.6425
31.860352 86.541 -150.2162
32.226562 86.542 -150.8381
32.592773 86.541 -151.5246
32.958984 86.529 -152.2426
33.325195 86.506 -152.9340
33.691406 86.476 -153.5534
34.057617 86.448 -154.0939
34.423828 86.427 -154.5861
34.790039 86.416 -155.0751
35.156250 86.409 -155.5943
35.522461 86.403 -156.1529
35.888672 86.394 -156.7401
36.254883 86.379 -157.3366
36.621094 86.358 -157.9240
36.987305 86.333 -158.4871
37.353516 86.306 -159.0136
37.719727 86.278 -159.4961
38.085938 86.254 -159.9378
38.452148 86.237 -160.3582
38.818359 86.228 -160.7912
39.184570 86.223 -161.2706
39.550781 86.215 -161.8089
39.916992 86.199 -162.3811
40.283203 86.170 -162.9298
40.649414 86.135 -163.3954
41.015625 86.104 -163.7582
41.381836 86.088 -164.0649
41.748047 86.090 -164.4107
42.114258 86.099 -164.8784
42.480469 86.099 -165.4753
42.846680 86.075 -166.1157
43.212891 86.028 -166.6681
43.579102 85.973 -167.0390
43.945312 85.933 -167.2442
44.311523 85.921 -167.4085
44.677734 85.931 -167.6821
45.043945 85.943 -168.1337
45.410156 85.935 -168.7048
45.776367 85.901 -169.2567
46.142578 85.852 -169.6690
46.508789 85.808 -169.9217
46.875000 85.784 -170.1016
47.241211 85.779 -170.3288
47.607422 85.780 -170.6639
47.973633 85.772 -171.0741
48.339844 85.753 -171.4785
48.706055 85.731 -171.8253
49.072266 85.715 -172.1337
49.438477 85.707 -172.4690
49.804688 85.700 -172.8753
50.170898 85.681 -173.3291
50.537109 85.648 -173.7545
50.903320 85.608 -174.0842
51.269531 85.573 -174.3133
51.635742 85.551 -174.5014
52.001953 85.541 -174.7237
52.368164 85.534 -175.0148
52.734375 85.520 -175.3537
53.100586 85.498 -175.6942
53.466797 85.471 -176.0049
53.833008 85.442 -176.2832
54.199219 85.414 -176.5389
54.565430 85.387 -176.7742
54.931641 85.363 -176.9877
55.297852 85.345 -177.1955
55.664062 85.333 -177.4382
56.030273 85.322 -177.7520
56.396484 85.303 -178.1250
56.762695 85.269 -178.4866
57.128906 85.228 -178.7541
57.495117 85.196 -178.9119
57.861328 85.185 -179.0512
58.227539 85.194 -179.3179
58.593750 85.199 -179.7925
58.959961 85.173 179.5964
59.326172 85.106 179.0500
59.692383 85.012 178.7764
60.058594 84.931 178.8425
60.424805 84.896 179.1034
60.791016 84.913 179.2885
61.157227 84.957 179.1939
61.523438 84.988 178.8150
61.889648 84.983 178.3208
62.255859 84.946 177.9185
62.622070 84.899 177.7160
62.988281 84.869 177.6650
63.354492 84.864 177.6196
63.720703 84.873 177.4558
64.086914 84.877 177.1548
64.453125 84.865 176.7917
64.819336 84.836 176.4629
65.185547 84.801 176.2167
65.551758 84.771 176.0336
65.917969 84.747 175.8593
66.284180 84.727 175.6555
66.650391 84.703 175.4285
67.016602 84.672 175.2181
67.382812 84.640 175.0636
67.749023 84.613 174.9706
68.115234 84.598 174.9013
68.481445 84.596 174.7933
68.847656 84.599 174.5963
69.213867 84.596 174.3053
69.580078 84.579 173.9688
69.946289 84.545 173.6672
70.312500 84.502 173.4683
70.678711 84.462 173.3870
71.044922 84.436 173.3734
71.411133 84.426 173.3435
71.777344 84.425 173.2330
72.143555 84.419 173.0366
72.509766 84.402 172.8037
72.875977 84.375 172.5995
73.242188 84.345 172.4591
73.608398 84.319 172.3681
73.974609 84.302 172.2789
74.340820 84.290 172.1491
74.707031 84.276 171.9697
75.073242 84.258 171.7644
75.439453 84.234 171.5660
75.805664 84.208 171.3904
76.171875 84.183 171.2292
76.538086 84.160 171.0629
76.904297 84.136 170.8838
77.270508 84.108 170.7076
77.636719 84.076 170.5648
78.002930 84.045 170.4782
78.369141 84.021 170.4408
78.735352 84.008 170.4128
79.101562 84.006 170.3414
79.467773 84.006 170.1929
79.833984 84.001 169.9737
80.200195 83.985 169.7271
80.566406 83.959 169.5070
80.932617 83.927 169.3466
81.298828 83.897 169.2421
81.665039 83.872 169.1612
82.031250 83.852 169.0709
82.397461 83.832 168.9597
82.763672 83.810 168.8409
83.129883 83.786 168.7335
83.496094 83.763 168.6423
83.862305 83.744 168.5516
84.228516 83.727 168.4396
84.594727 83.709 168.2988
84.960938 83.688 168.1439
85.327148 83.662 168.0010
85.693359 83.636 167.8864
86.059570 83.612 167.7950
86.425781 83.593 167.7059
86.791992 83.576 167.6022
87.158203 83.558 167.4854
87.524414 83.539 167.3727
87.890625 83.521 167.2790
88.256836 83.506 167.1998
88.623047 83.496 167.1103
88.989258 83.489 166.9830
89.355469 83.479 166.8110
89.721680 83.462 166.6174
90.087891 83.435 166.4438
90.454102 83.404 166.3245
90.820312 83.374 166.2651
91.186523 83.351 166.2393
91.552734 83.335 166.2068
91.918945 83.322 166.1399
92.285156 83.307 166.0388
92.651367 83.287 165.9281
93.017578 83.264 165.8363
93.383789 83.240 165.7761
93.750000 83.221 165.7356
94.116211 83.206 165.6883
94.482422 83.194 165.6113
94.848633 83.182 165.5003
95.214844 83.165 165.3713
95.581055 83.144 165.2487
95.947266 83.121 165.1497
96.313477 83.100 165.0751
96.679688 83.081 165.0115
97.045898 83.065 164.9422
97.412109 83.051 164.8592
97.778320 83.035 164.7663
98.144531 83.018 164.6739
98.510742 83.000 164.5899
98.876953 82.983 164.5140
99.243164 82.966 164.4400
99.609375 82.950 164.3625
99.975586 82.932 164.2828
100.341797 82.914 164.2076
100.708008 82.895 164.1425
101.074219 82.877 164.0865
101.440430 82.860 164.0317
101.806641 82.844 163.9698
102.172852 82.828 163.8982
102.539062 82.810 163.8217
102.905273 82.791 163.7482
103.271484 82.772 163.6820
103.637695 82.753 163.6223
104.003906 82.735 163.5660
104.370117 82.717 163.5124
104.736328 82.699 163.4631
105.102539 82.683 163.4186
105.468750 82.668 163.3737
105.834961 82.655 163.3199
106.201172 82.643 163.2520
106.567383 82.629 163.1734
106.933594 82.612 163.0959
107.299805 82.595 163.0305
107.666016 82.578 162.9792
108.032227 82.562 162.9342
108.398438 82.548 162.8857
108.764648 82.534 162.8302
109.130859 82.519 162.7724
109.497070 82.504 162.7170
109.863281 82.491 162.6609
110.229492 82.477 162.5934
110.595703 82.463 162.5073
110.961914 82.445 162.4103
111.328125 82.421 162.3253
111.694336 82.396 162.2753
112.060547 82.372 162.2651
112.426758 82.355 162.2734
112.792969 82.344 162.2653
113.159180 82.336 162.2162
113.525391 82.325 162.1295
113.891602 82.308 162.0331
114.257812 82.287 161.9589
114.624023 82.266 161.9206
114.990234 82.249 161.9059
115.356445 82.237 161.8882
115.722656 82.228 161.8464
116.088867 82.218 161.7780
116.455078 82.204 161.6966
116.821289 82.188 161.6203
117.187500 82.169 161.5602
117.553711 82.151 161.5184
117.919922 82.132 161.4920
118.286133 82.116 161.4780
118.652344 82.101 161.4720
119.018555 82.090 161.4652
119.384766 82.080 161.4449
119.750977 82.072 161.4005
120.117188 82.061 161.3333
120.483398 82.045 161.2589
120.849609 82.026 161.1996
121.215820 82.005 161.1708
121.582031 81.986 161.1691
121.948242 81.972 161.1740
122.314453 81.962 161.1612
122.680664 81.952 161.1189
123.046875 81.940 161.0549
123.413086 81.923 160.9908
123.779297 81.904 160.9461
124.145508 81.886 160.9259
124.511719 81.871 160.9186
124.877930 81.859 160.9055
125.244141 81.849 160.8738
125.610352 81.838 160.8242
125.976562 81.825 160.7680
126.342773 81.810 160.7183
126.708984 81.794 160.6813
127.075195 81.779 160.6538
127.441406 81.766 160.6280
127.807617 81.754 160.5969
128.173828 81.742 160.5590
128.540039 81.729 160.5173
128.906250 81.714 160.4771
129.272461 81.699 160.4423
129.638672 81.684 160.4142
130.004883 81.669 160.3912
130.371094 81.654 160.3705
130.737305 81.639 160.3501
131.103516 81.625 160.3304
131.469727 81.609 160.3146
131.835938 81.594 160.3058
132.202148 81.580 160.3038
132.568359 81.567 160.3033
132.934570 81.557 160.2956
133.300781 81.547 160.2732
133.666992 81.537 160.2349
134.033203 81.524 160.1858
134.399414 81.510 160.1344
134.765625 81.493 160.0883
135.131836 81.475 160.0522
135.498047 81.456 160.0291
135.864258 81.437 160.0207
136.230469 81.420 160.0258
136.596680 81.406 160.0373
136.962891 81.394 160.0429
137.329102 81.384 160.0319
137.695312 81.373 160.0034
138.061523 81.359 159.9692
138.427734 81.343 159.9462
138.793945 81.328 159.9430
139.160156 81.314 159.9518
139.526367 81.304 159.9544
139.892578 81.295 159.9373
140.258789 81.285 159.9028
140.625000 81.272 159.8671
140.991211 81.257 159.8440
141.357422 81.244 159.8329
141.723633 81.232 159.8193
142.089844 81.221 159.7910
142.456055 81.208 159.7516
142.822266 81.192 159.7190
143.188477 81.175 159.7084
143.554688 81.161 159.7164
143.920898 81.151 159.7227
144.287109 81.142 159.7096
144.653320 81.132 159.6805
145.019531 81.120 159.6576
145.385742 81.108 159.6572
145.751953 81.102 159.6658
146.118164 81.103 159.6412
146.484375 81.104 159.5447
146.850586 81.096 159.3800
147.216797 81.072 159.2034
147.583008 81.033 159.0963
147.949219 80.989 159.1149
148.315430 80.954 159.2536
148.681641 80.935 159.4479
149.047852 80.934 159.6163
