* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: May 26, 2022 8:00:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EDX Ultra L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	93.626808	-112.2352
21.200001	93.746552	-114.1525
21.799999	93.850883	-115.9578
22.400000	93.936653	-117.6863
23.000000	94.002647	-119.3699
23.600000	94.055801	-121.0136
24.299999	94.106155	-122.8938
25.000000	94.148865	-124.6979
25.799999	94.188362	-126.6052
26.500000	94.219704	-128.2648
27.200001	94.249191	-129.8916
28.000000	94.259575	-131.6163
29.000000	94.273216	-133.7143
30.000000	94.290886	-135.6970
30.700001	94.289574	-137.0289
31.500000	94.296227	-138.5129
32.500000	94.303345	-140.2857
33.500000	94.304337	-141.9924
34.500000	94.305199	-143.6411
35.500000	94.300148	-145.1956
36.500000	94.287163	-146.6834
37.500000	94.282089	-148.0616
38.700001	94.262520	-149.6919
40.000000	94.242500	-151.4647
41.200001	94.227058	-152.9609
42.500000	94.207390	-154.4901
43.700001	94.171654	-155.8518
45.000000	94.132027	-157.4002
46.200001	94.119568	-158.6606
47.500000	94.081184	-159.9725
48.700001	94.049431	-161.0924
50.000000	94.017197	-162.3379
51.500000	93.965614	-163.6821
53.000000	93.926498	-165.0006
54.500000	93.880585	-166.2451
56.000000	93.832176	-167.4160
58.000000	93.768913	-168.9465
60.000000	93.721428	-170.3695
61.500000	93.656502	-171.3817
63.000000	93.607834	-172.3896
65.000000	93.546951	-173.6446
67.000000	93.478783	-174.8387
69.000000	93.408501	-175.9380
71.000000	93.336731	-177.0868
73.000000	93.262985	-178.1003
75.000000	93.189407	-179.0885
77.500000	93.095512	179.7115
80.000000	93.002228	178.6185
82.500000	92.906296	177.5577
85.000000	92.811043	176.5760
87.500000	92.713455	175.6202
90.000000	92.618423	174.7947
92.500000	92.524414	173.8831
95.000000	92.431976	173.0885
97.500000	92.336937	172.3476
100.000000	92.248322	171.6511
103.000000	92.136925	170.7927
106.000000	92.028625	170.0289
109.000000	91.927101	169.3077
112.000000	91.824921	168.6235
115.000000	91.722527	167.9717
118.000000	91.621063	167.3860
122.000000	91.490494	166.6589
125.000000	91.391006	166.1414
128.000000	91.292435	165.6592
132.000000	91.165451	165.0574
136.000000	91.036987	164.5319
