* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: May 26, 2022 8:01:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EDX Ultra R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	93.782555	-113.2111
21.200001	93.893539	-115.0331
21.799999	93.998474	-116.8132
22.400000	94.088905	-118.5365
23.000000	94.143097	-120.1953
23.600000	94.182297	-121.8399
24.299999	94.239502	-123.6414
25.000000	94.282021	-125.2919
25.799999	94.310143	-127.1493
26.500000	94.333923	-128.7314
27.200001	94.346375	-130.3323
28.000000	94.352539	-132.0694
29.000000	94.364655	-134.0279
30.000000	94.386566	-135.9362
30.700001	94.384140	-137.2323
31.500000	94.386665	-138.6672
32.500000	94.388527	-140.3183
33.500000	94.376892	-141.9520
34.500000	94.374222	-143.5154
35.500000	94.355965	-145.0358
36.500000	94.341103	-146.4242
37.500000	94.329300	-147.7925
38.700001	94.315491	-149.4156
40.000000	94.278404	-151.0126
41.200001	94.262756	-152.4287
42.500000	94.241005	-153.9211
43.700001	94.204498	-155.2375
45.000000	94.183784	-156.5481
46.200001	94.144989	-157.6758
47.500000	94.090553	-159.0588
48.700001	94.074966	-160.0392
50.000000	94.032257	-161.2838
51.500000	93.981834	-162.5501
53.000000	93.935944	-163.7725
54.500000	93.887383	-164.9012
56.000000	93.838974	-165.9432
58.000000	93.770920	-167.4318
60.000000	93.699776	-168.6886
61.500000	93.656013	-169.6149
63.000000	93.605446	-170.5655
65.000000	93.537239	-171.6749
67.000000	93.457237	-172.7370
69.000000	93.390633	-173.8059
71.000000	93.315331	-174.7387
73.000000	93.243393	-175.6864
75.000000	93.167282	-176.5734
77.500000	93.070877	-177.6039
80.000000	92.979141	-178.5693
82.500000	92.877243	-179.4833
85.000000	92.776039	179.6304
87.500000	92.673584	178.7979
90.000000	92.599640	178.1406
92.500000	92.484756	177.3781
95.000000	92.388351	176.7134
97.500000	92.288689	176.0759
100.000000	92.195717	175.4339
103.000000	92.088097	174.8263
106.000000	91.978386	174.2187
109.000000	91.867737	173.6773
112.000000	91.769333	173.1264
115.000000	91.664009	172.6404
118.000000	91.563072	172.2178
