* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 13, 2021 8:23:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EJ07M L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	92.651756	-148.5752
21.200001	92.599976	-150.0385
21.799999	92.537979	-151.3063
22.400000	92.518250	-152.6871
23.000000	92.500534	-154.3292
23.600000	92.428101	-155.9380
24.299999	92.294144	-157.3992
25.000000	92.178940	-158.6784
25.799999	92.069717	-160.4923
26.500000	91.956238	-162.1346
27.200001	91.842644	-163.5047
28.000000	91.717865	-164.9325
29.000000	91.528946	-166.7218
30.000000	91.352974	-168.4617
30.700001	91.242775	-169.7087
31.500000	91.110115	-171.0176
32.500000	90.954094	-172.4604
33.500000	90.803406	-173.9067
34.500000	90.648041	-175.3282
35.500000	90.493752	-176.7566
36.500000	90.346001	-178.0433
37.500000	90.213028	-179.2225
38.700001	90.013710	179.4315
40.000000	89.816765	178.0351
41.200001	89.649109	176.6260
42.500000	89.491447	175.4361
43.700001	89.335457	174.1796
45.000000	89.139999	173.0794
46.200001	89.011032	172.0317
47.500000	88.841393	170.9092
48.700001	88.698227	170.0468
50.000000	88.533798	169.0325
51.500000	88.356583	167.9842
53.000000	88.197334	167.1231
54.500000	88.010208	166.1476
56.000000	87.841606	165.2625
58.000000	87.631653	164.0710
60.000000	87.411560	163.2780
61.500000	87.237091	162.4748
63.000000	87.077217	161.5908
65.000000	86.862274	160.9770
67.000000	86.677284	160.1991
69.000000	86.490059	159.6868
71.000000	86.294876	158.9857
73.000000	86.124924	158.4150
75.000000	85.912949	157.9084
77.500000	85.695129	157.5509
80.000000	85.479424	156.8177
82.500000	85.264389	156.3825
85.000000	85.024200	155.9967
87.500000	84.842552	155.9219
90.000000	84.299538	154.0161
92.500000	84.483932	155.0113
95.000000	84.016068	155.1429
97.500000	84.228195	155.0290
100.000000	83.937881	155.0619
103.000000	83.734482	154.8946
106.000000	83.541092	154.8427
109.000000	83.366821	154.8377
112.000000	83.203239	154.9088
115.000000	83.036095	155.0644
118.000000	82.908325	155.0703
122.000000	82.709900	155.3065
125.000000	82.578888	155.6469
128.000000	82.413589	155.9228
132.000000	82.247055	156.2726
136.000000	82.086113	156.7568
140.000000	81.934814	157.1813
145.000000	81.764580	157.7316
150.000000	81.587418	158.3683
155.000000	81.446106	158.9905
160.000000	81.279556	159.7170
165.000000	81.145645	160.3948
170.000000	81.027641	161.1406
175.000000	80.894119	161.7919
180.000000	80.790787	162.6171
185.000000	80.705551	163.2488
190.000000	80.620193	164.0244
195.000000	80.531937	164.7393
200.000000	80.460144	165.4410
206.000000	80.378174	166.2364
212.000000	80.307793	167.1037
218.000000	80.248688	167.9083
224.000000	80.185234	168.7426
230.000000	80.138474	169.4932
236.000000	80.091934	170.2587
243.000000	80.042397	171.1673
250.000000	80.016106	172.0385
258.000000	79.971512	172.8954
265.000000	79.942581	173.6831
272.000000	79.918716	174.4300
280.000000	79.898003	175.2304
290.000000	79.864166	176.2598
300.000000	79.857971	177.1864
307.000000	79.859215	177.7877
315.000000	79.854088	178.4879
325.000000	79.847023	179.2776
335.000000	79.843880	-179.9197
345.000000	79.842323	-179.1622
355.000000	79.843124	-178.4544
365.000000	79.844284	-177.7467
375.000000	79.850861	-177.0621
387.000000	79.856064	-176.2672
400.000000	79.862167	-175.4881
412.000000	79.869263	-174.7777
425.000000	79.875092	-174.0338
437.000000	79.883041	-173.3516
450.000000	79.893661	-172.6240
462.000000	79.897766	-171.9688
475.000000	79.906166	-171.3004
487.000000	79.910896	-170.6613
500.000000	79.917519	-169.9979
515.000000	79.926117	-169.2445
530.000000	79.935432	-168.4823
545.000000	79.943550	-167.7146
560.000000	79.950523	-166.9668
580.000000	79.963326	-165.9542
600.000000	79.972862	-164.9678
615.000000	79.983261	-164.2041
630.000000	79.996323	-163.4127
650.000000	80.012947	-162.3832
670.000000	80.036819	-161.3097
690.000000	80.066574	-160.2232
710.000000	80.113960	-159.2196
730.000000	80.140976	-158.3086
750.000000	80.159340	-157.2273
775.000000	80.208298	-155.8047
800.000000	80.270035	-154.3860
825.000000	80.346085	-152.9724
850.000000	80.434624	-151.5601
875.000000	80.537521	-150.1519
900.000000	80.654694	-148.7834
925.000000	80.787979	-147.4674
950.000000	80.937492	-146.2142
975.000000	81.096260	-145.0393
1000.000000	81.268150	-143.9563
1030.000000	81.484680	-142.7865
1060.000000	81.707596	-141.7943
1090.000000	81.934441	-140.9619
1120.000000	82.158813	-140.2679
1150.000000	82.377052	-139.7307
1180.000000	82.585724	-139.3180
1220.000000	82.846909	-138.9104
1250.000000	83.025826	-138.6838
1280.000000	83.196358	-138.5036
1320.000000	83.406715	-138.3058
1360.000000	83.601868	-138.1290
1400.000000	83.781837	-137.9718
1450.000000	83.995850	-137.7694
1500.000000	84.199112	-137.5501
1550.000000	84.395645	-137.3208
1600.000000	84.592834	-137.0942
1650.000000	84.788750	-136.8713
1700.000000	84.987503	-136.6801
1750.000000	85.191711	-136.5275
1800.000000	85.397156	-136.4287
1850.000000	85.605370	-136.3975
1900.000000	85.817421	-136.4581
1950.000000	86.030136	-136.6200
2000.000000	86.242393	-136.8797
2060.000000	86.491707	-137.3436
2120.000000	86.733337	-137.9792
2180.000000	86.961533	-138.7956
2240.000000	87.169785	-139.7645
2300.000000	87.353806	-140.8773
2360.000000	87.510635	-142.1064
2430.000000	87.656631	-143.6181
2500.000000	87.763321	-145.1705
2580.000000	87.841507	-146.9503
2650.000000	87.872612	-148.5038
2720.000000	87.871521	-150.0103
2800.000000	87.830650	-151.6180
2900.000000	87.734718	-153.3959
3000.000000	87.604340	-154.8864
3070.000000	87.500580	-155.7648
3150.000000	87.376465	-156.6175
3250.000000	87.214615	-157.4916
3350.000000	87.049156	-158.1796
3450.000000	86.882355	-158.6974
3550.000000	86.714890	-159.0489
3650.000000	86.554489	-159.2270
3750.000000	86.406815	-159.2322
3870.000000	86.261169	-159.0729
4000.000000	86.159119	-158.8299
4120.000000	86.118561	-158.7476
4250.000000	86.118759	-159.0463
4370.000000	86.130730	-159.8369
4500.000000	86.114861	-161.2914
4620.000000	86.033699	-163.0960
4750.000000	85.843384	-165.3477
4870.000000	85.565598	-167.4316
5000.000000	85.168480	-169.4845
5150.000000	84.611916	-171.4463
5300.000000	83.934250	-173.0449
5450.000000	83.061729	-173.5620
5600.000000	82.181244	-171.5905
5800.000000	81.354454	-166.8528
6000.000000	80.931725	-161.5795
6150.000000	80.808426	-157.8014
6300.000000	80.829338	-154.2236
6500.000000	81.080856	-149.9874
6700.000000	81.592529	-146.7302
6900.000000	82.350052	-145.1124
7100.000000	83.290260	-146.0224
7300.000000	84.248833	-150.4442
7500.000000	84.858719	-158.8486
7750.000000	84.566002	-171.5638
8000.000000	83.243622	179.5136
8250.000000	81.636238	176.5751
8500.000000	80.217293	177.8755
8750.000000	79.103180	-178.3411
9000.000000	78.344704	-173.1247
9250.000000	77.944260	-167.4831
9500.000000	77.878288	-162.1984
9750.000000	78.130280	-157.9309
10000.000000	78.667046	-155.4910
10300.000000	79.564522	-156.3911
10600.000000	80.353706	-162.7616
10900.000000	80.449059	-173.1653
11200.000000	79.715698	177.2918
11500.000000	78.674194	171.5565
11800.000000	77.813469	168.5532
12200.000000	77.033760	166.5450
12500.000000	76.794670	164.9810
12800.000000	76.710388	162.9955
13200.000000	76.846970	159.3690
13600.000000	77.168343	153.6479
14000.000000	77.556313	145.1153
14500.000000	77.983459	129.0439
15000.000000	77.724838	103.7445
15500.000000	75.412628	75.3744
16000.000000	72.575951	54.9242
16500.000000	70.503693	33.8314
17000.000000	69.257347	7.2105
17500.000000	68.871078	-28.0165
18000.000000	69.049500	-74.9284
18500.000000	68.691330	-134.1168
19000.000000	66.914452	159.8013
19500.000000	63.769138	89.4739
