* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.630. Timing signal peak level -19.6 dBFS, measurement signal peak level -16.8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -3.0 dBFS using an acoustic timing reference
* Dated: Dec 29, 2023 9:24:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0276 ms (-9.5 mm, -0.37 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset
* Measurement: EM6L L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	100.413	-153.8681
21.200001	100.412	-155.2204
21.799999	100.420	-156.4876
22.400000	100.415	-157.6629
23.000000	100.384	-158.7906
23.600000	100.339	-159.8626
24.299999	100.279	-161.0453
25.000000	100.216	-162.2291
25.799999	100.166	-163.5541
26.500000	100.138	-164.6039
27.200001	100.084	-165.6054
28.000000	99.984	-166.7217
29.000000	99.872	-167.9687
30.000000	99.803	-169.2066
30.700001	99.746	-170.1215
31.500000	99.666	-171.0971
32.500000	99.581	-172.2213
33.500000	99.501	-173.3944
34.500000	99.413	-174.4331
35.500000	99.341	-175.4162
36.500000	99.264	-176.3284
37.500000	99.185	-177.2030
38.700001	99.103	-178.3437
40.000000	99.004	-179.5609
41.200001	98.886	179.5512
42.500000	98.796	178.4633
43.700001	98.745	177.6160
45.000000	98.637	176.7582
46.200001	98.566	176.0402
47.500000	98.459	175.1392
48.700001	98.386	174.3546
50.000000	98.295	173.6337
51.500000	98.194	172.7816
53.000000	98.097	171.9532
54.500000	98.008	171.2402
56.000000	97.912	170.4686
58.000000	97.787	169.4529
60.000000	97.662	168.8568
61.500000	97.568	168.0109
63.000000	97.492	167.3999
65.000000	97.370	166.7284
67.000000	97.259	166.0016
69.000000	97.143	165.3699
71.000000	97.029	164.6732
73.000000	96.918	164.0907
75.000000	96.812	163.5219
77.500000	96.673	162.8912
80.000000	96.538	162.2908
82.500000	96.400	161.6982
85.000000	96.275	161.1714
87.500000	96.150	160.6881
90.000000	96.025	160.2382
92.500000	95.906	159.8306
95.000000	95.787	159.4205
97.500000	95.674	159.0558
100.000000	95.563	158.7257
103.000000	95.432	158.4219
106.000000	95.308	158.0427
109.000000	95.188	157.7365
112.000000	95.070	157.4560
115.000000	94.955	157.2180
118.000000	94.844	156.9744
122.000000	94.700	156.7335
125.000000	94.593	156.5651
128.000000	94.492	156.4077
132.000000	94.358	156.2389
136.000000	94.227	156.1059
140.000000	94.102	155.9857
145.000000	93.948	155.8988
150.000000	93.803	155.8274
155.000000	93.658	155.7922
160.000000	93.522	155.7885
165.000000	93.389	155.8146
170.000000	93.261	155.8509
175.000000	93.136	155.9196
180.000000	93.013	156.0640
185.000000	92.898	156.1124
190.000000	92.786	156.2244
195.000000	92.678	156.3533
200.000000	92.572	156.4995
206.000000	92.449	156.6895
212.000000	92.334	156.8950
218.000000	92.218	157.1215
224.000000	92.108	157.3344
230.000000	92.004	157.5933
236.000000	91.903	157.8378
243.000000	91.788	158.1468
250.000000	91.677	158.4423
258.000000	91.557	158.8147
265.000000	91.457	159.1409
272.000000	91.359	159.4747
280.000000	91.254	159.8682
290.000000	91.127	160.3536
300.000000	91.011	160.8280
307.000000	90.925	161.2139
315.000000	90.836	161.6201
325.000000	90.729	162.1314
